ID,Perioden,TotaalRijksbelastingen_1,TotaalBelastingOpInkomenEnVermogen_2,Inkomstenbelasting_3,Loonbelasting_4,Dividendbelasting_5,KansspelbelastingLoterijwinsten_6,Vermogensbelasting_7,Vennootschapsbelasting_8,MotorrijtuigenbelastingPrive_9,OverigeBelastingontvangsten_10,TotaalBelastingOpProductieEnInvoer_11,MotorrijtuigenbelastingZakelijk_12,KansspelbelastingOpbrengstCasinoS_13,Omzetbelasting_14,PersonenautoSEnMotorrijwielen_15,ZwareMotorrijtuigen_16,AccijnsVanLichteOlie_17,AccijnsVanMineraleOlien_18,Wijnaccijns_19,AccijnsOpTussenproducten_20,Alcoholaccijns_21,Bieraccijns_22,VerbruiksbelastingAlcoholvrijeDranken_23,Tabaksaccijns_24,BelastingenVanRechtsverkeer_25,BelastingenOpMilieugrondslag_26,Bestemmingsheffingen_27,Loonkostenheffingen_28,Successierechten_29
0,1999KW01,19032.0,9089.0,-92.0,5233.0,295.0,14.0,311.0,2916.0,394.0,19.0,      9668,94.0,15.0,5510.0,777.0,32.0,650.0,413.0,30.0,8.0,92.0,62.0,41.0,473.0,810.0,579.0,21.0,62.0,275.0
1,1999KW02,21528.0,10347.0,-1595.0,6765.0,955.0,15.0,177.0,3612.0,427.0,-9.0,     10849,102.0,16.0,6410.0,841.0,14.0,899.0,582.0,34.0,10.0,95.0,75.0,59.0,232.0,863.0,515.0,21.0,81.0,333.0
2,1999KW03,21029.0,10411.0,-1.0,5139.0,1035.0,13.0,137.0,3696.0,389.0,3.0,     10293,93.0,14.0,6012.0,649.0,13.0,775.0,489.0,35.0,8.0,114.0,80.0,65.0,379.0,858.0,615.0,39.0,58.0,325.0
3,1999KW04,25497.0,13187.0,504.0,5883.0,738.0,22.0,155.0,5428.0,438.0,19.0,     11953,105.0,23.0,7410.0,573.0,31.0,805.0,558.0,40.0,7.0,96.0,80.0,52.0,462.0,1003.0,585.0,37.0,87.0,357.0
4,1999JJ00,87085.0,43034.0,-1184.0,23020.0,3023.0,64.0,780.0,15652.0,1648.0,32.0,     42763,394.0,68.0,25342.0,2840.0,90.0,3129.0,2042.0,139.0,33.0,397.0,297.0,217.0,1546.0,3534.0,2294.0,118.0,288.0,1290.0
5,2000KW01,19611.0,9075.0,-164.0,5428.0,154.0,13.0,333.0,2916.0,385.0,10.0,     10255,92.0,15.0,5494.0,894.0,35.0,815.0,558.0,30.0,7.0,93.0,51.0,46.0,371.0,1015.0,643.0,29.0,66.0,281.0
6,2000KW02,24297.0,11962.0,-1474.0,7547.0,1150.0,19.0,198.0,3742.0,441.0,338.0,     11951,106.0,22.0,7156.0,841.0,19.0,775.0,564.0,34.0,10.0,106.0,83.0,62.0,361.0,927.0,774.0,29.0,83.0,384.0
7,2000KW03,21479.0,10363.0,-163.0,5488.0,584.0,14.0,174.0,3789.0,476.0,2.0,     10737,114.0,16.0,6179.0,620.0,13.0,713.0,481.0,35.0,7.0,91.0,65.0,49.0,533.0,1016.0,699.0,35.0,71.0,379.0
8,2000KW04,27655.0,14433.0,921.0,5970.0,699.0,13.0,118.0,6289.0,416.0,7.0,     12783,99.0,15.0,8269.0,520.0,33.0,849.0,537.0,40.0,9.0,106.0,64.0,59.0,325.0,950.0,733.0,64.0,111.0,440.0
9,2000JJ00,93042.0,45833.0,-880.0,24433.0,2587.0,59.0,823.0,16736.0,1718.0,357.0,     45726,411.0,68.0,27098.0,2875.0,100.0,3152.0,2140.0,139.0,33.0,396.0,263.0,216.0,1590.0,3908.0,2849.0,157.0,331.0,1484.0
10,2001KW01,22188.0,9817.0,-730.0,5853.0,902.0,20.0,27.0,3377.0,360.0,11.0,     12146,86.0,23.0,7114.0,831.0,40.0,756.0,495.0,28.0,7.0,102.0,47.0,46.0,436.0,1178.0,816.0,29.0,112.0,222.0
11,2001KW02,24844.0,11644.0,-1952.0,7913.0,1126.0,19.0,36.0,4063.0,437.0,6.0,     12986,105.0,21.0,7778.0,765.0,18.0,817.0,523.0,36.0,8.0,107.0,84.0,61.0,410.0,1151.0,923.0,30.0,148.0,211.0
12,2001KW03,24100.0,12017.0,-310.0,5853.0,1433.0,14.0,15.0,4574.0,413.0,26.0,     11785,99.0,16.0,6918.0,660.0,15.0,737.0,491.0,36.0,8.0,98.0,80.0,66.0,493.0,1072.0,842.0,45.0,110.0,295.0
