ID,SBI93,Perioden,IndexcijfersOmzet_1,Omzetontwikkeling_2
0,40000,2003MM01,149.0,
1,40000,2003MM02,137.0,
2,40000,2003MM03,127.0,
3,40000,2003KW01,138.0,
4,40000,2003MM04,105.0,
5,40000,2003MM05,95.0,
6,40000,2003MM06,89.0,
7,40000,2003KW02,96.0,
8,40000,2003MM07,82.0,
9,40000,2003MM08,86.0,
10,40000,2003MM09,93.0,
11,40000,2003KW03,87.0,
12,40000,2003MM10,120.0,
13,40000,2003MM11,131.0,
14,40000,2003MM12,165.0,
15,40000,2003KW04,139.0,
16,40000,2003JJ00,115.0,
17,40000,2004MM01,160.0,7.0
18,40000,2004MM02,150.0,9.0
19,40000,2004MM03,152.0,20.0
20,40000,2004KW01,154.0,12.0
21,40000,2004MM04,116.0,10.0
22,40000,2004MM05,108.0,14.0
23,40000,2004MM06,97.0,9.0
24,40000,2004KW02,107.0,11.0
25,40000,2004MM07,96.0,16.0
26,40000,2004MM08,94.0,9.0
27,40000,2004MM09,105.0,13.0
28,40000,2004KW03,98.0,12.0
29,40000,2004MM10,117.0,-3.0
30,40000,2004MM11,140.0,7.0
31,40000,2004MM12,167.0,1.0
32,40000,2004KW04,141.0,2.0
33,40000,2004JJ00,125.0,9.0
34,40000,2005MM01,168.0,5.0
35,40000,2005MM02,153.0,3.0
36,40000,2005MM03,153.0,0.0
37,40000,2005KW01,158.0,3.0
38,40000,2005MM04,131.0,14.0
39,40000,2005MM05,123.0,14.0
40,40000,2005MM06,116.0,20.0
41,40000,2005KW02,123.0,16.0
42,40000,2005MM07,104.0,8.0
43,40000,2005MM08,102.0,8.0
44,40000,2005MM09,118.0,13.0
45,40000,2005KW03,108.0,10.0
46,40000,2005MM10,138.0,18.0
47,40000,2005MM11,182.0,30.0
48,40000,2005MM12,215.0,28.0
49,40000,2005KW04,178.0,26.0
50,40000,2005JJ00,142.0,13.0
51,40000,2006MM01,232.0,38.0
52,40000,2006MM02,235.0,53.0
53,40000,2006MM03,218.0,43.0
54,40000,2006KW01,228.0,44.0
55,40000,2006MM04,169.0,29.0
56,40000,2006MM05,141.0,14.0
57,40000,2006MM06,124.0,7.0
58,40000,2006KW02,144.0,17.0
59,40000,2006MM07,121.0,17.0
60,40000,2006MM08,124.0,21.0
61,40000,2006MM09,128.0,8.0
62,40000,2006KW03,124.0,15.0
63,40000,2006MM10,152.0,10.0
64,40000,2006MM11,169.0,-7.0
65,40000,2006MM12,194.0,-9.0
66,40000,2006KW04,172.0,-4.0
67,40000,2006JJ00,167.0,18.0
