ID,SBI93,Perioden,IndexcijfersOmzet_1,Omzetontwikkeling_2
68,40000,2007MM01,203.0,-12.0
69,40000,2007MM02,205.0,-13.0
70,40000,2007MM03,192.0,-12.0
71,40000,2007KW01,200.0,-12.0
72,40000,2007MM04,141.0,-16.0
73,40000,2007MM05,136.0,-3.0
74,40000,2007MM06,129.0,4.0
75,40000,2007KW02,135.0,-6.0
76,40000,2007MM07,129.0,7.0
77,40000,2007MM08,129.0,4.0
78,40000,2007MM09,137.0,7.0
79,40000,2007KW03,132.0,6.0
80,40000,2007MM10,175.0,15.0
81,40000,2007MM11,197.0,16.0
82,40000,2007MM12,220.0,13.0
83,40000,2007KW04,197.0,15.0
84,40000,2007JJ00,166.0,-1.0
85,40000,2008MM01,194.0,-4.0
86,40000,2008MM02,230.0,12.0
87,40000,2008MM03,203.0,6.0
88,40000,2008KW01,209.0,4.0
89,40000,2008MM04,162.0,15.0
90,40000,2008MM05,149.0,10.0
91,40000,2008MM06,132.0,2.0
92,40000,2008KW02,148.0,9.0
93,40000,2008MM07,120.0,-7.0
94,40000,2008MM08,145.0,13.0
95,40000,2008MM09,156.0,14.0
96,40000,2008KW03,140.0,7.0
97,40000,2008MM10,158.0,-10.0
98,40000,2008MM11,199.0,1.0
99,40000,2008MM12,229.0,4.0
100,40000,2008KW04,195.0,-1.0
101,40000,2008JJ00,173.0,4.0
102,41000,2003MM01,116.0,
103,41000,2003MM02,98.0,
104,41000,2003MM03,101.0,
105,41000,2003KW01,105.0,
106,41000,2003MM04,115.0,
107,41000,2003MM05,89.0,
108,41000,2003MM06,101.0,
109,41000,2003KW02,102.0,
110,41000,2003MM07,118.0,
111,41000,2003MM08,107.0,
112,41000,2003MM09,91.0,
113,41000,2003KW03,105.0,
114,41000,2003MM10,115.0,
115,41000,2003MM11,94.0,
116,41000,2003MM12,85.0,
117,41000,2003KW04,98.0,
118,41000,2003JJ00,103.0,
119,41000,2004MM01,124.0,7.0
120,41000,2004MM02,89.0,-9.0
121,41000,2004MM03,87.0,-13.0
122,41000,2004KW01,100.0,-4.0
123,41000,2004MM04,113.0,-2.0
124,41000,2004MM05,103.0,15.0
125,41000,2004MM06,88.0,-12.0
126,41000,2004KW02,101.0,0.0
127,41000,2004MM07,124.0,5.0
128,41000,2004MM08,95.0,-11.0
129,41000,2004MM09,86.0,-6.0
130,41000,2004KW03,102.0,-4.0
131,41000,2004MM10,107.0,-7.0
132,41000,2004MM11,100.0,7.0
133,41000,2004MM12,91.0,8.0
134,41000,2004KW04,100.0,2.0
135,41000,2004JJ00,101.0,-2.0
136,41000,2005MM01,128.0,3.0
137,41000,2005MM02,91.0,3.0
138,41000,2005MM03,88.0,1.0
139,41000,2005KW01,102.0,2.0
140,41000,2005MM04,114.0,2.0
141,41000,2005MM05,97.0,-6.0
142,41000,2005MM06,99.0,11.0
143,41000,2005KW02,103.0,2.0
144,41000,2005MM07,114.0,-8.0
145,41000,2005MM08,101.0,6.0
146,41000,2005MM09,87.0,2.0
147,41000,2005KW03,101.0,-1.0
148,41000,2005MM10,118.0,10.0
149,41000,2005MM11,94.0,-6.0
150,41000,2005MM12,95.0,4.0
151,41000,2005KW04,102.0,3.0
152,41000,2005JJ00,102.0,2.0
153,41000,2006MM01,129.0,1.0
154,41000,2006MM02,93.0,2.0
155,41000,2006MM03,90.0,2.0
156,41000,2006KW01,104.0,1.0
157,41000,2006MM04,112.0,-2.0
158,41000,2006MM05,97.0,0.0
159,41000,2006MM06,97.0,-2.0
160,41000,2006KW02,102.0,-1.0
161,41000,2006MM07,141.0,24.0
162,41000,2006MM08,101.0,1.0
163,41000,2006MM09,111.0,27.0
164,41000,2006KW03,118.0,17.0
165,41000,2006MM10,119.0,1.0
166,41000,2006MM11,92.0,-2.0
167,41000,2006MM12,97.0,2.0
168,41000,2006KW04,103.0,0.0
169,41000,2006JJ00,107.0,4.0
170,41000,2007MM01,131.0,2.0
171,41000,2007MM02,102.0,10.0
172,41000,2007MM03,90.0,0.0
173,41000,2007KW01,108.0,4.0
174,41000,2007MM04,118.0,5.0
175,41000,2007MM05,91.0,-6.0
176,41000,2007MM06,104.0,8.0
177,41000,2007KW02,105.0,2.0
178,41000,2007MM07,100.0,-29.0
179,41000,2007MM08,99.0,-2.0
180,41000,2007MM09,100.0,-10.0
181,41000,2007KW03,100.0,-15.0
182,41000,2007MM10,111.0,-7.0
183,41000,2007MM11,101.0,11.0
184,41000,2007MM12,119.0,23.0
185,41000,2007KW04,110.0,8.0
186,41000,2007JJ00,106.0,-1.0
187,41000,2008MM01,113.0,-14.0
188,41000,2008MM02,124.0,21.0
189,41000,2008MM03,76.0,-15.0
190,41000,2008KW01,104.0,-3.0
191,41000,2008MM04,115.0,-3.0
192,41000,2008MM05,101.0,10.0
193,41000,2008MM06,109.0,5.0
194,41000,2008KW02,108.0,4.0
195,41000,2008MM07,110.0,10.0
196,41000,2008MM08,105.0,6.0
197,41000,2008MM09,104.0,4.0
198,41000,2008KW03,106.0,7.0
199,41000,2008MM10,108.0,-3.0
200,41000,2008MM11,99.0,-3.0
201,41000,2008MM12,103.0,-13.0
202,41000,2008KW04,103.0,-7.0
203,41000,2008JJ00,106.0,0.0
