ID,Slachtdieren,Perioden,AantalSlachtingen_1,GeslachtGewicht_2
130,A028972,2000MM01,187.5,41259.0
131,A028972,2000MM02,192.8,41721.0
132,A028972,2000MM03,208.3,44108.0
133,A028972,2000MM04,183.7,38488.0
134,A028972,2000MM05,211.1,43706.0
135,A028972,2000MM06,178.5,36544.0
136,A028972,2000MM07,171.9,35173.0
137,A028972,2000MM08,188.3,38440.0
138,A028972,2000MM09,184.2,38510.0
139,A028972,2000MM10,199.8,41840.0
140,A028972,2000MM11,174.6,36487.0
141,A028972,2000MM12,166.4,34357.0
142,A028972,2000JJ00,2247.1,470633.0
143,A028972,2001MM01,180.9,38630.0
144,A028972,2001MM02,159.7,33489.0
145,A028972,2001MM03,86.5,18774.0
146,A028972,2001MM04,20.7,4295.0
147,A028972,2001MM05,117.9,25783.0
148,A028972,2001MM06,145.7,33856.0
149,A028972,2001MM07,141.4,32610.0
150,A028972,2001MM08,155.3,35871.0
151,A028972,2001MM09,163.5,37443.0
152,A028972,2001MM10,171.8,40372.0
153,A028972,2001MM11,166.1,38958.0
154,A028972,2001MM12,147.0,31846.0
155,A028972,2001JJ00,1656.5,371927.0
156,A028972,2002MM01,165.9,36210.0
157,A028972,2002MM02,143.0,30409.0
158,A028972,2002MM03,158.0,32669.0
159,A028972,2002MM04,154.6,31523.0
160,A028972,2002MM05,172.1,35101.0
161,A028972,2002MM06,140.7,28912.0
162,A028972,2002MM07,144.7,28779.0
163,A028972,2002MM08,141.5,28728.0
164,A028972,2002MM09,157.5,31653.0
165,A028972,2002MM10,173.1,35389.0
166,A028972,2002MM11,161.6,32896.0
167,A028972,2002MM12,163.3,31682.0
168,A028972,2002JJ00,1876.0,383951.0
169,A028972,2003MM01,157.4,32110.0
170,A028972,2003MM02,136.9,27205.0
171,A028972,2003MM03,147.3,28706.0
172,A028972,2003MM04,153.1,29927.0
173,A028972,2003MM05,160.2,31414.0
174,A028972,2003MM06,138.7,26839.0
175,A028972,2003MM07,140.1,27080.0
176,A028972,2003MM08,134.6,27516.0
177,A028972,2003MM09,166.0,32235.0
