ID,RegioS,Perioden,JongerenMetJeugdhulpInNatura_1,JongerenMetJeugdhMetVerblInNat_2,JongerenMetJeugdbescherming_3,JeugdbeschEnJeugdhMetVerblInNat_4,JongerenMetJeugdreclassering_5
0,NL01   ,2015KW01,7.1,12.9,1.1,47.1,0.4
1,NL01   ,2015HJ01,8.2,12.1,1.1,47.4,0.4
2,NL01   ,2015HJ02,8.9,11.5,1.1,49.0,0.4
3,NL01   ,2015JJ00,10.0,11.3,1.2,47.9,0.5
4,NL01   ,2016HJ01,8.9,12.0,1.0,51.3,0.4
5,NL01   ,2016HJ02,9.5,11.9,1.0,51.7,0.4
6,NL01   ,2016JJ00,10.8,11.4,1.2,51.0,0.5
7,NL01   ,2017HJ01,9.5,12.0,1.0,51.4,0.4
8,NL01   ,2017HJ02,9.9,11.9,1.0,51.1,0.4
9,NL01   ,2017JJ00,11.4,11.4,1.2,51.1,0.4
10,NL01   ,2018HJ01,9.7,10.8,1.0,49.1,0.4
11,NL01   ,2018HJ02,10.4,10.4,1.1,48.5,0.3
12,NL01   ,2018JJ00,11.8,10.2,1.2,48.6,0.4
13,NL01   ,2019HJ01,10.4,10.3,1.1,48.1,0.3
14,NL01   ,2019HJ02,10.6,10.1,1.1,46.0,0.3
15,NL01   ,2019JJ00,12.3,9.8,1.2,47.4,0.4
16,NL01   ,2020HJ01,10.0,10.0,1.1,44.8,0.3
17,NL01   ,2020HJ02,10.3,10.1,1.1,44.7,0.3
18,NL01   ,2020JJ00,12.0,9.6,1.2,45.6,0.4
19,LD01   ,2015KW01,,,,,
20,LD01   ,2015HJ01,,,,,
21,LD01   ,2015HJ02,,,,,
22,LD01   ,2015JJ00,,,,,
23,LD01   ,2016HJ01,9.7,12.9,1.2,53.6,0.4
24,LD01   ,2016HJ02,10.0,13.2,1.2,53.6,0.4
25,LD01   ,2016JJ00,11.2,12.7,1.3,53.9,0.5
26,LD01   ,2017HJ01,11.2,12.5,1.2,53.8,0.4
27,LD01   ,2017HJ02,11.7,12.5,1.2,53.4,0.4
28,LD01   ,2017JJ00,12.9,12.2,1.3,53.6,0.5
29,LD01   ,2018HJ01,10.8,13.1,1.2,51.8,0.4
30,LD01   ,2018HJ02,11.2,13.3,1.2,52.3,0.4
31,LD01   ,2018JJ00,12.6,12.7,1.3,51.9,0.4
32,LD01   ,2019HJ01,11.2,12.9,1.3,53.2,0.3
33,LD01   ,2019HJ02,11.1,13.1,1.3,52.6,0.3
34,LD01   ,2019JJ00,12.9,12.7,1.4,53.3,0.4
35,LD01   ,2020HJ01,10.7,12.1,1.3,49.2,0.3
36,LD01   ,2020HJ02,11.0,12.1,1.4,49.2,0.3
37,LD01   ,2020JJ00,12.6,11.9,1.5,50.8,0.4
38,LD02   ,2015KW01,,,,,
39,LD02   ,2015HJ01,,,,,
40,LD02   ,2015HJ02,,,,,
41,LD02   ,2015JJ00,,,,,
42,LD02   ,2016HJ01,8.4,14.1,1.1,53.0,0.4
43,LD02   ,2016HJ02,9.0,14.0,1.1,54.4,0.3
44,LD02   ,2016JJ00,10.0,13.7,1.2,53.3,0.4
45,LD02   ,2017HJ01,9.0,14.6,1.1,55.7,0.3
46,LD02   ,2017HJ02,9.4,14.4,1.1,54.7,0.3
47,LD02   ,2017JJ00,10.6,14.0,1.2,55.3,0.4
48,LD02   ,2018HJ01,9.2,12.7,1.1,51.6,0.3
49,LD02   ,2018HJ02,9.8,12.4,1.1,51.0,0.3
50,LD02   ,2018JJ00,11.0,12.1,1.2,51.1,0.4
51,LD02   ,2019HJ01,9.8,12.2,1.2,49.9,0.3
52,LD02   ,2019HJ02,10.1,12.0,1.2,48.2,0.3
53,LD02   ,2019JJ00,11.6,11.6,1.3,49.2,0.4
54,LD02   ,2020HJ01,9.6,12.3,1.2,46.6,0.3
55,LD02   ,2020HJ02,10.0,12.2,1.2,46.8,0.3
56,LD02   ,2020JJ00,11.6,11.6,1.4,47.6,0.3
57,LD03   ,2015KW01,,,,,
58,LD03   ,2015HJ01,,,,,
59,LD03   ,2015HJ02,,,,,
60,LD03   ,2015JJ00,,,,,
61,LD03   ,2016HJ01,9.0,11.0,1.0,50.5,0.4
62,LD03   ,2016HJ02,9.6,10.7,1.0,50.9,0.4
63,LD03   ,2016JJ00,11.0,10.4,1.1,50.1,0.5
64,LD03   ,2017HJ01,9.5,10.8,1.0,50.1,0.4
65,LD03   ,2017HJ02,9.8,10.8,1.0,50.5,0.4
66,LD03   ,2017JJ00,11.4,10.3,1.1,50.0,0.5
67,LD03   ,2018HJ01,9.7,9.8,1.0,48.7,0.4
68,LD03   ,2018HJ02,10.4,9.3,1.0,47.9,0.4
69,LD03   ,2018JJ00,11.8,9.1,1.1,48.1,0.4
70,LD03   ,2019HJ01,10.3,9.2,1.0,47.1,0.4
71,LD03   ,2019HJ02,10.6,9.0,1.0,46.1,0.4
72,LD03   ,2019JJ00,12.3,8.6,1.1,46.4,0.4
73,LD03   ,2020HJ01,9.9,8.9,1.0,45.2,0.4
74,LD03   ,2020HJ02,10.1,9.0,1.0,44.6,0.3
75,LD03   ,2020JJ00,12.0,8.5,1.1,45.3,0.4
76,LD04   ,2015KW01,,,,,
77,LD04   ,2015HJ01,,,,,
78,LD04   ,2015HJ02,,,,,
79,LD04   ,2015JJ00,,,,,
80,LD04   ,2016HJ01,9.1,11.8,1.1,49.7,0.4
81,LD04   ,2016HJ02,9.5,11.7,1.0,49.3,0.4
82,LD04   ,2016JJ00,11.0,11.1,1.2,48.8,0.4
83,LD04   ,2017HJ01,9.4,11.7,1.1,47.9,0.3
84,LD04   ,2017HJ02,10.0,11.4,1.1,47.0,0.3
85,LD04   ,2017JJ00,11.4,11.0,1.2,47.6,0.4
86,LD04   ,2018HJ01,10.0,10.1,1.1,45.3,0.3
87,LD04   ,2018HJ02,10.8,9.6,1.1,44.7,0.3
88,LD04   ,2018JJ00,12.1,9.5,1.2,45.0,0.4
89,LD04   ,2019HJ01,10.7,9.7,1.1,45.0,0.3
90,LD04   ,2019HJ02,10.7,9.2,1.1,39.5,0.3
91,LD04   ,2019JJ00,12.6,9.3,1.2,44.1,0.4
92,LD04   ,2020HJ01,10.3,9.3,1.1,39.1,0.3
93,LD04   ,2020HJ02,10.6,9.6,1.1,39.8,0.3
94,LD04   ,2020JJ00,12.4,9.1,1.3,40.4,0.3
95,PV20   ,2015KW01,,,,,
96,PV20   ,2015HJ01,,,,,
97,PV20   ,2015HJ02,,,,,
98,PV20   ,2015JJ00,,,,,
99,PV20   ,2016HJ01,11.0,13.9,1.3,58.1,0.4
100,PV20   ,2016HJ02,11.5,14.1,1.3,57.3,0.4
101,PV20   ,2016JJ00,12.7,13.8,1.4,58.4,0.5
102,PV20   ,2017HJ01,12.1,13.5,1.3,58.1,0.4
103,PV20   ,2017HJ02,12.9,13.5,1.3,57.7,0.4
104,PV20   ,2017JJ00,14.1,13.1,1.4,57.2,0.5
105,PV20   ,2018HJ01,11.8,13.5,1.3,54.2,0.4
106,PV20   ,2018HJ02,12.0,14.1,1.3,54.6,0.4
