ID,Perioden,Bedrijven_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,BedrijvenEnInstellingen_4,Overheid_5,Particulieren_6,OverigeBedrijfsopbrengstenNietEerd_7,TotaalBedrijfslasten_8,TotaalArbeidskosten_9,LonenEnSalarissen_10,Pensioenlasten_11,SocialeLasten_12,AfschrijvingenOpVasteActiva_13,TotaalOverigeBedrijfslasten_14,TotaalAnderePersoneelkosten_15,KostenUitzendkrachtenEnOverigeInleen_16,OverigePersoneelskosten_17,OverigeBedrijfslastenNietEerderGe_18,Bedrijfsresultaat_19,FinancieleBaten_20,FinancieleLasten_21,FinancieelResultaat_22,VrijvalVoorzieningen_23,ToevoegingenVoorzieningen_24,SaldoVoorzieningen_25,BuitengewoneBaten_26,BuitengewoneLasten_27,BuitengewoonResultaat_28,ResultaatVoorBelastingen_29,AantalWerkzamePersonen_30,ArbeidsjarenWerkzamePersonen_31,AantalWerknemersOpEigenLoonlijst_32,ArbeidsjarenWerknemersOpEigenLoonl_33,AantalOverigWerkzamePersonen_34,ArbeidsjarenOverigWerkzamePersonen_35,AantalUitzendkrachtenGedetacheerd_36,AantalOverigWerkzamePersonenNiet_37,TotaalOpgesteldeGetoetsteRIE_38,UrenOpgesteldeGetoetsteRIE_39,TotaalNietSchriftelijkeContactenV_40,UrenNietSchriftelijkeContactenVer_41,TotaalArbeidsgezondheidskundigeOnde_42,TotaalAanstellingskeuringen_43,TotaalContactenTijdensSpreekuur_44,BestedeUrenContacten_45,AdviesUrenNietEerderGenoemd_46
0,2004JJ00,820,1449.9,1442.5,1223.9,209.8,8.8,7.4,1381.0,791.2,632.7,66.6,92.0,45.6,544.2,122.7,63.7,59.0,421.5,69.0,11.1,10.1,1.1,14.6,51.4,-36.9,3.3,4.5,-1.2,32.0,19140,15820,17740,14820,1400,1010,860,540,28.4,305.9,2681.5,980.1,122.1,33.0,332.9,149.5,1268.5
1,2005JJ00,1010,1367.1,1359.6,1060.0,288.4,11.3,7.5,1317.4,721.9,579.0,65.5,77.5,47.3,548.1,108.5,56.7,51.7,439.6,49.7,3.5,5.3,-1.8,24.2,28.6,-4.4,7.8,3.4,4.4,48.0,18300,15120,16440,13530,1860,1600,980,880,23.1,200.9,2890.7,1167.6,176.6,30.3,312.8,148.1,746.8
2,2006JJ00,1225,1005.4,993.5,797.5,185.5,10.4,11.9,954.2,552.2,450.1,45.2,56.9,33.1,368.8,70.3,39.0,31.3,298.6,51.2,,,0.1,0.9,2.8,-1.9,,,1.4,50.8,14180,11710,12680,10460,1500,1250,750,740,10.8,116.3,2287.0,957.9,152.4,22.9,219.9,108.6,546.1
3,2007JJ00,1125,1081.7,1064.4,805.2,243.3,15.8,17.3,1026.0,583.4,478.1,50.0,55.2,24.7,417.9,98.6,56.5,42.0,319.4,55.7,,,6.3,0.5,0.9,-0.4,,,1.4,63.0,14390,11750,12660,10200,1730,1540,1050,690,,,,,,,,,
4,2008JJ00,1265,1113.2,1093.9,783.9,298.4,11.6,19.3,1054.8,590.4,480.8,52.5,57.1,26.2,438.3,99.8,56.1,43.7,338.5,58.4,,,0.2,0.5,1.2,-0.7,,,0.2,58.2,14850,11660,13310,10400,1540,1260,1100,430,,,,,,,,,
