ID,HerkomstBestemming,Perioden,Arseen_1,Cadmium_2,Chroom_3,Koper_4,Kwik_5,Lood_6,Nikkel_7,Zink_8,ZwareMetaalequivalenten_9,Fosfor_10,Stikstof_11,Nutrientenequivalenten_12
0,01,1995JJ00,3500.0,765.0,3094.0,205712.0,275.0,64459.0,7659.0,181855.0,90.9,10470153.0,65712511.0,17041.0
1,01,1996JJ00,3560.0,768.0,3114.0,212505.0,276.0,64332.0,7683.0,181790.0,93.0,10820264.0,66338331.0,17454.0
2,01,1997JJ00,3587.0,771.0,3133.0,202639.0,277.0,64204.0,7708.0,181726.0,89.7,11053671.0,66755545.0,17729.0
3,01,1998JJ00,3608.0,777.0,3152.0,203703.0,279.0,63950.0,7756.0,181596.0,90.2,11287079.0,67172759.0,18004.0
4,01,1999JJ00,3626.0,783.0,3171.0,215678.0,280.0,63696.0,7804.0,181467.0,94.2,11520486.0,67589973.0,18279.0
5,01,2000JJ00,3631.0,789.0,3179.0,202558.0,284.0,63188.0,7901.0,181208.0,90.0,11637190.0,67798580.0,18417.0
6,01,2001JJ00,3633.0,796.0,3205.0,206412.0,285.0,63262.0,7946.0,182074.0,91.4,11889103.0,68400215.0,18729.0
7,01,2002JJ00,3636.0,805.0,3231.0,210333.0,285.0,63335.0,7992.0,182940.0,92.8,12141016.0,68801305.0,19021.0
8,01,2003JJ00,3668.0,807.0,3333.0,152248.0,289.0,63409.0,8173.0,186403.0,73.7,12392930.0,69202395.0,19313.0
9,01,2004JJ00,3679.0,809.0,3384.0,167883.0,291.0,63483.0,8264.0,188135.0,79.0,12644843.0,69402940.0,19585.0
10,01,2005JJ00,3695.0,813.0,3259.0,157261.0,292.0,63556.0,8139.0,193842.0,75.7,12896756.0,69855424.0,19882.0
11,01,2006JJ00,3697.0,815.0,3266.0,157460.0,293.0,63782.0,8153.0,192667.0,75.8,12923154.0,70000981.0,19923.0
12,01,2007JJ00,3702.0,817.0,3273.0,157761.0,294.0,62459.0,8181.0,190696.0,75.8,12964887.0,70225580.0,19987.0
13,01,2008JJ00,3709.0,820.0,3284.0,158127.0,295.0,61992.0,8210.0,191465.0,76.0,13007815.0,70457566.0,20054.0
14,02,1995JJ00,444.0,1.0,38.0,785.0,0.0,348.0,19.0,3903.0,0.7,0.0,0.0,0.0
15,02,1996JJ00,475.0,1.0,29.0,769.0,0.0,333.0,19.0,3901.0,0.5,0.0,0.0,0.0
16,02,1997JJ00,483.0,1.0,28.0,839.0,0.0,318.0,19.0,3898.0,0.5,0.0,0.0,0.0
17,02,1998JJ00,484.0,1.0,28.0,828.0,0.0,288.0,19.0,3893.0,0.5,0.0,0.0,0.0
18,02,1999JJ00,483.0,1.0,28.0,834.0,0.0,259.0,19.0,3888.0,0.5,0.0,0.0,0.0
19,02,2000JJ00,478.0,1.0,27.0,787.0,0.0,200.0,19.0,3878.0,0.5,0.0,0.0,0.0
20,02,2001JJ00,471.0,1.0,43.0,764.0,0.0,200.0,40.0,6967.0,0.5,0.0,0.0,0.0
21,02,2002JJ00,465.0,1.0,59.0,740.0,0.0,200.0,61.0,10057.0,0.6,0.0,0.0,0.0
22,02,2003JJ00,459.0,1.0,124.0,717.0,0.0,200.0,146.0,22414.0,1.1,0.0,0.0,0.0
23,02,2004JJ00,452.0,1.0,156.0,693.0,0.0,200.0,188.0,28593.0,1.2,0.0,0.0,0.0
24,02,2005JJ00,446.0,1.0,11.0,670.0,0.0,200.0,18.0,3504.0,0.4,0.0,0.0,0.0
25,02,2006JJ00,441.0,1.0,10.0,664.0,0.0,199.0,18.0,3477.0,0.4,0.0,0.0,0.0
26,02,2007JJ00,437.0,1.0,8.0,628.0,0.0,198.0,17.0,3380.0,0.4,0.0,0.0,0.0
27,02,2008JJ00,432.0,1.0,7.0,625.0,0.0,202.0,18.0,3423.0,0.4,0.0,0.0,0.0
28,03,1995JJ00,3056.0,764.0,3056.0,204928.0,275.0,64111.0,7640.0,177952.0,90.2,10470153.0,65712511.0,17041.0
29,03,1996JJ00,3085.0,767.0,3085.0,211736.0,276.0,63999.0,7664.0,177890.0,92.5,10820264.0,66338331.0,17454.0
30,03,1997JJ00,3104.0,770.0,3104.0,201801.0,277.0,63886.0,7689.0,177827.0,89.3,11053671.0,66755545.0,17729.0
31,03,1998JJ00,3124.0,776.0,3124.0,202874.0,279.0,63662.0,7737.0,177703.0,89.7,11287079.0,67172759.0,18004.0
32,03,1999JJ00,3143.0,782.0,3143.0,214843.0,280.0,63437.0,7785.0,177579.0,93.8,11520486.0,67589973.0,18279.0
33,03,2000JJ00,3153.0,788.0,3153.0,201770.0,284.0,62988.0,7882.0,177330.0,89.5,11637190.0,67798580.0,18417.0
34,03,2001JJ00,3162.0,795.0,3162.0,205649.0,285.0,63062.0,7906.0,175106.0,90.8,11889103.0,68400215.0,18729.0
35,03,2002JJ00,3172.0,804.0,3172.0,209593.0,285.0,63135.0,7931.0,172883.0,92.1,12141016.0,68801305.0,19021.0
36,03,2003JJ00,3209.0,806.0,3209.0,151531.0,289.0,63209.0,8028.0,163989.0,72.6,12392930.0,69202395.0,19313.0
37,03,2004JJ00,3228.0,808.0,3228.0,167190.0,291.0,63283.0,8076.0,159542.0,77.8,12644843.0,69402940.0,19585.0
38,03,2005JJ00,3248.0,812.0,3248.0,156591.0,292.0,63356.0,8121.0,190338.0,75.3,12896756.0,69855424.0,19882.0
39,03,2006JJ00,3256.0,814.0,3256.0,156797.0,293.0,63583.0,8135.0,189190.0,75.4,12923154.0,70000981.0,19923.0
40,03,2007JJ00,3265.0,816.0,3265.0,157133.0,294.0,62260.0,8163.0,187316.0,75.4,12964887.0,70225580.0,19987.0
41,03,2008JJ00,3277.0,819.0,3277.0,157502.0,295.0,61790.0,8192.0,188042.0,75.6,13007815.0,70457566.0,20054.0
42,04,1995JJ00,8773.0,1492.0,46913.0,102158.0,1308.0,38930.0,66740.0,418930.0,103.4,12661004.0,129295198.0,25591.0
43,04,1996JJ00,8304.0,1264.0,40508.0,96648.0,678.0,28307.0,62309.0,402209.0,78.1,10580546.0,85117415.0,19092.0
44,04,1997JJ00,8606.0,1191.0,37114.0,99530.0,620.0,28645.0,59119.0,381634.0,76.0,11778425.0,82927494.0,20071.0
45,04,1998JJ00,9591.0,1076.0,35691.0,97874.0,555.0,25681.0,58078.0,412053.0,73.6,16974368.0,150539190.0,32028.0
46,04,1999JJ00,9302.0,1023.0,33174.0,97239.0,526.0,25543.0,58274.0,393423.0,71.4,13482322.0,109055278.0,24388.0
47,04,2000JJ00,9158.0,1096.0,30576.0,92635.0,394.0,25345.0,54749.0,379048.0,65.3,10509564.0,121680588.0,22678.0
48,04,2001JJ00,9047.0,1060.0,29353.0,93232.0,375.0,23801.0,54284.0,385540.0,64.8,10523966.0,109563337.0,21480.0
49,04,2002JJ00,8703.0,907.0,26620.0,88847.0,369.0,22257.0,50483.0,379986.0,61.9,10295396.0,98818522.0,20177.0
50,04,2003JJ00,8500.0,868.0,26368.0,83882.0,340.0,20713.0,48122.0,366753.0,58.6,7108639.0,71427614.0,14251.0
51,04,2004JJ00,8250.0,793.0,26854.0,78738.0,259.0,19170.0,47088.0,378846.0,54.1,8032822.0,93261801.0,17359.0
52,04,2005JJ00,8039.0,657.0,27733.0,73881.0,221.0,17626.0,43248.0,307360.0,48.1,7561830.0,78673604.0,15429.0
53,04,2006JJ00,7636.0,620.0,27832.0,71014.0,205.0,16208.0,43301.0,292750.0,45.9,7064137.0,79256643.0,14990.0
54,04,2007JJ00,8420.0,900.0,25742.0,79708.0,173.0,17260.0,50247.0,347989.0,51.0,8743759.0,108219280.0,19566.0
55,04,2008JJ00,7947.0,768.0,23550.0,70737.0,153.0,15694.0,44407.0,310980.0,45.2,7896794.0,81528730.0,16050.0
56,05,1995JJ00,0.0,243.0,0.0,17364.0,0.0,2835.0,18713.0,116105.0,11.0,3743546.0,74629428.0,11206.0
57,05,1996JJ00,0.0,245.0,3.0,18109.0,0.0,2879.0,19175.0,117588.0,11.3,1999500.0,33480000.0,5348.0
58,05,1997JJ00,0.0,247.0,5.0,18605.0,0.0,2923.0,19637.0,119072.0,11.5,3414399.0,34133022.0,6828.0
59,05,1998JJ00,0.0,249.0,7.0,19102.0,0.0,3012.0,20562.0,122039.0,11.8,8503071.0,100412268.0,18544.0
60,05,1999JJ00,0.0,251.0,8.0,19598.0,0.0,3100.0,21486.0,125006.0,12.1,5441013.0,62171642.0,11658.0
61,05,2000JJ00,0.0,253.0,9.0,19846.0,0.0,3276.0,23335.0,130941.0,12.4,4175339.0,77956567.0,11971.0
62,05,2001JJ00,0.0,253.0,7.0,18787.0,0.0,3077.0,22611.0,126805.0,11.9,5335080.0,64860000.0,11821.0
63,05,2002JJ00,0.0,202.0,6.0,17727.0,0.0,2879.0,21886.0,122668.0,11.1,5350008.0,55899118.0,10940.0
64,05,2003JJ00,0.0,197.0,4.0,16668.0,0.0,2680.0,20438.0,114327.0,10.5,2377008.0,32446424.0,5622.0
65,05,2004JJ00,0.0,169.0,2.0,15608.0,0.0,2481.0,18989.0,106055.0,9.7,3442008.0,55237668.0,8966.0
66,05,2005JJ00,0.0,166.0,0.0,14548.0,0.0,2282.0,16091.0,89539.0,8.8,2951835.0,42615214.0,7213.0
67,05,2006JJ00,0.0,160.0,1.0,15583.0,0.0,2380.0,16478.0,92465.0,9.2,2749260.0,41811843.0,6930.0
68,05,2007JJ00,0.0,246.0,0.0,22901.0,0.0,3231.0,23595.0,141530.0,13.7,4350134.0,74852441.0,11835.0
69,05,2008JJ00,0.0,191.0,0.0,17637.0,0.0,2709.0,19371.0,111436.0,10.7,3309641.0,51145339.0,8424.0
70,06,1995JJ00,0.0,54.0,0.0,3381.0,0.0,598.0,4574.0,27131.0,2.3,857644.0,14164894.0,2274.0
71,06,1996JJ00,0.0,55.0,0.0,3577.0,0.0,610.0,4693.0,27510.0,2.4,480286.0,5097904.0,990.0
72,06,1997JJ00,0.0,55.0,0.0,3708.0,0.0,623.0,4811.0,27889.0,2.5,823442.0,5502699.0,1374.0
73,06,1998JJ00,0.0,56.0,1.0,3840.0,0.0,648.0,5048.0,28647.0,2.5,2020402.0,15987611.0,3619.0
74,06,1999JJ00,0.0,57.0,1.0,3971.0,0.0,674.0,5285.0,29404.0,2.6,1391499.0,10843715.0,2476.0
75,06,2000JJ00,0.0,57.0,1.0,4036.0,0.0,725.0,5759.0,30920.0,2.7,966291.0,13618658.0,2328.0
76,06,2001JJ00,0.0,57.0,1.0,3795.0,0.0,683.0,5601.0,29989.0,2.6,1496596.0,12648833.0,2761.0
77,06,2002JJ00,0.0,52.0,0.0,3554.0,0.0,642.0,5444.0,29059.0,2.4,1491763.0,11152692.0,2607.0
78,06,2003JJ00,0.0,46.0,0.0,3313.0,0.0,600.0,5129.0,27197.0,2.3,558294.0,5358645.0,1094.0
79,06,2004JJ00,0.0,41.0,0.0,3072.0,0.0,559.0,4814.0,25336.0,2.1,909837.0,10784528.0,1988.0
80,06,2005JJ00,0.0,39.0,0.0,2831.0,0.0,517.0,4185.0,21613.0,1.9,706068.0,7215862.0,1428.0
