ID,Sectoren,Perioden,TotaalBelastingen_1,BTWBelastingOverToegevoegdeWaarde_2,LoonEnInkomstenbelasting_3,Vennootschapsbelasting_4,Accijnzen_5,VerbruiksbelOpMilieugrondslag_6,Milieuheffingen_7,MotorrijtuigenbelastingInclEurovignet_8,BPMBelPersonenautoSEnMotorrijw_9,Overdrachtsbelasting_10,Onroerendezaakbelasting_11,Dividendbelasting_12,Vermogensheffingen_13,Assurantiebelasting_14,Kansspelbelasting_15,Bankenbelasting_16,Verhuurdersheffing_17,Loonkostenheffing_18,OverigeBelastingen_19,TotaalBelastOpProductieEnInvoer_20,TotaalProductgebondenBelastingen_21,BTWBelastingOverToegevoegdeWaarde_22,TotaalAccijnzen_23,Benzineaccijns_24,AccijnsOpOverigeMineraleOlien_25,Tabakaccijns_26,Alcoholaccijns_27,Bieraccijns_28,WijnaccijnsEAMousserendeDranken_29,OverigeAccijnzen_30,VerbruiksbelOpAlcoholvrijeDranken_31,BelastingenOpMilieugrondslag_32,BPMBelOpPersonenautoSEnMotorrijw_33,Kansspelbelasting_34,Overdrachtsbelasting_35,Assurantiebelasting_36,Kapitaalbelasting_37,Beursbelasting_38,TotaalNietProductgebondenBelastingen_39,Onroerendezaakbelasting_40,MotorrijtuigenbelInclEurovignet_41,TotaalMilieuheffingen_42,Rioolrechten_43,HeffingenOpWaterverontreiniging_44,OmslagheffingWaterschappen_45,OverigeMilieuheffingen_46,Bankenbelasting_47,Verhuurderheffing_48,Loonkostenheffing_49,PBOHeffingen_50,InschrijfgeldenKamerVanKoophandel_51,Toeristenbelasting_52,NietProductgebondenOverig_53,TotaalBelastOpInkomenEnVermogen_54,TotaalBelastingenOpInkomen_55,Vennootschapsbelasting_56,Loonbelasting_57,Inkomstenbelasting_58,Dividendbelasting_59,Kansspelbelasting_60,EenmaligOntvangstIVMLiquidatie_61,TotaalBelastingenOpVermogen_62,Onroerendezaakbelasting_63,Vermogensbelasting_64,Motorrijtuigenbelasting_65,TotaalMilieuheffingen_66,Rioolrechten_67,HeffingenOpWaterverontreiniging_68,OmslagheffingWaterschappen_69,OverigeBelastingenInkomenEnVermogen_70,Vermogensheffingen_71
10,10,1997JJ00,80759.0,21224.0,20897.0,14673.0,6923.0,1694.0,1953.0,2348.0,2061.0,1978.0,2076.0,1481.0,951.0,510.0,99.0,,,,1891.0,38330.0,34911.0,21224.0,6923.0,2902.0,1848.0,1346.0,400.0,275.0,114.0,38.0,191.0,1694.0,2061.0,56.0,1978.0,510.0,274.0,,3419.0,1473.0,536.0,825.0,104.0,345.0,345.0,31.0,,,,333.0,123.0,59.0,70.0,41478.0,37094.0,14673.0,18691.0,2206.0,1481.0,43.0,,4384.0,603.0,764.0,1812.0,1128.0,418.0,582.0,128.0,77.0,951.0
11,10,1998JJ00,85441.0,22876.0,21121.0,15300.0,7296.0,1714.0,2012.0,2591.0,2425.0,2245.0,2246.0,1936.0,1126.0,545.0,110.0,,,12.0,1886.0,41233.0,37642.0,22876.0,7296.0,3038.0,2018.0,1348.0,426.0,299.0,129.0,38.0,191.0,1714.0,2425.0,59.0,2245.0,545.0,291.0,,3591.0,1595.0,578.0,814.0,113.0,319.0,354.0,28.0,,,12.0,316.0,134.0,68.0,74.0,43082.0,38408.0,15300.0,19845.0,1276.0,1936.0,51.0,,4674.0,651.0,729.0,2013.0,1198.0,452.0,612.0,134.0,83.0,1126.0
12,10,1999JJ00,92675.0,25342.0,21836.0,15651.0,7578.0,2294.0,2115.0,2765.0,2840.0,2727.0,2334.0,3022.0,1298.0,492.0,130.0,,,289.0,1962.0,45876.0,41875.0,25342.0,7578.0,3127.0,2041.0,1546.0,396.0,297.0,138.0,33.0,217.0,2294.0,2840.0,69.0,2727.0,492.0,316.0,,4001.0,1657.0,626.0,864.0,119.0,324.0,375.0,46.0,,,289.0,301.0,128.0,74.0,62.0,45501.0,40570.0,15651.0,23020.0,-1184.0,3022.0,61.0,,4931.0,677.0,780.0,2139.0,1251.0,475.0,638.0,138.0,84.0,1298.0
13,10,2000JJ00,99060.0,27098.0,23553.0,16736.0,7713.0,2849.0,2291.0,2941.0,2875.0,2804.0,2540.0,2588.0,1487.0,512.0,126.0,,,331.0,2616.0,49033.0,44726.0,27098.0,7713.0,3151.0,2139.0,1590.0,397.0,263.0,139.0,34.0,216.0,2849.0,2875.0,67.0,2804.0,512.0,592.0,,4307.0,1803.0,653.0,946.0,130.0,333.0,395.0,88.0,,,331.0,290.0,133.0,83.0,68.0,48540.0,43256.0,16736.0,24433.0,-880.0,2588.0,59.0,320.0,5284.0,737.0,824.0,2288.0,1345.0,520.0,670.0,155.0,90.0,1487.0
14,10,2001JJ00,107285.0,30900.0,24607.0,17580.0,7913.0,3352.0,2436.0,2888.0,2939.0,3437.0,2720.0,4308.0,1311.0,638.0,151.0,,,518.0,1587.0,54758.0,49988.0,30900.0,7913.0,3148.0,2076.0,1817.0,413.0,287.0,140.0,32.0,228.0,3352.0,2939.0,80.0,3437.0,638.0,501.0,,4770.0,1931.0,649.0,1007.0,140.0,339.0,434.0,94.0,,,518.0,358.0,138.0,95.0,74.0,51216.0,46566.0,17580.0,27172.0,-2565.0,4308.0,71.0,,4650.0,789.0,91.0,2239.0,1429.0,561.0,696.0,172.0,102.0,1311.0
15,10,2002JJ00,111281.0,32333.0,29502.0,15394.0,8446.0,2953.0,2564.0,2903.0,2741.0,3589.0,2904.0,3490.0,1696.0,660.0,162.0,,,541.0,1403.0,56347.0,51361.0,32333.0,8446.0,3420.0,2317.0,1719.0,472.0,306.0,175.0,37.0,161.0,2953.0,2741.0,86.0,3589.0,660.0,392.0,,4986.0,2062.0,653.0,1064.0,149.0,357.0,453.0,105.0,,,541.0,334.0,146.0,101.0,85.0,53238.0,48462.0,15394.0,29577.0,-75.0,3490.0,76.0,,4776.0,842.0,49.0,2250.0,1500.0,597.0,722.0,181.0,135.0,1696.0
16,10,2003JJ00,110177.0,33639.0,29169.0,13392.0,8586.0,3081.0,2693.0,3066.0,2874.0,3449.0,3159.0,3128.0,1461.0,746.0,182.0,,,425.0,1127.0,57913.0,52891.0,33639.0,8586.0,3506.0,2446.0,1750.0,357.0,300.0,188.0,39.0,146.0,3081.0,2874.0,109.0,3449.0,746.0,261.0,,5022.0,2243.0,682.0,1082.0,161.0,364.0,485.0,72.0,,,425.0,249.0,156.0,96.0,89.0,50803.0,45762.0,13392.0,28791.0,378.0,3128.0,73.0,,5041.0,916.0,38.0,2384.0,1611.0,644.0,765.0,202.0,92.0,1461.0
17,10,2004JJ00,113661.0,35098.0,27355.0,14994.0,9358.0,3278.0,2796.0,3328.0,3003.0,3794.0,3386.0,3388.0,1513.0,740.0,162.0,,,405.0,1063.0,60975.0,55748.0,35098.0,9358.0,3901.0,2557.0,1943.0,378.0,346.0,193.0,40.0,148.0,3278.0,3003.0,101.0,3794.0,740.0,228.0,,5227.0,2404.0,737.0,1087.0,153.0,368.0,503.0,63.0,,,405.0,244.0,158.0,105.0,87.0,51173.0,45798.0,14994.0,27246.0,109.0,3388.0,61.0,,5375.0,982.0,44.0,2591.0,1709.0,678.0,805.0,226.0,49.0,1513.0
18,10,2005JJ00,124042.0,36216.0,31224.0,17069.0,9327.0,4128.0,2918.0,3573.0,3148.0,4252.0,3594.0,4262.0,1710.0,743.0,184.0,,,570.0,1124.0,63875.0,58276.0,36216.0,9327.0,3835.0,2585.0,2000.0,373.0,297.0,200.0,37.0,149.0,4128.0,3148.0,99.0,4252.0,743.0,214.0,,5599.0,2552.0,787.0,1110.0,155.0,365.0,505.0,85.0,,,570.0,237.0,155.0,110.0,78.0,58457.0,52640.0,17069.0,27573.0,3651.0,4262.0,85.0,,5817.0,1042.0,60.0,2786.0,1808.0,731.0,832.0,245.0,121.0,1710.0
19,10,2006KW01,30253.0,8583.0,7235.0,4096.0,2689.0,1202.0,781.0,1116.0,1196.0,1043.0,637.0,648.0,360.0,281.0,41.0,,,153.0,192.0,16516.0,15075.0,8583.0,2689.0,1050.0,743.0,677.0,79.0,88.0,43.0,9.0,31.0,1202.0,1196.0,21.0,1043.0,281.0,29.0,,1441.0,637.0,201.0,297.0,49.0,98.0,129.0,21.0,,,153.0,48.0,42.0,28.0,35.0,13377.0,11999.0,4096.0,7183.0,52.0,648.0,20.0,,1378.0,0.0,-25.0,915.0,484.0,208.0,210.0,66.0,4.0,360.0
