ID,Jaren,Totaal_1,Woningen_2,OverigeWOVerbouw_3,Totaal_4,Woningen_5,OverigeWOVerbouw_6,Totaal_7,Woningen_8,OverigeWOVerbouw_9,Totaal_10,Woningbouw_11,OverigeWOVerbouw_12,Agrarisch_13,IndustrieEnBouwnijverheid_14,Totaal_15,HandelEnHoreca_16,VervoerEnCommunicatie_17,ZakelijkeDienstverlening_18,OpenbaarBestuur_19,Onderwijs_20,Totaal_21,GezondheidEnWelzijn_22,OverigeDienstverl_23,TotaalWoningen_24,RijkEnGemeenten_25,Woningcorporaties_26,InstitutioneleBeleggers_27,BouwersVoorDeMarkt_28,Particulieren_29,Huurwoningen_30,EigenWoningen_31,Huurwoningen_32,EigenWoningen_33,Huurwoningen_34,EigenWoningen_35,Huurwoningen_36,EigenWoningen_37,GebouwenTotaal_38,GebouwenExclWoningen_39,Woningen_40,HerstelEnVerbouw_41,Totaal_42,Met1Vertrek_43,Met2Vertrekken_44,Met3Vertrekken_45,Met4Vertrekken_46,Met5Vertrekken_47,Met6OfMeerVertrekken_48,VertrekkenPerWoning_49,BewonersPerWoning_50,PersonenPerVertrek_51,Totaal_52,Huur_53,Eengezins_54,Woningwetwoningen_55,Premiewoningen_56,Ongesubsidieerd_57,Overheid_58,Woningbouwverenigingen_59,Particulieren_60,Totaal_61,Rijk_62,LagerPubliekrechterlijkLichaam_63,Bedrijven_64,Totaal_65,Rijk_66,LagerPubliekrechterlijkLichaam_67,Bedrijven_68,Totaal_69,Rijk_70,LagerPubliekrechterlijkLichaam_71,Bedrijven_72,Totaal_73,Rijk_74,LagerPubliekrechterlijkLichaam_75,Bedrijven_76,Totaal_77,Rijk_78,LagerPubliekrechterlijkLichaam_79,Bedrijven_80,Totaal_81,Rijk_82,LagerPubliekrechterlijkLichaam_83,Bedrijven_84,OnttrokkenWoningen_85,SaldoVermeerderingWoningvoorraad_86,InclBTW1938100_87,InclBTW1990100_88,ExclBTW1990100_89,AanlegRioleringBuitenDeBebouwdeKom_90,AanlegRioleringBinnenDeBebouwdeKom_91,AanlegWegenMetOpenVerharding_92,AanlegWegenMetGeslotenVerharding_93,VerrichtingMachinaalGrondwerk_94,OnderhoudswerkWegen_95,MaterialenVoorDeWoningbouw1995100_96,MaterialenVoorDeWoningbouw1990100_97,BouwrijpMakenVanTerreinen_98,AfwerkenVanGebouwen_99,VerhuurBouwmachinesMetPersoneel_100,Bouwinstallatie_101,BurgerlijkeUtiliteitsbouwEnGWW_102,BurgerlijkeEnUtiliteitsbouw_103,GWWWerken_104,Totaal_105,BedrijvenMet10Tot100Werknemers_106,BedrijvenMetMeerDan100Werknemers_107,TheoretischBeschikbaar_108,Productief_109,Totaal_110,VerletWegensVorstOfNeerslag_111
0,1899JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091.0,28.3,30.7,17.6,15.3,15.3,8.1,"2,75  ","4,52  ","1,65  ",      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1900JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"14,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1901JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"16,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1902JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"18,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1903JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"21,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1904JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"22,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1905JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"24,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1906JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"25,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1907JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"11,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1908JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"20,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1909JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.0,18.7,29.2,20.0,21.3,21.3,10.8,"3,22  ","4,58  ","1,43  ","24,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1910JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"20,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1911JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"21,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1912JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"25,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1913JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"23,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1914JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"17,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,
16,1915JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"11,8  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
17,1916JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"10,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,
18,1917JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"6,0   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,,,,
19,1918JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"10,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,,,,,,,
20,1919JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      ,      ,      ,"15,4  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,,,,,,,,,,,
21,1920JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.0,,,,,,,      ,"4,87  ",      ,"25,0  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
22,1921JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,87.0,103.0,,,,,,,,,      ,      ,      ,"40,4  ",,,,,,6.0,19.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,,,,,,,,,,,,,,,,,,,,,,,,
23,1922JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,52.0,95.0,,,,,,,,,      ,      ,      ,"45,5  ",,,,,,7.0,14.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,,,,,,,,,,,,,,,,,,,,,,,
24,1923JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,42.0,88.0,,,,,,,,,      ,      ,      ,"43,1  ",,,,,,5.0,10.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,,
25,1924JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,39.0,86.0,,,,,,,,,      ,      ,      ,"46,7  ",,,,,,4.0,9.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,,
26,1925JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,38.0,87.0,,,,,,,,,      ,      ,      ,"47,2  ",,,,,,4.0,9.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,135.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
27,1926JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,46.0,88.0,,,,,,,,,      ,      ,      ,"48,8  ",,,,,,3.0,5.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,,
28,1927JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.0,54.0,89.0,,,,,,,,,      ,      ,      ,"50,2  ",,,,,,3.0,5.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,
29,1928JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.0,65.0,87.0,,,,,,,,,      ,      ,      ,"47,3  ",,,,,,1.0,6.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,
30,1929JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,76.0,88.0,,,,,,,,,      ,      ,      ,"47,3  ",,,,,,2.0,5.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,
31,1930JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,82.0,89.0,,1824.0,7.4,14.5,16.3,18.3,18.2,25.3,"4,43  ","4,22  ","0,95  ","51,5  ",,,,,,2.0,5.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,125.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
32,1931JJ00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,76.0,79.0,,,,,,,,,      ,      ,      ,"50,6  ",,,,,,3.0,6.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,
