ID,MultinationalitySupplyingEnterprise,MultinationalityPurchasingEnterprise,Perioden,Total_1,ForDomesticSales_2,ForExports_3,Total_4,ForDomesticSales_5,ForExports_6,Total_7,ForDomesticSales_8,ForExports_9,Total_10,ForDomesticSales_11,ForExports_12
0,T001684,T001684,2015JJ00,233968.0,71895.2,162072.8,1338856.0,756525.4,582330.6,639388.0,410103.9,229284.1,7013.0,4922.4,2090.5
1,T001684,T001684,2016JJ00,231081.0,75393.8,155687.2,1360246.0,785560.9,574685.1,654198.0,427395.2,226802.8,7155.5,5052.3,2103.1
2,T001684,T001684,2017JJ00,254414.0,79959.4,174454.6,1431012.0,807948.9,623063.1,681550.0,439786.6,241763.4,7312.6,5114.0,2198.6
3,T001684,T001684,2018JJ00,279555.0,85569.0,193986.0,1514480.0,852359.0,662121.0,713735.0,462358.0,251377.0,7561.0,5281.4,2279.6
4,T001684,T001684,2019JJ00,276854.0,89840.2,187013.8,1569815.0,896769.2,673045.8,747606.0,486584.8,261021.2,7726.2,5400.2,2326.0
5,T001684,T001684,2020JJ00,256979.0,85362.1,171616.9,1520478.0,898728.5,621749.5,732811.0,490308.9,242502.1,7775.5,5548.9,2226.6
6,T001684,T001684,2021JJ00,290677.0,96681.0,193996.0,1673985.0,961793.8,712191.2,799741.0,521337.1,278403.9,7820.1,5564.5,2255.6
7,T001684,A052701,2015JJ00,171416.5,39287.7,132128.8,873356.0,482004.0,391352.0,404739.1,265345.8,139393.4,4464.1,3376.1,1088.0
8,T001684,A052701,2016JJ00,167522.8,42029.8,125493.1,885279.0,502789.0,382490.0,414570.8,278336.7,136234.2,4538.2,3444.4,1093.7
9,T001684,A052701,2017JJ00,184629.9,44432.0,140198.0,935964.0,519746.0,416218.0,435066.4,289650.8,145415.5,4623.9,3491.2,1132.7
10,T001684,A052701,2018JJ00,203855.0,47041.2,156813.8,993290.0,547927.0,445363.0,459222.9,306959.4,152263.5,4756.2,3580.7,1175.5
11,T001684,A052701,2019JJ00,198245.1,49395.5,148849.6,1024460.0,576425.0,448035.0,481544.7,323468.5,158076.2,4882.0,3671.7,1210.3
12,T001684,A052701,2020JJ00,185152.1,46254.6,138897.5,989790.0,575671.0,414119.0,471137.6,325210.5,145927.1,4940.8,3770.7,1170.0
13,T001684,A052701,2021JJ00,207403.2,53342.7,154060.5,1090418.0,617940.0,472478.0,517865.8,348302.0,169563.8,5008.0,3831.5,1176.5
14,T001684,A052702,2015JJ00,15393.9,10508.9,4885.0,108967.9,75178.3,33789.6,51737.6,35359.5,16378.1,606.0,416.8,189.2
15,T001684,A052702,2016JJ00,16357.0,11341.3,5015.7,117690.8,82562.2,35128.6,56225.8,39163.0,17062.8,657.7,462.6,195.1
16,T001684,A052702,2017JJ00,17836.7,12206.6,5630.1,122780.1,86104.9,36675.2,58087.0,40532.2,17554.8,675.3,477.0,198.3
17,T001684,A052702,2018JJ00,19797.3,13696.5,6100.8,133653.1,94885.5,38767.6,62501.0,44144.3,18356.7,724.6,517.1,207.5
18,T001684,A052702,2019JJ00,20946.7,14590.7,6356.0,142922.0,101784.4,41137.7,66825.0,47376.6,19448.3,751.2,537.4,213.8
