ID,TypeWoning,Perioden,PrijsindexVerkoopprijzen_1,OntwikkelingTOVVoorgaandePeriode_2,OntwikkelingTOVEenJaarEerder_3,VerkochteWoningen_4,OntwikkelingTOVVoorgaandePeriode_5,OntwikkelingTOVEenJaarEerder_6,GemiddeldeVerkoopprijs_7,TotaleWaardeVerkoopprijzen_8
63,T001100,2007KW04,117.7,0.3,4.2,54562,4.6,-1.1,250208,13652
64,T001100,2007JJ00,116.2,4.2,4.2,202401,-3.5,-3.5,248325,50261
65,T001100,2008KW01,119.2,1.2,4.4,40971,-24.9,-9.5,253376,10381
66,T001100,2008KW02,119.3,0.1,3.2,48014,17.2,-4.8,253527,12173
67,T001100,2008KW03,120.6,1.1,2.8,48440,0.9,-7.1,259425,12567
68,T001100,2008KW04,119.7,-0.8,1.7,44967,-7.2,-17.6,252950,11374
69,T001100,2008JJ00,119.7,3.0,3.0,182392,-9.9,-9.9,254918,46495
70,T001100,2009KW01,118.9,-0.7,-0.2,27218,-39.5,-33.6,247692,6742
71,T001100,2009KW02,115.9,-2.5,-2.9,30269,11.2,-37.0,235495,7128
72,T001100,2009KW03,114.3,-1.4,-5.2,33234,9.8,-31.4,233608,7764
73,T001100,2009KW04,113.3,-0.8,-5.3,36811,10.8,-18.1,237755,8752
74,T001100,2009JJ00,115.6,-3.4,-3.4,127532,-30.1,-30.1,238259,30386
75,T001100,2010KW01,113.2,-0.2,-4.8,27745,-24.6,1.9,236712,6568
76,T001100,2010KW02,113.3,0.1,-2.2,31891,14.9,5.4,240001,7654
77,T001100,2010KW03,113.4,0.1,-0.8,32398,1.6,-2.5,244424,7919
78,T001100,2010KW04,112.1,-1.1,-1.1,34093,5.2,-7.4,236733,8071
79,T001100,2010JJ00,113.0,-2.2,-2.2,126127,-1.1,-1.1,239530,30211
80,T001100,2011KW01,111.5,-0.5,-1.5,28358,-16.8,2.2,240132,6810
81,T001100,2011KW02,111.0,-0.4,-2.0,29532,4.1,-7.4,241736,7139
82,T001100,2011KW03,110.2,-0.8,-2.8,30769,4.2,-5.0,245503,7554
83,T001100,2011KW04,108.3,-1.7,-3.4,32080,4.3,-5.9,233229,7482
84,T001100,2011JJ00,110.3,-2.4,-2.4,120739,-4.3,-4.3,240059,28984
85,T001100,2012KW01,106.9,-1.3,-4.1,23951,-25.3,-15.5,235954,5651
86,T001100,2012KW02,104.9,-1.9,-5.5,34628,44.6,17.3,234572,8123
87,T001100,2012KW03,100.7,-3.9,-8.6,22978,-33.6,-25.3,215795,4959
88,T001100,2012KW04,100.1,-0.7,-7.6,35704,55.4,11.3,219746,7846
89,T001100,2012JJ00,103.1,-6.5,-6.5,117261,-2.9,-2.9,226661,26578
90,T001100,2013KW01,97.8,-2.3,-8.6,23090,-35.3,-3.6,213240,4924
91,T001100,2013KW02,95.8,-2.0,-8.7,22111,-4.2,-36.1,210908,4663
92,T001100,2013KW03,96.1,0.4,-4.6,28925,30.8,25.9,214778,6212
93,T001100,2013KW04,95.8,-0.4,-4.3,35968,24.3,0.7,213784,7689
94,T001100,2013JJ00,96.4,-6.6,-6.6,110094,-6.1,-6.1,213353,23489
95,T001100,2014KW01,96.3,0.6,-1.5,28963,-19.5,25.4,215689,6247
96,T001100,2014KW02,96.9,0.6,1.2,34074,17.6,54.1,220670,7519
97,T001100,2014KW03,97.8,0.9,1.8,39160,14.9,35.4,225194,8819
98,T001100,2014KW04,97.9,0.1,2.2,51314,31.0,42.7,224660,11528
99,T001100,2014JJ00,97.2,0.9,0.9,153511,39.4,39.4,222218,34113
100,T001100,2015KW01,98.6,0.8,2.4,34527,-32.7,19.2,221589,7651
101,T001100,2015KW02,99.4,0.8,2.5,40722,17.9,19.5,227389,9260
102,T001100,2015KW03,100.7,1.3,2.9,50609,24.3,29.2,233301,11807
103,T001100,2015KW04,101.3,0.6,3.5,52435,3.6,2.2,235039,12324
104,T001100,2015JJ00,100.0,2.8,2.8,178293,16.1,16.1,230194,41042
105,T001100,2016KW01,102.6,1.3,4.1,42897,-18.2,24.2,236333,10138
106,T001100,2016KW02,103.7,1.0,4.4,50315,17.3,23.6,239542,12053
107,T001100,2016KW03,106.3,2.5,5.6,60707,20.7,20.0,249593,15152
108,T001100,2016KW04,107.5,1.1,6.1,60874,0.3,16.1,246934,15032
109,T001100,2016JJ00,105.0,5.0,5.0,214793,20.5,20.5,243837,52374
110,T001100,2017KW01,109.6,2.0,6.8,55911,-8.2,30.3,257002,14369
111,T001100,2017KW02,111.7,1.9,7.7,58370,4.4,16.0,260573,15210
112,T001100,2017KW03,114.4,2.4,7.6,61391,5.2,1.1,267464,16420
113,T001100,2017KW04,116.3,1.7,8.2,66188,7.8,8.7,267143,17682
114,T001100,2017JJ00,113.0,7.6,7.6,241860,12.6,12.6,263295,63680
115,T001100,2018KW01,119.4,2.7,9.0,52105,-21.3,-6.8,278159,14493
116,T001100,2018KW02,121.6,1.8,8.8,52930,1.6,-9.3,284639,15066
117,T001100,2018KW03,124.9,2.7,9.2,56921,7.5,-7.3,292146,16629
118,T001100,2018KW04,126.7,1.5,9.0,56535,-0.7,-14.6,293210,16577
119,T001100,2018JJ00,123.2,9.0,9.0,218491,-9.7,-9.7,287267,62765
120,T001100,2019KW01,128.9,1.7,7.9,47431,-16.1,-9.0,301279,14290
121,T001100,2019KW02,130.4,1.1,7.2,52506,10.7,-0.8,302538,15885
122,T001100,2019KW03,132.7,1.8,6.3,58935,12.2,3.5,313256,18462
123,T001100,2019KW04,134.6,1.4,6.2,59723,1.3,5.6,312871,18686
124,T001100,2019JJ00,131.7,6.9,6.9,218595,0.0,0.0,307978,67322
125,T001100,2020KW01,137.5,2.1,6.6,51579,-13.6,8.7,325834,16806
126,T001100,2020KW02,140.2,2.0,7.5,54923,6.5,4.6,327867,18007
127,T001100,2020KW03,143.5,2.3,8.1,62206,13.3,5.6,339559,21123
128,T001100,2020KW04,146.4,2.0,8.8,66803,7.4,11.9,341892,22839
129,T001100,2020JJ00,141.9,7.8,7.8,235511,7.7,7.7,334488,78776
