ID,SBI93,Perioden,AantalBedrijven_1,AantalWerknemers_2,TotaalProductiewaarde_3,TotaalEnGrosDetail_4,Waarde_5,Hoeveelheid_6,Waarde_7,Hoeveelheid_8,Waarde_9,Hoeveelheid_10,Waarde_11,Hoeveelheid_12,EnGrosTotaal_13,Waarde_14,Hoeveelheid_15,Waarde_16,Hoeveelheid_17,Waarde_18,Hoeveelheid_19,Waarde_20,Hoeveelheid_21,EnDetailTotaal_22,Waarde_23,Hoeveelheid_24,AantalAfnemers_25,Waarde_26,Hoeveelheid_27,AantalAfnemers_28,Waarde_29,Hoeveelheid_30,AantalAfnemers_31,Waarde_32,Hoeveelheid_33,AantalAfnemers_34,Waarde_35,Hoeveelheid_36,AantalAfnemers_37,Waarde_38,Hoeveelheid_39,AantalAfnemers_40,Waarde_41,Hoeveelheid_42,AantalAfnemers_43,Waarde_44,Hoeveelheid_45,AantalAfnemers_46,Waarde_47,Hoeveelheid_48,AantalAfnemers_49,Waarde_50,Hoeveelheid_51,AantalAfnemers_52,Waarde_53,Hoeveelheid_54,AantalAfnemers_55,Waarde_56,Hoeveelheid_57,AantalAfnemers_58,GeactiveerdeKosten_59,TotaleOpbrengstOverigeActiviteiten_60,VerhuurWarmwaterapparatuur_61,OpenbareVerlichting_62,ExploitatieCAI_63,HulpdienstenVoorDerden_64,AndereOpbrengsten_65,TotaalVerbruikswaarde_66,TotaalInkoopwaarde_67,Elektriciteit_68,Gas_69,Warmte_70,Water_71,OverigeEnergiedragers_72,TotaalEigenVerbruikEnergie_73,OverigeBedrijfskosten_74,TotaalToegevoegdeWaarde_75,TotaleArbeidskosten_76,BrutoLonenEnSalarissen_77,PremiesZWZFWEnWW_78,OverigeUitgaven_79,InEnUitgeleendPersoneel_80,HeffingenMinusSubsidies_81,TotaalBrutoBedrijfsresultaat_82,BetaaldeEnOntvangenInterest_83,OverigeFinancieleLastenEnBaten_84,BuitengewoneLastenEnBaten_85,ToevoegingenEnOnttrekkingen_86,Afschrijvingssaldo_87,ResultaatVoorBelastingen_88
16,01,1999JJ00,6,4419,2976,2847,2815,65546,0,0,32,24528,0,0,2847,2815,65546,0,0,32,24528,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,18,111,0,0,0,39,72,1677,1215,299,499,16,0,400,7,455,1299,274,212,16,34,11,18,923,109,-26,-38,-57,546,388
17,01,2000JJ00,7,4061,3199,3075,3018,60955,0,0,57,31710,0,0,3071,3017,60912,0,0,54,30968,0,0,4,1,43,0.0,0,6,0.0,1,37,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,742,,0.0,0.0,0.0,,,0.0,0,0,0,0,0,0,0,0,0,7,117,0,0,0,53,64,2055,1628,314,862,19,0,434,5,421,1144,273,192,20,44,16,6,865,89,-20,17,107,330,342
18,03,1992JJ00,72,28951,10928,10025,5348,92759,4357,23847,169,25482,151,209,1140,1005,22465,107,703,18,3816,10,25,8885,4343,70294,6582.0,2215,27715,6530.0,2128,42579,52.0,4249,23144,5947.0,3455,15918,5936.0,795,7226,11.0,151,21666,152.0,57.0,4713.0,145.0,94.0,16953.0,7.0,141,183,990,100,115,954,41,68,35,246,658,63,108,114,287,86,8179,7300,3806,3423,49,20,2,21,857,2749,1034,881,20,96,36,37,1679,554,-149,15,84,863,311
19,03,1993JJ00,73,28020,11132,10152,5535,92748,4300,25400,172,28886,146,194,1106,984,21281,103,748,9,4074,10,24,9045,4551,71467,6676.0,2349,28971,6625.0,2202,42496,52.0,4197,24652,6033.0,3370,16924,6021.0,826,7727,11.0,162,24812,160.0,64.0,5452.0,153.0,98.0,19360.0,7.0,136,170,956,95,106,910,40,64,45,233,747,68,108,130,211,232,8297,7357,3948,3365,23,17,3,25,916,2834,1062,882,23,114,44,28,1744,552,-135,11,79,920,316
20,03,1994JJ00,68,27014,11521,10540,6039,101516,4165,24241,187,34114,149,193,1411,1280,27185,106,785,14,5630,11,24,9129,4759,74331,6772.0,2430,29829,6717.0,2329,44502,55.0,4059,23455,6116.0,3282,16024,6104.0,777,7431,12.0,174,28484,160.0,62.0,5799.0,153.0,111.0,22633.0,7.0,138,169,918,102,113,882,36,56,37,241,740,68,91,156,133,294,8640,7642,4331,3255,36,18,2,25,973,2882,1084,888,24,116,56,30,1767,540,-162,26,24,977,362
21,03,1995JJ00,73,26254,12069,11046,6286,102691,4312,25077,266,55564,182,199,1441,1284,25815,122,934,22,7123,13,24,9605,5002,76876,6866.0,2528,30234,6809.0,2473,46642,57.0,4190,24143,6193.0,3372,16642,6181.0,818,7501,12.0,245,48441,166.0,70.0,6489.0,158.0,174.0,41950.0,7.0,169,174,934,125,115,896,44,60,37,211,813,59,87,200,122,345,9041,8004,4495,3441,45,23,1,26,1011,3029,1118,900,33,116,69,35,1875,515,-147,15,44,1005,444
22,03,1996JJ00,76,25939,13064,11900,6460,105819,4996,29064,318,66126,126,145,1527,1339,27108,151,1112,29,8915,9,19,10373,5121,78711,6959.0,2594,30889,6900.0,2528,47823,58.0,4845,27953,6294.0,3905,19504,6282.0,940,8448,12.0,289,57212,174.0,88.0,8208.0,167.0,200.0,49002.0,8.0,118,125,654,78,71,628,39,54,26,227,937,57,96,191,172,422,9880,8795,4640,4089,56,9,1,28,1057,3184,1071,854,36,98,83,52,2060,490,-124,1,34,1002,658
23,03,1997JJ00,71,26261,12448,11095,5905,91264,4725,24499,340,71775,123,133,584,445,9620,129,849,1,457,10,20,10509,5460,81644,7038.0,2685,30919,6975.0,2775,50724,63.0,4596,23649,6566.0,3691,16569,6553.0,906,7080,13.0,339,71319,204.0,128.0,10011.0,199.0,212.0,61308.0,5.0,113,113,621,71,62,590,43,51,32,209,1144,63,84,217,524,256,9337,7885,3814,4021,39,10,1,32,1420,3111,1091,865,42,104,79,39,1981,455,-87,-53,117,996,552
24,03,1998JJ00,70,25419,12415,11114,6053,95038,4593,24567,361,86692,107,112,538,404,10209,127,936,0,0,7,13,10576,5650,84829,7134.0,2729,31405,7066.0,2921,53424,68.0,4466,23631,6651.0,3564,16363,6638.0,902,7268,13.0,361,86692,216.0,128.0,7844.0,210.0,233.0,78849.0,7.0,100,99,528,59,51,500,40,48,29,213,1088,75,106,157,383,368,9321,7922,3962,3908,42,9,1,29,1369,3094,1116,846,58,117,95,38,1940,396,-121,-36,46,936,719
25,03,1999JJ00,86,23564,14152,12344,7415,114605,4486,27612,331,89069,113,114,1635,1127,25613,497,4170,3,6000,8,15,10709,6288,88992,,2955,32463,,3334,56529,,3988,23442,,3058,15581,,930,7860,,328,83069,,102.0,7075.0,,226.0,75994.0,,105,98,528,64,52,499,41,46,29,259,1549,120,142,186,430,670,10763,8767,4964,3748,42,10,3,38,1958,3389,1192,876,61,118,137,39,2159,377,-124,-1412,119,1010,2189
26,03,2000JJ00,88,22094,17913,16227,9410,151534,6417,37644,400,96388,8,7,4806,2824,60212,1941,13232,42,6159,0,0,11428,6586,91322,,3505,36745,,3081,54578,,4476,24413,,3292,15729,,1184,8684,,358,90229,,,,,,,,8,7,34,5,4,33,2,3,1,201,1483,57,84,93,723,526,14990,12141,6306,5736,100,1,2,37,2812,2923,1179,805,62,107,205,39,1705,135,-113,-616,270,567,1463
27,00,1992JJ00,28,7402,957,875,0,0,0,0,0,0,875,1440,92,0,0,0,0,0,0,92,398,783,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783,1043,4826,512,599,4512,271,443,314,34,49,0,0,1,32,16,325,89,0,0,0,89,0,28,208,632,251,212,3,25,11,13,368,186,-13,2,5,169,18
28,00,1993JJ00,27,7416,1037,946,0,0,0,0,0,0,946,1401,88,0,0,0,0,0,0,88,376,857,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,857,1025,4947,567,610,4632,290,416,315,37,54,0,0,1,23,30,336,88,0,0,0,88,0,28,220,701,270,225,3,30,13,14,417,195,-9,6,12,180,32
29,00,1994JJ00,25,7346,1084,997,0,0,0,0,0,0,997,1393,80,0,0,0,0,0,0,80,350,917,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917,1043,4908,623,635,4615,294,408,294,40,47,0,0,0,23,23,342,83,0,0,0,83,0,26,233,741,275,226,5,31,14,14,453,197,-4,-1,4,193,64
30,00,1995JJ00,24,7233,1261,1175,0,0,0,0,0,0,1175,1412,91,0,0,0,0,0,0,91,359,1084,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084,1053,4965,737,644,4695,346,409,270,36,50,0,0,0,24,26,358,91,0,0,0,91,0,29,238,903,286,230,3,37,17,132,485,201,-5,12,8,207,62
31,00,1996JJ00,24,7222,1374,1279,0,0,0,0,0,0,1279,1443,92,0,0,0,0,0,0,92,349,1188,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188,1094,5324,780,650,5042,408,444,282,35,59,1,0,0,26,33,401,98,0,0,0,98,0,31,271,973,300,240,3,34,23,129,544,215,-1,17,7,225,81
32,00,1997JJ00,22,7242,1428,1297,0,0,0,0,0,0,1297,1436,77,0,0,0,0,0,0,77,347,1220,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220,1090,5438,800,648,5157,420,442,281,62,69,0,0,0,44,25,444,82,0,0,0,82,0,33,329,984,306,240,14,29,24,129,549,214,-7,-4,10,238,98
33,00,1998JJ00,20,7300,1465,1339,0,0,0,0,0,0,1339,1435,83,0,0,0,0,0,0,83,332,1257,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257,1103,5621,817,660,5340,440,443,280,63,64,0,0,0,45,18,446,83,0,0,0,83,0,31,332,1019,331,245,18,36,32,132,557,213,-9,-18,20,255,95
34,00,1999JJ00,20,7098,1532,1390,0,0,0,0,0,0,1390,1461,83,0,0,0,0,0,0,83,338,1307,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1307,1123,5729,851,673,5445,457,450,284,66,77,0,0,0,55,22,463,89,0,0,0,89,0,34,340,1070,337,249,19,37,32,137,595,197,-1,12,12,291,84
35,00,2000JJ00,20,6798,1609,1487,0,0,0,0,0,0,1478,1534,81,0,0,0,0,0,0,81,354,1397,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397,1180,6430,1044,748,6197,353,432,233,52,70,1,0,0,47,22,490,92,0,0,0,92,0,38,359,1119,345,253,20,44,29,144,630,201,-1,-38,9,307,152
