ID,RegioS,TypeVerwarmingsinstallatie,Perioden,Woningen_1
94,NL01  ,A050117,2021JJ00,
95,NL01  ,A050117,2022JJ00,
96,NL01  ,A050118,2017JJ00,
97,NL01  ,A050118,2018JJ00,
98,NL01  ,A050118,2019JJ00,
99,NL01  ,A050118,2020JJ00,
100,NL01  ,A050118,2021JJ00,
101,NL01  ,A050118,2022JJ00,
102,NL01  ,A050119,2017JJ00,
103,NL01  ,A050119,2018JJ00,
104,NL01  ,A050119,2019JJ00,
105,NL01  ,A050119,2020JJ00,
106,NL01  ,A050119,2021JJ00,
107,NL01  ,A050119,2022JJ00,
108,NL01  ,A052175,2017JJ00,
109,NL01  ,A052175,2018JJ00,
110,NL01  ,A052175,2019JJ00,
111,NL01  ,A052175,2020JJ00,
112,NL01  ,A052175,2021JJ00,
113,NL01  ,A052175,2022JJ00,
114,NL01  ,A050120,2017JJ00,
115,NL01  ,A050120,2018JJ00,
116,NL01  ,A050120,2019JJ00,
117,NL01  ,A050120,2020JJ00,
118,NL01  ,A050120,2021JJ00,
119,NL01  ,A050120,2022JJ00,
120,NL99  ,A050112,2017JJ00,
121,NL99  ,A050112,2018JJ00,
122,NL99  ,A050112,2019JJ00,
123,NL99  ,A050112,2020JJ00,
124,NL99  ,A050112,2021JJ00,
125,NL99  ,A050112,2022JJ00,
126,NL99  ,A050113,2017JJ00,
127,NL99  ,A050113,2018JJ00,
128,NL99  ,A050113,2019JJ00,
129,NL99  ,A050113,2020JJ00,
130,NL99  ,A050113,2021JJ00,
131,NL99  ,A050113,2022JJ00,
132,NL99  ,A050114,2017JJ00,
133,NL99  ,A050114,2018JJ00,
134,NL99  ,A050114,2019JJ00,
135,NL99  ,A050114,2020JJ00,
136,NL99  ,A050114,2021JJ00,
137,NL99  ,A050114,2022JJ00,
138,NL99  ,A050115,2017JJ00,
139,NL99  ,A050115,2018JJ00,
140,NL99  ,A050115,2019JJ00,
141,NL99  ,A050115,2020JJ00,
142,NL99  ,A050115,2021JJ00,
143,NL99  ,A050115,2022JJ00,
144,NL99  ,A050116,2017JJ00,
145,NL99  ,A050116,2018JJ00,
146,NL99  ,A050116,2019JJ00,
147,NL99  ,A050116,2020JJ00,
148,NL99  ,A050116,2021JJ00,
149,NL99  ,A050116,2022JJ00,
150,NL99  ,A050117,2017JJ00,
151,NL99  ,A050117,2018JJ00,
152,NL99  ,A050117,2019JJ00,
153,NL99  ,A050117,2020JJ00,
154,NL99  ,A050117,2021JJ00,
155,NL99  ,A050117,2022JJ00,
156,NL99  ,A050118,2017JJ00,
157,NL99  ,A050118,2018JJ00,
158,NL99  ,A050118,2019JJ00,
159,NL99  ,A050118,2020JJ00,
160,NL99  ,A050118,2021JJ00,
161,NL99  ,A050118,2022JJ00,
162,NL99  ,A050119,2017JJ00,
163,NL99  ,A050119,2018JJ00,
164,NL99  ,A050119,2019JJ00,
165,NL99  ,A050119,2020JJ00,
166,NL99  ,A050119,2021JJ00,
167,NL99  ,A050119,2022JJ00,
168,NL99  ,A052175,2017JJ00,
169,NL99  ,A052175,2018JJ00,
170,NL99  ,A052175,2019JJ00,
171,NL99  ,A052175,2020JJ00,
