ID,BedrijfstakkenBranchesSBI2008,Perioden,PrijsindexArbeid_1,JaarmutatiePrijsVanArbeid_2,LoonkostenPerGewerktUur_3,JaarmutatieLoonkostenPerGewerktUur_4,Structuureffect_5
1667,300013 ,2012JJ00,96.9,2.2,95.0,2.6,0.4
1668,300013 ,2013JJ00,98.3,1.4,97.2,2.2,0.8
1669,300013 ,2014JJ00,99.1,0.7,98.6,1.4,0.7
1670,300013 ,2015JJ00,100.0,1.0,100.0,1.4,0.5
1671,300013 ,2016JJ00,101.7,1.7,101.8,1.8,0.0
1672,300013 ,2017JJ00,104.0,2.2,103.8,1.9,-0.2
1673,300013 ,2018JJ00,106.1,2.0,105.7,1.9,-0.1
1674,300013 ,2019JJ00,108.7,2.5,108.0,2.2,-0.3
1675,300013 ,2020JJ00,113.2,4.1,112.8,4.4,0.3
1676,300013 ,2021JJ00,113.3,0.1,112.7,-0.1,-0.2
1677,300013 ,2022JJ00,121.0,6.8,119.8,6.3,-0.4
1678,300013 ,2023JJ00,128.2,6.0,126.9,5.9,-0.1
1679,300013 ,2006VJ12,83.0,2.5,81.1,2.9,0.4
1680,300013 ,2007VJ03,83.7,,81.8,,
1681,300013 ,2007VJ06,84.3,,82.4,,
1682,300013 ,2007VJ09,84.8,,82.8,,
1683,300013 ,2007VJ12,85.5,3.1,83.5,3.0,-0.1
1684,300013 ,2008VJ03,86.4,3.2,84.3,3.0,-0.2
1685,300013 ,2008VJ06,87.1,3.3,84.9,3.1,-0.2
1686,300013 ,2008VJ09,87.5,3.2,85.3,3.0,-0.3
1687,300013 ,2008VJ12,88.9,4.0,86.6,3.7,-0.2
1688,300013 ,2009VJ03,89.5,3.5,87.1,3.4,-0.1
1689,300013 ,2009VJ06,90.6,4.0,88.3,3.9,-0.1
1690,300013 ,2009VJ09,90.9,3.9,88.6,3.9,0.1
1691,300013 ,2009VJ12,91.4,2.8,89.1,2.9,0.1
1692,300013 ,2010VJ03,91.5,2.3,89.3,2.4,0.1
1693,300013 ,2010VJ06,92.5,2.2,90.3,2.2,0.1
1694,300013 ,2010VJ09,93.0,2.3,90.7,2.3,0.0
1695,300013 ,2010VJ12,93.2,2.0,90.9,2.0,0.0
1696,300013 ,2011VJ03,93.2,1.8,90.9,1.8,0.0
1697,300013 ,2011VJ06,93.2,0.7,90.9,0.7,0.0
1698,300013 ,2011VJ09,93.5,0.5,91.3,0.6,0.1
1699,300013 ,2011VJ12,94.9,1.8,92.7,2.0,0.2
1700,300013 ,2012VJ03,94.8,1.7,92.6,1.9,0.2
1701,300013 ,2012VJ06,95.1,2.1,93.0,2.4,0.3
1702,300013 ,2012VJ09,96.0,2.7,94.0,3.0,0.3
1703,300013 ,2012VJ12,96.9,2.2,95.0,2.6,0.4
1704,300013 ,2013VJ03,98.1,3.6,96.4,4.1,0.5
1705,300013 ,2013VJ06,98.3,3.3,96.7,3.9,0.6
1706,300013 ,2013VJ09,98.5,2.5,97.1,3.3,0.7
1707,300013 ,2013VJ12,98.3,1.4,97.2,2.2,0.8
1708,300013 ,2014VJ03,98.3,0.1,97.3,0.9,0.8
1709,300013 ,2014VJ06,98.6,0.3,97.8,1.1,0.8
1710,300013 ,2014VJ09,98.4,-0.1,97.8,0.7,0.8
1711,300013 ,2014VJ12,99.1,0.7,98.6,1.4,0.7
1712,300013 ,2015VJ03,99.3,1.1,99.0,1.7,0.6
1713,300013 ,2015VJ06,99.6,1.0,99.4,1.6,0.6
1714,300013 ,2015VJ09,100.3,1.9,100.2,2.5,0.5
1715,300013 ,2015VJ12,100.0,1.0,100.0,1.4,0.5
1716,300013 ,2016VJ03,100.6,1.2,100.6,1.6,0.4
1717,300013 ,2016VJ06,100.0,0.4,100.1,0.7,0.3
1718,300013 ,2016VJ09,100.6,0.3,100.7,0.5,0.2
1719,300013 ,2016VJ12,101.7,1.7,101.8,1.8,0.0
1720,300013 ,2017VJ03,101.4,0.8,101.4,0.8,-0.1
1721,300013 ,2017VJ06,102.3,2.3,102.3,2.2,-0.1
1722,300013 ,2017VJ09,102.7,2.0,102.5,1.8,-0.2
1723,300013 ,2017VJ12,104.0,2.2,103.8,1.9,-0.2
1724,300013 ,2018VJ03,104.9,3.4,104.6,3.2,-0.2
1725,300013 ,2018VJ06,105.1,2.7,104.8,2.5,-0.2
1726,300013 ,2018VJ09,105.8,3.1,105.5,2.9,-0.2
1727,300013 ,2018VJ12,106.1,2.0,105.7,1.9,-0.1
1728,300013 ,2019VJ03,107.1,2.1,106.6,1.9,-0.2
1729,300013 ,2019VJ06,107.7,2.5,107.2,2.3,-0.2
1730,300013 ,2019VJ09,107.6,1.7,107.0,1.5,-0.2
1731,300013 ,2019VJ12,108.7,2.5,108.0,2.2,-0.3
1732,300013 ,2020VJ03,110.6,3.3,110.0,3.2,-0.2
1733,300013 ,2020VJ06,110.4,2.5,109.9,2.5,0.1
1734,300013 ,2020VJ09,112.4,4.5,112.0,4.6,0.2
1735,300013 ,2020VJ12,113.2,4.1,112.8,4.4,0.3
1736,300013 ,2021VJ03,111.0,0.3,110.7,0.6,0.3
1737,300013 ,2021VJ06,111.6,1.1,111.1,1.1,0.0
1738,300013 ,2021VJ09,112.6,0.2,112.1,0.1,-0.1
1739,300013 ,2021VJ12,113.3,0.1,112.7,-0.1,-0.2
1740,300013 ,2022VJ03,114.3,3.0,113.4,2.5,-0.5
1741,300013 ,2022VJ06,116.5,4.4,115.5,4.0,-0.4
1742,300013 ,2022VJ09,118.1,4.9,117.1,4.4,-0.4
1743,300013 ,2022VJ12,121.0,6.8,119.8,6.3,-0.4
1744,300013 ,2023VJ03,121.7,6.5,120.5,6.2,-0.2
1745,300013 ,2023VJ06,123.6,6.1,122.3,5.9,-0.2
1746,300013 ,2023VJ09,125.3,6.1,124.1,5.9,-0.1
1747,300013 ,2023VJ12,128.2,6.0,126.9,5.9,-0.1
1748,300012 ,2001JJ00,70.8,,68.6,,
1749,300012 ,2002JJ00,73.9,4.4,71.3,4.0,-0.4
1750,300012 ,2003JJ00,76.1,3.1,73.6,3.2,0.2
1751,300012 ,2004JJ00,77.9,2.4,75.6,2.7,0.4
1752,300012 ,2005JJ00,80.6,3.3,78.5,3.8,0.5
1753,300012 ,2006JJ00,82.7,2.6,80.8,3.0,0.4
1754,300012 ,2007JJ00,85.3,3.2,83.4,3.2,0.0
1755,300012 ,2008JJ00,88.8,4.1,86.6,3.9,-0.2
1756,300012 ,2009JJ00,91.3,2.8,89.2,2.9,0.1
1757,300012 ,2010JJ00,93.2,2.1,90.9,2.0,-0.1
1758,300012 ,2011JJ00,94.9,1.8,92.7,2.0,0.2
1759,300012 ,2012JJ00,96.9,2.1,95.0,2.5,0.3
1760,300012 ,2013JJ00,98.4,1.5,97.2,2.3,0.8
1761,300012 ,2014JJ00,99.1,0.7,98.5,1.4,0.7
1762,300012 ,2015JJ00,100.0,1.0,100.0,1.5,0.5
1763,300012 ,2016JJ00,101.8,1.8,101.9,1.9,0.1
1764,300012 ,2017JJ00,104.1,2.2,104.0,2.1,-0.2
1765,300012 ,2018JJ00,106.2,2.0,106.0,1.9,-0.1
1766,300012 ,2019JJ00,108.7,2.4,108.2,2.1,-0.3
1767,300012 ,2020JJ00,113.5,4.4,112.9,4.4,0.0
1768,300012 ,2021JJ00,113.7,0.2,112.8,-0.1,-0.3
1769,300012 ,2022JJ00,121.3,6.7,120.1,6.5,-0.2
1770,300012 ,2023JJ00,128.5,5.9,127.1,5.8,-0.1
1771,300012 ,2006VJ12,82.7,2.6,80.8,3.0,0.4
1772,300012 ,2007VJ03,83.4,,81.6,,
1773,300012 ,2007VJ06,84.0,,82.2,,
1774,300012 ,2007VJ09,84.5,,82.7,,
1775,300012 ,2007VJ12,85.3,3.2,83.4,3.2,0.0
1776,300012 ,2008VJ03,86.2,3.4,84.3,3.3,-0.1
1777,300012 ,2008VJ06,87.0,3.5,84.9,3.4,-0.1
1778,300012 ,2008VJ09,87.4,3.4,85.3,3.2,-0.2
1779,300012 ,2008VJ12,88.8,4.1,86.6,3.9,-0.2
1780,300012 ,2009VJ03,89.3,3.6,87.2,3.5,-0.1
1781,300012 ,2009VJ06,90.5,4.1,88.3,4.0,-0.1
1782,300012 ,2009VJ09,90.8,3.9,88.7,4.0,0.0
1783,300012 ,2009VJ12,91.3,2.8,89.2,2.9,0.1
1784,300012 ,2010VJ03,91.4,2.3,89.2,2.4,0.0
1785,300012 ,2010VJ06,92.5,2.2,90.2,2.2,0.0
1786,300012 ,2010VJ09,93.0,2.4,90.7,2.3,0.0
1787,300012 ,2010VJ12,93.2,2.1,90.9,2.0,-0.1
1788,300012 ,2011VJ03,93.2,1.9,90.9,1.8,-0.1
1789,300012 ,2011VJ06,93.1,0.7,90.9,0.7,0.0
1790,300012 ,2011VJ09,93.4,0.5,91.3,0.6,0.1
1791,300012 ,2011VJ12,94.9,1.8,92.7,2.0,0.2
1792,300012 ,2012VJ03,94.7,1.7,92.6,1.9,0.2
1793,300012 ,2012VJ06,95.1,2.1,93.0,2.4,0.2
1794,300012 ,2012VJ09,96.0,2.7,94.0,3.0,0.3
1795,300012 ,2012VJ12,96.9,2.1,95.0,2.5,0.3
1796,300012 ,2013VJ03,98.1,3.6,96.3,4.0,0.4
1797,300012 ,2013VJ06,98.3,3.3,96.7,3.9,0.5
1798,300012 ,2013VJ09,98.5,2.6,97.1,3.3,0.7
1799,300012 ,2013VJ12,98.4,1.5,97.2,2.3,0.8
1800,300012 ,2014VJ03,98.3,0.2,97.3,1.0,0.8
1801,300012 ,2014VJ06,98.6,0.3,97.8,1.2,0.8
1802,300012 ,2014VJ09,98.4,0.0,97.8,0.7,0.8
1803,300012 ,2014VJ12,99.1,0.7,98.5,1.4,0.7
1804,300012 ,2015VJ03,99.3,1.1,99.0,1.7,0.6
1805,300012 ,2015VJ06,99.6,1.0,99.4,1.6,0.6
1806,300012 ,2015VJ09,100.3,1.9,100.2,2.5,0.5
1807,300012 ,2015VJ12,100.0,1.0,100.0,1.5,0.5
1808,300012 ,2016VJ03,100.6,1.2,100.6,1.7,0.4
1809,300012 ,2016VJ06,100.0,0.4,100.1,0.7,0.3
1810,300012 ,2016VJ09,100.6,0.3,100.7,0.5,0.2
1811,300012 ,2016VJ12,101.8,1.8,101.9,1.9,0.1
1812,300012 ,2017VJ03,101.4,0.9,101.5,0.9,0.0
1813,300012 ,2017VJ06,102.4,2.4,102.4,2.3,-0.1
1814,300012 ,2017VJ09,102.7,2.1,102.7,1.9,-0.1
1815,300012 ,2017VJ12,104.1,2.2,104.0,2.1,-0.2
1816,300012 ,2018VJ03,105.0,3.5,104.9,3.4,-0.2
1817,300012 ,2018VJ06,105.2,2.8,105.0,2.6,-0.2
1818,300012 ,2018VJ09,105.9,3.1,105.7,3.0,-0.1
1819,300012 ,2018VJ12,106.2,2.0,106.0,1.9,-0.1
1820,300012 ,2019VJ03,107.2,2.0,106.9,1.9,-0.2
1821,300012 ,2019VJ06,107.8,2.5,107.4,2.3,-0.2
1822,300012 ,2019VJ09,107.7,1.7,107.2,1.4,-0.2
1823,300012 ,2019VJ12,108.7,2.4,108.2,2.1,-0.3
1824,300012 ,2020VJ03,110.7,3.3,110.2,3.1,-0.2
1825,300012 ,2020VJ06,110.5,2.5,110.0,2.4,-0.1
1826,300012 ,2020VJ09,112.6,4.6,112.1,4.5,0.0
1827,300012 ,2020VJ12,113.5,4.4,112.9,4.4,0.0
1828,300012 ,2021VJ03,111.3,0.6,110.7,0.5,-0.1
1829,300012 ,2021VJ06,112.1,1.4,111.3,1.2,-0.2
1830,300012 ,2021VJ09,113.1,0.4,112.3,0.2,-0.3
1831,300012 ,2021VJ12,113.7,0.2,112.8,-0.1,-0.3
1832,300012 ,2022VJ03,114.6,3.0,113.6,2.7,-0.3
1833,300012 ,2022VJ06,116.7,4.2,115.7,4.0,-0.2
1834,300012 ,2022VJ09,118.4,4.7,117.3,4.5,-0.2
1835,300012 ,2022VJ12,121.3,6.7,120.1,6.5,-0.2
1836,300012 ,2023VJ03,121.9,6.3,120.7,6.2,-0.1
1837,300012 ,2023VJ06,123.8,6.0,122.5,5.9,-0.1
1838,300012 ,2023VJ09,125.6,6.1,124.3,6.0,-0.1
1839,300012 ,2023VJ12,128.5,5.9,127.1,5.8,-0.1
1840,417400 ,2001JJ00,72.6,,67.7,,
1841,417400 ,2002JJ00,76.0,4.6,70.8,4.5,-0.1
1842,417400 ,2003JJ00,77.8,2.4,73.0,3.1,0.7
1843,417400 ,2004JJ00,80.4,3.3,76.2,4.3,1.0
1844,417400 ,2005JJ00,82.7,2.9,79.0,3.7,0.8
1845,417400 ,2006JJ00,85.4,3.3,81.8,3.5,0.2
1846,417400 ,2007JJ00,88.3,3.4,84.8,3.7,0.3
1847,417400 ,2008JJ00,91.9,4.0,88.5,4.3,0.2
1848,417400 ,2009JJ00,94.1,2.4,90.9,2.8,0.4
1849,417400 ,2010JJ00,94.1,0.0,91.1,0.2,0.2
1850,417400 ,2011JJ00,96.0,2.0,93.8,3.0,1.0
1851,417400 ,2012JJ00,98.2,2.3,96.6,3.0,0.6
1852,417400 ,2013JJ00,98.3,0.1,97.3,0.8,0.6
1853,417400 ,2014JJ00,98.3,0.0,97.8,0.5,0.5
1854,417400 ,2015JJ00,100.0,1.7,100.0,2.2,0.5
1855,417400 ,2016JJ00,102.7,2.7,103.0,3.0,0.3
1856,417400 ,2017JJ00,105.9,3.1,106.6,3.6,0.4
1857,417400 ,2018JJ00,107.5,1.5,108.8,2.0,0.5
1858,417400 ,2019JJ00,109.6,1.9,111.2,2.2,0.3
1859,417400 ,2020JJ00,111.3,1.6,113.0,1.6,0.0
1860,417400 ,2021JJ00,111.6,0.2,113.1,0.1,-0.1
1861,417400 ,2022JJ00,120.3,7.8,121.8,7.7,-0.1
1862,417400 ,2023JJ00,125.7,4.5,127.0,4.3,-0.2
1863,417400 ,2006VJ12,85.4,3.3,81.8,3.5,0.2
1864,417400 ,2007VJ03,86.3,,82.7,,
1865,417400 ,2007VJ06,87.0,,83.4,,
1866,417400 ,2007VJ09,87.5,,84.0,,
1867,417400 ,2007VJ12,88.3,3.4,84.8,3.7,0.3
1868,417400 ,2008VJ03,89.2,3.3,85.7,3.6,0.2
1869,417400 ,2008VJ06,89.8,3.2,86.3,3.5,0.3
1870,417400 ,2008VJ09,90.0,2.8,86.6,3.1,0.2
1871,417400 ,2008VJ12,91.9,4.0,88.5,4.3,0.2
1872,417400 ,2009VJ03,92.4,3.5,89.0,3.9,0.3
1873,417400 ,2009VJ06,93.7,4.4,90.4,4.7,0.3
1874,417400 ,2009VJ09,93.9,4.3,90.6,4.6,0.4
1875,417400 ,2009VJ12,94.1,2.4,90.9,2.8,0.4
1876,417400 ,2010VJ03,93.8,1.6,90.6,1.8,0.2
1877,417400 ,2010VJ06,94.4,0.8,91.2,0.9,0.1
1878,417400 ,2010VJ09,93.6,-0.3,90.4,-0.2,0.1
1879,417400 ,2010VJ12,94.1,0.0,91.1,0.2,0.2
1880,417400 ,2011VJ03,94.3,0.5,91.4,0.9,0.3
1881,417400 ,2011VJ06,94.1,-0.3,91.4,0.3,0.6
1882,417400 ,2011VJ09,94.4,0.9,92.0,1.7,0.8
1883,417400 ,2011VJ12,96.0,2.0,93.8,3.0,1.0
1884,417400 ,2012VJ03,95.9,1.7,93.9,2.8,1.0
1885,417400 ,2012VJ06,96.4,2.5,94.6,3.5,1.0
1886,417400 ,2012VJ09,97.5,3.3,95.8,4.1,0.8
1887,417400 ,2012VJ12,98.2,2.3,96.6,3.0,0.6
1888,417400 ,2013VJ03,99.0,3.2,97.5,3.8,0.6
1889,417400 ,2013VJ06,98.9,2.6,97.6,3.2,0.5
1890,417400 ,2013VJ09,98.9,1.5,97.7,2.0,0.6
1891,417400 ,2013VJ12,98.3,0.1,97.3,0.8,0.6
1892,417400 ,2014VJ03,98.1,-0.9,97.2,-0.3,0.6
1893,417400 ,2014VJ06,98.1,-0.8,97.3,-0.3,0.6
1894,417400 ,2014VJ09,97.7,-1.2,97.1,-0.7,0.5
1895,417400 ,2014VJ12,98.3,0.0,97.8,0.5,0.5
1896,417400 ,2015VJ03,98.8,0.8,98.4,1.3,0.5
1897,417400 ,2015VJ06,99.2,1.1,98.9,1.7,0.5
1898,417400 ,2015VJ09,100.0,2.4,99.9,2.9,0.5
1899,417400 ,2015VJ12,100.0,1.7,100.0,2.2,0.5
1900,417400 ,2016VJ03,101.0,2.2,101.0,2.7,0.5
1901,417400 ,2016VJ06,100.7,1.6,100.9,2.0,0.4
1902,417400 ,2016VJ09,101.6,1.5,101.8,1.9,0.4
1903,417400 ,2016VJ12,102.7,2.7,103.0,3.0,0.3
1904,417400 ,2017VJ03,102.4,1.4,102.8,1.8,0.3
1905,417400 ,2017VJ06,103.1,2.3,103.6,2.6,0.3
1906,417400 ,2017VJ09,103.7,2.1,104.3,2.5,0.4
1907,417400 ,2017VJ12,105.9,3.1,106.6,3.6,0.4
1908,417400 ,2018VJ03,107.4,4.8,108.3,5.3,0.4
1909,417400 ,2018VJ06,107.0,3.8,108.0,4.3,0.5
1910,417400 ,2018VJ09,107.6,3.8,108.7,4.3,0.5
1911,417400 ,2018VJ12,107.5,1.5,108.8,2.0,0.5
1912,417400 ,2019VJ03,107.9,0.4,109.3,0.9,0.5
1913,417400 ,2019VJ06,108.3,1.2,109.8,1.6,0.5
1914,417400 ,2019VJ09,108.2,0.5,109.7,0.9,0.4
1915,417400 ,2019VJ12,109.6,1.9,111.2,2.2,0.3
1916,417400 ,2020VJ03,110.4,2.3,112.0,2.5,0.2
1917,417400 ,2020VJ06,109.9,1.5,111.5,1.6,0.1
1918,417400 ,2020VJ09,111.4,2.9,113.0,3.0,0.1
1919,417400 ,2020VJ12,111.3,1.6,113.0,1.6,0.0
1920,417400 ,2021VJ03,109.9,-0.4,111.5,-0.4,0.0
1921,417400 ,2021VJ06,109.7,-0.2,111.2,-0.3,0.0
1922,417400 ,2021VJ09,110.8,-0.5,112.4,-0.6,-0.1
1923,417400 ,2021VJ12,111.6,0.2,113.1,0.1,-0.1
1924,417400 ,2022VJ03,112.9,2.7,114.4,2.6,-0.1
1925,417400 ,2022VJ06,114.5,4.4,116.0,4.3,-0.1
1926,417400 ,2022VJ09,116.0,4.7,117.5,4.6,-0.1
1927,417400 ,2022VJ12,120.3,7.8,121.8,7.7,-0.1
1928,417400 ,2023VJ03,120.7,6.9,122.1,6.7,-0.1
1929,417400 ,2023VJ06,123.0,7.5,124.5,7.3,-0.1
1930,417400 ,2023VJ09,124.0,6.9,125.4,6.7,-0.2
1931,417400 ,2023VJ12,125.7,4.5,127.0,4.3,-0.2
1932,419000 ,2001JJ00,67.7,,67.7,,
1933,419000 ,2002JJ00,70.2,3.6,69.9,3.2,-0.4
1934,419000 ,2003JJ00,71.1,1.4,70.8,1.2,-0.2
1935,419000 ,2004JJ00,73.6,3.5,73.2,3.5,0.0
1936,419000 ,2005JJ00,76.8,4.3,76.7,4.8,0.4
1937,419000 ,2006JJ00,79.7,3.7,79.5,3.7,0.0
1938,419000 ,2007JJ00,82.1,3.1,81.6,2.7,-0.4
1939,419000 ,2008JJ00,85.1,3.6,84.2,3.2,-0.4
1940,419000 ,2009JJ00,88.9,4.5,88.1,4.6,0.1
1941,419000 ,2010JJ00,92.2,3.7,91.2,3.5,-0.2
1942,419000 ,2011JJ00,94.2,2.2,93.3,2.3,0.1
1943,419000 ,2012JJ00,96.4,2.3,95.7,2.6,0.3
1944,419000 ,2013JJ00,98.6,2.3,98.4,2.9,0.5
1945,419000 ,2014JJ00,98.5,-0.1,98.7,0.3,0.3
1946,419000 ,2015JJ00,100.0,1.5,100.0,1.3,-0.2
1947,419000 ,2016JJ00,101.2,1.2,100.8,0.8,-0.4
1948,419000 ,2017JJ00,103.2,2.1,102.4,1.6,-0.4
1949,419000 ,2018JJ00,106.5,3.2,105.2,2.7,-0.5
1950,419000 ,2019JJ00,108.5,1.9,106.9,1.6,-0.2
1951,419000 ,2020JJ00,114.4,5.4,112.5,5.2,-0.2
1952,419000 ,2021JJ00,113.2,-1.0,110.7,-1.6,-0.6
1953,419000 ,2022JJ00,122.2,7.9,118.8,7.4,-0.5
1954,419000 ,2023JJ00,130.9,7.2,127.1,7.0,-0.2
1955,419000 ,2006VJ12,79.7,3.7,79.5,3.7,0.0
1956,419000 ,2007VJ03,80.2,,79.9,,
1957,419000 ,2007VJ06,80.7,,80.4,,
1958,419000 ,2007VJ09,81.2,,80.8,,
1959,419000 ,2007VJ12,82.1,3.1,81.6,2.7,-0.4
1960,419000 ,2008VJ03,83.1,3.6,82.5,3.2,-0.4
1961,419000 ,2008VJ06,83.7,3.8,83.1,3.4,-0.4
1962,419000 ,2008VJ09,83.9,3.4,83.1,2.9,-0.4
1963,419000 ,2008VJ12,85.1,3.6,84.2,3.2,-0.4
1964,419000 ,2009VJ03,86.1,3.6,85.2,3.3,-0.2
1965,419000 ,2009VJ06,87.3,4.2,86.5,4.1,-0.2
1966,419000 ,2009VJ09,88.0,4.8,87.2,4.8,0.0
1967,419000 ,2009VJ12,88.9,4.5,88.1,4.6,0.1
1968,419000 ,2010VJ03,89.0,3.5,88.2,3.5,0.0
1969,419000 ,2010VJ06,90.4,3.5,89.5,3.5,0.0
1970,419000 ,2010VJ09,91.9,4.5,90.9,4.3,-0.1
1971,419000 ,2010VJ12,92.2,3.7,91.2,3.5,-0.2
1972,419000 ,2011VJ03,92.3,3.7,91.3,3.5,-0.2
1973,419000 ,2011VJ06,92.5,2.3,91.5,2.2,0.0
1974,419000 ,2011VJ09,93.0,1.1,92.0,1.2,0.0
1975,419000 ,2011VJ12,94.2,2.2,93.3,2.3,0.1
1976,419000 ,2012VJ03,94.2,2.0,93.3,2.2,0.2
1977,419000 ,2012VJ06,94.6,2.3,93.7,2.5,0.1
1978,419000 ,2012VJ09,95.6,2.8,94.8,3.0,0.2
1979,419000 ,2012VJ12,96.4,2.3,95.7,2.6,0.3
1980,419000 ,2013VJ03,97.8,3.9,97.3,4.2,0.4
1981,419000 ,2013VJ06,98.1,3.8,97.7,4.2,0.5
1982,419000 ,2013VJ09,98.5,3.1,98.2,3.6,0.5
1983,419000 ,2013VJ12,98.6,2.3,98.4,2.9,0.5
1984,419000 ,2014VJ03,98.4,0.6,98.3,1.1,0.5
1985,419000 ,2014VJ06,98.4,0.3,98.5,0.8,0.5
1986,419000 ,2014VJ09,98.1,-0.4,98.2,0.1,0.5
1987,419000 ,2014VJ12,98.5,-0.1,98.7,0.3,0.3
1988,419000 ,2015VJ03,98.8,0.4,98.9,0.6,0.2
1989,419000 ,2015VJ06,99.1,0.7,99.2,0.8,0.1
1990,419000 ,2015VJ09,100.2,2.1,100.2,2.0,-0.1
1991,419000 ,2015VJ12,100.0,1.5,100.0,1.3,-0.2
1992,419000 ,2016VJ03,100.0,1.3,100.0,1.1,-0.2
1993,419000 ,2016VJ06,99.2,0.1,99.1,-0.2,-0.3
1994,419000 ,2016VJ09,100.1,0.0,99.9,-0.4,-0.3
1995,419000 ,2016VJ12,101.2,1.2,100.8,0.8,-0.4
1996,419000 ,2017VJ03,101.1,1.1,100.7,0.7,-0.4
1997,419000 ,2017VJ06,102.8,3.6,102.2,3.2,-0.4
1998,419000 ,2017VJ09,102.2,2.1,101.5,1.6,-0.4
1999,419000 ,2017VJ12,103.2,2.1,102.4,1.6,-0.4
2000,419000 ,2018VJ03,104.0,2.9,103.1,2.4,-0.5
2001,419000 ,2018VJ06,104.2,1.4,103.1,0.9,-0.5
2002,419000 ,2018VJ09,105.5,3.2,104.3,2.7,-0.5
2003,419000 ,2018VJ12,106.5,3.2,105.2,2.7,-0.5
2004,419000 ,2019VJ03,107.9,3.7,106.5,3.3,-0.4
2005,419000 ,2019VJ06,108.8,4.4,107.3,4.0,-0.4
2006,419000 ,2019VJ09,108.4,2.8,106.8,2.4,-0.3
2007,419000 ,2019VJ12,108.5,1.9,106.9,1.6,-0.2
2008,419000 ,2020VJ03,111.6,3.4,109.9,3.2,-0.2
2009,419000 ,2020VJ06,111.2,2.2,109.6,2.1,-0.1
2010,419000 ,2020VJ09,113.6,4.8,111.8,4.7,-0.1
2011,419000 ,2020VJ12,114.4,5.4,112.5,5.2,-0.2
2012,419000 ,2021VJ03,110.7,-0.8,108.7,-1.1,-0.2
2013,419000 ,2021VJ06,111.6,0.3,109.5,-0.1,-0.4
2014,419000 ,2021VJ09,112.6,-0.9,110.3,-1.4,-0.5
2015,419000 ,2021VJ12,113.2,-1.0,110.7,-1.6,-0.6
2016,419000 ,2022VJ03,114.0,3.0,111.2,2.3,-0.7
2017,419000 ,2022VJ06,116.3,4.3,113.4,3.6,-0.7
2018,419000 ,2022VJ09,119.0,5.7,115.8,5.1,-0.6
2019,419000 ,2022VJ12,122.2,7.9,118.8,7.4,-0.5
2020,419000 ,2023VJ03,123.2,8.1,119.8,7.7,-0.4
2021,419000 ,2023VJ06,124.6,7.1,121.1,6.9,-0.3
2022,419000 ,2023VJ09,127.3,7.0,123.7,6.8,-0.2
2023,419000 ,2023VJ12,130.9,7.2,127.1,7.0,-0.2
2024,422400 ,2001JJ00,71.2,,67.8,,
2025,422400 ,2002JJ00,74.6,4.7,70.8,4.4,-0.3
2026,422400 ,2003JJ00,78.0,4.6,74.1,4.7,0.1
2027,422400 ,2004JJ00,78.8,1.0,75.3,1.6,0.6
2028,422400 ,2005JJ00,81.3,3.1,78.1,3.6,0.5
2029,422400 ,2006JJ00,82.5,1.5,80.1,2.5,1.1
2030,422400 ,2007JJ00,85.0,3.1,82.6,3.1,0.1
2031,422400 ,2008JJ00,88.7,4.4,85.9,4.0,-0.3
2032,422400 ,2009JJ00,90.7,2.2,87.8,2.2,0.0
2033,422400 ,2010JJ00,93.1,2.7,90.0,2.5,-0.2
2034,422400 ,2011JJ00,94.5,1.4,91.5,1.6,0.2
2035,422400 ,2012JJ00,96.3,1.9,93.7,2.4,0.4
2036,422400 ,2013JJ00,98.3,2.1,96.6,3.1,1.0
2037,422400 ,2014JJ00,99.8,1.6,99.0,2.5,0.9
2038,422400 ,2015JJ00,100.0,0.2,100.0,1.1,0.8
2039,422400 ,2016JJ00,101.5,1.5,101.7,1.7,0.2
2040,422400 ,2017JJ00,103.3,1.7,103.3,1.5,-0.2
2041,422400 ,2018JJ00,105.2,1.8,104.9,1.5,-0.3
2042,422400 ,2019JJ00,108.3,2.9,107.4,2.4,-0.5
2043,422400 ,2020JJ00,114.5,5.7,113.4,5.6,-0.1
2044,422400 ,2021JJ00,115.3,0.7,114.0,0.5,-0.3
2045,422400 ,2022JJ00,121.4,5.3,119.8,5.1,-0.2
2046,422400 ,2023JJ00,129.0,6.2,127.1,6.1,-0.1
2047,422400 ,2006VJ12,82.5,1.5,80.1,2.5,1.1
2048,422400 ,2007VJ03,83.3,,80.9,,
2049,422400 ,2007VJ06,83.9,,81.5,,
2050,422400 ,2007VJ09,84.3,,81.9,,
2051,422400 ,2007VJ12,85.0,3.1,82.6,3.1,0.1
2052,422400 ,2008VJ03,86.0,3.2,83.5,3.2,-0.1
2053,422400 ,2008VJ06,86.9,3.6,84.3,3.3,-0.2
2054,422400 ,2008VJ09,87.5,3.8,84.8,3.5,-0.3
2055,422400 ,2008VJ12,88.7,4.4,85.9,4.0,-0.3
2056,422400 ,2009VJ03,89.1,3.6,86.2,3.3,-0.3
2057,422400 ,2009VJ06,90.1,3.7,87.2,3.5,-0.2
2058,422400 ,2009VJ09,90.3,3.2,87.4,3.1,-0.1
2059,422400 ,2009VJ12,90.7,2.2,87.8,2.2,0.0
2060,422400 ,2010VJ03,91.1,2.2,88.1,2.2,0.0
2061,422400 ,2010VJ06,92.4,2.5,89.3,2.4,-0.1
