ID,KenmerkenInstallaties,Perioden,Productie_1,VerbruikGasmotorenWKKInstallatie_2,VerbruikGasmotorenDirecteAandrijving_3,VerbruikVoorOpwarmingSlibgistingstank_4,VerbruikVoorSlibontwatering_5,Afgefakkeld_6,Afgeblazen_7,VerbruikOfToepassingOnbekend_8,Aflevering_9,Aankoop_10,ProductieInWKKInstallaties_11,TotaalVerbruik_12,Warmteproductie_13,Aardgasverbruik_14,HuisbrandolieVerbruik_15,VerbruikPerKgVerwijdBZVGemiddelde_16,VerbruikPerKgVerwijdBZVLandelijk_17,AandeelBeluchtingInTotaalverbruik_18
0,NL0000         ,1981JJ00,34560.0,6158.0,,6859.0,0.0,8852.0,,12692.0,0.0,266.0,10.0,276.0,,7368.0,6572.0,4.8,3.1,70.0
1,NL0000         ,1985JJ00,49010.0,25968.0,,12995.0,0.0,7293.0,,2754.0,0.0,305.0,42.0,347.0,,11790.0,2043.0,4.8,3.5,72.0
2,NL0000         ,1990JJ00,74008.0,49086.0,,13437.0,0.0,8961.0,,2524.0,0.0,403.0,91.0,494.0,,10441.0,1149.0,4.8,4.2,71.0
3,NL0000         ,1991JJ00,83617.0,50799.0,,9185.0,0.0,10667.0,,12966.0,0.0,400.0,107.0,506.0,,12142.0,1649.0,4.8,4.2,69.0
4,NL0000         ,1992JJ00,77253.0,52510.0,,11352.0,0.0,8232.0,,5160.0,0.0,294.0,105.0,398.0,,6756.0,4563.0,4.9,4.2,77.0
5,NL0000         ,1993JJ00,84497.0,56294.0,,8461.0,0.0,6069.0,,13673.0,0.0,427.0,100.0,527.0,,10935.0,846.0,5.0,4.4,68.0
6,NL0000         ,1995JJ00,85170.0,62482.0,,16041.0,0.0,6465.0,,181.0,0.0,446.0,108.0,554.0,,6810.0,339.0,5.5,4.8,66.0
7,NL0000         ,1996JJ00,83567.0,59642.0,,18530.0,0.0,5172.0,,223.0,0.0,474.0,108.0,582.0,,12240.0,387.0,5.3,5.3,67.0
8,NL0000         ,1997JJ00,87239.0,61625.0,,12657.0,7320.0,5522.0,,115.0,0.0,482.0,151.0,615.0,,31034.0,333.0,5.3,4.9,67.0
9,NL0000         ,1998JJ00,82545.0,62781.0,,10347.0,3800.0,5426.0,,192.0,0.0,511.0,140.0,629.0,,29563.0,250.0,5.7,5.2,63.0
10,NL0000         ,1999JJ00,86412.0,66082.0,,8907.0,4645.0,5303.0,,1475.0,0.0,477.0,151.0,606.0,,29967.0,791.0,5.5,5.1,58.0
11,NL0000         ,2000JJ00,87931.0,65890.0,,7805.0,7679.0,6150.0,,407.0,0.0,529.0,154.0,663.0,,30267.0,86.0,5.6,5.3,66.0
12,NL0000         ,2001JJ00,94339.0,70435.0,,9186.0,7854.0,6248.0,,616.0,0.0,564.0,163.0,712.0,,31255.0,111.0,6.0,5.7,65.0
13,NL0000         ,2002JJ00,96609.0,74925.0,,4705.0,8337.0,7329.0,1197.0,116.0,0.0,555.0,143.0,697.0,,27919.0,318.0,6.0,5.6,60.0
14,NL0000         ,2003JJ00,93942.0,72777.0,,4548.0,8786.0,7530.0,278.0,24.0,0.0,550.0,149.0,682.0,,32703.0,301.0,6.1,5.5,62.0
15,NL0000         ,2004JJ00,96648.0,70658.0,1455.0,4913.0,8620.0,9712.0,939.0,350.0,0.0,565.0,166.0,731.0,1091.0,34845.0,193.0,6.2,5.7,61.0
16,NL0000         ,2005JJ00,91139.0,68346.0,1527.0,5073.0,6258.0,7536.0,400.0,1251.0,748.0,573.0,153.0,724.0,1036.0,34106.0,194.0,6.2,5.8,60.0
17,NL0000         ,2006JJ00,95316.0,65016.0,1628.0,4574.0,865.0,8731.0,325.0,5167.0,9011.0,577.0,151.0,728.0,887.0,28882.0,215.0,6.2,5.9,60.0
18,NL0000         ,2007JJ00,93139.0,66672.0,1610.0,4452.0,793.0,8591.0,800.0,1086.0,9134.0,582.0,155.0,709.0,933.0,29574.0,276.0,6.1,5.8,61.0
19,NL0000         ,2008JJ00,95080.0,69054.0,1405.0,6122.0,798.0,6713.0,414.0,1415.0,9159.0,583.0,170.0,721.0,951.0,30193.0,288.0,6.1,5.6,60.0
20,NL0000         ,2009JJ00,97542.0,69035.0,1178.0,5119.0,793.0,8028.0,1684.0,1749.0,9956.0,586.0,157.0,717.0,698.0,25750.0,332.0,6.1,5.6,60.0
21,NL0000         ,2010JJ00,98539.0,74555.0,643.0,3919.0,883.0,7360.0,1066.0,1697.0,11693.0,578.0,183.0,711.0,919.0,26453.0,279.0,5.8,5.4,59.0
22,NL0000         ,2011JJ00,99421.0,76100.0,0.0,3618.0,840.0,6449.0,379.0,2167.0,9576.0,561.0,185.0,710.0,986.0,24364.0,286.0,5.5,5.2,60.0
23,NL0000         ,2012JJ00,102502.0,80062.0,0.0,2333.0,470.0,6938.0,218.0,3629.0,9747.0,539.0,200.0,698.0,1294.0,23099.0,246.0,5.5,5.1,58.0
24,T1000          ,1981JJ00,189.0,0.0,,92.0,0.0,29.0,,68.0,0.0,7.0,0.0,7.0,,25.0,49.0,4.2,2.0,0.0
25,T1000          ,1985JJ00,168.0,0.0,,129.0,0.0,40.0,,0.0,0.0,9.0,0.0,9.0,,30.0,26.0,5.1,3.8,0.0
26,T1000          ,1990JJ00,65.0,0.0,,0.0,0.0,0.0,,65.0,0.0,1.0,0.0,1.0,,5.0,19.0,8.3,3.6,0.0
27,T1000          ,1991JJ00,123.0,0.0,,0.0,0.0,0.0,,123.0,0.0,1.0,0.0,1.0,,7.0,29.0,3.1,3.6,0.0
28,T1000          ,1992JJ00,45.0,27.0,,9.0,0.0,8.0,,0.0,0.0,1.0,0.0,1.0,,3.0,31.0,2.9,3.2,0.0
29,T1000          ,1993JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,,4.0,30.0,4.5,3.1,0.0
30,T1000          ,1995JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,24.3,2.5,0.0
31,T1000          ,1996JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
32,T1000          ,1997JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.6,0.9,0.0
33,T1000          ,1998JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
34,T1000          ,1999JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
35,T1000          ,2000JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
36,T1000          ,2001JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
37,T1000          ,2002JJ00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
38,T1000          ,2003JJ00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
39,T1000          ,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,T1000          ,2005JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,T1000          ,2006JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,T1000          ,2007JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,T1000          ,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,T1000          ,2009JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,T1000          ,2010JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,T1000          ,2011JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,T1000          ,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,T2110          ,1981JJ00,7410.0,1113.0,,1091.0,0.0,1822.0,,3384.0,0.0,18.0,1.0,19.0,,597.0,4577.0,2.4,1.8,100.0
49,T2110          ,1985JJ00,7400.0,2210.0,,2764.0,0.0,1359.0,,1066.0,0.0,13.0,4.0,17.0,,552.0,117.0,2.2,1.9,62.0
50,T2110          ,1990JJ00,7891.0,4031.0,,1325.0,0.0,1856.0,,678.0,0.0,11.0,5.0,16.0,,395.0,58.0,2.1,2.0,0.0
51,T2110          ,1991JJ00,8024.0,3639.0,,1192.0,0.0,1580.0,,1614.0,0.0,10.0,5.0,15.0,,279.0,257.0,2.1,2.0,0.0
52,T2110          ,1992JJ00,6503.0,3009.0,,1202.0,0.0,1788.0,,504.0,0.0,6.0,5.0,11.0,,198.0,3840.0,2.1,1.8,100.0
53,T2110          ,1993JJ00,7028.0,3908.0,,736.0,0.0,1413.0,,971.0,0.0,13.0,4.0,17.0,,258.0,26.0,2.4,2.6,0.0
54,T2110          ,1995JJ00,5746.0,2972.0,,1575.0,0.0,1198.0,,0.0,0.0,8.0,5.0,13.0,,337.0,8.0,2.9,2.7,1.0
55,T2110          ,1996JJ00,5507.0,2851.0,,1535.0,0.0,1076.0,,45.0,0.0,7.0,4.0,11.0,,243.0,1.0,3.5,2.3,0.0
56,T2110          ,1997JJ00,4779.0,2115.0,,1410.0,0.0,1249.0,,5.0,0.0,7.0,4.0,11.0,,162.0,2.0,2.9,2.6,0.0
57,T2110          ,1998JJ00,3182.0,1612.0,,939.0,0.0,579.0,,51.0,0.0,6.0,3.0,8.0,,169.0,0.0,3.4,3.3,3.0
58,T2110          ,1999JJ00,2691.0,1597.0,,542.0,0.0,353.0,,199.0,0.0,5.0,3.0,8.0,,683.0,0.0,2.9,3.1,3.0
59,T2110          ,2000JJ00,2119.0,1574.0,,258.0,0.0,163.0,,124.0,0.0,4.0,3.0,7.0,,111.0,0.0,4.2,3.9,0.0
60,T2110          ,2001JJ00,2301.0,1568.0,,222.0,0.0,245.0,,265.0,0.0,4.0,3.0,7.0,,159.0,0.0,4.4,4.2,0.0
61,T2110          ,2002JJ00,2375.0,1904.0,,232.0,0.0,110.0,130.0,0.0,0.0,4.0,3.0,6.0,,115.0,2.0,3.5,3.3,0.0
62,T2110          ,2003JJ00,2439.0,1914.0,,296.0,0.0,228.0,0.0,0.0,0.0,3.0,3.0,6.0,,119.0,2.0,3.7,3.3,0.0
63,T2110          ,2004JJ00,2155.0,1803.0,0.0,269.0,0.0,84.0,0.0,0.0,0.0,5.0,3.0,7.0,5.0,93.0,0.0,3.8,4.1,0.0
64,T2110          ,2005JJ00,1844.0,1356.0,0.0,356.0,0.0,15.0,0.0,117.0,0.0,4.0,2.0,6.0,0.0,78.0,0.0,4.2,4.4,0.0
65,T2110          ,2006JJ00,1723.0,1256.0,0.0,209.0,0.0,153.0,0.0,104.0,0.0,4.0,2.0,6.0,0.0,54.0,1.0,4.1,4.4,0.0
66,T2110          ,2007JJ00,1677.0,1293.0,0.0,249.0,0.0,91.0,0.0,43.0,0.0,3.0,2.0,5.0,0.0,69.0,4.0,3.8,4.3,0.0
67,T2110          ,2008JJ00,1427.0,1227.0,0.0,130.0,0.0,9.0,0.0,15.0,46.0,3.0,2.0,4.0,0.0,93.0,3.0,3.9,3.6,0.0
68,T2110          ,2009JJ00,1323.0,1091.0,0.0,151.0,0.0,14.0,0.0,67.0,0.0,3.0,2.0,5.0,1.0,141.0,0.0,5.9,4.7,0.0
69,T2110          ,2010JJ00,519.0,274.0,0.0,154.0,0.0,10.0,0.0,34.0,48.0,4.0,1.0,4.0,0.0,142.0,0.0,3.5,3.8,0.0
70,T2110          ,2011JJ00,465.0,237.0,0.0,110.0,0.0,35.0,0.0,14.0,68.0,3.0,0.0,4.0,2.0,33.0,0.0,2.9,3.4,0.0
71,T2110          ,2012JJ00,451.0,207.0,0.0,103.0,0.0,38.0,0.0,14.0,89.0,4.0,0.0,4.0,2.0,28.0,0.0,4.0,4.4,0.0
72,T2010          ,1981JJ00,17303.0,3509.0,,4732.0,0.0,4642.0,,4420.0,0.0,98.0,3.0,101.0,,3130.0,1514.0,3.4,3.2,63.0
73,T2010          ,1985JJ00,26935.0,15425.0,,7185.0,0.0,3722.0,,604.0,0.0,107.0,24.0,131.0,,5989.0,1184.0,3.5,3.5,60.0
74,T2010          ,1990JJ00,41131.0,24613.0,,9942.0,0.0,5327.0,,1250.0,0.0,146.0,53.0,199.0,,5543.0,899.0,4.1,4.2,61.0
75,T2010          ,1991JJ00,47695.0,29986.0,,5613.0,0.0,7908.0,,4188.0,0.0,134.0,61.0,195.0,,7121.0,329.0,4.4,4.1,57.0
76,T2010          ,1992JJ00,46254.0,34145.0,,6058.0,0.0,4968.0,,1083.0,0.0,111.0,64.0,175.0,,3718.0,48.0,4.5,4.2,77.0
77,T2010          ,1993JJ00,47878.0,33973.0,,3846.0,0.0,2437.0,,7623.0,0.0,129.0,59.0,189.0,,4884.0,114.0,4.3,4.1,62.0
78,T2010          ,1995JJ00,49164.0,36606.0,,9723.0,0.0,2823.0,,12.0,0.0,129.0,63.0,191.0,,2789.0,0.0,4.1,4.1,58.0
79,T2010          ,1996JJ00,49500.0,34395.0,,12464.0,0.0,2464.0,,177.0,0.0,172.0,63.0,235.0,,7532.0,0.0,5.0,5.4,58.0
80,T2010          ,1997JJ00,52035.0,35411.0,,6779.0,7320.0,2513.0,,13.0,0.0,151.0,99.0,231.0,,21799.0,0.0,4.3,4.5,55.0
81,T2010          ,1998JJ00,45605.0,34473.0,,4965.0,2868.0,3199.0,,100.0,0.0,144.0,97.0,219.0,,20259.0,0.0,4.7,4.7,52.0
82,T2010          ,1999JJ00,49163.0,37771.0,,4307.0,4645.0,2371.0,,70.0,0.0,119.0,98.0,195.0,,18725.0,594.0,4.4,4.3,58.0
83,T2010          ,2000JJ00,50647.0,35960.0,,4020.0,0.0,2980.0,,8.0,0.0,131.0,63.0,195.0,,2778.0,0.0,4.6,4.3,54.0
84,T2010          ,2001JJ00,53742.0,37659.0,,5223.0,0.0,2751.0,,256.0,0.0,151.0,67.0,218.0,,2921.0,0.0,5.4,5.1,58.0
85,T2010          ,2002JJ00,55620.0,41192.0,,2460.0,110.0,4225.0,279.0,19.0,0.0,134.0,67.0,201.0,,2683.0,0.0,4.9,4.7,48.0
86,T2010          ,2003JJ00,49858.0,36739.0,,2203.0,0.0,2722.0,247.0,24.0,0.0,122.0,62.0,184.0,,2914.0,0.0,5.0,4.5,50.0
87,T2010          ,2004JJ00,48657.0,33290.0,1277.0,2190.0,0.0,3493.0,540.0,29.0,0.0,124.0,66.0,190.0,372.0,2781.0,0.0,5.1,4.4,50.0
88,T2010          ,2005JJ00,51004.0,36791.0,1527.0,2109.0,0.0,3916.0,212.0,388.0,748.0,140.0,70.0,211.0,342.0,3487.0,0.0,4.9,4.6,50.0
89,T2010          ,2006JJ00,56503.0,34174.0,1628.0,2272.0,0.0,5004.0,183.0,4231.0,9011.0,162.0,65.0,227.0,335.0,3674.0,0.0,5.2,5.0,53.0
90,T2010          ,2007JJ00,51747.0,34793.0,1610.0,1547.0,0.0,3932.0,96.0,634.0,9134.0,156.0,65.0,221.0,344.0,2325.0,6.0,5.1,5.0,48.0
91,T2010          ,2008JJ00,50363.0,33892.0,1405.0,1824.0,0.0,3202.0,164.0,762.0,9113.0,158.0,68.0,226.0,324.0,1653.0,26.0,5.0,4.9,49.0
92,T2010          ,2009JJ00,54143.0,36087.0,1178.0,1774.0,0.0,4034.0,34.0,1080.0,9956.0,170.0,73.0,242.0,351.0,1829.0,53.0,5.1,4.9,48.0
93,T2010          ,2010JJ00,52653.0,37071.0,507.0,1098.0,0.0,2270.0,152.0,926.0,10629.0,156.0,76.0,230.0,362.0,1828.0,54.0,5.0,4.7,48.0
94,T2010          ,2011JJ00,52636.0,38547.0,0.0,1151.0,0.0,1928.0,311.0,923.0,9505.0,150.0,80.0,227.0,363.0,1257.0,96.0,4.8,4.7,49.0
95,T2010          ,2012JJ00,53197.0,38009.0,0.0,1128.0,107.0,3074.0,46.0,1340.0,9492.0,144.0,78.0,219.0,479.0,1314.0,58.0,4.5,4.5,45.0
96,T2020          ,1981JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,12.0,1.0,13.0,,270.0,6.0,5.3,5.0,72.0
97,T2020          ,1985JJ00,286.0,273.0,,0.0,0.0,13.0,,0.0,0.0,20.0,0.0,21.0,,259.0,21.0,5.5,4.2,72.0
98,T2020          ,1990JJ00,770.0,770.0,,0.0,0.0,0.0,,0.0,0.0,28.0,1.0,28.0,,392.0,28.0,5.5,4.7,71.0
99,T2020          ,1991JJ00,881.0,253.0,,54.0,0.0,1.0,,574.0,0.0,29.0,1.0,30.0,,276.0,35.0,5.4,4.7,70.0
100,T2020          ,1992JJ00,594.0,212.0,,43.0,0.0,7.0,,332.0,0.0,13.0,0.0,14.0,,130.0,0.0,4.7,3.9,80.0
101,T2020          ,1993JJ00,2720.0,1993.0,,0.0,0.0,287.0,,439.0,0.0,36.0,3.0,38.0,,414.0,46.0,5.4,4.6,69.0
102,T2020          ,1995JJ00,2569.0,2025.0,,331.0,0.0,202.0,,12.0,0.0,37.0,3.0,40.0,,348.0,0.0,5.5,5.1,68.0
103,T2020          ,1996JJ00,1231.0,850.0,,333.0,0.0,48.0,,0.0,0.0,30.0,1.0,31.0,,674.0,0.0,5.3,5.0,66.0
104,T2020          ,1997JJ00,3199.0,2121.0,,762.0,0.0,316.0,,0.0,0.0,34.0,4.0,38.0,,320.0,0.0,5.0,4.3,62.0
105,T2020          ,1998JJ00,4707.0,3627.0,,751.0,0.0,329.0,,0.0,0.0,45.0,6.0,51.0,,666.0,0.0,5.6,4.9,63.0
106,T2020          ,1999JJ00,3726.0,2589.0,,623.0,0.0,512.0,,2.0,0.0,44.0,5.0,49.0,,569.0,0.0,4.9,4.4,55.0
107,T2020          ,2000JJ00,5975.0,4484.0,,473.0,0.0,1019.0,,0.0,0.0,59.0,3.0,63.0,,606.0,0.0,5.1,4.3,68.0
108,T2020          ,2001JJ00,7030.0,5422.0,,755.0,0.0,765.0,,88.0,0.0,61.0,9.0,71.0,,550.0,0.0,5.5,4.7,67.0
109,T2020          ,2002JJ00,6868.0,5722.0,,657.0,0.0,487.0,2.0,0.0,0.0,64.0,10.0,74.0,,3258.0,0.0,5.9,5.1,63.0
110,T2020          ,2003JJ00,10773.0,8660.0,,844.0,0.0,1238.0,31.0,0.0,0.0,75.0,15.0,90.0,,5887.0,0.0,5.8,5.5,63.0
111,T2020          ,2004JJ00,11901.0,8376.0,178.0,1105.0,0.0,1852.0,390.0,0.0,0.0,75.0,15.0,90.0,103.0,5662.0,0.0,5.9,5.3,61.0
112,T2020          ,2005JJ00,8900.0,6348.0,0.0,1266.0,0.0,1055.0,112.0,119.0,0.0,72.0,12.0,84.0,90.0,5797.0,2.0,6.2,5.9,60.0
113,T2020          ,2006JJ00,9709.0,7301.0,0.0,768.0,0.0,1266.0,111.0,264.0,0.0,70.0,13.0,83.0,69.0,3542.0,2.0,5.8,5.5,58.0
114,T2020          ,2007JJ00,10002.0,7526.0,0.0,957.0,0.0,1371.0,47.0,101.0,0.0,71.0,13.0,84.0,83.0,5733.0,2.0,5.9,5.6,59.0
115,T2020          ,2008JJ00,10379.0,8009.0,0.0,1460.0,0.0,502.0,3.0,406.0,0.0,70.0,15.0,85.0,86.0,5554.0,1.0,5.7,5.6,58.0
116,T2020          ,2009JJ00,10139.0,7964.0,0.0,1113.0,0.0,673.0,6.0,382.0,0.0,69.0,15.0,83.0,92.0,5942.0,0.0,5.6,5.3,58.0
117,T2020          ,2010JJ00,10182.0,11307.0,0.0,665.0,0.0,915.0,90.0,429.0,0.0,65.0,25.0,82.0,115.0,5158.0,0.0,5.5,5.1,57.0
118,T2020          ,2011JJ00,12554.0,11022.0,0.0,649.0,0.0,895.0,35.0,442.0,3.0,75.0,21.0,91.0,109.0,739.0,0.0,5.2,4.9,58.0
119,T2020          ,2012JJ00,12912.0,11602.0,0.0,396.0,0.0,1063.0,127.0,452.0,166.0,74.0,23.0,92.0,165.0,660.0,0.0,5.2,4.8,56.0
120,T2030          ,1981JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,17.0,0.0,17.0,,122.0,31.0,5.5,4.1,71.0
121,T2030          ,1985JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,21.0,0.0,21.0,,64.0,27.0,5.3,3.9,80.0
122,T2030          ,1990JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,27.0,0.0,27.0,,102.0,12.0,5.2,3.9,75.0
123,T2030          ,1991JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,30.0,,127.0,20.0,5.4,4.2,73.0
124,T2030          ,1992JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,15.0,0.0,15.0,,12.0,0.0,6.6,4.7,81.0
125,T2030          ,1993JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,30.0,,136.0,15.0,5.3,4.3,72.0
126,T2030          ,1995JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,28.0,0.0,28.0,,79.0,11.0,5.6,4.5,70.0
127,T2030          ,1996JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,26.0,0.0,26.0,,74.0,13.0,5.3,4.1,71.0
128,T2030          ,1997JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,32.0,0.0,32.0,,90.0,0.0,6.2,4.8,70.0
129,T2030          ,1998JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,37.0,0.0,37.0,,96.0,0.0,6.1,5.1,69.0
130,T2030          ,1999JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,36.0,0.0,36.0,,109.0,0.0,5.7,5.2,65.0
131,T2030          ,2000JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,33.0,0.0,33.0,,79.0,0.0,5.9,5.2,73.0
132,T2030          ,2001JJ00,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,34.0,0.0,34.0,,149.0,0.0,6.2,5.2,69.0
133,T2030          ,2002JJ00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,,137.0,0.0,6.4,5.4,62.0
134,T2030          ,2003JJ00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,,129.0,0.0,6.6,5.4,63.0
135,T2030          ,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,99.0,0.0,6.2,5.2,65.0
136,T2030          ,2005JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,124.0,3.0,6.4,5.6,63.0
137,T2030          ,2006JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,44.0,0.0,120.0,0.0,6.6,5.7,64.0
138,T2030          ,2007JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,43.0,0.0,102.0,0.0,6.7,6.0,66.0
139,T2030          ,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,41.0,0.0,243.0,0.0,6.7,5.7,67.0
140,T2030          ,2009JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,95.0,0.0,6.5,5.5,67.0
141,T2030          ,2010JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,118.0,0.0,6.3,5.1,67.0
142,T2030          ,2011JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,34.0,0.0,85.0,0.0,6.2,4.8,66.0
143,T2030          ,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0,103.0,0.0,6.1,5.0,64.0
144,T2040          ,1981JJ00,166.0,0.0,,0.0,0.0,0.0,,166.0,0.0,74.0,0.0,74.0,,2105.0,118.0,4.9,4.3,76.0
145,T2040          ,1985JJ00,277.0,23.0,,154.0,0.0,100.0,,0.0,0.0,91.0,0.0,91.0,,2300.0,150.0,5.0,4.6,76.0
146,T2040          ,1990JJ00,3711.0,2738.0,,400.0,0.0,423.0,,151.0,0.0,122.0,7.0,129.0,,2399.0,106.0,5.4,4.8,77.0
147,T2040          ,1991JJ00,3995.0,2560.0,,250.0,0.0,84.0,,1101.0,0.0,126.0,7.0,133.0,,2094.0,132.0,5.6,4.8,75.0
148,T2040          ,1992JJ00,4034.0,3189.0,,537.0,0.0,289.0,,20.0,0.0,82.0,7.0,89.0,,923.0,15.0,5.3,4.7,75.0
149,T2040          ,1993JJ00,4575.0,3475.0,,709.0,0.0,295.0,,96.0,0.0,144.0,8.0,151.0,,2512.0,108.0,5.6,5.0,72.0
150,T2040          ,1995JJ00,6430.0,5547.0,,465.0,0.0,353.0,,65.0,0.0,168.0,11.0,179.0,,1524.0,7.0,6.3,5.9,71.0
151,T2040          ,1996JJ00,7371.0,6004.0,,1106.0,0.0,260.0,,0.0,0.0,161.0,13.0,174.0,,2392.0,15.0,5.9,5.6,71.0
152,T2040          ,1997JJ00,8684.0,7374.0,,794.0,0.0,516.0,,1.0,0.0,180.0,14.0,194.0,,5280.0,3.0,5.9,5.7,75.0
153,T2040          ,1998JJ00,10081.0,8094.0,,1758.0,0.0,194.0,,34.0,0.0,187.0,13.0,200.0,,6657.0,10.0,6.3,5.8,67.0
154,T2040          ,1999JJ00,12188.0,10188.0,,1012.0,0.0,302.0,,687.0,0.0,185.0,18.0,203.0,,8236.0,2.0,6.2,6.0,60.0
155,T2040          ,2000JJ00,12795.0,11107.0,,995.0,0.0,549.0,,144.0,0.0,201.0,21.0,222.0,,5005.0,2.0,6.3,5.9,69.0
156,T2040          ,2001JJ00,14290.0,11953.0,,1312.0,0.0,1017.0,,7.0,0.0,213.0,23.0,236.0,,8674.0,7.0,6.6,6.1,68.0
157,T2040          ,2002JJ00,13588.0,10924.0,,1066.0,0.0,1020.0,578.0,0.0,0.0,210.0,20.0,230.0,,6429.0,42.0,6.5,6.0,66.0
158,T2040          ,2003JJ00,13883.0,11420.0,,760.0,0.0,1703.0,0.0,0.0,0.0,210.0,22.0,232.0,,6769.0,4.0,6.5,6.2,67.0
159,T2040          ,2004JJ00,14317.0,11210.0,0.0,888.0,0.0,1983.0,10.0,227.0,0.0,220.0,23.0,243.0,142.0,8282.0,5.0,7.0,6.3,65.0
160,T2040          ,2005JJ00,14272.0,11533.0,0.0,1028.0,132.0,1376.0,58.0,146.0,0.0,220.0,24.0,242.0,136.0,7975.0,4.0,6.6,6.3,66.0
