ID,Geslacht,Leeftijden,TypeZorg,SamenstellingHuishoudens,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0,0, 0,0,2004JJ00,608095,4.77,89515,147,7.02
1,0,0, 0,0,2005JJ00,595375,4.66,90493,152,7.08
2,0,0, 0,0,2006JJ00,607575,4.74,95031,156,7.42
3,0,0, 0,0,2007JJ00,610180,4.76,95279,156,7.43
4,0,0, 0,0,2008JJ00,620190,4.79,96447,156,7.44
5,0,0, 0,0,2009JJ00,620890,4.76,99194,160,7.6
6,0,0, 0,0,2010JJ00,629155,4.79,101725,162,7.74
7,0,0, 0,1,2004JJ00,336500,14.16,57467,171,24.17
8,0,0, 0,1,2005JJ00,337605,14.07,59573,176,24.83
9,0,0, 0,1,2006JJ00,347905,14.24,63191,182,25.86
10,0,0, 0,1,2007JJ00,352480,14.27,63575,180,25.73
11,0,0, 0,1,2008JJ00,359320,14.25,64376,179,25.54
12,0,0, 0,1,2009JJ00,363075,14.14,66330,183,25.84
13,0,0, 0,1,2010JJ00,368155,14.11,68105,185,26.1
14,0,0, 0,2,2004JJ00,73020,1.23,8045,110,1.36
15,0,0, 0,2,2005JJ00,63575,1.07,7081,111,1.19
16,0,0, 0,2,2006JJ00,61185,1.03,6891,113,1.16
17,0,0, 0,2,2007JJ00,57950,0.98,6536,113,1.11
18,0,0, 0,2,2008JJ00,56895,0.96,6389,112,1.08
19,0,0, 0,2,2009JJ00,54165,0.91,6417,118,1.08
20,0,0, 0,2,2010JJ00,53865,0.91,6582,122,1.11
21,0,0, 0,3,2004JJ00,25795,3.7,3477,135,4.99
22,0,0, 0,3,2005JJ00,24765,3.47,3354,135,4.71
23,0,0, 0,3,2006JJ00,24490,3.38,3354,137,4.63
24,0,0, 0,3,2007JJ00,23660,3.23,3235,137,4.41
25,0,0, 0,3,2008JJ00,23885,3.18,3262,137,4.34
26,0,0, 0,3,2009JJ00,23675,3.08,3336,141,4.34
27,0,0, 0,3,2010JJ00,24430,3.1,3516,144,4.47
28,0,0, 0,4,2004JJ00,47225,0.9,4568,97,0.87
29,0,0, 0,4,2005JJ00,38810,0.74,3727,96,0.71
30,0,0, 0,4,2006JJ00,36695,0.71,3537,96,0.68
31,0,0, 0,4,2007JJ00,34285,0.66,3301,96,0.64
32,0,0, 0,4,2008JJ00,33010,0.64,3128,95,0.61
33,0,0, 0,4,2009JJ00,30490,0.59,3081,101,0.6
34,0,0, 0,4,2010JJ00,29430,0.57,3066,104,0.6
35,0,0, 0,5,2004JJ00,198575,4.48,24003,121,5.41
36,0,0, 0,5,2005JJ00,194195,4.36,23839,123,5.36
37,0,0, 0,5,2006JJ00,198480,4.46,24948,126,5.61
38,0,0, 0,5,2007JJ00,199750,4.47,25168,126,5.63
39,0,0, 0,5,2008JJ00,203980,4.51,25682,126,5.68
40,0,0, 0,5,2009JJ00,203645,4.46,26447,130,5.8
41,0,0, 0,5,2010JJ00,207140,4.52,27039,131,5.9
42,0,0, 0,6,2004JJ00,187125,4.54,21901,117,5.32
