ID,Aardolieproducten,Perioden,TotaalAanbod_1,TotaleProductie_2,Raffinaderijen_3,PetrochemischeIndustrie_4,Groothandel_5,Invoer_6,Uitvoer_7,Bunkers_8,Voorraadmutatie_9,TotaalVerbruik_10,TotaalVoorOmzettingInOlieproducten_11,Raffinaderijen_12,PetrochemischeIndustrie_13,Groothandel_14,TotaalFinaalVerbruikAndereOmzetting_15,RaffinaderijenBrandstof_16,PetrochemischeIndustrieBrandstof_17,PetrochemischeIndustrieGrondstof_18,Visserij_19,VervoerEnOverig_20,Beginvoorraad_21,Eindvoorraad_22,Voorraadmutatie_23
169,E006497,2018MM11,5007.0,7568.0,4663.0,326.0,2579.0,7438.0,9335.0,1170.0,507.0,5007.0,2935.0,319.0,270.0,2346.0,2072.0,158.0,194.0,569.0,14.0,1137.84,8337.0,7830.0,507.0
170,E006497,2018MM12,4643.0,8211.0,5574.0,314.0,2323.0,7770.0,9542.0,1167.0,-628.0,4643.0,2489.0,276.0,247.0,1966.0,2154.0,228.0,213.0,627.0,13.0,1073.47,7830.0,8458.0,-628.0
171,E006497,2018KW04,14181.0,23057.0,15060.0,934.0,7063.0,22119.0,28093.0,3582.0,680.0,14181.0,7845.0,947.0,751.0,6147.0,6336.0,537.0,617.0,1836.0,37.0,3309.73,9138.0,8458.0,680.0
172,E006497,2019MM01,4654.0,8090.0,5444.0,341.0,2305.0,7559.0,8921.0,1233.0,-840.0,4654.0,2458.0,281.0,275.0,1902.0,2196.0,225.0,224.0,648.0,10.0,1089.96,8458.0,9298.0,-840.0
173,E006497,2019MM02,4928.0,7683.0,4742.0,332.0,2608.0,7370.0,8714.0,1218.0,-192.0,4928.0,2993.0,301.0,240.0,2452.0,1935.0,193.0,205.0,501.0,10.0,1027.13,9298.0,9490.0,-192.0
174,E006497,2019MM03,5510.0,8811.0,5489.0,333.0,2988.0,7682.0,9423.0,1321.0,-239.0,5510.0,3318.0,253.0,271.0,2794.0,2192.0,215.0,207.0,674.0,10.0,1085.48,9490.0,9729.0,-239.0
175,E006497,2019KW01,15093.0,24584.0,15675.0,1007.0,7902.0,22610.0,27058.0,3772.0,-1271.0,15092.0,8769.0,835.0,786.0,7148.0,6323.0,632.0,636.0,1822.0,30.0,3202.57,8458.0,9729.0,-1271.0
176,E006497,2019MM04,5231.0,8166.0,4804.0,312.0,3050.0,7279.0,9155.0,1268.0,209.0,5231.0,3151.0,64.0,252.0,2835.0,2080.0,204.0,182.0,550.0,12.0,1132.76,9729.0,9520.0,209.0
177,E006497,2019MM05,5330.0,8382.0,5043.0,245.0,3094.0,7258.0,8628.0,1291.0,-391.0,5330.0,3406.0,335.0,186.0,2885.0,1924.0,208.0,137.0,424.0,12.0,1142.24,9520.0,9911.0,-391.0
178,E006497,2019MM06,4996.0,7498.0,4433.0,286.0,2780.0,7366.0,8753.0,1276.0,161.0,4996.0,3167.0,325.0,226.0,2616.0,1830.0,197.0,150.0,434.0,13.0,1035.71,9911.0,9750.0,161.0
179,E006497,2019KW02,15558.0,24046.0,14280.0,843.0,8923.0,21903.0,26536.0,3834.0,-21.0,15558.0,9724.0,724.0,664.0,8336.0,5834.0,609.0,469.0,1408.0,38.0,3310.71,9729.0,9750.0,-21.0
180,E006497,2019MM07,5113.0,8340.0,5259.0,271.0,2809.0,6297.0,8483.0,1293.0,253.0,5113.0,3128.0,283.0,227.0,2617.0,1986.0,206.0,148.0,499.0,12.0,1120.27,9750.0,9497.0,253.0
181,E006497,2019MM08,4781.0,8262.0,5510.0,293.0,2458.0,6532.0,8674.0,1295.0,-44.0,4781.0,2834.0,372.0,246.0,2216.0,1947.0,206.0,167.0,561.0,15.0,997.5,9497.0,9541.0,-44.0
182,E006497,2019MM09,4936.0,8365.0,5352.0,168.0,2844.0,6999.0,8582.0,1305.0,-541.0,4936.0,3103.0,314.0,143.0,2647.0,1833.0,202.0,81.0,476.0,13.0,1060.74,9541.0,10082.0,-541.0
183,E006497,2019KW03,14831.0,24966.0,16121.0,733.0,8112.0,19829.0,25739.0,3893.0,-332.0,14830.0,9065.0,969.0,616.0,7480.0,5765.0,614.0,397.0,1536.0,40.0,3178.51,9750.0,10082.0,-332.0
184,E006497,2019MM10,5356.0,8846.0,5461.0,356.0,3029.0,6461.0,9476.0,1297.0,822.0,5356.0,3401.0,378.0,242.0,2781.0,1956.0,221.0,204.0,370.0,13.0,1146.77,10082.0,9260.0,822.0
185,E006497,2019MM11,5007.0,8083.0,5065.0,297.0,2720.0,6610.0,8257.0,1276.0,-152.0,5007.0,2964.0,436.0,258.0,2270.0,2043.0,189.0,180.0,580.0,15.0,1078.78,9260.0,9413.0,-152.0
186,E006497,2019MM12,5477.0,8806.0,5479.0,332.0,2996.0,6534.0,8239.0,1254.0,-370.0,5477.0,3377.0,380.0,273.0,2724.0,2100.0,201.0,210.0,621.0,13.0,1054.99,9413.0,9783.0,-370.0
187,E006497,2019KW04,15840.0,25735.0,16005.0,985.0,8745.0,19605.0,25972.0,3827.0,299.0,15840.0,9742.0,1194.0,774.0,7774.0,6098.0,611.0,595.0,1571.0,41.0,3280.54,10082.0,9783.0,299.0
188,E006497,2020MM01,5274.0,8866.0,5587.0,351.0,2928.0,6537.0,7670.0,1347.0,-1112.0,5274.0,3120.0,326.0,301.0,2492.0,2154.0,203.0,227.0,697.0,11.0,1016.16,9783.0,10895.0,-1112.0
189,E006497,2020MM02,4152.0,7399.0,4996.0,303.0,2100.0,5524.0,7736.0,1112.0,78.0,4152.0,2154.0,167.0,251.0,1736.0,1998.0,186.0,208.0,631.0,13.0,960.17,10895.0,10816.0,78.0
190,E006497,2020MM03,4782.0,7956.0,5074.0,290.0,2593.0,6230.0,8475.0,1245.0,316.0,4782.0,2850.0,402.0,245.0,2203.0,1932.0,182.0,200.0,596.0,14.0,940.23,10816.0,10500.0,316.0
191,E006497,2020KW01,14208.0,24221.0,15656.0,944.0,7621.0,18291.0,23881.0,3705.0,-717.0,14208.0,8123.0,896.0,797.0,6430.0,6085.0,571.0,635.0,1924.0,38.0,2916.56,9783.0,10500.0,-717.0
192,E006497,2020MM04,3762.0,6959.0,4695.0,270.0,1994.0,6067.0,6820.0,1059.0,-1385.0,3762.0,2145.0,213.0,184.0,1748.0,1617.0,166.0,186.0,459.0,12.0,794.34,10500.0,11885.0,-1385.0
193,E006497,2020MM05,3579.0,6062.0,4151.0,303.0,1608.0,7192.0,7039.0,1104.0,-1533.0,3579.0,1707.0,117.0,233.0,1357.0,1871.0,161.0,197.0,589.0,13.0,911.24,11885.0,13418.0,-1533.0
194,E006497,2020MM06,4131.0,6166.0,3532.0,293.0,2340.0,6250.0,7365.0,1103.0,182.0,4131.0,2298.0,52.0,219.0,2028.0,1833.0,144.0,196.0,545.0,14.0,933.55,13418.0,13235.0,182.0
195,E006497,2020KW02,11471.0,19187.0,12378.0,867.0,5942.0,19509.0,21224.0,3266.0,-2735.0,11471.0,6151.0,382.0,636.0,5133.0,5321.0,472.0,579.0,1592.0,39.0,2639.13,10500.0,13235.0,-2735.0
