ID,EnergieverbruikersSBI2008,Perioden,TotaalNettoEnergieverbruik_1,Omzettingsverliezen_2,EnergetischFinaalVerbruik_3,NietEnergetischFinaalVerbruik_4,OverigeEnergieverliezen_5,TotaalBrutoEnergieverbruik_6,Winning_7,TotaalEnergieIngekocht_8,SteenkoolEnSteenkoolproducten_9,Aardoliegrondstoffen_10,MotorbrandstoffenVoorWegverkeer_11,OverigeAardolieproducten_12,OverigeEnergieproducten_13
0,999931,1995JJ00,3209,434,2315,441,19,9686,2764,6922,519,2708,412,1390,1892
1,999931,1996JJ00,3334,433,2465,415,20,10247,3095,7152,508,2754,413,1412,2065
2,999931,1997JJ00,3261,442,2358,444,18,9824,2765,7059,498,2735,425,1440,1962
3,999931,1998JJ00,3304,464,2385,437,18,9809,2638,7171,501,2794,431,1456,1989
4,999931,1999JJ00,3306,433,2393,462,18,9583,2463,7120,436,2652,454,1608,1969
5,999931,2000JJ00,3383,459,2410,495,19,9719,2376,7344,441,2676,456,1777,1994
6,999931,2001JJ00,3465,500,2445,498,22,10029,2538,7492,468,2688,459,1832,2044
7,999931,2002JJ00,3462,506,2443,495,17,9970,2501,7469,467,2511,462,1985,2044
8,999931,2003JJ00,3543,511,2474,541,17,10201,2415,7786,482,2607,466,2172,2058
9,999931,2004JJ00,3617,526,2503,571,17,10832,2817,8016,481,2708,472,2241,2113
10,999931,2005JJ00,3628,499,2466,645,18,10650,2588,8062,465,2730,475,2343,2049
11,999931,2006JJ00,3524,482,2443,582,17,10358,2544,7814,441,2669,478,2239,1986
12,999931,2007JJ00,3656,487,2439,710,19,9987,2535,7452,479,2617,488,1911,1957
13,999931,2008JJ00,3647,487,2479,661,20,9574,2771,6803,458,2581,493,1256,2015
14,999931,2009JJ00,3561,501,2401,641,18,9359,2619,6741,407,2527,484,1324,1999
15,999931,2010JJ00,3772,511,2527,717,18,9991,2893,7098,420,2643,477,1365,2192
16,999931,2011JJ00,3527,470,2375,664,19,9390,2641,6749,428,2553,479,1285,2004
17,999931,2012JJ00,3554,445,2420,670,18,9487,2639,6848,454,2546,470,1455,1923
18,999931,2013JJ00,3540,438,2424,660,18,9644,2824,6820,453,2453,459,1532,1924
19,300025,1995JJ00,2501,434,1609,439,19,8979,2754,6225,519,2708,162,1382,1453
20,300025,1996JJ00,2563,433,1697,412,20,9476,3085,6391,508,2754,163,1404,1562
21,300025,1997JJ00,2552,442,1651,442,18,9115,2755,6360,498,2735,168,1434,1526
22,300025,1998JJ00,2611,464,1694,435,18,9116,2628,6488,500,2794,174,1450,1569
23,300025,1999JJ00,2609,433,1697,460,18,8885,2453,6432,436,2652,189,1603,1553
24,300025,2000JJ00,2682,459,1711,493,19,9019,2365,6653,441,2676,190,1772,1575
25,300025,2001JJ00,2750,500,1732,497,22,9314,2527,6787,468,2688,193,1827,1611
26,300025,2002JJ00,2764,506,1746,494,17,9271,2491,6781,467,2511,195,1980,1628
27,300025,2003JJ00,2835,511,1767,540,17,9493,2408,7085,482,2607,197,2167,1632
28,300025,2004JJ00,2905,526,1792,569,17,10120,2807,7313,481,2708,199,2236,1689
29,300025,2005JJ00,2930,499,1770,643,18,9952,2578,7375,465,2730,204,2337,1639
30,300025,2006JJ00,2838,482,1760,580,17,9673,2533,7139,441,2669,207,2233,1589
31,300025,2007JJ00,2992,487,1777,709,19,9323,2523,6800,479,2617,213,1906,1584
32,300025,2008JJ00,2945,487,1779,659,20,8872,2759,6113,458,2581,217,1250,1606
33,300025,2009JJ00,2860,501,1702,639,18,8659,2606,6052,406,2527,210,1318,1591
34,300025,2010JJ00,3018,511,1774,715,18,9237,2881,6357,420,2643,204,1359,1730
35,300025,2011JJ00,2845,470,1695,662,19,8708,2629,6079,428,2553,204,1280,1615
36,300025,2012JJ00,2853,445,1720,669,18,8786,2626,6160,454,2546,200,1450,1510
37,300025,2013JJ00,2826,438,1710,659,18,8929,2811,6119,453,2453,197,1527,1489
38,301000,1995JJ00,192,2,190,0,0,193,0,193,0,0,1,33,158
39,301000,1996JJ00,210,2,208,0,0,210,0,210,0,0,1,31,178
40,301000,1997JJ00,187,2,185,0,0,188,0,187,0,0,1,30,157
41,301000,1998JJ00,188,2,186,0,0,188,0,188,0,0,1,30,157
42,301000,1999JJ00,184,3,181,0,0,184,1,184,0,0,1,30,153
43,301000,2000JJ00,187,3,184,0,0,188,1,187,0,0,1,31,155
44,301000,2001JJ00,182,3,180,0,0,184,1,183,0,0,1,30,151
45,301000,2002JJ00,171,3,168,0,0,172,1,170,0,0,1,29,141
46,301000,2003JJ00,171,3,168,0,0,172,2,171,0,0,1,29,141
47,301000,2004JJ00,173,4,169,0,0,175,3,173,0,0,1,27,144
48,301000,2005JJ00,171,4,167,0,0,177,3,174,0,0,2,28,145
