ID,KnelpuntenVerkoop,SBI93Bedrijfsgrootte,BedrijvenZonderElektrVerkoopTotaal_1,BedrijvenZonderElekVerkoopfaciliteit_2,BedrijvenZonderElekVerkMetWebsite_3,BedrijvenMetElektrVerkoopTotaal_4,BedrijvenMetElektrVerkoop1_5
0,1,  1,13,11,14,13,14
1,1,  2,12,12,13,12,14
2,1,  3,13,9,16,14,14
3,1,  4,13,11,14,11,11
4,1,  5,10,10,5,29,21
5,1,  6,20,20,13,16,19
6,1, 11,4,8,0,9,18
7,1,  7,15,14,14,14,14
8,1,  8,13,15,11,13,15
9,1,  9,16,11,15,15,13
10,1, 10,20,24,19,11,12
11,1, 12,9,7,13,23,29
12,1, 13,10,8,18,20,27
13,1, 14,6,6,7,27,32
14,1, 15,21,27,19,26,37
15,1, 16,15,14,16,10,13
16,1, 17,14,15,13,10,14
17,1, 18,17,12,21,11,14
18,1, 19,21,17,25,12,9
19,1, 20,16,15,16,7,9
20,1, 21,13,13,14,4,6
21,1, 22,23,20,22,9,11
22,1, 23,18,41,10,12,17
23,1, 24,15,12,16,13,13
24,1, 25,16,14,16,13,13
25,1, 26,12,7,15,12,12
26,1, 27,12,4,16,11,9
27,1, 28,6,4,9,13,12
28,1, 29,5,5,7,14,12
29,1, 30,8,3,13,14,16
30,1, 31,5,3,6,4,4
31,1, 32,12,11,16,13,14
32,1, 33,12,13,10,12,14
33,1, 34,13,9,15,14,15
34,1, 35,14,9,16,12,12
35,1, 36,14,13,15,8,7
36,1, 37,12,8,15,12,14
37,1, 38,11,7,12,17,16
38,2,  1,13,13,14,17,17
39,2,  2,13,13,14,17,17
40,2,  3,13,11,15,18,17
41,2,  4,13,10,14,13,13
42,2,  5,11,12,10,27,20
43,2,  6,13,6,16,0,0
44,2, 11,27,38,19,7,0
45,2,  7,16,19,13,19,21
46,2,  8,13,17,7,20,24
47,2,  9,20,23,17,18,19
48,2, 10,21,26,20,12,12
49,2, 12,12,14,6,17,20
50,2, 13,14,17,6,12,14
51,2, 14,6,5,7,26,32
52,2, 15,11,16,9,3,0
53,2, 16,16,14,20,18,16
54,2, 17,17,14,21,18,17
55,2, 18,16,14,19,16,15
56,2, 19,18,19,14,13,12
57,2, 20,9,5,18,14,14
58,2, 21,8,5,14,12,15
59,2, 22,13,2,32,16,12
60,2, 23,6,11,4,18,18
61,2, 24,12,10,12,15,14
62,2, 25,13,11,12,15,15
63,2, 26,10,6,12,13,14
64,2, 27,9,5,11,14,12
65,2, 28,10,7,14,17,15
66,2, 29,9,8,11,16,14
67,2, 30,12,7,19,24,20
68,2, 31,8,4,14,13,16
69,2, 32,12,11,15,20,19
70,2, 33,15,16,12,15,15
71,2, 34,12,11,14,18,18
72,2, 35,17,13,19,17,14
73,2, 36,13,10,15,16,16
74,2, 37,11,8,12,10,8
75,2, 38,13,12,14,10,9
76,3,  1,8,8,9,15,15
77,3,  2,9,9,8,16,17
78,3,  3,8,7,10,13,12
79,3,  4,6,6,5,8,9
80,3,  5,6,7,0,22,22
81,3,  6,6,5,0,0,0
82,3, 11,0,0,0,0,0
83,3,  7,11,12,11,16,16
84,3,  8,14,15,14,19,18
85,3,  9,7,5,8,14,15
86,3, 10,10,12,10,8,9
87,3, 12,10,12,5,27,30
88,3, 13,11,12,4,27,33
89,3, 14,10,12,7,29,25
90,3, 15,6,12,1,12,0
91,3, 16,12,10,13,16,15
92,3, 17,13,11,13,18,18
93,3, 18,10,6,15,12,9
94,3, 19,13,19,10,4,5
95,3, 20,5,4,9,14,17
96,3, 21,3,1,10,16,21
97,3, 22,12,14,8,12,12
98,3, 23,0,0,0,8,9
99,3, 24,5,4,7,10,12
100,3, 25,5,3,7,10,11
101,3, 26,7,7,7,10,10
102,3, 27,4,7,3,14,18
103,3, 28,3,2,4,10,11
104,3, 29,2,3,1,12,13
105,3, 30,5,3,9,7,8
106,3, 31,2,1,3,2,4
