ID,Perioden,UitgavenAanZorg_1,UitgavenAanGezondheidszorg_2,UitgavenAanWelzijnszorg_3,KostenBeleidsEnBeheersorganisaties_4,OverheidEnSocialeVerzekeringen_5,ParticuliereZorgverzekeringen_6,OverigeFinancieringsbronnen_7,CuratieveZorg_8,MedischeVerzorging_9,MedischeGoederen_10,SocialeZorg_11,OverigeActiviteiten_12,ZorguitgavenPerHoofdBevolking_13,ZorguitgavenAlsPercentageVanBBP_14,UitgavenAanGezondheidszorg_15,UitgavenAanWelzijnszorg_16,BevolkingInNederland_17,UitgavenPerHoofdVanDeBevolking_18,UitgavenAanZorgInConstantePrijzen_19,TotaalUitgavenAanZorg_20,TotaalGezondheidszorg_21,SBI8511Ziekenhuizen_22,SBI8512MedischePraktijken_23,SBI8513Tandartsenpraktijken_24,SBI8514ParamedischeVerloskPrakt_25,OverigeEenhedenInSBI851_26,TotaalWelzijnszorg_27,SBI8531WelzijnMetVerblijfsacc_28,SBI8532NietMedischeDagbehandeling_29,SBI8533DagverzSocEnOvWelz_30,TotaalOverigeSBIEn_31,SBI52ApothekenDetailhMedGoed_32,SBI75Overheid_33,AndereSBIEnGezondhEnWelzijnsz_34,NietOpgenomenProductie_35,UitgavenAanZorg_36,GezondheidsbevorderingEnBescherming_37,CuratieveSomatischeZorg_38,FarmaceutischeHulp_39,GeestGezondhVerslavZorgMaatsOpv_40,GehandicaptenzEnMedischeHulpm_41,VerplegingVerzorgingEnOuderen_42,BeheerZorgverzekeringen_43,NietOpgenomenInZorgnota_44,UitgavenAanZorg_45,TotaalZiekenhuizen_46,HP11AlgemEnAcademischeZiekenh_47,HP12InstGeintegrGgz18_48,HP13CategoraleZiekenhuizen_49,TotaalVerplHOvZorgMetVerblAcc_50,HP21VerstrekkersVanOuderenzorg_51,HP22InstGeintegrGahandZorg_52,TotaalAanbiedersAmbulanteZorg_53,HP31Artsenpraktijken_54,HP32Tandartsenpraktijken_55,HP33OverigeGezondheidszorgberoepen_56,HP34CentraVoorAmbulanteZorg_57,HP35MedischeEnDiagnostischeLab_58,HP39OvAanbiedersAmbulanteZorg_59,HP4DetailhOvAanbMedGoederen_60,HP5PublicHealthProgrammaS_61,HP6GezondheidszBeleidEnVerzek_62,HP79OvAanbGezondhZBuitenl_63,AanbiedersBuitenHPClassificatie_64
0,1998JJ00,36810,23344,12032,1433,25476,5020,6313,7967,6694,6585,8151,7412,2343,10.2,100,100,100,100,100,36810,17747,10926,2519,1340,1408,1555,12022,8591,2092,1338,6792,4624,947,1220,249,36810,50,13880,3363,2262,4526,7635,1267,3826,36810,11026,8341,2236,449,10432,7635,2796,5963,2668,1191,1408,211,159,327,5026,443,1433,1059,1429
1,1999JJ00,39306,24937,12869,1499,26862,5549,6896,8438,7079,7057,8837,7895,2486,10.5,107,107,101,106,102,39306,18907,11646,2662,1388,1520,1692,12847,9095,2221,1531,7283,5010,961,1312,269,39306,53,14702,3675,2465,4863,8029,1327,4193,39306,11749,8845,2433,472,11047,8029,3018,6314,2814,1236,1520,227,172,346,5432,469,1499,1166,1630
2,2000JJ00,42097,26526,14053,1518,28753,5705,7639,8887,7463,7592,9679,8475,2643,10.1,114,117,101,113,105,42097,20038,12357,2731,1493,1610,1848,14018,9683,2504,1831,7742,5414,939,1390,299,42097,55,15567,4006,2572,5216,8658,1346,4676,42097,12464,9411,2540,513,11903,8658,3245,6629,2899,1324,1610,270,182,345,5859,504,1518,1297,1922
3,2001JJ00,47128,29734,15777,1618,32370,6252,8507,9904,8751,8420,10568,9485,2937,10.5,127,131,102,125,110,47128,22487,14110,2916,1640,1743,2077,15737,10782,2875,2080,8535,6016,981,1537,370,47128,56,17525,4479,2847,5730,9801,1444,5247,47128,14223,10841,2812,571,13355,9801,3554,7205,3098,1459,1743,311,201,394,6509,590,1618,1467,2161
4,2002JJ00,53030,33192,18065,1773,36418,7229,9383,11188,9921,9132,12152,10637,3284,11.4,142,150,103,140,116,53030,25436,15970,3315,1876,1868,2407,18006,12370,3292,2345,9191,6461,1063,1667,398,53030,63,19839,4867,3181,6467,11193,1592,5829,53030,16089,12300,3141,648,15337,11193,4144,8086,3520,1671,1868,347,219,461,7002,691,1773,1634,2419
5,2003JJ00,57528,35786,19906,1837,39324,7849,10355,12119,10627,9962,13361,11459,3546,12.1,153,165,103,151,122,57528,27297,16981,3621,2051,2002,2642,19797,13313,3837,2647,9816,6953,1089,1773,618,57528,65,21107,5250,3540,7143,12223,1647,6553,57528,17108,12923,3494,691,16804,12223,4582,8795,3846,1826,2002,374,233,514,7555,771,1837,1941,2717
6,2004JJ00,59891,37203,20765,1923,40424,8668,10799,12924,11106,10216,13924,11721,3678,12.2,159,173,104,157,126,59891,28589,17921,3818,2091,2086,2673,20483,13754,3731,2998,10023,7064,1122,1837,795,59891,66,22118,5251,3748,7708,12285,1727,6988,59891,18048,13663,3665,720,17112,12285,4826,9195,4089,1857,2050,395,274,530,7691,772,1923,2072,3079
7,2005JJ00,62742,39149,21492,2101,42221,9170,11350,13697,11812,10600,14409,12224,3844,12.4,168,179,104,164,129,62742,30155,19243,3922,2102,2201,2686,21180,14293,3800,3087,10471,7348,1178,1945,935,62742,68,23372,5482,4001,8121,12525,1906,7267,62742,19384,14700,3915,769,17701,12525,5176,9456,4215,1852,2159,387,289,555,7967,768,2101,2173,3191
