ID,Periode,Totaal_1,KredietMetVasteLooptijd_2,DoorlopendeKredietfaciliteiten_3,Totaal_4,KredietMetVasteLooptijd_5,DoorlopendeKredietfaciliteiten_6,Totaal_7,KredietMetVasteLooptijd_8,DoorlopendeKredietfaciliteiten_9,Totaal_10,KredietMetVasteLooptijd_11,DoorlopendeKredietfaciliteiten_12,Totaal_13,KredietMetVasteLooptijd_14,DoorlopendeKredietfaciliteiten_15,Totaal_16,KredietMetVasteLooptijd_17,DoorlopendeKredietfaciliteiten_18,Totaal_19,VasteGeldleningen_20,DoorlopendGeldkrediet_21,SomDerToegezegdeLimieten_22,Totaal_23,VasteGeldleningen_24,DoorlopendGeldkrediet_25,SomDerToegezegdeLimieten_26,Totaal_27,VasteGeldleningen_28,VastGoederenkrediet_29,DoorlopendGeldkrediet_30,SomDerToegezegdeLimieten_31,Totaal_32,SomDerToegezegdeLimieten_33,Totaal_34,SomDerToegezegdeLimieten_35,Totaal_36,KredietenMetVasteLooptijd_37,DoorlopendeKredietfaciliteiten_38,SomDerToegezegdeLimieten_39,Totaal_40,VasteGeldleningen_41,DoorlopendGeldkrediet_42,SomDerToegezegdeLimieten_43,Totaal_44,VasteGeldleningen_45,DoorlopendGeldkrediet_46,SomDerToegezegdeLimieten_47,Totaal_48,VasteGeldleningen_49,VastGoederenkrediet_50,DoorlopendGeldkrediet_51,SomDerToegezegdeLimieten_52,Totaal_53,SomDerToegezegdeLimieten_54,Totaal_55,SomDerToegezegdeLimieten_56,Totaal_57,KredietenMetVasteLooptijd_58,DoorlopendeKredietfaciliteiten_59,SomDerToegezegdeLimieten_60,Totaal_61,VasteGeldleningen_62,DoorlopendGeldkrediet_63,Totaal_64,VasteGeldleningen_65,DoorlopendGeldkrediet_66,Totaal_67,VasteGeldleningen_68,VastGoederenkrediet_69,DoorlopendGeldkrediet_70,Postorderbedrijven_71,CreditCardOrganisaties_72,Totaal_73,KredietenMetVasteLooptijd_74,DoorlopendeKredietfaciliteiten_75,Totaal_76,VasteGeldleningen_77,DoorlopendGeldkrediet_78,Totaal_79,VasteGeldleningen_80,DoorlopendGeldkrediet_81,Totaal_82,VasteGeldleningen_83,VastGoederenkrediet_84,DoorlopendGeldkrediet_85,Postorderbedrijven_86,CreditCardOrganisaties_87,Totaal_88,KredietenMetVasteLooptijd_89,DoorlopendeKredietfaciliteiten_90,TotaalGemeentelijkeKredietbanken_91,TotaalBanken_92,TotaalFinancieringsmaatschappijen_93,TotaalAlleMaatschappijen_94,TotaalGemeentelijkeKredietbanken_95,TotaalBanken_96,TotaalFinancieringsmaatschappijen_97,TotaalAlleMaatschappijen_98
21,1994MM10,9532,3474,6058,542,159,383,639,200,439,97,40,56,543,164,378,9629,3510,6119,397,343,54,73,3839,918,2922,5069,4881,1520,730,2632,3684,319,2131,192,2455,9629,3510,6119,13411,192,181,11,11,865,191,674,754,888,263,145,481,580,893,3023,571,1964,3410,779,2630,6332,19,16,3,198,46,152,211,59,39,113,31,83,542,159,383,22,19,3,233,56,177,261,79,45,137,36,86,639,200,439,16,46,59,121,6,8,9,24
22,1994MM11,9629,3510,6119,524,157,366,622,199,423,98,42,57,575,191,384,9676,3518,6157,398,344,54,73,3869,919,2950,5019,4900,1523,732,2645,3698,318,2150,191,2481,9676,3518,6157,13421,192,181,11,11,866,191,675,737,885,260,144,481,583,878,2988,571,2003,3393,776,2617,6321,20,17,3,211,49,162,206,61,31,114,23,64,524,157,366,24,20,3,247,60,187,257,80,39,138,28,66,622,199,423,17,49,61,126,7,8,10,25
23,1994MM12,9676,3518,6157,468,126,342,562,160,402,93,34,59,533,162,372,9704,3517,6187,398,343,55,74,3899,928,2971,5023,4902,1526,720,2656,3717,312,2159,193,2487,9704,3517,6187,13460,190,180,10,10,873,190,683,732,881,258,142,482,585,840,2937,645,2074,3429,769,2660,6338,19,16,3,193,38,156,172,50,22,99,18,66,468,126,342,23,19,4,229,47,182,219,67,27,124,23,69,562,160,402,16,38,50,104,7,6,8,21
24,1995MM01,9704,3517,6187,487,144,343,583,181,401,95,37,58,558,185,373,9728,3513,6215,396,340,56,74,3905,927,2979,5035,4918,1522,724,2672,3727,321,2176,188,2483,9728,3513,6215,13495,192,182,10,10,869,189,680,735,877,254,141,482,582,879,2990,690,2078,3508,766,2742,6396,17,15,3,181,37,144,199,49,44,106,34,55,487,144,343,20,17,3,217,46,171,248,65,52,131,39,57,583,181,401,15,37,49,101,6,7,7,20
25,1995MM02,9728,3513,6215,456,131,325,551,167,384,95,36,59,512,158,353,9767,3521,6246,396,339,56,75,3918,927,2992,5061,4940,1529,727,2684,3733,324,2202,190,2492,9767,3521,6246,13564,188,178,10,10,865,188,677,738,879,256,140,482,579,890,3030,692,2088,3513,762,2751,6445,18,15,3,176,38,138,181,49,29,103,27,54,456,131,325,22,18,4,211,48,163,229,65,36,128,31,58,551,167,384,15,38,49,102,6,7,7,20
26,1995MM03,9767,3521,6246,558,157,400,660,199,461,102,41,60,573,184,389,9853,3537,6317,394,337,57,76,3967,934,3033,5102,4975,1532,733,2710,3789,326,2226,192,2503,9853,3537,6317,13696,190,179,11,11,866,189,676,743,881,255,141,484,579,896,3060,698,2093,3530,765,2765,6485,21,17,3,216,44,173,224,57,39,127,30,67,558,157,400,25,21,4,255,55,200,275,76,47,152,35,69,660,199,461,17,44,57,118,7,8,8,23
27,1995MM04,9853,3537,6317,482,131,352,577,166,411,94,35,59,522,163,359,9908,3539,6369,393,335,57,76,3994,933,3062,5153,5004,1530,741,2733,3794,325,2250,193,2511,9908,3539,6369,13784,188,177,11,11,866,188,677,748,877,253,140,484,573,896,3093,702,2108,3529,759,2770,6533,16,14,2,190,35,154,196,48,34,115,25,54,482,131,352,20,16,3,226,45,181,245,64,41,140,30,57,577,166,411,14,35,48,97,5,6,7,18
28,1995MM05,9908,3539,6369,523,134,389,620,169,451,97,35,61,611,182,429,9917,3526,6391,390,333,57,77,3991,929,3062,5181,5019,1517,747,2755,3818,325,2271,191,2520,9917,3526,6391,13867,190,179,11,11,860,187,674,749,867,249,135,483,572,894,3115,699,2110,3510,750,2760,6556,19,15,3,194,37,157,214,47,35,132,29,68,523,134,389,22,19,4,231,46,184,262,61,43,157,35,70,620,169,451,15,37,47,98,6,6,7,20
29,1995MM06,9917,3526,6391,507,136,371,603,172,432,96,36,60,602,173,428,9919,3524,6395,389,332,57,78,3979,923,3056,5223,5046,1506,763,2777,3877,315,2288,189,2540,9919,3524,6395,14005,189,178,11,11,862,185,677,759,873,246,141,487,572,851,3128,691,2124,3466,749,2716,6593,23,18,5,182,34,147,218,45,38,135,17,66,507,136,371,27,21,5,218,44,174,267,59,48,161,22,69,603,172,432,18,34,45,97,7,6,7,20
30,1995MM07,9919,3524,6395,526,131,395,619,165,454,93,34,59,596,176,420,9942,3513,6430,389,330,59,79,3978,918,3060,5324,5074,1493,772,2808,3908,312,2294,190,2544,9942,3513,6430,14148,188,177,11,11,855,183,672,761,869,240,140,488,569,851,3146,682,2123,3446,741,2705,6609,20,17,4,186,34,152,221,44,36,142,25,72,526,131,395,24,20,4,221,43,177,270,57,45,168,30,74,619,165,454,17,34,44,94,7,6,7,20
31,1995MM08,9942,3513,6430,566,135,431,659,171,489,93,35,58,610,188,422,9991,3495,6496,389,329,60,80,4000,915,3086,5274,5102,1479,772,2851,3953,315,2398,185,2552,9991,3495,6496,14258,188,177,11,11,853,182,670,766,866,236,139,491,568,876,3298,673,2120,3455,735,2721,6764,21,17,4,208,39,169,231,47,33,152,26,79,566,135,431,25,20,5,243,49,195,278,62,40,177,31,82,659,171,489,17,39,47,103,7,7,7,22
32,1995MM09,9991,3495,6496,572,131,441,663,165,498,92,34,57,581,188,393,10074,3472,6602,389,328,61,82,4030,913,3117,5312,5129,1464,767,2897,4000,319,2421,207,2554,10074,3472,6602,14368,184,173,11,11,855,182,673,772,864,232,138,493,567,883,3338,679,2125,3466,726,2740,6813,20,15,4,211,39,172,231,45,31,155,29,81,572,131,441,23,19,5,245,49,196,278,59,38,180,34,83,663,165,498,15,39,45,99,7,7,7,21
