ID,Melkvee,GrootveeEenheid,RegioS,Perioden,AlleDieren_1,WeidendeDieren_2,AlleDieren_3,WeidendeDieren_4,BedrijvenZonderWeidegang_5,DierenZonderWeidegang_6,BedrijvenMetWeidegang_7,DierenMetWeidegang_8,UrenBijDagEnNachtWeiden_9,UrenBijBeperktWeiden_10,DagEnNachtWeiden_11,OverdagWeiden_12
0,A028973,T001355,NL01  ,2010JJ00,,,,,,,,,,,,
1,A028973,T001355,NL01  ,2011JJ00,,,,,15.0,35.0,85.0,65.0,,,,
2,A028973,T001355,NL01  ,2012JJ00,,,,,16.0,36.0,84.0,64.0,,,,
3,A028973,T001355,NL01  ,2013JJ00,,,,,,,,,,,,
4,A028973,T001355,NL01  ,2014JJ00,,,,,,,,,,,,
5,A028973,T001355,NL01  ,2015JJ00,,,,,,,,,,,,
6,A028973,T001355,NL01  ,2016JJ00,,,,,19.0,41.0,81.0,59.0,,,,
7,A028973,T001355,NL01  ,2017JJ00,,,,,18.0,39.0,82.0,61.0,,,,
8,A028973,T001355,NL01  ,2018JJ00,,,,,17.0,37.0,83.0,63.0,,,,
9,A028973,T001355,NL01  ,2019JJ00,,,,,16.0,36.0,84.0,64.0,,,,
10,A028973,T001355,NL01  ,2020JJ00,,,,,16.0,36.0,84.0,64.0,,,,
11,A028973,T001355,NL01  ,2021JJ00,,,,,15.0,36.0,85.0,64.0,,,,
12,A028973,T001355,NL01  ,2022JJ00,,,,,16.0,36.0,84.0,64.0,,,,
13,A028973,T001355,NL01  ,2023JJ00,,,,,17.0,37.0,83.0,63.0,,,,
14,A028973,T001355,NL01  ,2024JJ00,,,,,20.0,40.0,80.0,60.0,,,,
15,A028973,T001355,PV20  ,2010JJ00,,,,,,,,,,,,
16,A028973,T001355,PV20  ,2011JJ00,,,,,18.0,41.0,82.0,59.0,,,,
17,A028973,T001355,PV20  ,2012JJ00,,,,,19.0,41.0,81.0,59.0,,,,
18,A028973,T001355,PV20  ,2013JJ00,,,,,,,,,,,,
19,A028973,T001355,PV20  ,2014JJ00,,,,,,,,,,,,
20,A028973,T001355,PV20  ,2015JJ00,,,,,,,,,,,,
21,A028973,T001355,PV20  ,2016JJ00,,,,,21.0,46.0,79.0,54.0,,,,
22,A028973,T001355,PV20  ,2017JJ00,,,,,21.0,43.0,79.0,57.0,,,,
23,A028973,T001355,PV20  ,2018JJ00,,,,,20.0,42.0,80.0,58.0,,,,
24,A028973,T001355,PV20  ,2019JJ00,,,,,19.0,42.0,81.0,58.0,,,,
25,A028973,T001355,PV20  ,2020JJ00,,,,,21.0,43.0,79.0,57.0,,,,
26,A028973,T001355,PV20  ,2021JJ00,,,,,20.0,43.0,80.0,57.0,,,,
27,A028973,T001355,PV20  ,2022JJ00,,,,,20.0,42.0,80.0,58.0,,,,
28,A028973,T001355,PV20  ,2023JJ00,,,,,22.0,45.0,78.0,55.0,,,,
29,A028973,T001355,PV20  ,2024JJ00,,,,,23.0,47.0,77.0,53.0,,,,
30,A028973,T001355,PV21  ,2010JJ00,,,,,,,,,,,,
31,A028973,T001355,PV21  ,2011JJ00,,,,,16.0,38.0,84.0,62.0,,,,
32,A028973,T001355,PV21  ,2012JJ00,,,,,17.0,39.0,83.0,61.0,,,,
33,A028973,T001355,PV21  ,2013JJ00,,,,,,,,,,,,
34,A028973,T001355,PV21  ,2014JJ00,,,,,,,,,,,,
35,A028973,T001355,PV21  ,2015JJ00,,,,,,,,,,,,
36,A028973,T001355,PV21  ,2016JJ00,,,,,20.0,43.0,80.0,57.0,,,,
37,A028973,T001355,PV21  ,2017JJ00,,,,,18.0,40.0,82.0,60.0,,,,
38,A028973,T001355,PV21  ,2018JJ00,,,,,16.0,38.0,84.0,62.0,,,,
39,A028973,T001355,PV21  ,2019JJ00,,,,,15.0,37.0,85.0,63.0,,,,
40,A028973,T001355,PV21  ,2020JJ00,,,,,15.0,36.0,85.0,64.0,,,,
41,A028973,T001355,PV21  ,2021JJ00,,,,,15.0,36.0,85.0,64.0,,,,
42,A028973,T001355,PV21  ,2022JJ00,,,,,16.0,36.0,84.0,64.0,,,,
43,A028973,T001355,PV21  ,2023JJ00,,,,,18.0,38.0,82.0,62.0,,,,
44,A028973,T001355,PV21  ,2024JJ00,,,,,21.0,41.0,79.0,59.0,,,,
45,A028973,T001355,PV22  ,2010JJ00,,,,,,,,,,,,
46,A028973,T001355,PV22  ,2011JJ00,,,,,16.0,33.0,84.0,67.0,,,,
47,A028973,T001355,PV22  ,2012JJ00,,,,,16.0,34.0,84.0,66.0,,,,
48,A028973,T001355,PV22  ,2013JJ00,,,,,,,,,,,,
49,A028973,T001355,PV22  ,2014JJ00,,,,,,,,,,,,
50,A028973,T001355,PV22  ,2015JJ00,,,,,,,,,,,,
51,A028973,T001355,PV22  ,2016JJ00,,,,,20.0,40.0,80.0,60.0,,,,
52,A028973,T001355,PV22  ,2017JJ00,,,,,21.0,39.0,79.0,61.0,,,,
53,A028973,T001355,PV22  ,2018JJ00,,,,,18.0,37.0,82.0,63.0,,,,
54,A028973,T001355,PV22  ,2019JJ00,,,,,18.0,37.0,82.0,63.0,,,,
55,A028973,T001355,PV22  ,2020JJ00,,,,,17.0,37.0,83.0,63.0,,,,
56,A028973,T001355,PV22  ,2021JJ00,,,,,16.0,36.0,84.0,64.0,,,,
57,A028973,T001355,PV22  ,2022JJ00,,,,,17.0,36.0,83.0,64.0,,,,
58,A028973,T001355,PV22  ,2023JJ00,,,,,19.0,38.0,81.0,62.0,,,,
59,A028973,T001355,PV22  ,2024JJ00,,,,,24.0,43.0,76.0,57.0,,,,
60,A028973,T001355,PV23  ,2010JJ00,,,,,,,,,,,,
61,A028973,T001355,PV23  ,2011JJ00,,,,,13.0,30.0,87.0,70.0,,,,
62,A028973,T001355,PV23  ,2012JJ00,,,,,13.0,31.0,87.0,69.0,,,,
63,A028973,T001355,PV23  ,2013JJ00,,,,,,,,,,,,
64,A028973,T001355,PV23  ,2014JJ00,,,,,,,,,,,,
65,A028973,T001355,PV23  ,2015JJ00,,,,,,,,,,,,
66,A028973,T001355,PV23  ,2016JJ00,,,,,16.0,35.0,84.0,65.0,,,,
67,A028973,T001355,PV23  ,2017JJ00,,,,,15.0,32.0,85.0,68.0,,,,
68,A028973,T001355,PV23  ,2018JJ00,,,,,14.0,32.0,86.0,68.0,,,,
69,A028973,T001355,PV23  ,2019JJ00,,,,,13.0,29.0,87.0,71.0,,,,
70,A028973,T001355,PV23  ,2020JJ00,,,,,13.0,30.0,87.0,70.0,,,,
71,A028973,T001355,PV23  ,2021JJ00,,,,,13.0,30.0,87.0,70.0,,,,
72,A028973,T001355,PV23  ,2022JJ00,,,,,13.0,30.0,87.0,70.0,,,,
73,A028973,T001355,PV23  ,2023JJ00,,,,,15.0,32.0,85.0,68.0,,,,
74,A028973,T001355,PV23  ,2024JJ00,,,,,17.0,35.0,83.0,65.0,,,,
75,A028973,T001355,PV24  ,2010JJ00,,,,,,,,,,,,
76,A028973,T001355,PV24  ,2011JJ00,,,,,56.0,74.0,44.0,26.0,,,,
77,A028973,T001355,PV24  ,2012JJ00,,,,,58.0,75.0,42.0,25.0,,,,
78,A028973,T001355,PV24  ,2013JJ00,,,,,,,,,,,,
79,A028973,T001355,PV24  ,2014JJ00,,,,,,,,,,,,
80,A028973,T001355,PV24  ,2015JJ00,,,,,,,,,,,,
81,A028973,T001355,PV24  ,2016JJ00,,,,,56.0,75.0,44.0,25.0,,,,
82,A028973,T001355,PV24  ,2017JJ00,,,,,53.0,71.0,47.0,29.0,,,,
83,A028973,T001355,PV24  ,2018JJ00,,,,,52.0,70.0,48.0,30.0,,,,
84,A028973,T001355,PV24  ,2019JJ00,,,,,50.0,67.0,50.0,33.0,,,,
85,A028973,T001355,PV24  ,2020JJ00,,,,,52.0,67.0,48.0,33.0,,,,
86,A028973,T001355,PV24  ,2021JJ00,,,,,50.0,68.0,50.0,32.0,,,,
87,A028973,T001355,PV24  ,2022JJ00,,,,,49.0,68.0,51.0,32.0,,,,
88,A028973,T001355,PV24  ,2023JJ00,,,,,51.0,69.0,49.0,31.0,,,,
89,A028973,T001355,PV24  ,2024JJ00,,,,,53.0,72.0,47.0,28.0,,,,
90,A028973,T001355,PV25  ,2010JJ00,,,,,,,,,,,,
91,A028973,T001355,PV25  ,2011JJ00,,,,,13.0,32.0,87.0,68.0,,,,
92,A028973,T001355,PV25  ,2012JJ00,,,,,13.0,33.0,87.0,67.0,,,,
93,A028973,T001355,PV25  ,2013JJ00,,,,,,,,,,,,
94,A028973,T001355,PV25  ,2014JJ00,,,,,,,,,,,,
95,A028973,T001355,PV25  ,2015JJ00,,,,,,,,,,,,
