ID,Perioden,AantalInstellingen_1,GemToegelatenBedden_2,GemFeitelijkeBedden_3,PatientenPupillenPer1Januari_4,AantalOpnamen_5,AantalOntslagen_6,AantalOverledenen_7,PatientenPupillenPer31December_8,Verpleegdagen_9,DagverplegingDagbehandeling_10,BoekwaardePer1Januari_11,TotaalInvesteringenInVasteActiva_12,GebouwenEnTerreinen_13,Installaties_14,Inventarissen_15,InUitvoering_16,BuitenDienstverlening_17,Correcties_18,Afschrijvingen_19,BoekwaardePer31December_20,TotaalWerkzamePersonen_21,TotaalFulltimers_22,TotaalParttimers_23,TotaalFTES_24,TotaalPersoneelInLoondienst_25,AlgemeneEnAdministratieveFuncties_26,PatientEnBewonergebondenfuncties_27,LeerlingverplVerzOpvPersoneel_28,Stagiaires_29,PersoneelNietInLoondienst_30
0,1985JJ00,121,30426,,29900,5,4,334,29999,10951,,986.5,55.8,,,,,,-4.0,53.1,985.2,33662.0,21485.0,12177.0,28386.0,28097.0,6005.0,16359.0,5558.0,175.0,289.0
1,1986JJ00,120,30528,,29999,6,5,386,30127,10992,25.0,985.2,72.0,,,,,,0.0,56.3,1000.9,34933.0,21041.0,13892.0,29160.0,28779.0,6063.0,16992.0,5552.0,172.0,381.0
2,1987JJ00,119,30515,,30127,6,5,292,30289,11036,40.0,1000.9,72.7,,,,,,-0.7,57.4,1015.5,36214.0,20283.0,15931.0,29712.0,29261.0,5999.0,17670.0,5319.0,273.0,451.0
3,1988JJ00,119,30766,,30289,7,7,324,30738,11168,54.0,1015.5,73.3,,,,,,0.0,59.3,1029.6,38347.0,19399.0,18948.0,30969.0,30466.0,6209.0,18730.0,5307.0,220.0,503.0
4,1989JJ00,120,31166,,30738,9,8,372,31085,11322,73.0,1029.6,89.0,,,,,,1.6,62.0,1058.2,39271.0,18979.0,20292.0,31366.0,30659.0,6211.0,19562.0,4676.0,210.0,707.0
5,1990JJ00,121,31454,,31085,11,10,349,31429,11443,71.0,1058.2,97.1,,,,,,1.2,64.3,1092.2,41342.0,18328.0,23014.0,32246.0,31434.0,6148.0,20525.0,4518.0,243.0,813.0
6,1991JJ00,123,31685,,31429,13,12,399,31879,11593,99.0,1092.2,124.9,,,,,,-0.1,66.3,1150.7,43382.0,17225.0,26157.0,33152.0,32539.0,6310.0,21537.0,4406.0,286.0,614.0
7,1992JJ00,125,32074,,31879,17,16,411,32376,11809,118.0,1150.7,154.0,,,,,,-0.3,71.0,1233.5,46337.0,17011.0,29326.0,34338.0,33634.0,6362.0,22556.0,4590.0,126.0,704.0
8,1993JJ00,129,32634,,32376,20,19,464,33008,11983,137.0,1233.5,175.2,,,,,,0.0,75.1,1333.0,49002.0,17567.0,31435.0,35032.0,34613.0,6427.0,23394.0,4654.0,138.0,419.0
9,1994JJ00,138,33330,,33008,24,23,458,33736,12264,181.0,1333.0,151.7,,,,,,0.0,77.2,1407.5,51700.0,16918.0,34782.0,36083.0,35763.0,6752.0,24489.0,4305.0,217.0,319.0
10,1995JJ00,139,33723,34050.0,33736,26,25,513,34016,12430,195.0,1407.5,206.1,,,,,,0.0,87.1,1526.5,54643.0,16019.0,38624.0,37001.0,36747.0,6753.0,25876.0,3802.0,316.0,254.0
11,1996JJ00,138,33975,34350.0,34016,30,29,554,34155,12566,228.0,1526.0,158.1,104.0,30.1,31.5,-6.3,-1.1,0.0,96.6,1587.5,56671.0,15142.0,41529.0,37508.0,37113.0,6879.0,26655.0,3226.0,353.0,396.0
12,1997JJ00,141,34598,34840.0,34155,31,31,505,34467,12594,221.0,1618.4,165.8,129.0,23.3,32.2,-14.5,-4.2,0.0,98.3,1685.9,55149.0,15095.0,40054.0,38971.0,38573.0,6844.0,28700.0,2824.0,205.0,398.0
13,1998JJ00,148,35332,35357.0,34670,34,34,601,34791,12654,267.0,1829.8,178.2,76.6,14.7,39.1,26.2,21.7,-0.1,122.7,1885.3,57632.0,14616.0,43016.0,40462.0,40160.0,6923.0,30312.0,2595.0,330.0,302.0
14,1999JJ00,151,35529,35242.0,34642,22,22,584,34568,12651,,1869.7,183.3,82.3,18.9,38.5,40.0,5.9,-2.3,120.8,1932.2,,,,,,,,,,
15,2000JJ00,154,35706,35309.0,34670,29,29,589,36442,12696,286.0,2157.9,246.2,63.2,16.9,48.1,22.5,93.3,2.1,156.6,2247.6,,,,,,,,,,
16,2001JJ00,154,35989,35688.0,34626,30,29,554,34788,12790,307.0,,,,,,,,,,,,,,,,,,,,
