ID,SectorBranchSIC2008,Periods,NaturalGasDelivered_1,ElectricityDelivered_2
78,391600,2013JJ00,86,2681
79,391600,2014JJ00,71,2700
80,391600,2015JJ00,81,2736
81,391600,2016JJ00,77,2758
82,391600,2017JJ00,51,2829
83,391600,2018JJ00,49,3630
84,391600,2019JJ00,43,4042
85,391600,2020JJ00,38,4408
86,391600,2021JJ00,41,4876
87,391600,2022JJ00,33,5399
88,391600,2023JJ00,29,5551
89,391600,2024JJ00,25,6145
90,300009,2010JJ00,420,3422
91,300009,2011JJ00,315,3276
92,300009,2012JJ00,342,2884
93,300009,2013JJ00,324,2833
94,300009,2014JJ00,252,2730
95,300009,2015JJ00,274,2653
96,300009,2016JJ00,284,2779
97,300009,2017JJ00,309,2848
98,300009,2018JJ00,269,2457
99,300009,2019JJ00,236,2281
100,300009,2020JJ00,206,2149
101,300009,2021JJ00,227,2102
102,300009,2022JJ00,182,2084
103,300009,2023JJ00,157,2028
104,300009,2024JJ00,145,2052
105,396300,2010JJ00,190,1858
106,396300,2011JJ00,145,1787
107,396300,2012JJ00,169,1672
108,396300,2013JJ00,164,1652
109,396300,2014JJ00,126,1553
110,396300,2015JJ00,142,1531
111,396300,2016JJ00,145,1525
112,396300,2017JJ00,154,1518
113,396300,2018JJ00,145,1382
114,396300,2019JJ00,125,1279
115,396300,2020JJ00,105,1181
116,396300,2021JJ00,114,1123
117,396300,2022JJ00,91,1108
118,396300,2023JJ00,77,1063
119,396300,2024JJ00,72,1071
120,402000,2010JJ00,230,1564
121,402000,2011JJ00,170,1490
122,402000,2012JJ00,173,1212
123,402000,2013JJ00,160,1181
124,402000,2014JJ00,126,1177
125,402000,2015JJ00,132,1122
126,402000,2016JJ00,139,1254
127,402000,2017JJ00,155,1329
128,402000,2018JJ00,124,1075
129,402000,2019JJ00,111,1002
130,402000,2020JJ00,101,967
131,402000,2021JJ00,113,979
132,402000,2022JJ00,91,976
133,402000,2023JJ00,80,965
134,402000,2024JJ00,73,981
135,300010,2010JJ00,331,2066
136,300010,2011JJ00,247,2013
137,300010,2012JJ00,269,1931
138,300010,2013JJ00,267,1930
139,300010,2014JJ00,207,1834
140,300010,2015JJ00,229,1841
141,300010,2016JJ00,240,1905
142,300010,2017JJ00,256,2025
143,300010,2018JJ00,255,2123
144,300010,2019JJ00,234,2063
145,300010,2020JJ00,208,2009
146,300010,2021JJ00,241,2067
147,300010,2022JJ00,199,2086
148,300010,2023JJ00,181,2086
149,300010,2024JJ00,166,2177
150,403300,2010JJ00,222,1272
151,403300,2011JJ00,166,1255
152,403300,2012JJ00,180,1210
153,403300,2013JJ00,168,1199
154,403300,2014JJ00,130,1138
155,403300,2015JJ00,149,1163
156,403300,2016JJ00,154,1191
157,403300,2017JJ00,170,1289
158,403300,2018JJ00,174,1438
159,403300,2019JJ00,163,1426
160,403300,2020JJ00,148,1421
161,403300,2021JJ00,172,1487
162,403300,2022JJ00,143,1523
163,403300,2023JJ00,132,1554
164,403300,2024JJ00,122,1651
