ID,LandbouwgoederenEnDiensten,Perioden,OutputTegenAfProducentwaarde_1,OutputBasisprijzen_2,OutputTegenAfProducentwaarde_3,OutputBasisprijzen_4,OutputTegenAfProducentwaarde_5,OutputBasisprijzen_6,OutputTegenAfProducentwaarde_7,OutputBasisprijzen_8
1561,A045473,2019JJ00,626.0,626.0,654.0,654.0,-5.0,-5.0,95.8,95.8
1562,A045473,2020JJ00,595.0,595.0,627.0,627.0,-4.1,-4.1,94.9,94.9
1563,A045473,2021JJ00,633.0,633.0,647.0,647.0,3.2,3.2,97.9,97.9
1564,A045473,2022JJ00,825.0,825.0,634.0,634.0,-2.0,-2.0,130.1,130.1
1565,A045473,2023JJ00,920.0,920.0,643.0,643.0,1.4,1.4,143.1,143.1
1566,A045474,1995JJ00,43.0,43.0,35.0,35.0,,,121.6,121.6
1567,A045474,1996JJ00,37.0,37.0,28.0,28.0,-21.4,-21.4,133.8,133.8
1568,A045474,1997JJ00,41.0,41.0,30.0,30.0,9.6,9.6,135.4,135.4
1569,A045474,1998JJ00,39.0,39.0,31.0,31.0,4.1,4.1,123.3,123.3
1570,A045474,1999JJ00,35.0,35.0,32.0,32.0,1.7,1.7,109.9,109.9
1571,A045474,2000JJ00,52.0,52.0,54.0,54.0,68.4,68.4,96.8,96.8
1572,A045474,2001JJ00,48.0,48.0,53.0,53.0,-2.5,-2.5,92.1,92.1
1573,A045474,2002JJ00,76.0,76.0,75.0,75.0,42.1,42.1,101.5,101.5
1574,A045474,2003JJ00,66.0,66.0,78.0,78.0,4.5,4.5,84.8,84.8
1575,A045474,2004JJ00,64.0,64.0,76.0,76.0,-2.5,-2.5,84.7,84.7
1576,A045474,2005JJ00,117.0,117.0,133.0,133.0,74.9,74.9,87.7,87.7
1577,A045474,2006JJ00,111.0,111.0,126.0,126.0,-4.9,-4.9,87.9,87.9
1578,A045474,2007JJ00,101.0,101.0,117.0,117.0,-7.9,-7.9,86.4,86.4
1579,A045474,2008JJ00,127.0,127.0,142.0,142.0,22.1,22.1,89.5,89.5
1580,A045474,2009JJ00,112.0,112.0,136.0,136.0,-4.5,-4.5,82.6,82.6
1581,A045474,2010JJ00,114.0,114.0,139.0,139.0,2.3,2.3,82.0,82.0
1582,A045474,2011JJ00,156.0,156.0,166.0,166.0,19.2,19.2,93.8,93.8
1583,A045474,2012JJ00,171.0,171.0,189.0,189.0,14.0,14.0,90.6,90.6
1584,A045474,2013JJ00,165.0,165.0,177.0,177.0,-6.6,-6.6,93.7,93.7
1585,A045474,2014JJ00,181.0,181.0,210.0,210.0,18.8,18.8,86.3,86.3
1586,A045474,2015JJ00,177.0,177.0,177.0,177.0,-15.7,-15.7,100.0,100.0
1587,A045474,2016JJ00,146.0,146.0,161.0,161.0,-9.0,-9.0,90.7,90.7
