ID,Producten,Perioden,TotaalBinnenlandseAfleveringen_1,Raffinaderijen_2,PetrochemischeIndustrie_3,InzetVoorBlending_4,Mineraal_5,Synthetisch_6
173,g,2000HJ02,210842,76012,0,534,134296,0
174,g,2000JJ00,465417,150905,0,27023,287489,0
175,g,2001KW01,85521,29889,0,343,55289,0
176,g,2001KW02,152106,39736,0,936,111434,0
177,g,2001HJ01,237627,69625,0,1279,166723,0
178,g,2001KW03,160752,39299,0,1227,120226,0
179,g,2001KW04,113339,19251,0,263,93825,0
180,g,2001HJ02,274091,58550,0,1490,214051,0
181,g,2001JJ00,511718,128175,0,2769,380774,0
182,g,2002KW01,77066,25923,0,466,50677,0
183,g,2002KW02,170227,51386,0,723,118118,0
184,g,2002HJ01,247293,77309,0,1189,168795,0
185,g,2002KW03,133375,24498,0,817,108060,0
186,g,2002KW04,84431,7999,0,1028,75404,0
187,g,2002HJ02,217806,32497,0,1845,183464,0
188,g,2002JJ00,465099,109806,0,3034,352259,0
189,g,2003KW01,25608,0,0,1112,24496,0
190,g,2003KW02,110266,0,0,8294,101972,0
191,g,2003HJ01,135874,0,0,9406,126468,0
192,g,2003KW03,98449,0,0,1416,97033,0
193,g,2003KW04,71040,0,0,0,71040,0
194,g,2003HJ02,169489,0,0,1416,168073,0
195,g,2003JJ00,305363,0,0,10822,294541,0
