ID,BronTechniek,Perioden,InGebruikGenomen_1,UitGebruikGenomen_2,OpgesteldAanHetEindeVanHetJaar_3,InGebruikGenomen_4,UitGebruikGenomen_5,OpgesteldAanHetEindeVanHetJaar_6,InGebruikGenomen_7,UitGebruikGenomen_8,OpgesteldAanHetEindeVanHetJaar_9,InGebruikGenomen_10,UitGebruikGenomen_11,OpgesteldAanHetEindeVanHetJaar_12,ElektriciteitInMlnKWh_13,AandeelInTotaalElektriciteitsverbruik_14,Warmte_15,BiogasVoorNuttigFinaalVerbruik_16,WinningVanBiogas_17,GefakkeldBiogas_18,NuttigEnergetischVerbruikVanBiomassa_19
0,totaa,1990JJ00,,,,,,,,,,,,,720.0,0.92,,857.0,2916.0,,29869.0
1,totaa,1991JJ00,,,,,,,,,,,,,846.0,1.05,,1172.0,3482.0,,30267.0
2,totaa,1992JJ00,,,,,,,,,,,,,893.0,1.07,,1526.0,3997.0,,31047.0
3,totaa,1993JJ00,,,,,,,,,,,,,952.0,1.13,,1693.0,4954.0,,32553.0
4,totaa,1994JJ00,,,,,,,,,,,,,1087.0,1.25,,1565.0,5247.0,,32456.0
5,totaa,1995JJ00,,,,,,,,,,,,,1214.0,1.36,,1428.0,5596.0,,34952.0
6,totaa,1996JJ00,,,,,,,,,,,,,1576.0,1.71,,1439.0,5875.0,,37875.0
7,totaa,1997JJ00,,,,,,,,,,,,,1725.0,1.8,,1532.0,5789.0,,41516.0
8,totaa,1998JJ00,,,,,,,,,,,,,2018.0,2.03,,1547.0,5784.0,,43702.0
9,totaa,1999JJ00,,,,,,,,,,,,,2187.0,2.15,,1613.0,6074.0,,44689.0
10,totaa,2000JJ00,,,,,,,,,,,,,2650.0,2.53,,1630.0,6140.0,,47831.0
11,totaa,2001JJ00,,,,,,,,,,,,,2979.0,2.78,,1474.0,6339.0,,51097.0
12,totaa,2002JJ00,,,,,,,,,,,,,3621.0,3.34,,1336.0,6518.0,,56604.0
13,totaa,2003JJ00,,,,,,,,,,,,,3640.0,3.31,,1336.0,6608.0,,53711.0
14,totaa,2004JJ00,,,,,,,,,,,,,4946.0,4.31,,1547.0,6275.0,,63103.0
15,totaa,2005JJ00,,,,,,,,,,,,,6996.0,6.11,,1358.0,5867.0,,81176.0
16,totaa,2006JJ00,,,,,,,,,,,,,7566.0,6.52,,1331.0,6675.0,,84225.0
17,totaa,2007JJ00,,,,,,,,,,,,,7118.0,6.01,,1091.0,8040.0,,85517.0
18,totaa,2008JJ00,,,,,,,,,,,,,8931.0,7.46,,1006.0,10211.0,,99669.0
19,totaa,2009JJ00,,,,,,,,,,,,,10147.0,8.91,,1081.0,11921.0,,113250.0
20,totaa,2010JJ00,,,,,,,,,,,,,10442.0,8.93,,989.0,12886.0,,114433.0
21,totaa,2011JJ00,,,,,,,,,,,,,11534.0,9.78,,1017.0,12829.0,,117922.0
22,totaa,2012JJ00,,,,,,,,,,,,,11758.0,10.16,,1549.0,12932.0,,122168.0
23,totaa,2013JJ00,,,,,,,,,,,,,,,,,,,
24,water,1990JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,85.0,0.11,,,,,
25,water,1991JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,104.0,0.13,,,,,
26,water,1992JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,120.0,0.14,,,,,
27,water,1993JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,92.0,0.11,,,,,
28,water,1994JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,100.0,0.11,,,,,
29,water,1995JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,88.0,0.1,,,,,
30,water,1996JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,80.0,0.09,,,,,
31,water,1997JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,92.0,0.1,,,,,
32,water,1998JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,112.0,0.11,,,,,
33,water,1999JJ00,0.0,0.0,5.0,0.0,0.0,37.0,,,,,,,90.0,0.09,,,,,
34,water,2000JJ00,1.0,0.0,6.0,0.0,0.0,37.0,,,,,,,142.0,0.14,,,,,
35,water,2001JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,117.0,0.11,,,,,
36,water,2002JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,110.0,0.1,,,,,
37,water,2003JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,72.0,0.07,,,,,
38,water,2004JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,95.0,0.08,,,,,
39,water,2005JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,88.0,0.08,,,,,
40,water,2006JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,106.0,0.09,,,,,
41,water,2007JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,107.0,0.09,,,,,
42,water,2008JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,102.0,0.09,,,,,
43,water,2009JJ00,0.0,0.0,6.0,0.0,0.0,37.0,,,,,,,98.0,0.09,,,,,
44,water,2010JJ00,1.0,0.0,7.0,0.0,0.0,37.0,,,,,,,105.0,0.09,,,,,
45,water,2011JJ00,0.0,0.0,7.0,0.0,0.0,37.0,,,,,,,57.0,0.05,,,,,
46,water,2012JJ00,0.0,0.0,7.0,0.0,0.0,37.0,,,,,,,104.0,0.09,,,,,
47,water,2013JJ00,,,,,,,,,,,,,,,,,,,
48,winde,1990JJ00,70.0,,323.0,15.0,,50.0,,,,,,,56.0,0.07,,,,,
49,winde,1991JJ00,143.0,37.0,429.0,41.0,8.0,83.0,,,,,,,88.0,0.11,,,,,
50,winde,1992JJ00,88.0,20.0,497.0,22.0,4.0,101.0,,,,,,,147.0,0.18,,,,,
51,winde,1993JJ00,145.0,9.0,633.0,30.0,0.0,131.0,,,,,,,174.0,0.21,,,,,
52,winde,1994JJ00,106.0,15.0,724.0,23.0,1.0,152.0,,,,,,,238.0,0.27,,,,,
53,winde,1995JJ00,336.0,52.0,1008.0,109.0,12.0,250.0,,,,,,,317.0,0.36,,,,,
54,winde,1996JJ00,131.0,24.0,1115.0,48.0,2.0,296.0,,,,,,,437.0,0.47,,,,,
55,winde,1997JJ00,89.0,56.0,1148.0,43.0,14.0,324.0,,,,,,,475.0,0.5,,,,,
56,winde,1998JJ00,62.0,17.0,1193.0,42.0,3.0,363.0,,,,,,,640.0,0.64,,,,,
57,winde,1999JJ00,70.0,10.0,1253.0,48.0,1.0,410.0,,,,,,,645.0,0.63,,,,,
58,winde,2000JJ00,47.0,9.0,1291.0,38.0,1.0,447.0,,,,,,,829.0,0.79,,,,,
59,winde,2001JJ00,60.0,9.0,1342.0,40.0,2.0,485.0,,,,,,,825.0,0.77,,,,,
60,winde,2002JJ00,153.0,41.0,1454.0,201.0,14.0,672.0,,,,,,,947.0,0.87,,,,,
61,winde,2003JJ00,200.0,56.0,1598.0,243.0,10.0,905.0,,,,,,,1320.0,1.2,,,,,
62,winde,2004JJ00,168.0,112.0,1654.0,204.0,35.0,1075.0,,,,,,,1871.0,1.63,,,,,
63,winde,2005JJ00,125.0,69.0,1710.0,166.0,17.0,1224.0,,,,,,,2067.0,1.81,,,,,
64,winde,2006JJ00,157.0,37.0,1830.0,348.0,11.0,1561.0,,,,,,,2734.0,2.35,,,,,
65,winde,2007JJ00,123.0,62.0,1891.0,211.0,23.0,1749.0,,,,,,,3438.0,2.9,,,,,
66,winde,2008JJ00,191.0,44.0,2038.0,416.0,16.0,2149.0,,,,,,,4260.0,3.56,,,,,
67,winde,2009JJ00,52.0,118.0,1972.0,110.0,36.0,2222.0,,,,,,,4581.0,4.02,,,,,
68,winde,2010JJ00,28.0,27.0,1973.0,30.0,15.0,2237.0,,,,,,,3993.0,3.42,,,,,
69,winde,2011JJ00,47.0,42.0,1978.0,98.0,20.0,2316.0,,,,,,,5100.0,4.33,,,,,
70,winde,2012JJ00,65.0,65.0,1978.0,161.0,44.0,2433.0,,,,,,,4982.0,4.31,,,,,
71,winde,2013JJ00,,,,,,,,,,,,,,,,,,,
72,windl,1990JJ00,70.0,,323.0,15.0,,50.0,,,,,,,56.0,0.07,,,,,
73,windl,1991JJ00,143.0,37.0,429.0,41.0,8.0,83.0,,,,,,,88.0,0.11,,,,,
74,windl,1992JJ00,88.0,20.0,497.0,22.0,4.0,101.0,,,,,,,147.0,0.18,,,,,
75,windl,1993JJ00,145.0,9.0,633.0,30.0,0.0,131.0,,,,,,,174.0,0.21,,,,,
76,windl,1994JJ00,106.0,15.0,724.0,23.0,1.0,152.0,,,,,,,238.0,0.27,,,,,
77,windl,1995JJ00,336.0,52.0,1008.0,109.0,12.0,250.0,,,,,,,317.0,0.36,,,,,
78,windl,1996JJ00,131.0,24.0,1115.0,48.0,2.0,296.0,,,,,,,437.0,0.47,,,,,
79,windl,1997JJ00,89.0,56.0,1148.0,43.0,14.0,324.0,,,,,,,475.0,0.5,,,,,
80,windl,1998JJ00,62.0,17.0,1193.0,42.0,3.0,363.0,,,,,,,640.0,0.64,,,,,
81,windl,1999JJ00,70.0,10.0,1253.0,48.0,1.0,410.0,,,,,,,645.0,0.63,,,,,
82,windl,2000JJ00,47.0,9.0,1291.0,38.0,1.0,447.0,,,,,,,829.0,0.79,,,,,
83,windl,2001JJ00,60.0,9.0,1342.0,40.0,2.0,485.0,,,,,,,825.0,0.77,,,,,
84,windl,2002JJ00,153.0,41.0,1454.0,201.0,14.0,672.0,,,,,,,947.0,0.87,,,,,
85,windl,2003JJ00,200.0,56.0,1598.0,243.0,10.0,905.0,,,,,,,1320.0,1.2,,,,,
86,windl,2004JJ00,168.0,112.0,1654.0,204.0,35.0,1075.0,,,,,,,1871.0,1.63,,,,,
87,windl,2005JJ00,125.0,69.0,1710.0,166.0,17.0,1224.0,,,,,,,2067.0,1.81,,,,,
88,windl,2006JJ00,121.0,37.0,1794.0,240.0,11.0,1453.0,,,,,,,2666.0,2.3,,,,,
89,windl,2007JJ00,123.0,62.0,1855.0,211.0,23.0,1641.0,,,,,,,3108.0,2.62,,,,,
90,windl,2008JJ00,131.0,44.0,1942.0,296.0,16.0,1921.0,,,,,,,3664.0,3.06,,,,,
91,windl,2009JJ00,52.0,118.0,1876.0,110.0,36.0,1994.0,,,,,,,3846.0,3.38,,,,,
92,windl,2010JJ00,28.0,27.0,1877.0,30.0,15.0,2009.0,,,,,,,3315.0,2.83,,,,,
93,windl,2011JJ00,47.0,42.0,1882.0,98.0,20.0,2088.0,,,,,,,4298.0,3.65,,,,,
94,windl,2012JJ00,65.0,65.0,1882.0,161.0,44.0,2205.0,,,,,,,4193.0,3.62,,,,,
95,windl,2013JJ00,,,,,,,,,,,,,,,,,,,
96,windz,1990JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
97,windz,1991JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
98,windz,1992JJ00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,
