ID,Geslacht,Leeftijd,Herkomst,Perioden,TotaalUniekeGebruikersToevoegingen_1,Civiel_2,Ambtshalve_3,Straf_4,Erfrecht_5,PersonenEnFamilierecht_6,Verbintenissenrecht_7,Arbeidsrecht_8,Huurrecht_9,Faillissementsrecht_10,Goederenrecht_11,OverigCiviel_12,SocialeVoorzieningen_13,Vreemdelingenrecht_14,SocialeVerzekeringen_15,Bestuursrecht_16,Woonrecht_17,FiscaalRecht_18,Ambtenarenrecht_19,Milieurecht_20,StrafrechtVerdachten_21,StrafrechtOverig_22,Onbekend_23
91,1100,41400,1271,2008JJ00,2590,1320,1210,310,0,350,100,20,10,0,0,0,30,800,10,40,0,0,0,0,1240,320,0
92,1100,41400,1271,2009JJ00,1580,1060,440,290,10,320,140,20,10,0,0,0,40,520,0,50,0,0,0,0,500,210,0
93,1100,41400,1271,2010JJ00,1620,1110,440,280,10,320,140,20,10,0,0,10,30,570,10,50,0,0,0,0,480,230,0
94,1100,41400,1271,2011JJ00,1530,1010,460,240,0,370,170,20,10,0,0,0,40,450,10,30,0,0,0,0,460,180,0
95,1100,41400,1272,2007JJ00,1640,690,860,220,0,270,100,30,10,0,0,10,50,240,0,20,0,0,0,0,920,180,0
96,1100,41400,1272,2008JJ00,1680,680,920,230,0,310,110,30,10,0,0,10,30,190,10,20,0,0,0,0,990,190,0
97,1100,41400,1272,2009JJ00,1060,580,390,210,10,280,100,40,10,0,0,0,40,100,10,30,0,0,0,0,470,140,0
98,1100,41400,1272,2010JJ00,940,530,340,200,0,270,110,30,10,0,0,0,20,90,10,20,0,0,0,0,410,130,0
99,1100,41400,1272,2011JJ00,920,490,370,190,0,280,100,20,10,0,0,0,30,70,10,10,0,0,0,0,400,120,0
100,1100,60300,1000,2007JJ00,46270,33150,5260,12110,80,11790,5980,4960,2080,130,30,190,2160,5680,1230,1120,240,150,90,0,12640,4700,120
101,1100,60300,1000,2008JJ00,48440,33710,5950,13310,110,12710,6430,5200,2070,120,30,230,1960,4970,1130,1120,220,160,100,0,14060,5150,160
102,1100,60300,1000,2009JJ00,49590,34920,5470,14130,100,13260,6920,5990,2170,130,30,210,2020,4220,1190,1440,220,180,90,0,14130,5210,30
103,1100,60300,1000,2010JJ00,47010,33460,5350,12390,110,13550,6830,4880,2000,80,30,230,1980,3820,1130,1450,200,180,90,0,12740,4930,10
104,1100,60300,1000,2011JJ00,44990,31070,5580,12540,120,13280,6000,4140,1960,40,20,240,2060,3190,1110,1350,140,130,80,0,13040,4810,10
105,1100,60300,6030,2007JJ00,21190,14710,2220,5990,60,6750,2970,2810,1160,90,20,100,590,60,490,340,100,40,40,0,6190,2040,100
106,1100,60300,6030,2008JJ00,22560,15460,2500,6510,70,7340,3260,2860,1130,70,20,120,560,40,460,410,110,50,40,0,6810,2210,130
107,1100,60300,6030,2009JJ00,23490,16540,2210,6680,70,7700,3510,3270,1180,60,20,110,560,30,480,530,120,70,40,0,6690,2130,30
108,1100,60300,6030,2010JJ00,22430,15960,2190,5930,70,7960,3320,2780,1040,60,20,130,580,30,510,480,90,50,50,0,6130,2020,0
109,1100,60300,6030,2011JJ00,21630,15080,2280,5970,80,7880,2950,2410,1020,20,10,120,560,20,490,480,50,40,40,0,6160,2010,0
110,1100,60300,1100,2007JJ00,25080,18440,3040,6110,20,5040,3020,2150,920,50,10,100,1570,5620,740,780,140,110,50,0,6440,2660,20
111,1100,60300,1100,2008JJ00,25880,18250,3450,6800,40,5370,3170,2340,940,50,20,110,1400,4930,670,720,110,110,60,0,7250,2950,30
112,1100,60300,1100,2009JJ00,26100,18380,3260,7450,30,5570,3420,2720,990,60,10,100,1460,4190,710,910,110,110,40,0,7440,3080,10
