ID,Producten,Perioden,Beginvoorraad_1,BrutoProductie_2,Ontvangsten_3,UitvoerEntrepotuitvoer_4,Bunkering_5,BinnenlandseAfleveringen_6,Eindvoorraad_7
0,a,2000KW01,131127,152613,145444,208119,30652.0,53885,136528
1,a,2000KW02,136528,165106,156094,226133,40434.0,52244,138917
2,a,2000HJ01,131127,317719,301538,434252,71086.0,106129,138917
3,a,2000KW03,138917,168762,149210,219699,38644.0,53183,145363
4,a,2000KW04,145363,167798,160815,216419,41698.0,70538,145321
5,a,2000HJ02,138917,336560,310025,436118,80342.0,123721,145321
6,a,2000JJ00,131127,654279,611563,870370,151428.0,229850,145321
7,a,2001KW01,145321,131673,183428,228569,43107.0,56263,132483
8,a,2001KW02,132483,156758,146759,206816,49806.0,45885,133493
9,a,2001HJ01,145321,288431,330187,435385,92913.0,102148,133493
10,a,2001KW03,133493,168461,164036,228073,41982.0,62258,133677
11,a,2001KW04,133677,123365,180888,195509,37602.0,58190,146629
12,a,2001HJ02,133493,291826,344924,423582,79584.0,120448,146629
13,a,2001JJ00,145321,580257,675111,858967,172497.0,222596,146629
14,a,2002KW01,146629,149816,145945,206997,34254.0,64719,136420
15,a,2002KW02,136420,155991,143276,223669,27854.0,65452,118712
16,a,2002HJ01,146629,305807,289221,430666,62108.0,130171,118712
17,a,2002KW03,118712,158236,156380,224313,27793.0,56857,124365
18,a,2002KW04,124365,157149,141113,211074,28593.0,50419,132541
19,a,2002HJ02,118712,315385,297493,435387,56386.0,107276,132541
20,a,2002JJ00,146629,621192,586714,866053,118494.0,237447,132541
21,a,2003KW01,132541,145638,162355,233739,25222.0,57045,124528
22,a,2003KW02,124528,169793,135252,231639,27387.0,46902,123645
23,a,2003HJ01,132541,315431,297607,465378,52609.0,103947,123645
24,a,2003KW03,123645,159831,144316,201804,33405.0,29808,162775
25,a,2003KW04,162775,112253,156870,216390,28024.0,52596,134888
26,a,2003HJ02,123645,272084,301186,418194,61429.0,82404,134888
27,a,2003JJ00,132541,587515,598793,883572,114038.0,186351,134888
28,b,2000KW01,66592,142018,77751,128613,,80576,77172
29,b,2000KW02,77172,154861,75832,140457,,85680,81728
30,b,2000HJ01,66592,296879,153583,269070,,166256,81728
31,b,2000KW03,81728,150714,58095,132203,,81506,76828
32,b,2000KW04,76828,144375,74473,131189,,80770,83717
33,b,2000HJ02,81728,295089,132568,263392,,162276,83717
34,b,2000JJ00,66592,591968,286151,532462,,328532,83717
35,b,2001KW01,83717,124880,69197,116839,,87311,73644
36,b,2001KW02,73644,145797,61249,130617,,71673,78400
37,b,2001HJ01,83717,270677,130446,247456,,158984,78400
38,b,2001KW03,78400,148861,45211,126573,,69017,76882
39,b,2001KW04,76882,107658,51119,84969,,60040,90650
40,b,2001HJ02,78400,256519,96330,211542,,129057,90650
41,b,2001JJ00,83717,527196,226776,458998,,288041,90650
42,b,2002KW01,90650,137281,45531,127978,,70062,75422
43,b,2002KW02,75422,147921,52464,141374,,70081,64352
44,b,2002HJ01,90650,285202,97995,269352,,140143,64352
45,b,2002KW03,64352,142871,58294,135104,,67050,63363
46,b,2002KW04,63363,145600,51511,119599,,67309,73566
47,b,2002HJ02,64352,288471,109805,254703,,134359,73566
48,b,2002JJ00,90650,573673,207800,524055,,274502,73566
49,b,2003KW01,73566,134533,50294,128759,,66217,63417
50,b,2003KW02,63417,148239,51239,140786,,62987,59122
51,b,2003HJ01,73566,282772,101533,269545,,129204,59122
52,b,2003KW03,59122,149036,64853,121090,,63336,88585
53,b,2003KW04,88585,98508,46875,110768,,64870,58330
54,b,2003HJ02,59122,247544,111728,231858,,128206,58330
55,b,2003JJ00,73566,530316,213261,501403,,257410,58330
56,c,2000KW01,66143,142018,76389,128613,,79090,76847
57,c,2000KW02,76847,154861,74331,140457,,84375,81207
58,c,2000HJ01,66143,296879,150720,269070,,163465,81207
59,c,2000KW03,81207,150714,56995,132203,,80334,76379
60,c,2000KW04,76379,144375,73087,131189,,79301,83351
61,c,2000HJ02,81207,295089,130082,263392,,159635,83351
62,c,2000JJ00,66143,591968,280802,532462,,323100,83351
63,c,2001KW01,83351,124880,67696,116839,,85882,73206
64,c,2001KW02,73206,145797,59975,130617,,70317,78044
65,c,2001HJ01,83351,270677,127671,247456,,156199,78044
66,c,2001KW03,78044,148861,43953,126573,,67651,76634
67,c,2001KW04,76634,107658,49653,84969,,58707,90269
68,c,2001HJ02,78044,256519,93606,211542,,126358,90269
69,c,2001JJ00,83351,527196,221277,458998,,282557,90269
70,c,2002KW01,90269,137281,44047,127978,,68598,75021
71,c,2002KW02,75021,147921,50873,141374,,68499,63942
72,c,2002HJ01,90269,285202,94920,269352,,137097,63942
73,c,2002KW03,63942,142871,56429,135104,,65261,62877
74,c,2002KW04,62877,145600,49905,119599,,65673,73110
75,c,2002HJ02,63942,288471,106334,254703,,130934,73110
76,c,2002JJ00,90269,573673,201254,524055,,268031,73110
77,c,2003KW01,73110,134533,48752,128759,,64754,62882
78,c,2003KW02,62882,148239,48873,140786,,60428,58780
79,c,2003HJ01,73110,282772,97625,269545,,125182,58780
80,c,2003KW03,58780,149036,63179,121090,,61808,88097
81,c,2003KW04,88097,98508,45538,110768,,63507,57868
82,c,2003HJ02,58780,247544,108717,231858,,125315,57868
83,c,2003JJ00,73110,530316,206342,501403,,250497,57868
84,d,2000KW01,449,0,1362,0,,1486,325
85,d,2000KW02,325,0,1501,0,,1305,521
86,d,2000HJ01,449,0,2863,0,,2791,521
87,d,2000KW03,521,0,1100,0,,1172,449
88,d,2000KW04,449,0,1386,0,,1469,366
89,d,2000HJ02,521,0,2486,0,,2641,366
90,d,2000JJ00,449,0,5349,0,,5432,366
91,d,2001KW01,366,0,1501,0,,1429,438
92,d,2001KW02,438,0,1274,0,,1356,356
93,d,2001HJ01,366,0,2775,0,,2785,356
94,d,2001KW03,356,0,1258,0,,1366,248
95,d,2001KW04,248,0,1466,0,,1333,381
96,d,2001HJ02,356,0,2724,0,,2699,381
97,d,2001JJ00,366,0,5499,0,,5484,381
98,d,2002KW01,381,0,1484,0,,1464,401
99,d,2002KW02,401,0,1591,0,,1582,410
100,d,2002HJ01,381,0,3075,0,,3046,410
101,d,2002KW03,410,0,1865,0,,1789,486
102,d,2002KW04,486,0,1606,0,,1636,456
103,d,2002HJ02,410,0,3471,0,,3425,456
104,d,2002JJ00,381,0,6546,0,,6471,456
105,d,2003KW01,456,0,1542,0,,1463,535
106,d,2003KW02,535,0,2366,0,,2559,342
107,d,2003HJ01,456,0,3908,0,,4022,342
108,d,2003KW03,342,0,1674,0,,1528,488
109,d,2003KW04,488,0,1337,0,,1363,462
110,d,2003HJ02,342,0,3011,0,,2891,462
111,d,2003JJ00,456,0,6919,0,,6913,462
112,e,2000KW01,5339,40,11497,2751,,9815,4310
113,e,2000KW02,4310,21,18512,9621,,8660,4562
114,e,2000HJ01,5339,61,30009,12372,,18475,4562
115,e,2000KW03,4562,0,23350,9553,,13864,4495
116,e,2000KW04,4495,0,20012,7279,,12628,4600
117,e,2000HJ02,4562,0,43362,16832,,26492,4600
118,e,2000JJ00,5339,61,73371,29204,,44967,4600
119,e,2001KW01,4600,0,20024,6726,,13611,4287
120,e,2001KW02,4287,0,17400,12734,,5315,3638
121,e,2001HJ01,4600,0,37424,19460,,18926,3638
122,e,2001KW03,3638,0,19562,10223,,8078,4899
