ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplusAndMixedIncome_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,GrossSaving_9,NetWorth_10,Total_11,PensionEntitlementsAndClaims_12,OtherAssets_13,Total_14,HomeMortgagesClosingBalance_15,OtherLiabilities_16,NonFinancialAssets_17,GrossOperatingSurplusAndMixedIncome_18,GrossMixedIncome_19,CompensationOfEmployees_20,GrossDisposableIncome_21,SocialTransfersInKind_22,GrossAdjustedDisposableIncome_23,FinalConsumptionExpenditure_24,ActualIndividualConsumption_25,GrossSaving_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,NonFinancialAssets_34,GrossOperatingSurplusAndMixedIncome_35,GrossMixedIncome_36,CompensationOfEmployees_37,GrossDisposableIncome_38,SocialTransfersInKind_39,GrossAdjustedDisposableIncome_40,FinalConsumptionExpenditure_41,ActualIndividualConsumption_42,GrossSaving_43,NetWorth_44,Total_45,PensionEntitlementsAndClaims_46,OtherAssets_47,Total_48,HomeMortgagesClosingBalance_49,OtherLiabilities_50,NonFinancialAssets_51
59,1050190,2018JJ00,743,3645,19461,21850,11202,33052,19959,31161,3540,124702,93965,52522,41443,39653,34042,5611,70390,1.4,6.7,35.9,40.3,20.6,60.9,36.8,57.4,6.5,230.7,173.8,97.2,76.7,73.3,63.0,10.4,130.2,0.8,4.1,22.1,24.8,12.7,37.5,22.7,35.4,4.0,141.4,106.6,59.6,47.0,45.0,38.6,6.4,79.8
60,1050190,2019JJ00,863,3945,20994,23472,12020,35492,21289,33309,4179,139637,98627,55348,43277,40730,35098,5633,81740,1.6,7.1,38.0,42.5,21.8,64.2,38.5,60.3,7.6,254.0,179.4,100.7,78.7,74.1,63.8,10.2,148.7,1.0,4.4,23.4,26.2,13.4,39.6,23.7,37.1,4.7,155.5,109.8,61.6,48.2,45.4,39.1,6.3,91.0
61,1050190,2020JJ00,954,4302,22203,25076,12322,37398,20013,32335,7101,160150,113367,64428,48939,42912,36551,6362,89695,1.7,7.7,39.6,44.8,22.0,66.8,35.7,57.7,12.7,286.7,202.9,115.3,87.6,76.8,65.4,11.4,160.6,1.0,4.7,24.4,27.6,13.5,41.1,22.0,35.5,7.8,175.6,124.3,70.7,53.7,47.1,40.1,7.0,98.4
62,1050190,2021JJ00,1106,4706,23387,26614,13389,40003,21684,35073,7125,183371,129352,76272,53081,43807,37448,6358,97826,2.0,8.3,41.4,47.1,23.7,70.8,38.4,62.1,12.6,326.7,230.4,135.9,94.6,78.0,66.7,11.3,174.3,1.2,5.1,25.5,29.1,14.6,43.7,23.7,38.3,7.8,200.0,141.1,83.2,57.9,47.8,40.8,6.9,106.7
63,1016090,2015JJ00,1577,33118,163853,137917,45785,183702,96905,142690,61579,884391,637274,290141,347132,391863,347507,44357,638980,0.8,16.9,83.6,70.4,23.4,93.7,49.4,72.8,31.4,453.1,326.5,148.6,177.8,200.7,178.0,22.7,327.3,0.4,7.7,38.0,32.0,10.6,42.6,22.5,33.1,14.3,204.6,147.5,67.1,80.3,90.7,80.4,10.3,147.9
64,1016090,2016JJ00,2028,35074,168333,142074,46618,188692,97153,143771,65911,930659,670170,323860,346705,394478,349837,44639,654967,1.0,17.9,86.1,72.7,23.8,96.5,49.7,73.5,33.7,478.0,344.2,166.3,177.9,202.6,179.7,22.9,336.4,0.5,8.1,39.1,33.0,10.8,43.8,22.6,33.4,15.3,215.8,155.4,75.1,80.3,91.5,81.1,10.3,151.8
65,1016090,2017JJ00,3333,36711,173572,146542,47712,194254,100775,148487,66159,1005514,730258,385869,344391,398510,354869,43638,673766,1.7,18.8,88.7,74.9,24.4,99.2,51.5,75.9,33.8,515.9,374.7,198.0,176.7,204.5,182.1,22.4,345.7,0.8,8.5,40.2,34.0,11.1,45.0,23.4,34.4,15.3,232.7,169.0,89.3,79.7,92.2,82.1,10.1,155.9
66,1016090,2018JJ00,5016,38233,179957,152822,49875,202697,104898,154773,69662,1048673,731027,376401,354625,404255,358969,45284,721901,2.6,19.6,92.3,78.3,25.6,103.9,53.8,79.3,35.7,539.8,376.3,193.7,182.5,208.1,184.8,23.3,371.6,1.2,8.9,41.8,35.5,11.6,47.1,24.4,35.9,16.2,243.1,169.5,87.3,82.2,93.7,83.2,10.5,167.3
67,1016090,2019JJ00,5176,40125,187241,160424,52897,213321,107838,160735,75912,1130873,755585,398130,357458,410018,364109,45906,785306,2.7,20.6,96.0,82.3,27.1,109.4,55.3,82.4,38.9,582.9,389.4,205.2,184.3,211.3,187.7,23.7,404.7,1.2,9.3,43.4,37.2,12.3,49.5,25.0,37.3,17.6,262.1,175.1,92.3,82.9,95.0,84.4,10.6,182.0
68,1016090,2020JJ00,5752,39568,193985,166104,55012,221116,98816,153828,90427,1252503,818843,452329,366514,410597,364495,46100,844257,2.9,20.2,99.2,85.0,28.1,113.1,50.5,78.7,46.3,642.4,420.0,232.0,188.0,210.6,186.9,23.6,433.0,1.3,9.2,44.9,38.4,12.7,51.1,22.9,35.6,20.9,289.1,189.0,104.4,84.6,94.8,84.1,10.6,194.9
69,1016090,2021JJ00,7113,43055,200564,174857,59713,234570,108077,167790,91707,1430072,936187,544975,391210,415598,369241,46357,909483,3.6,22.1,102.8,89.6,30.6,120.2,55.4,86.0,47.0,737.1,482.6,280.9,201.6,214.2,190.3,23.9,468.8,1.7,10.0,46.5,40.6,13.9,54.4,25.1,38.9,21.3,331.5,217.0,126.3,90.7,96.4,85.6,10.7,210.9
70,1017780,2015JJ00,5661,14625,82682,103593,29507,133100,92654,122161,11879,1208135,938288,612794,325494,224195,188109,36085,494042,2.6,6.8,38.7,48.5,13.8,62.3,43.4,57.2,5.6,567.9,441.1,288.1,153.0,105.4,88.4,17.0,232.2,1.8,4.6,25.9,32.4,9.2,41.7,29.0,38.2,3.7,377.4,293.1,191.4,101.7,70.0,58.8,11.3,154.3
71,1017780,2016JJ00,6229,15422,84867,105666,29465,135131,94171,123636,11726,1269929,983772,639244,344511,226138,189790,36349,512295,2.9,7.2,39.6,49.3,13.7,63.0,43.9,57.6,5.5,594.3,460.4,299.1,161.2,105.8,88.8,17.0,239.7,1.9,4.8,26.4,32.9,9.2,42.1,29.3,38.5,3.7,395.1,306.1,198.9,107.2,70.4,59.1,11.3,159.4
72,1017780,2017JJ00,7243,16203,87375,106377,30483,136860,97355,127838,8660,1371301,1051660,690502,361156,228653,192685,35969,548294,3.4,7.5,40.5,49.3,14.1,63.4,45.1,59.2,4.0,638.2,489.4,321.3,168.1,106.4,89.7,16.7,255.2,2.2,5.0,27.1,33.0,9.5,42.4,30.2,39.6,2.7,424.4,325.5,213.7,111.8,70.8,59.6,11.1,169.7
73,1017780,2018JJ00,8487,17272,91552,112978,32214,145192,101897,134111,10271,1403399,1041243,676985,364258,231831,195542,36290,593987,3.9,7.9,42.1,51.9,14.8,66.7,46.8,61.6,4.7,647.7,480.6,312.4,168.1,107.0,90.2,16.7,274.1,2.6,5.3,28.1,34.7,9.9,44.6,31.3,41.2,3.2,430.7,319.6,207.8,111.8,71.2,60.0,11.1,182.3
74,1017780,2019JJ00,8919,18279,96032,118819,34453,153272,105374,139827,14510,1470355,1054148,685307,368841,235264,199581,35684,651471,4.1,8.3,43.8,54.2,15.7,69.9,48.1,63.8,6.6,674.4,483.5,314.3,169.2,107.9,91.5,16.4,298.8,2.7,5.6,29.3,36.3,10.5,46.8,32.2,42.7,4.4,448.2,321.3,208.9,112.4,71.7,60.8,10.9,198.6
75,1017780,2020JJ00,9366,19200,99505,123603,34959,158562,98686,133645,24369,1655020,1195601,796872,398729,239673,204002,35671,699092,4.2,8.7,44.9,55.8,15.8,71.6,44.6,60.4,11.0,749.7,541.6,360.9,180.6,108.6,92.4,16.2,316.7,2.8,5.8,30.1,37.3,10.6,47.9,29.8,40.4,7.4,498.9,360.4,240.2,120.2,72.3,61.5,10.8,210.7
76,1017780,2021JJ00,10272,21188,104297,130811,38539,169350,106899,145438,22048,1795924,1280727,853249,427479,247235,211192,36042,762432,4.6,9.4,46.5,58.3,17.2,75.5,47.7,64.8,9.8,805.5,574.4,382.7,191.7,110.9,94.7,16.2,342.0,3.1,6.3,31.1,39.1,11.5,50.6,31.9,43.4,6.6,535.7,382.0,254.5,127.5,73.7,63.0,10.8,227.4
77,1030009,2015JJ00,76,3216,9608,14192,9193,23385,12928,22121,1388,80305,66640,34821,31819,21023,16589,4434,34688,0.2,6.8,20.2,29.9,19.3,49.2,27.2,46.5,2.9,169.7,140.8,73.6,67.2,44.4,35.1,9.4,73.3,0.1,4.7,14.2,20.9,13.6,34.5,19.1,32.7,2.0,118.3,98.2,51.3,46.9,31.0,24.4,6.5,51.1
78,1030009,2016JJ00,118,3329,10432,14966,9093,24059,13519,22612,1456,88700,71510,38634,32791,22435,17675,4760,39625,0.2,6.7,21.0,30.1,18.3,48.5,27.2,45.5,2.9,179.2,144.4,78.1,66.3,45.4,35.7,9.6,80.1,0.2,4.7,14.8,21.2,12.9,34.1,19.2,32.1,2.1,125.5,101.2,54.7,46.4,31.8,25.0,6.7,56.1
79,1030009,2017JJ00,249,3645,11331,15735,9115,24850,13815,22930,2048,94655,76392,38117,38274,23675,18876,4799,41938,0.5,7.5,23.2,32.3,18.7,51.0,28.3,47.0,4.2,195.0,157.4,78.5,78.9,48.8,38.9,9.9,86.4,0.4,5.2,16.1,22.4,13.0,35.4,19.7,32.7,2.9,134.7,108.7,54.2,54.5,33.7,26.9,6.8,59.7
80,1030009,2018JJ00,368,3959,12457,16841,9716,26557,14545,24261,2498,100398,78907,39961,38946,25016,19991,5026,46507,0.7,7.9,24.9,33.7,19.4,53.1,29.1,48.5,5.0,201.6,158.5,80.2,78.2,50.2,40.1,10.1,93.4,0.5,5.5,17.4,23.5,13.5,37.0,20.3,33.8,3.5,139.8,109.9,55.6,54.2,34.8,27.8,7.0,64.8
81,1030009,2019JJ00,367,4202,13247,17823,10499,28322,14971,25470,3241,104670,80467,40607,39860,25257,20270,4988,49460,0.7,8.2,26.0,35.0,20.6,55.6,29.4,50.0,6.4,206.4,158.7,80.1,78.6,49.8,40.0,9.8,97.5,0.5,5.8,18.1,24.4,14.4,38.8,20.5,34.9,4.4,143.2,110.1,55.6,54.5,34.6,27.7,6.8,67.7
82,1030009,2020JJ00,406,3928,13221,17676,11033,28709,14277,25310,3720,116945,89213,47217,41996,25677,20721,4956,53409,0.8,7.9,26.7,35.7,22.3,57.9,28.8,51.1,7.5,236.6,180.5,95.5,85.0,52.0,41.9,10.0,108.1,0.6,5.5,18.5,24.8,15.5,40.2,20.0,35.5,5.2,163.6,124.8,66.0,58.7,35.9,29.0,6.9,74.7
83,1030009,2021JJ00,493,4600,13929,19217,11955,31172,15554,27509,3962,129526,96934,51779,45155,26318,21361,4957,58910,1.0,8.9,26.9,37.1,23.1,60.2,30.0,53.1,7.7,251.6,188.3,100.6,87.7,51.1,41.5,9.6,114.4,0.7,6.2,18.7,25.9,16.1,41.9,20.9,37.0,5.3,174.1,130.3,69.6,60.7,35.4,28.7,6.7,79.2
84,A045196,2015JJ00,635,45059,9561,56384,10069,66453,32091,42160,25423,575489,349974,88488,261487,134995,89651,45344,360510,0.9,61.6,13.1,77.1,13.8,90.9,43.9,57.6,34.8,790.1,480.5,121.5,359.0,185.3,123.1,62.3,494.9,0.5,38.3,8.1,47.9,8.6,56.5,27.3,35.8,21.6,488.4,297.0,75.1,221.9,114.6,76.1,38.5,306.0
85,A045196,2016JJ00,837,47499,9297,59602,10283,69885,32830,43113,28038,576585,342328,100474,241646,129016,86723,42293,363273,1.1,63.4,12.4,79.6,13.7,93.3,43.8,57.6,37.4,772.8,458.7,134.7,324.0,173.0,116.3,56.7,487.1,0.7,39.5,7.7,49.6,8.6,58.2,27.3,35.9,23.3,479.4,284.6,83.6,201.0,107.3,72.1,35.2,302.2
86,A045196,2017JJ00,1339,49943,10152,59714,10743,70457,34876,45619,27912,677341,445302,187579,257722,133166,89672,43494,365205,1.8,65.4,13.3,78.2,14.1,92.3,45.7,59.8,36.6,891.3,585.9,246.8,339.1,175.2,118.0,57.2,480.5,1.1,40.8,8.3,48.8,8.8,57.6,28.5,37.3,22.8,553.2,363.7,153.2,210.5,108.8,73.2,35.5,298.3
87,A045196,2018JJ00,1731,52598,11548,65829,11374,77203,35231,46605,32293,607855,361985,117221,244763,137788,92927,44861,383658,2.2,67.9,14.9,84.9,14.7,99.6,45.5,60.1,41.7,787.5,469.0,151.9,317.1,178.5,120.4,58.1,497.0,1.4,42.3,9.3,52.9,9.1,62.0,28.3,37.5,25.9,488.0,290.6,94.1,196.5,110.6,74.6,36.0,308.0
88,A045196,2019JJ00,1923,55465,12832,70870,12502,83372,37393,49895,36040,651727,381421,128424,252997,145116,98522,46594,415422,2.4,69.2,16.0,88.4,15.6,104.0,46.7,62.3,45.0,817.5,478.4,161.1,317.4,182.0,123.6,58.4,521.1,1.5,43.1,10.0,55.1,9.7,64.8,29.1,38.8,28.0,506.4,296.4,99.8,196.6,112.8,76.6,36.2,322.8
89,A045196,2020JJ00,2173,54961,13738,67356,13631,80987,37441,51072,32444,737564,426984,151859,275124,147582,100181,47400,458162,2.7,67.7,16.9,82.9,16.8,99.7,46.1,62.9,39.9,910.6,527.2,187.5,339.7,182.2,123.7,58.5,565.7,1.7,42.1,10.5,51.5,10.4,62.0,28.6,39.1,24.8,563.2,326.0,116.0,210.1,112.7,76.5,36.2,349.9
90,A045196,2021JJ00,2746,61188,15089,76602,15129,91731,41805,56934,37375,786063,444429,169403,275026,147902,101560,46342,489536,3.3,73.7,18.2,92.3,18.2,110.5,50.3,68.6,45.0,952.4,538.5,205.2,333.2,179.2,123.0,56.1,593.1,2.1,45.8,11.3,57.3,11.3,68.6,31.3,42.6,28.0,587.7,332.3,126.7,205.6,110.6,75.9,34.6,366.0
91,A045197,2015JJ00,3380,13473,307439,203204,55377,258581,171914,227291,72078,1212322,1020715,561960,458754,554731,506423,48308,746338,0.9,3.4,78.4,51.8,14.1,65.9,43.8,58.0,18.4,310.5,261.4,143.9,117.5,142.1,129.7,12.4,191.1,0.5,2.1,47.1,31.1,8.5,39.6,26.3,34.8,11.0,185.5,156.2,86.0,70.2,84.9,77.5,7.4,114.2
92,A045197,2016JJ00,4287,14487,317760,208708,56689,265397,175700,232389,75075,1325085,1109830,618154,492072,566970,515233,51737,782225,1.1,3.6,80.0,52.6,14.3,66.8,44.2,58.5,18.9,335.0,280.6,156.3,124.3,143.3,130.2,13.1,197.7,0.6,2.2,48.2,31.6,8.6,40.2,26.6,35.2,11.4,200.7,168.1,93.6,74.5,85.9,78.0,7.8,118.4
93,A045197,2017JJ00,6458,15345,328628,217624,58571,276195,183782,242353,73889,1462570,1184057,705218,478841,573002,523161,49840,851515,1.6,3.8,81.3,53.8,14.5,68.3,45.5,60.0,18.3,363.4,294.2,175.2,119.0,142.4,130.0,12.4,211.6,1.0,2.3,49.1,32.5,8.7,41.3,27.5,36.2,11.0,218.2,176.7,105.2,71.5,85.5,78.1,7.4,127.1
94,A045197,2018JJ00,9221,16554,343369,228151,62011,290162,195152,257163,76278,1569225,1221629,719343,502288,580665,529229,51436,928261,2.2,4.0,83.2,55.3,15.0,70.3,47.3,62.3,18.5,381.7,297.1,175.0,122.2,141.2,128.7,12.5,225.8,1.4,2.4,50.4,33.5,9.1,42.6,28.7,37.8,11.2,230.3,179.3,105.6,73.7,85.2,77.7,7.5,136.2
95,A045197,2019JJ00,9736,17790,359411,241319,66361,307680,203410,269771,83922,1714767,1272535,763663,508873,586745,536050,50696,1028977,2.3,4.2,85.5,57.4,15.8,73.2,48.4,64.2,20.0,410.2,304.4,182.7,121.7,140.4,128.2,12.1,246.1,1.4,2.6,52.0,34.9,9.6,44.6,29.5,39.1,12.2,248.3,184.3,110.6,73.7,85.0,77.6,7.3,149.0
96,A045197,2020JJ00,10589,19284,372311,256775,69137,325912,188057,257194,114296,1898625,1388802,868728,520075,590916,539214,51702,1100739,2.5,4.6,88.6,61.1,16.4,77.5,44.7,61.2,27.2,452.8,331.2,207.2,124.0,140.9,128.6,12.3,262.5,1.5,2.8,53.9,37.2,10.0,47.2,27.2,37.2,16.5,274.3,200.6,125.5,75.1,85.4,77.9,7.5,159.0
97,A045197,2021JJ00,12391,20534,386346,267011,75655,342666,203667,279322,112216,2192771,1600964,1024925,576038,603761,549794,53968,1195568,2.9,4.8,91.1,62.9,17.8,80.8,48.0,65.8,26.4,519.9,379.6,243.0,136.6,143.1,130.4,12.8,283.5,1.8,3.0,55.6,38.4,10.9,49.3,29.3,40.2,16.2,315.5,230.4,147.5,82.9,86.9,79.1,7.8,172.0
98,A045198,2015JJ00,5997,1828,2501,59272,39041,98313,69767,108808,-29188,940887,715198,530308,184889,78504,66009,12495,304193,2.9,0.9,1.2,29.0,19.1,48.2,34.2,53.3,-14.3,462.8,351.8,260.9,91.0,38.6,32.5,6.1,149.6,2.4,0.7,1.0,23.3,15.4,38.7,27.4,42.8,-11.5,369.5,280.9,208.3,72.6,30.8,25.9,4.9,119.5
99,A045198,2016JJ00,6328,1938,2585,61060,38364,99424,70526,108890,-30184,975542,740014,541043,198971,82265,68572,13693,317793,3.1,0.9,1.3,29.6,18.6,48.3,34.2,52.9,-14.7,475.4,360.6,263.7,97.0,40.1,33.4,6.7,154.9,2.5,0.8,1.0,23.8,15.0,38.8,27.5,42.5,-11.8,380.4,288.5,210.9,77.6,32.1,26.7,5.3,123.9
100,A045198,2017JJ00,6811,1973,2649,61208,40048,101256,71866,111914,-33077,980831,727487,500773,226714,82092,69602,12491,335436,3.3,1.0,1.3,29.6,19.4,48.9,34.7,54.1,-16.0,476.1,353.2,243.1,110.1,39.9,33.8,6.1,162.8,2.7,0.8,1.0,23.8,15.6,39.4,28.0,43.6,-12.9,381.7,283.1,194.9,88.2,31.9,27.1,4.9,130.5
101,A045198,2018JJ00,7551,2109,2746,63101,42482,105583,74724,117206,-34430,1063142,776213,545710,230503,84563,71666,12897,371492,3.6,1.0,1.3,30.3,20.4,50.6,35.8,56.2,-16.5,511.8,373.7,262.7,111.0,40.7,34.5,6.2,178.8,2.9,0.8,1.1,24.4,16.4,40.8,28.9,45.3,-13.3,410.8,299.9,210.9,89.1,32.7,27.7,5.0,143.5
102,A045198,2019JJ00,7793,2240,2833,65304,45830,111134,76341,122171,-33016,1076287,758196,529031,229165,85326,73066,12260,403417,3.7,1.1,1.4,31.2,21.9,53.1,36.5,58.4,-15.8,517.3,364.4,254.3,110.1,41.0,35.1,5.9,193.9,3.0,0.9,1.1,25.2,17.7,42.9,29.5,47.2,-12.8,415.7,292.8,204.3,88.5,33.0,28.2,4.7,155.8
103,A045198,2020JJ00,8170,2517,2887,68642,46823,115465,74331,121154,-29482,1231344,884588,621885,262703,89137,77358,11780,435893,3.8,1.2,1.4,32.3,22.1,54.4,35.0,57.1,-13.9,581.6,417.8,293.7,124.1,42.1,36.5,5.6,205.9,3.1,1.0,1.1,26.2,17.8,44.0,28.3,46.2,-11.2,468.3,336.4,236.5,99.9,33.9,29.4,4.5,165.8
104,A045198,2021JJ00,8811,2619,3132,71833,50635,122468,78888,129523,-33911,1309368,919545,637588,281958,93831,82016,11815,483654,4.1,1.2,1.5,33.3,23.5,56.7,36.5,60.0,-15.7,610.3,428.6,297.2,131.4,43.7,38.2,5.5,225.4,3.3,1.0,1.2,27.0,19.0,46.0,29.6,48.7,-12.7,491.6,345.3,239.4,105.9,35.2,30.8,4.4,181.6
105,A045199,2015JJ00,650,2167,4078,23977,17492,41469,31600,49092,-7569,120011,101435,59870,41566,30074,25146,4928,48650,0.5,1.7,3.3,19.2,14.0,33.2,25.3,39.3,-6.1,96.5,81.5,48.1,33.4,24.2,20.2,4.0,39.1,0.4,1.3,2.5,14.8,10.8,25.6,19.5,30.3,-4.7,73.8,62.4,36.8,25.6,18.5,15.5,3.0,29.9
106,A045199,2016JJ00,673,2161,3899,23543,17493,41036,31374,48867,-8247,124768,105360,64268,40904,28115,23355,4760,47523,0.5,1.8,3.2,19.2,14.3,33.4,25.6,39.8,-6.7,101.9,86.0,52.6,33.5,23.0,19.1,3.9,38.9,0.4,1.4,2.5,14.8,11.0,25.8,19.8,30.8,-5.2,78.4,66.2,40.4,25.7,17.7,14.7,3.0,29.9
107,A045199,2017JJ00,746,2133,3867,22857,17277,40134,31076,48353,-8108,128175,106566,60922,45643,26317,21803,4514,47926,0.6,1.8,3.2,19.1,14.4,33.5,25.9,40.3,-6.8,107.3,89.2,51.0,38.2,22.0,18.3,3.8,40.1,0.5,1.4,2.5,14.8,11.2,25.9,20.1,31.2,-5.2,82.7,68.8,39.3,29.5,17.0,14.1,2.9,30.9
108,A045199,2018JJ00,830,2093,3814,22582,17334,39916,30666,48000,-7988,129974,105647,60864,44782,24517,19984,4533,48844,0.7,1.8,3.3,19.6,15.1,34.7,26.6,41.7,-6.9,113.4,92.1,53.1,39.1,21.4,17.4,4.0,42.6,0.6,1.4,2.6,15.2,11.7,26.9,20.7,32.4,-5.4,87.6,71.2,41.0,30.2,16.5,13.5,3.1,32.9
109,A045199,2019JJ00,831,2075,3731,22263,17664,39927,30478,48142,-7542,130575,102825,58794,44030,23059,18754,4304,50809,0.7,1.9,3.3,19.9,15.8,35.7,27.2,43.0,-6.7,117.3,92.3,52.8,39.5,20.7,16.8,3.9,45.6,0.6,1.4,2.6,15.5,12.3,27.8,21.2,33.6,-5.3,91.0,71.6,41.0,30.7,16.1,13.1,3.0,35.4
110,A045199,2020JJ00,863,2264,3839,23174,16057,39231,29918,45975,-6106,146857,118173,68123,50050,24553,19526,5027,53237,0.8,2.0,3.4,20.3,14.1,34.4,26.2,40.3,-5.4,129.2,103.9,59.9,44.0,21.6,17.2,4.4,46.8,0.6,1.6,2.6,15.9,11.0,26.9,20.5,31.5,-4.2,100.5,80.8,46.6,34.2,16.8,13.4,3.4,36.4
111,A045199,2021JJ00,907,2307,3990,23996,17147,41143,30570,47717,-6138,158420,126424,74251,52173,23260,18579,4680,55256,0.8,2.1,3.6,21.4,15.3,36.7,27.3,42.6,-5.5,142.3,113.5,66.7,46.9,20.9,16.7,4.2,49.6,0.6,1.6,2.8,16.8,12.0,28.7,21.4,33.3,-4.3,110.6,88.3,51.8,36.4,16.2,13.0,3.3,38.6
112,A025339,2015JJ00,12,10048,61721,52773,17404,70177,52830,70234,5953,93475,74644,22378,52266,113802,100313,13489,132633,0.0,6.0,37.0,31.7,10.4,42.1,31.7,42.1,3.6,56.3,45.0,13.5,31.5,68.5,60.4,8.1,79.9,0.0,4.5,27.9,23.9,7.9,31.7,23.9,31.8,2.7,42.2,33.7,10.1,23.6,51.4,45.3,6.1,59.9
113,A025339,2016JJ00,337,10358,63333,53925,17527,71452,55093,72620,4878,102061,74514,28210,46021,111431,97683,13748,138978,0.2,6.2,37.8,32.2,10.5,42.6,32.9,43.3,2.9,61.0,44.5,16.9,27.6,66.8,58.5,8.2,83.3,0.2,4.7,28.6,24.3,7.9,32.2,24.8,32.8,2.2,45.9,33.4,12.7,20.7,50.2,44.0,6.2,62.6
114,A025339,2017JJ00,850,10750,65709,56189,17848,74037,57321,75169,4998,117199,76046,24364,51683,110861,97295,13566,152014,0.5,6.4,38.9,33.3,10.6,43.8,33.9,44.5,3.0,69.7,45.2,14.5,30.7,65.9,57.9,8.1,90.4,0.4,4.8,29.5,25.2,8.0,33.2,25.7,33.7,2.2,52.5,34.1,10.9,23.2,49.7,43.6,6.1,68.1
115,A025339,2018JJ00,1404,11602,70091,59399,18659,78058,60359,79018,5821,134537,82027,25775,56252,113443,98800,14642,165953,0.8,6.8,41.0,34.8,10.9,45.7,35.3,46.3,3.4,79.1,48.2,15.2,33.1,66.7,58.1,8.6,97.6,0.6,5.2,31.1,26.4,8.3,34.7,26.8,35.1,2.6,59.7,36.4,11.4,25.0,50.3,43.8,6.5,73.6
116,A025339,2019JJ00,1608,12430,74464,63163,19820,82983,63238,83058,7097,155144,84320,26249,58072,115004,100087,14917,185828,0.9,7.2,43.2,36.6,11.5,48.1,36.6,48.1,4.1,90.4,49.1,15.3,33.8,67.0,58.3,8.7,108.2,0.7,5.5,32.8,27.8,8.7,36.5,27.8,36.5,3.1,68.2,37.1,11.5,25.5,50.6,44.0,6.6,81.7
117,A025339,2020JJ00,1797,12815,78324,66810,20107,86917,59071,79178,15504,177987,97733,30524,67210,122208,105395,16814,202462,1.0,7.4,45.3,38.7,11.6,50.3,34.2,45.8,9.0,103.3,56.7,17.7,39.0,70.9,61.2,9.8,117.5,0.8,5.6,34.4,29.4,8.8,38.2,26.0,34.8,6.8,78.1,42.9,13.4,29.5,53.6,46.2,7.4,88.8
118,A025339,2021JJ00,2066,14097,82449,70637,22144,92781,63305,85449,15944,208567,117888,42068,75818,126499,109125,17374,217178,1.2,8.1,47.3,40.5,12.7,53.3,36.3,49.0,9.2,120.4,68.1,24.3,43.8,73.0,63.0,10.0,125.4,0.9,6.1,35.9,30.8,9.6,40.4,27.6,37.2,6.9,90.8,51.3,18.3,33.0,55.1,47.5,7.6,94.6
119,A025345,2015JJ00,532,25405,133984,110422,36445,146867,88059,124504,38310,566235,415072,162114,252958,338298,305371,32928,489461,0.3,12.2,64.2,52.9,17.5,70.4,42.2,59.7,18.4,272.5,199.7,78.0,121.7,162.8,146.9,15.8,235.5,0.1,6.9,36.5,30.1,9.9,40.0,24.0,33.9,10.4,154.0,112.9,44.1,68.8,92.0,83.0,9.0,133.1
120,A025345,2016JJ00,870,26358,135483,111899,36769,148668,87154,123923,40837,570223,419434,180919,238441,333413,301306,32106,484202,0.4,12.8,65.7,54.3,17.8,72.1,42.3,60.1,19.8,277.7,204.3,88.1,116.1,162.4,146.8,15.6,235.8,0.2,7.3,37.4,30.9,10.2,41.0,24.1,34.2,11.3,157.2,115.7,49.9,65.8,92.0,83.1,8.9,133.5
121,A025345,2017JJ00,1896,26869,137273,113601,37074,150675,88818,125892,40059,609901,439624,207643,231981,330204,299954,30250,500481,0.9,13.2,67.3,55.7,18.2,73.9,43.6,61.8,19.7,300.5,216.6,102.3,114.3,162.7,147.8,14.9,246.6,0.5,7.5,38.3,31.7,10.4,42.1,24.8,35.2,11.2,170.1,122.6,57.9,64.7,92.1,83.7,8.4,139.6
122,A025345,2018JJ00,3212,27760,140386,116436,38402,154838,91319,129721,41445,643918,443020,205468,237552,328876,298318,30558,529774,1.6,13.8,69.6,57.7,19.0,76.7,45.3,64.3,20.5,320.4,220.5,102.2,118.2,163.7,148.4,15.2,263.6,0.9,7.8,39.6,32.9,10.8,43.7,25.8,36.6,11.7,181.6,124.9,57.9,67.0,92.7,84.1,8.6,149.4
123,A025345,2019JJ00,3315,28641,143504,120144,40304,160448,92793,133097,44229,687876,445573,212337,233235,327531,297320,30211,569834,1.7,14.3,71.8,60.1,20.2,80.2,46.4,66.6,22.1,345.7,224.0,106.7,117.2,164.6,149.4,15.2,286.4,0.9,8.2,40.9,34.3,11.5,45.8,26.5,38.0,12.6,196.2,127.1,60.6,66.5,93.4,84.8,8.6,162.6
124,A025345,2020JJ00,3720,28316,145268,122414,40842,163256,85363,126205,53649,750558,473269,234217,239052,323892,293355,30536,601181,1.9,14.3,73.5,61.9,20.7,82.6,43.2,63.8,27.1,380.7,240.0,118.8,121.2,164.3,148.8,15.5,304.9,1.1,8.2,42.0,35.4,11.8,47.2,24.7,36.5,15.5,216.6,136.6,67.6,69.0,93.5,84.7,8.8,173.5
