ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplusAndMixedIncome_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,GrossSaving_9,NetWorth_10,Total_11,PensionEntitlementsAndClaims_12,OtherAssets_13,Total_14,HomeMortgagesClosingBalance_15,OtherLiabilities_16,NonFinancialAssets_17,GrossOperatingSurplusAndMixedIncome_18,GrossMixedIncome_19,CompensationOfEmployees_20,GrossDisposableIncome_21,SocialTransfersInKind_22,GrossAdjustedDisposableIncome_23,FinalConsumptionExpenditure_24,ActualIndividualConsumption_25,GrossSaving_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,NonFinancialAssets_34,GrossOperatingSurplusAndMixedIncome_35,GrossMixedIncome_36,CompensationOfEmployees_37,GrossDisposableIncome_38,SocialTransfersInKind_39,GrossAdjustedDisposableIncome_40,FinalConsumptionExpenditure_41,ActualIndividualConsumption_42,GrossSaving_43,NetWorth_44,Total_45,PensionEntitlementsAndClaims_46,OtherAssets_47,Total_48,HomeMortgagesClosingBalance_49,OtherLiabilities_50,NonFinancialAssets_51
10,A045200,2018JJ00,433,3276,7924,21090,28532,49622,39920,68452,-18349,241446,204368,100046,104323,34774,26229,8545,71852,0.3,2.0,4.9,13.0,17.5,30.5,24.5,42.0,-11.3,148.9,126.0,61.7,64.3,21.4,16.2,5.3,44.3,0.2,1.6,3.8,10.2,13.8,23.9,19.2,33.0,-8.8,116.3,98.4,48.2,50.2,16.7,12.6,4.1,34.6
11,A045200,2019JJ00,512,3582,8266,21932,30239,52171,41251,71490,-18212,257407,210355,101578,108778,34768,26213,8554,81820,0.3,2.2,5.0,13.3,18.4,31.8,25.1,43.5,-11.1,157.5,128.7,62.2,66.6,21.3,16.0,5.2,50.1,0.2,1.7,4.0,10.5,14.5,25.1,19.8,34.4,-8.8,123.7,101.1,48.8,52.3,16.7,12.6,4.1,39.3
12,A045200,2020JJ00,524,3108,6966,23118,28689,51807,40156,68845,-16073,264476,231621,114634,116987,31017,22971,8046,63872,0.3,1.9,4.2,14.0,17.3,31.3,24.2,41.6,-9.7,160.2,140.3,69.4,70.8,18.8,13.9,4.9,38.7,0.3,1.5,3.4,11.3,14.0,25.2,19.5,33.5,-7.8,128.5,112.5,55.7,56.8,15.1,11.2,3.9,31.0
13,A045200,2021JJ00,645,3415,7521,24381,31483,55864,41655,73138,-16526,306822,264770,136066,128703,31525,23637,7888,73577,0.4,2.0,4.5,14.6,18.8,33.4,24.9,43.8,-9.9,184.8,159.5,81.9,77.5,19.0,14.2,4.8,44.3,0.3,1.6,3.6,11.8,15.2,26.9,20.1,35.3,-8.0,147.9,127.6,65.6,62.0,15.2,11.4,3.8,35.5
14,A045201,2015JJ00,1252,3604,23476,40153,27335,67488,44225,71560,-4962,253562,204905,127486,77420,60413,53639,6775,109070,0.8,2.3,14.8,25.3,17.2,42.5,27.8,45.0,-3.1,160.3,129.5,80.6,48.9,38.2,33.9,4.3,68.9,0.6,1.6,10.6,18.1,12.3,30.4,19.9,32.2,-2.2,113.9,92.0,57.2,34.8,27.1,24.1,3.0,49.0
15,A045201,2016JJ00,1372,3747,24445,41567,28038,69605,45355,73393,-5325,275414,222653,139348,83302,61886,54703,7183,114647,0.9,2.3,15.3,26.0,17.5,43.5,28.3,45.8,-3.3,172.6,139.6,87.4,52.2,38.8,34.3,4.5,71.9,0.6,1.7,10.9,18.5,12.5,30.9,20.2,32.6,-2.4,122.3,98.9,61.9,37.0,27.5,24.3,3.2,50.9
16,A045201,2017JJ00,1706,3910,24343,42236,28621,70857,46423,75044,-5930,297383,229250,132059,97191,59012,52230,6782,127145,1.1,2.4,15.1,26.2,17.7,43.9,28.8,46.5,-3.7,185.0,142.6,82.1,60.4,36.7,32.5,4.2,79.1,0.8,1.7,10.8,18.8,12.7,31.5,20.7,33.4,-2.6,132.1,101.9,58.7,43.2,26.2,23.2,3.0,56.5
17,A045201,2018JJ00,2022,4041,26415,44087,29620,73707,48338,77958,-5873,320491,243538,143777,99761,58765,51583,7183,135718,1.2,2.5,16.2,27.1,18.2,45.3,29.7,47.9,-3.6,197.7,150.2,88.7,61.5,36.2,31.8,4.4,83.7,0.9,1.8,11.7,19.5,13.1,32.6,21.4,34.5,-2.6,141.8,107.8,63.6,44.1,26.0,22.8,3.2,60.1
18,A045201,2019JJ00,2242,4421,27217,46344,32078,78422,50284,82362,-5171,348166,251807,146832,104976,59186,52032,7154,155545,1.4,2.7,16.6,28.2,19.5,47.7,30.6,50.1,-3.1,213.0,154.1,89.8,64.2,36.2,31.8,4.4,95.2,1.0,1.9,12.0,20.4,14.1,34.5,22.1,36.2,-2.3,153.1,110.7,64.6,46.2,26.0,22.9,3.1,68.4
19,A045201,2020JJ00,2513,4299,28482,49386,32999,82385,48203,81202,-636,406900,301020,182755,118265,61326,53595,7731,167206,1.5,2.6,17.2,29.8,19.9,49.8,29.1,49.0,-0.4,246.4,182.3,110.7,71.6,37.1,32.5,4.7,101.3,1.1,1.9,12.3,21.4,14.3,35.7,20.9,35.2,-0.3,175.9,130.1,79.0,51.1,26.5,23.2,3.3,72.3
20,A045201,2021JJ00,2817,4373,30235,51579,35306,86885,51029,86335,-1713,448090,325234,197158,128075,63060,55462,7597,185916,1.7,2.6,18.1,30.9,21.1,52.0,30.5,51.7,-1.0,269.9,195.9,118.7,77.1,38.0,33.4,4.6,112.0,1.2,1.9,13.1,22.3,15.2,37.5,22.0,37.3,-0.7,193.3,140.3,85.1,55.3,27.2,23.9,3.3,80.2
21,A045202,2015JJ00,3065,5785,57133,60522,25742,86264,58210,83952,5098,460648,344042,221771,122270,136365,125280,11085,252971,1.9,3.6,36.0,38.1,16.2,54.3,36.6,52.8,3.2,291.2,217.5,140.2,77.3,86.2,79.2,7.0,159.9,1.2,2.3,22.9,24.2,10.3,34.6,23.3,33.6,2.0,184.2,137.6,88.7,48.9,54.5,50.1,4.4,101.2
22,A045202,2016JJ00,3319,5969,59326,62373,25911,88284,59387,85298,5242,488965,365061,240482,124578,138818,127209,11608,262722,2.1,3.7,37.0,38.9,16.2,55.1,37.1,53.3,3.3,306.5,228.8,150.8,78.1,87.0,79.7,7.3,164.7,1.3,2.4,23.7,24.9,10.3,35.2,23.7,34.0,2.1,194.8,145.4,95.8,49.6,55.3,50.7,4.6,104.7
23,A045202,2017JJ00,3908,6373,60475,64230,26705,90935,61282,87987,4298,521284,373793,239690,134103,138611,127391,11220,286102,2.4,3.9,37.5,39.8,16.5,56.3,38.0,54.5,2.7,324.2,232.5,149.1,83.4,86.2,79.2,7.0,177.9,1.5,2.5,24.0,25.5,10.6,36.1,24.3,34.9,1.7,206.4,148.0,94.9,53.1,54.9,50.4,4.4,113.3
24,A045202,2018JJ00,4683,6667,63793,66848,27874,94722,64302,92176,4466,564029,395298,257726,137573,139699,128033,11667,308430,2.9,4.1,39.2,41.1,17.1,58.2,39.5,56.6,2.7,347.9,243.8,159.0,84.8,86.2,79.0,7.2,190.2,1.8,2.6,25.2,26.4,11.0,37.4,25.4,36.4,1.8,222.4,155.9,101.6,54.3,55.1,50.5,4.6,121.6
25,A045202,2019JJ00,4928,7388,66575,70687,29837,100524,66915,96752,6287,610988,407823,265433,142389,141651,130210,11441,344816,3.0,4.5,40.5,43.0,18.2,61.2,40.7,58.9,3.8,373.8,249.5,162.4,87.1,86.7,79.7,7.0,211.0,1.9,2.9,26.0,27.7,11.7,39.3,26.2,37.9,2.5,239.0,159.5,103.8,55.7,55.4,50.9,4.5,134.9
26,A045202,2020JJ00,5314,7276,69404,75251,30427,105678,62950,93377,14146,702617,478793,319038,159755,145419,133303,12115,369243,3.2,4.4,41.9,45.4,18.4,63.8,38.0,56.4,8.5,425.5,289.9,193.2,96.7,88.1,80.7,7.3,223.6,2.1,2.8,27.0,29.3,11.8,41.1,24.5,36.3,5.5,272.6,185.8,123.8,62.0,56.4,51.7,4.7,143.3
27,A045202,2021JJ00,5855,7278,72290,78115,33060,111175,67693,100753,12026,774003,522619,350966,171654,148198,136314,11884,399582,3.5,4.4,43.3,46.8,19.8,66.6,40.5,60.3,7.2,466.2,314.8,211.4,103.4,89.3,82.1,7.2,240.7,2.3,2.8,28.0,30.3,12.8,43.1,26.2,39.1,4.7,299.9,202.5,136.0,66.5,57.4,52.8,4.6,154.8
28,A045203,2015JJ00,3595,8732,93010,80667,23017,103684,72379,95396,16049,643447,489155,324321,164835,207249,190564,16685,361541,2.3,5.5,58.5,50.8,14.5,65.3,45.6,60.1,10.1,406.7,309.2,205.0,104.2,131.0,120.5,10.5,228.5,1.4,3.4,36.3,31.4,9.0,40.4,28.2,37.2,6.3,250.4,190.4,126.2,64.2,80.7,74.2,6.5,140.7
29,A045203,2016JJ00,3987,8994,96404,82727,23173,105900,73499,96672,16780,675488,512472,344734,167736,212001,194800,17201,375017,2.5,5.6,60.2,51.7,14.5,66.1,45.9,60.4,10.5,423.4,321.3,216.1,105.2,132.9,122.1,10.8,235.1,1.5,3.5,37.4,32.1,9.0,41.1,28.5,37.5,6.5,261.6,198.5,133.5,65.0,82.1,75.4,6.7,145.2
30,A045203,2017JJ00,4806,9669,99193,85747,24004,109751,76189,100193,15799,724195,528275,352797,175478,214579,198131,16449,410499,3.0,6.0,61.4,53.1,14.9,68.0,47.2,62.1,9.8,450.4,328.6,219.4,109.1,133.5,123.2,10.2,255.3,1.8,3.7,38.1,32.9,9.2,42.1,29.2,38.4,6.1,277.6,202.5,135.2,67.3,82.3,75.9,6.3,157.4
31,A045203,2018JJ00,6034,10434,103986,89553,25365,114918,80433,105798,16464,789834,558073,376074,182000,219078,201958,17120,450839,3.7,6.4,63.9,55.0,15.6,70.6,49.4,65.0,10.1,487.1,344.2,231.9,112.2,135.1,124.6,10.6,278.1,2.3,4.0,39.5,34.0,9.6,43.6,30.5,40.2,6.2,299.5,211.6,142.6,69.0,83.1,76.6,6.5,170.9
32,A045203,2019JJ00,6224,11323,108765,94483,27063,121546,83263,110326,19559,844623,571294,385594,185700,222065,205168,16896,495394,3.8,6.9,66.2,57.5,16.5,74.0,50.7,67.2,11.9,516.8,349.5,235.9,113.6,135.9,125.5,10.3,303.1,2.3,4.3,40.9,35.5,10.2,45.7,31.3,41.5,7.4,317.7,214.9,145.0,69.8,83.5,77.2,6.4,186.3
33,A045203,2020JJ00,6626,12319,113823,101160,28483,129643,78081,106564,30891,961107,655842,449428,206414,227737,209709,18029,533002,4.0,7.4,68.7,61.1,17.2,78.3,47.2,64.4,18.7,582.0,397.1,272.1,125.0,137.9,127.0,10.9,322.8,2.5,4.6,42.4,37.7,10.6,48.3,29.1,39.7,11.5,357.1,243.7,167.0,76.7,84.6,77.9,6.7,198.0
34,A045203,2021JJ00,7460,12717,118185,105073,31047,136120,84639,115686,28526,1070310,727507,503445,224062,232550,214405,18145,575353,4.5,7.6,70.8,62.9,18.6,81.5,50.7,69.3,17.1,644.6,438.2,303.2,134.9,140.1,129.1,10.9,346.5,2.8,4.7,43.8,38.9,11.5,50.4,31.3,42.8,10.6,396.1,269.3,186.3,82.9,86.1,79.4,6.7,212.9
35,A045204,2015JJ00,2764,41763,142385,141431,19784,161215,93520,113304,61241,1326731,999288,502974,496313,354072,285559,68511,681515,1.7,26.3,89.6,89.0,12.5,101.5,58.9,71.3,38.6,838.6,631.7,317.9,313.7,223.8,180.5,43.3,430.8,1.1,16.6,56.5,56.1,7.9,64.0,37.1,45.0,24.3,525.6,395.9,199.3,196.6,140.3,113.1,27.1,270.0
36,A045204,2016JJ00,3402,44257,145839,146067,19999,166066,94324,114323,65309,1366044,1019896,522669,497623,355152,286651,68502,701300,2.1,27.6,91.1,91.2,12.5,103.7,58.9,71.4,40.8,856.3,639.3,327.7,311.7,222.6,179.7,42.9,439.6,1.3,17.4,57.2,57.3,7.8,65.1,37.0,44.8,25.6,535.4,399.7,204.8,194.9,139.2,112.3,26.8,274.9
37,A045204,2017JJ00,4627,46057,152991,150560,20601,171161,98386,118987,64789,1364036,1026302,553934,472368,359925,294603,65321,697659,2.9,28.5,94.8,93.3,12.8,106.0,60.9,73.7,40.1,848.4,638.3,344.5,293.8,223.9,183.2,40.6,433.9,1.8,17.8,59.2,58.3,8.0,66.3,38.1,46.1,25.1,527.5,396.9,214.2,182.7,139.2,113.9,25.3,269.8
38,A045204,2018JJ00,6161,48936,159359,158085,21810,179895,102780,124590,69445,1454396,1064197,565515,498679,375217,306003,69212,765416,3.8,30.1,97.9,97.1,13.4,110.5,63.1,76.5,42.7,897.0,656.3,348.8,307.6,231.4,188.7,42.7,472.1,2.4,18.7,60.8,60.4,8.3,68.7,39.2,47.6,26.5,554.8,406.0,215.7,190.2,143.1,116.7,26.4,292.0
