ID,RegioS,Perioden,TotaalBedrijvenOrganisaties_1,Theaterzalen_2,StadionsEnEvenementenhallen_3,Theaterzalen_4,StadionsEnEvenementenhallen_5,TotaalVoorstellingen_6,Theatervoorstellingen_7,Muziekvoorstellingen_8,DansEnBewegingsvoorstellingen_9,Muziektheatervoorstellingen_10,CabaretEnKleinkunstvoorstellingen_11,OverigeVoorstellingen_12,TotaalBezoekenAanVoorstellingen_13,Theatervoorstellingen_14,Muziekvoorstellingen_15,DansEnBewegingsvoorstellingen_16,Muziektheatervoorstellingen_17,CabaretEnKleinkunstvoorstellingen_18,BezoekenAanOverigeVoorstellingen_19
0,NL01   ,1999JJ00,334.0,407.0,160.0,164525.0,163964.0,38183.0,12686.0,10421.0,3045.0,3922.0,5589.0,2522.0,14302.0,1987.0,5372.0,1164.0,2390.0,1961.0,1428.0
1,NL01   ,2000JJ00,330.0,407.0,160.0,165574.0,163964.0,39537.0,13512.0,10664.0,2633.0,3795.0,5460.0,3472.0,14560.0,2073.0,5580.0,943.0,2591.0,1948.0,1424.0
2,NL01   ,2001JJ00,322.0,421.0,160.0,171987.0,163964.0,41204.0,13065.0,12303.0,2210.0,4125.0,5621.0,3879.0,15667.0,2330.0,6055.0,796.0,2687.0,2052.0,1750.0
3,NL01   ,2002JJ00,318.0,433.0,164.0,179572.0,164964.0,43373.0,14204.0,12595.0,2784.0,4184.0,5926.0,3680.0,16085.0,2244.0,6137.0,919.0,2979.0,2078.0,1729.0
4,NL01   ,2003JJ00,309.0,436.0,,187423.0,,46155.0,14037.0,13086.0,3188.0,4817.0,6395.0,4631.0,16024.0,2239.0,6200.0,912.0,3460.0,2194.0,1020.0
5,NL01   ,2004JJ00,307.0,434.0,,191383.0,,45998.0,13565.0,14365.0,2742.0,4258.0,7018.0,4049.0,15604.0,1988.0,6637.0,726.0,2979.0,2412.0,861.0
6,NL01   ,2005JJ00,336.0,502.0,136.0,240481.0,308822.0,53785.0,14462.0,17697.0,3327.0,5474.0,8437.0,4389.0,18387.0,2359.0,7543.0,746.0,4033.0,2684.0,1022.0
7,NL01   ,2006JJ00,338.0,499.0,134.0,248762.0,284337.0,54796.0,14810.0,18182.0,3310.0,5914.0,8418.0,4162.0,19054.0,2141.0,8105.0,990.0,4258.0,2553.0,1007.0
8,NL01   ,2007JJ00,341.0,533.0,164.0,262301.0,298054.0,57391.0,15912.0,18250.0,3476.0,6007.0,8806.0,4940.0,19317.0,2220.0,8424.0,788.0,3815.0,2697.0,1373.0
9,NL01   ,2008JJ00,340.0,511.0,120.0,267869.0,312276.0,58179.0,16855.0,18888.0,2787.0,6881.0,8470.0,4297.0,20291.0,2247.0,8216.0,778.0,4570.0,2725.0,1756.0
10,NL01   ,2009JJ00,339.0,522.0,134.0,249374.0,212183.0,58364.0,16092.0,21399.0,3384.0,5842.0,7501.0,4146.0,19581.0,2503.0,8623.0,663.0,3810.0,2474.0,1509.0
