ID,SBI93,Bedrijfsgrootte,AantalBedrijven_1,BedrijvenMetComputers_2,Computerpersoneel_3,WervenVanICTSpecialisten_4,ProblemenMetWervenICTSpecialisten_5,LoonkostenICTSpecialistenTeHoog_6,WervenGebruikers_7,ProblemenMetWervenGebruikers_8,OrderverwerkingGekoppeldICTSystemen_9,OrderverwerkingInternICTSysteem_10,OrderverwerkingKlantenAfnemers_11,BedrijvenMetLAN_12,BedrijvenMetDraadloosLAN_13,BedrijvenMetIntranet_14,BedrijvenMetExtranet_15,TotaalBedrijvenMetInternet_16,AnaloogModem_17,ISDN_18,Breedbandverbinding_19,XDSL_20,RTVKabel_21,AndereHoogwaardigeVasteVerbinding_22,DraadlozeVerbinding_23,AnderTypeVerbinding_24,PersoneelDatWerktMetInternet_25,MinderDan144KbS_26,MeerDan144KbSMinderDan2MbS_27,k_2MbSOfMeer_28,AantalTelewerkers_29,TotaalBedrijvenMetTelewerkers_30,TelewerkVanuitHuis_31,TelewerkVanafKlantZakenpartner_32,TelewerkVanuitAndereVestiging_33,TelewerkTijdensZakenreis_34,TrainingEnOpleiding_35,PresentatieEigenBedrijfViaWebsite_36,TotaalCommunicatieMetOverheden_37,VerkrijgenVanInformatie_38,VerkrijgenVanFormulieren_39,RetournerenIngevuldeFormulieren_40,ElektronischInschrijvenOpAanbesteding_41,TotaalInkoopViaExterneNetwerken_42,Inkoopwaarde1_43,Inkoopwaarde2_44,Inkoopwaarde5_45,Inkoopwaarde10_46,GeenVervangingVanDePost_47,KleineVervangingVanDePost_48,BelangrijkeVervangingVanDePost_49,BijnaAllePostVervangen_50,PostWasNooitBelangrijk_51,BeveiligingAntivirussoftware_52,BeveiligingFirewall_53,BeveiligingBeveiligdeWebserver_54,BeveiligingOffSiteDataBackUp_55,BeveiligingDigitaleHandtekening_56,BeveiligingOverigeAuthenticatie_57,BeveiligingEncryptie_58,BeveiligingProblemen_59,Betaaldiensten_60,Hypotheken_61,Leningen_62,Spaarvormen_63,Beleggingen_64,Levensverzekeringen_65,Schadeverzekeringen_66
0,24,33,1059.0,100,98,20,7,7,52,3,62,76,23,97,22,64,36,100,8,16,95,78,9,21,6,1,77,3,33,64,11,53,96,20,41,30,17,80,68,63,60,61,5,58,93,84,81,43,5,71,23,0,1,99,97,49,49,32,66,39,10,73.0,25.0,31.0,33.0,21.0,17.0,48.0
1,24,30,830.0,100,97,13,5,5,46,2,57,72,17,96,22,58,31,100,8,16,94,81,9,14,5,1,83,3,36,61,13,45,95,13,38,24,15,77,67,62,59,61,6,54,96,88,84,43,5,74,20,0,1,99,96,43,44,29,62,32,11,,,,,,,
2,24,31,171.0,100,96,29,7,9,70,3,76,83,35,100,24,85,45,100,6,14,97,70,11,36,8,3,81,0,29,71,16,83,99,28,42,36,18,89,69,65,64,61,3,78,85,79,77,45,5,65,30,0,0,99,99,68,56,43,77,64,10,,,,,,,
3,24,32,58.0,100,98,81,46,26,87,18,94,93,53,100,16,100,86,100,11,19,100,52,8,86,16,0,76,3,11,87,10,96,100,49,58,61,36,97,82,82,69,62,7,71,77,61,57,37,2,55,40,3,0,100,100,93,90,46,90,86,6,,,,,,,
4,21,33,141.0,100,100,39,16,2,63,10,67,89,39,100,12,81,39,100,4,33,94,64,9,39,3,6,77,6,28,66,11,57,100,18,45,46,21,90,57,56,47,46,1,56,90,79,77,39,9,52,39,0,0,100,94,69,72,26,67,66,20,,,,,,,
5,21,30,87.0,100,99,28,10,0,51,10,54,81,33,100,10,74,21,100,0,39,90,72,10,18,0,10,74,10,26,64,24,36,100,0,50,50,21,90,44,44,36,36,0,46,100,83,83,39,15,64,21,0,0,100,90,61,69,8,54,54,31,,,,,,,
6,21,31,36.0,100,98,37,5,5,77,0,80,94,25,100,15,85,48,100,15,34,100,49,10,55,5,0,92,0,41,59,11,80,100,25,34,37,20,86,71,66,66,66,5,72,69,62,55,21,0,35,65,0,0,100,100,71,63,40,80,75,5,,,,,,,
7,21,32,18.0,100,100,85,60,5,85,25,95,100,74,100,15,100,100,100,0,5,100,55,0,95,15,0,76,0,15,85,10,100,100,35,55,55,25,95,85,85,60,50,0,65,100,100,100,77,0,30,70,0,0,100,100,95,100,75,100,100,0,,,,,,,
8,22,33,141.0,100,95,31,13,12,60,2,74,90,33,100,11,84,42,100,8,14,95,57,9,54,9,3,74,2,34,64,10,65,97,32,44,41,21,92,74,72,68,64,3,67,81,61,55,30,8,73,19,0,0,99,99,71,66,31,55,49,9,,,,,,,
9,22,30,75.0,100,95,6,4,2,40,0,60,86,8,100,8,73,25,100,4,12,94,63,7,34,2,2,64,2,40,58,9,43,96,18,35,33,17,93,70,69,64,61,0,56,82,65,53,42,8,75,17,0,0,98,98,62,58,29,42,34,6,,,,,,,
10,22,31,40.0,100,96,39,11,13,74,0,86,92,45,100,22,92,45,100,4,7,93,54,10,68,11,7,63,0,43,57,15,86,97,27,42,28,20,86,67,64,60,60,4,81,83,70,70,27,10,65,24,0,0,100,100,73,70,33,60,55,14,,,,,,,
11,22,32,26.0,100,95,78,37,33,86,10,90,95,56,100,6,100,78,100,25,29,100,47,14,82,25,0,76,6,8,86,10,90,100,54,57,65,33,96,92,92,88,78,11,75,76,43,35,13,4,81,15,0,0,100,100,92,82,33,82,75,10,,,,,,,
12,23,33,777.0,100,96,15,5,7,49,2,59,70,19,96,25,58,35,100,8,13,95,84,9,13,6,0,79,2,34,64,13,51,96,18,39,25,15,76,69,63,61,63,6,57,95,89,87,46,4,74,21,0,1,99,97,42,42,34,67,34,9,,,,,,,
13,23,30,668.0,100,97,12,4,6,46,2,57,69,16,95,25,54,33,100,9,14,94,84,9,11,6,0,87,3,36,61,13,46,94,14,37,21,14,74,70,63,61,63,7,55,97,90,88,43,4,75,20,0,1,99,96,39,40,32,65,29,9,,,,,,,
14,23,31,95.0,100,93,22,6,8,66,6,71,74,34,100,28,81,43,100,4,8,98,85,13,14,8,2,81,0,19,81,20,83,100,29,45,39,17,92,69,64,64,60,3,78,92,88,88,61,4,76,20,0,0,98,98,65,48,49,84,63,10,,,,,,,
15,23,32,14.0,100,98,81,45,41,91,23,100,82,22,100,37,100,82,100,0,18,100,59,9,82,0,0,68,0,9,91,9,100,100,60,64,64,55,100,59,59,46,46,9,73,51,51,51,38,0,40,46,13,0,100,100,91,91,32,91,91,9,,,,,,,
