ID,Perioden,NederlandHICP_1,EurozoneMUICP_2,EuropeseUnieEICP_3,NederlandHICP_4,EurozoneMUICP_5,EuropeseUnieEICP_6
101,2003MM11,61.38,63.45,59.8,2.0,2.2,2.0
102,2003MM12,61.0,63.65,59.98,1.6,2.0,1.9
103,2003JJ00,61.21,63.1,59.48,2.2,2.1,2.0
104,2004MM01,61.31,63.49,59.88,1.5,1.8,1.8
105,2004MM02,61.66,63.64,60.02,1.3,1.6,1.7
106,2004MM03,62.16,64.05,60.35,1.3,1.7,1.7
107,2004MM04,62.37,64.37,60.63,1.5,2.1,2.0
108,2004MM05,62.47,64.57,60.86,1.7,2.4,2.4
109,2004MM06,62.03,64.61,60.9,1.5,2.4,2.4
110,2004MM07,61.81,64.47,60.77,1.2,2.3,2.3
111,2004MM08,61.92,64.6,60.87,1.2,2.4,2.3
112,2004MM09,62.44,64.67,60.95,1.2,2.1,2.1
113,2004MM10,62.52,64.92,61.18,1.5,2.4,2.3
114,2004MM11,62.29,64.88,61.17,1.5,2.3,2.3
115,2004MM12,61.77,65.13,61.39,1.3,2.3,2.4
116,2004JJ00,62.06,64.45,60.75,1.4,2.1,2.1
117,2005MM01,62.08,64.71,61.06,1.3,1.9,2.0
118,2005MM02,62.56,64.95,61.26,1.5,2.1,2.1
119,2005MM03,63.11,65.43,61.65,1.5,2.2,2.2
120,2005MM04,63.18,65.71,61.91,1.3,2.1,2.1
121,2005MM05,63.13,65.85,62.05,1.1,2.0,2.0
122,2005MM06,62.92,65.92,62.12,1.4,2.0,2.0
123,2005MM07,62.71,65.85,62.07,1.5,2.1,2.1
124,2005MM08,62.95,66.01,62.21,1.7,2.2,2.2
125,2005MM09,63.47,66.35,62.49,1.6,2.6,2.5
126,2005MM10,63.46,66.51,62.64,1.5,2.4,2.4
127,2005MM11,63.29,66.37,62.53,1.6,2.3,2.2
128,2005MM12,63.01,66.59,62.71,2.0,2.2,2.2
129,2005JJ00,62.99,65.85,62.06,1.5,2.2,2.2
130,2006MM01,63.16,66.29,62.45,1.7,2.4,2.3
131,2006MM02,63.48,66.48,62.63,1.5,2.4,2.2
132,2006MM03,63.98,66.86,62.94,1.4,2.2,2.1
133,2006MM04,64.29,67.31,63.34,1.8,2.4,2.3
134,2006MM05,64.26,67.49,63.56,1.8,2.5,2.4
135,2006MM06,64.04,67.54,63.63,1.8,2.5,2.4
136,2006MM07,63.82,67.46,63.57,1.8,2.4,2.4
137,2006MM08,64.13,67.52,63.67,1.9,2.3,2.3
138,2006MM09,64.44,67.52,63.7,1.5,1.8,1.9
139,2006MM10,64.32,67.57,63.76,1.4,1.6,1.8
140,2006MM11,64.31,67.6,63.81,1.6,1.9,2.0
141,2006MM12,64.09,67.86,64.05,1.7,1.9,2.1
142,2006JJ00,64.03,67.29,63.43,1.6,2.2,2.2
143,2007MM01,63.93,67.51,63.77,1.2,1.8,2.1
144,2007MM02,64.35,67.71,63.98,1.4,1.9,2.2
145,2007MM03,65.18,68.16,64.36,1.9,1.9,2.3
146,2007MM04,65.54,68.59,64.73,1.9,1.9,2.2
147,2007MM05,65.56,68.75,64.9,2.0,1.9,2.1
148,2007MM06,65.22,68.82,64.98,1.8,1.9,2.1
149,2007MM07,64.73,68.65,64.81,1.4,1.8,2.0
150,2007MM08,64.81,68.7,64.89,1.1,1.7,1.9
151,2007MM09,65.26,68.95,65.13,1.3,2.1,2.2
152,2007MM10,65.36,69.29,65.47,1.6,2.5,2.7
153,2007MM11,65.46,69.66,65.8,1.8,3.0,3.1
154,2007MM12,65.1,69.94,66.08,1.6,3.1,3.2
155,2007JJ00,65.04,68.73,64.91,1.6,2.1,2.3
156,2008MM01,65.08,69.67,65.94,1.8,3.2,3.4
157,2008MM02,65.63,69.92,66.22,2.0,3.3,3.5
158,2008MM03,66.41,70.6,66.77,1.9,3.6,3.7
159,2008MM04,66.65,70.83,67.05,1.7,3.3,3.6
160,2008MM05,66.92,71.27,67.47,2.1,3.7,4.0
161,2008MM06,66.73,71.54,67.75,2.3,4.0,4.3
162,2008MM07,66.65,71.44,67.69,3.0,4.1,4.4
163,2008MM08,66.74,71.33,67.67,3.0,3.8,4.3
164,2008MM09,67.08,71.47,67.85,2.8,3.7,4.2
165,2008MM10,66.97,71.48,67.88,2.5,3.2,3.7
166,2008MM11,66.69,71.14,67.62,1.9,2.1,2.8
167,2008MM12,66.18,71.05,67.5,1.7,1.6,2.1
168,2008JJ00,66.48,70.98,67.28,2.2,3.3,3.7
169,2009MM01,66.21,70.45,67.09,1.7,1.1,1.7
170,2009MM02,66.86,70.74,67.44,1.9,1.2,1.8
171,2009MM03,67.64,71.01,67.68,1.9,0.6,1.4
172,2009MM04,67.87,71.26,67.91,1.8,0.6,1.3
173,2009MM05,67.94,71.3,68.03,1.5,0.0,0.8
174,2009MM06,67.64,71.44,68.17,1.4,-0.1,0.6
175,2009MM07,66.56,70.97,67.86,-0.1,-0.7,0.3
176,2009MM08,66.7,71.21,68.05,-0.1,-0.2,0.6
177,2009MM09,67.06,71.23,68.07,0.0,-0.3,0.3
178,2009MM10,67.24,71.4,68.21,0.4,-0.1,0.5
179,2009MM11,67.14,71.48,68.32,0.7,0.5,1.0
180,2009MM12,66.66,71.71,68.54,0.7,0.9,1.5
181,2009JJ00,67.13,71.18,67.95,1.0,0.3,1.0
182,2010MM01,66.47,71.12,68.2,0.4,1.0,1.7
183,2010MM02,67.09,71.34,68.42,0.3,0.8,1.5
184,2010MM03,68.08,72.13,69.05,0.7,1.6,2.0
185,2010MM04,68.31,72.43,69.34,0.6,1.6,2.1
186,2010MM05,68.25,72.51,69.45,0.5,1.7,2.1
187,2010MM06,67.8,72.51,69.47,0.2,1.5,1.9
188,2010MM07,67.4,72.2,69.28,1.3,1.7,2.1
189,2010MM08,67.5,72.34,69.41,1.2,1.6,2.0
190,2010MM09,68.01,72.56,69.6,1.4,1.9,2.2
191,2010MM10,68.16,72.78,69.81,1.4,1.9,2.3
192,2010MM11,68.06,72.85,69.92,1.4,1.9,2.3
193,2010MM12,67.88,73.29,70.37,1.8,2.2,2.7
194,2010JJ00,67.75,72.34,69.36,0.9,1.6,2.1
195,2011MM01,67.73,72.76,70.07,1.9,2.3,2.7
196,2011MM02,68.41,73.07,70.4,2.0,2.4,2.9
197,2011MM03,69.33,74.06,71.17,1.8,2.7,3.1
198,2011MM04,69.76,74.47,71.61,2.1,2.8,3.3
199,2011MM05,69.81,74.48,71.66,2.3,2.7,3.2
200,2011MM06,69.36,74.47,71.62,2.3,2.7,3.1
201,2011MM07,69.59,74.04,71.32,3.2,2.5,2.9
202,2011MM08,69.67,74.18,71.47,3.2,2.5,3.0
203,2011MM09,70.01,74.73,71.92,2.9,3.0,3.3
204,2011MM10,70.09,74.99,72.14,2.8,3.0,3.3
205,2011MM11,69.81,75.05,72.25,2.6,3.0,3.3
206,2011MM12,69.59,75.31,72.5,2.5,2.8,3.0
207,2011JJ00,69.43,74.3,71.51,2.5,2.7,3.1
208,2012MM01,69.67,74.69,72.1,2.9,2.7,2.9
209,2012MM02,70.37,75.07,72.47,2.9,2.7,2.9
210,2012MM03,71.34,76.04,73.22,2.9,2.7,2.9
211,2012MM04,71.69,76.39,73.56,2.8,2.6,2.7
212,2012MM05,71.53,76.29,73.49,2.5,2.4,2.6
213,2012MM06,71.1,76.23,73.41,2.5,2.4,2.5
214,2012MM07,71.4,75.83,73.13,2.6,2.4,2.5
215,2012MM08,71.45,76.12,73.39,2.6,2.6,2.7
