ID,LandbouwgoederenEnDiensten,Perioden,OutputTegenAfProducentwaarde_1,OutputBasisprijzen_2,OutputTegenAfProducentwaarde_3,OutputBasisprijzen_4,OutputTegenAfProducentwaarde_5,OutputBasisprijzen_6,OutputTegenAfProducentwaarde_7,OutputBasisprijzen_8
0,T001427,1995JJ00,19559.0,19845.0,25405.0,25158.0,,,77.0,78.9
1,T001427,1996JJ00,20070.0,20326.0,25414.0,25136.0,0.0,-0.1,79.0,80.9
2,T001427,1997JJ00,21182.0,21354.0,26530.0,26165.0,4.4,4.1,79.8,81.6
3,T001427,1998JJ00,20257.0,20441.0,26181.0,25837.0,-1.3,-1.3,77.4,79.1
4,T001427,1999JJ00,20081.0,20270.0,27423.0,27056.0,4.7,4.7,73.2,74.9
5,T001427,2000JJ00,21391.0,21572.0,27890.0,27502.0,1.7,1.6,76.7,78.4
6,T001427,2001JJ00,22383.0,22653.0,27289.0,27027.0,-2.2,-1.7,82.0,83.8
7,T001427,2002JJ00,22207.0,22557.0,27477.0,27216.0,0.7,0.7,80.8,82.9
8,T001427,2003JJ00,22170.0,22508.0,27483.0,27204.0,0.0,0.0,80.7,82.7
9,T001427,2004JJ00,22256.0,22575.0,28855.0,28706.0,5.0,5.5,77.1,78.6
10,T001427,2005JJ00,22720.0,23145.0,29043.0,28875.0,0.7,0.6,78.2,80.2
11,T001427,2006JJ00,24713.0,25192.0,29541.0,29337.0,1.7,1.6,83.7,85.9
12,T001427,2007JJ00,26626.0,26644.0,30460.0,30190.0,3.1,2.9,87.4,88.3
13,T001427,2008JJ00,28003.0,27832.0,31778.0,31422.0,4.3,4.1,88.1,88.6
14,T001427,2009JJ00,26175.0,26086.0,32311.0,31986.0,1.7,1.8,81.0,81.6
15,T001427,2010JJ00,28783.0,28597.0,32618.0,32223.0,1.0,0.7,88.2,88.7
16,T001427,2011JJ00,29574.0,29327.0,32280.0,31887.0,-1.0,-1.0,91.6,92.0
17,T001427,2012JJ00,30539.0,30339.0,32307.0,31934.0,0.1,0.1,94.5,95.0
18,T001427,2013JJ00,31914.0,31718.0,32857.0,32478.0,1.7,1.7,97.1,97.7
19,T001427,2014JJ00,30886.0,30571.0,33331.0,32818.0,1.4,1.0,92.7,93.2
20,T001427,2015JJ00,30443.0,30143.0,33622.0,33104.0,0.9,0.9,90.5,91.1
21,T001427,2016JJ00,30580.0,30488.0,34159.0,33801.0,1.6,2.1,89.5,90.2
22,T001427,2017JJ00,32126.0,32032.0,34395.0,34018.0,0.7,0.6,93.4,94.2
23,T001427,2018JJ00,31525.0,31421.0,33646.0,33284.0,-2.2,-2.2,93.7,94.4
24,T001427,2019JJ00,32862.0,32755.0,34268.0,33906.0,1.8,1.9,95.9,96.6
25,T001427,2020JJ00,31796.0,31724.0,34327.0,33964.0,0.2,0.2,92.6,93.4
26,T001427,2021JJ00,34768.0,34406.0,34768.0,34406.0,1.3,1.3,100.0,100.0
27,T001427,2022JJ00,40926.0,40556.0,33811.0,33438.0,-2.8,-2.8,121.0,121.3
28,T001427,2023JJ00,41687.0,41511.0,33394.0,33014.0,-1.2,-1.3,124.8,125.7
29,T001427,2024JJ00,41637.0,41313.0,33029.0,32639.0,-1.1,-1.1,126.1,126.6
30,T001427,2025JJ00,42416.0,42076.0,33369.0,32966.0,1.0,1.0,127.1,127.6
31,A045421,1995JJ00,19471.0,19758.0,25034.0,24920.0,,,77.8,79.3
32,A045421,1996JJ00,19962.0,20219.0,25020.0,24876.0,-0.1,-0.2,79.8,81.3
33,A045421,1997JJ00,21052.0,21226.0,26105.0,25881.0,4.3,4.0,80.6,82.0
34,A045421,1998JJ00,20108.0,20296.0,25741.0,25538.0,-1.4,-1.3,78.1,79.5
35,A045421,1999JJ00,19899.0,20095.0,26924.0,26710.0,4.6,4.6,73.9,75.2
36,A045421,2000JJ00,21168.0,21359.0,27347.0,27118.0,1.6,1.5,77.4,78.8
37,A045421,2001JJ00,22122.0,22403.0,26706.0,26602.0,-2.3,-1.9,82.8,84.2
38,A045421,2002JJ00,21918.0,22280.0,26873.0,26771.0,0.6,0.6,81.6,83.2
39,A045421,2003JJ00,21868.0,22222.0,26870.0,26755.0,0.0,-0.1,81.4,83.1
40,A045421,2004JJ00,21920.0,22260.0,28186.0,28216.0,4.9,5.5,77.8,78.9
41,A045421,2005JJ00,22319.0,22762.0,28282.0,28319.0,0.3,0.4,78.9,80.4
42,A045421,2006JJ00,24117.0,24650.0,28594.0,28620.0,1.1,1.1,84.3,86.1
43,A045421,2007JJ00,25800.0,25912.0,29276.0,29283.0,2.4,2.3,88.1,88.5
