ID,Geslacht,Leeftijd,Zorgvormen,Perioden,JongerenMetKostenZvwGGZ_1,GedeclareerdeEnToegekendeKosten_2
90,1100,52041,ZVW05 ,2013JJ00,,
91,1100,52041,ZVW05 ,2014JJ00,24375.0,15809.0
92,1100,52041,ZVW06 ,2011JJ00,,
93,1100,52041,ZVW06 ,2012JJ00,,
94,1100,52041,ZVW06 ,2013JJ00,,
95,1100,52041,ZVW06 ,2014JJ00,76170.0,263584.0
96,3000,10222,ZVW01 ,2011JJ00,164145.0,519870.0
97,3000,10222,ZVW01 ,2012JJ00,162150.0,489745.0
98,3000,10222,ZVW01 ,2013JJ00,158170.0,498357.0
99,3000,10222,ZVW01 ,2014JJ00,127645.0,306445.0
100,3000,10222,ZVW02 ,2011JJ00,35445.0,13111.0
101,3000,10222,ZVW02 ,2012JJ00,33905.0,8437.0
102,3000,10222,ZVW02 ,2013JJ00,32830.0,7675.0
103,3000,10222,ZVW02 ,2014JJ00,,
104,3000,10222,ZVW03 ,2011JJ00,135475.0,506717.0
105,3000,10222,ZVW03 ,2012JJ00,134410.0,481146.0
106,3000,10222,ZVW03 ,2013JJ00,130515.0,489024.0
107,3000,10222,ZVW03 ,2014JJ00,,
108,3000,10222,ZVW04 ,2011JJ00,175.0,42.0
109,3000,10222,ZVW04 ,2012JJ00,400.0,162.0
110,3000,10222,ZVW04 ,2013JJ00,1740.0,1658.0
111,3000,10222,ZVW04 ,2014JJ00,65.0,108.0
112,3000,10222,ZVW05 ,2011JJ00,,
113,3000,10222,ZVW05 ,2012JJ00,,
114,3000,10222,ZVW05 ,2013JJ00,,
115,3000,10222,ZVW05 ,2014JJ00,26795.0,17393.0
116,3000,10222,ZVW06 ,2011JJ00,,
117,3000,10222,ZVW06 ,2012JJ00,,
118,3000,10222,ZVW06 ,2013JJ00,,
119,3000,10222,ZVW06 ,2014JJ00,104920.0,288944.0
120,3000,70100,ZVW01 ,2011JJ00,5235.0,17082.0
121,3000,70100,ZVW01 ,2012JJ00,4985.0,16918.0
122,3000,70100,ZVW01 ,2013JJ00,4595.0,15856.0
123,3000,70100,ZVW01 ,2014JJ00,3500.0,9644.0
124,3000,70100,ZVW02 ,2011JJ00,865.0,237.0
125,3000,70100,ZVW02 ,2012JJ00,925.0,208.0
126,3000,70100,ZVW02 ,2013JJ00,850.0,168.0
127,3000,70100,ZVW02 ,2014JJ00,,
128,3000,70100,ZVW03 ,2011JJ00,4440.0,16843.0
129,3000,70100,ZVW03 ,2012JJ00,4140.0,16710.0
130,3000,70100,ZVW03 ,2013JJ00,3770.0,15622.0
131,3000,70100,ZVW03 ,2014JJ00,,
132,3000,70100,ZVW04 ,2011JJ00,5.0,1.0
133,3000,70100,ZVW04 ,2012JJ00,5.0,1.0
134,3000,70100,ZVW04 ,2013JJ00,50.0,66.0
135,3000,70100,ZVW04 ,2014JJ00,5.0,0.0
136,3000,70100,ZVW05 ,2011JJ00,,
137,3000,70100,ZVW05 ,2012JJ00,,
138,3000,70100,ZVW05 ,2013JJ00,,
139,3000,70100,ZVW05 ,2014JJ00,695.0,398.0
140,3000,70100,ZVW06 ,2011JJ00,,
141,3000,70100,ZVW06 ,2012JJ00,,
142,3000,70100,ZVW06 ,2013JJ00,,
