ID,Perioden,Kotters_1,Trawlers_2,Mosselschepen_3,Kokkelschepen_4,SchepenVoorOestervisserij_5,Kotters_6,Trawlers_7,Mosselschepen_8,Kokkelschepen_9,SchepenVoorOestervisserij_10,Kotters_11,Trawlers_12,Mosselschepen_13,Urk_14,IJmuiden_15,DenHelder_16,Stellendam_17,Harlingen_18,Lauwersoog_19,Vlissingen_20,Scheveningen_21,Breskens_22,DenOever_23,Colijnsplaat_24,Schol_25,Tong_26,Kabeljauw_27,Makreel_28,Tarbot_29,Schar_30,Wijting_31,Garnaal_32,Mossel_33,Oester_34,Kokkel_35,Totaal_36,Waddenzee_37,Oosterschelde_38,Totaal_39,Grevelingen_40,Oosterschelde_41,MosselTotaal_42,MosselZeeland_43,MosselWaddenzee_44,Kokkel_45,Palingkweek_46,TotaalEU15_47,Belgie_48,Denemarken_49,Duitsland_50,Finland_51,Frankrijk_52,Griekenland_53,Ierland_54,Italie_55,Oostenrijk_56,Nederland_57,Portugal_58,Spanje_59,VerenigdKoninkrijk_60,Zweden_61
0,1987JJ00,611.0,13.0,79.0,,11.0,580.0,59.0,29.0,,,3036.0,378.0,241.0,,,,,,,,,,,,,,,,,,,,,,,5353.0,3709.0,1644.0,1850.0,380.0,1470.0,,,,9.1,0.1,7775.0,41.0,1708.0,400.0,156.0,914.0,135.0,266.0,553.0,5.0,503.0,389.0,1536.0,956.0,214.0
1,1988JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,0.2,8193.0,42.0,1974.0,393.0,166.0,1021.0,124.0,274.0,569.0,5.0,481.0,348.0,1591.0,953.0,251.0
2,1989JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,22.7,,,,,,,,,,11.7,0.2,7938.0,40.0,1929.0,413.0,155.0,927.0,137.0,232.0,547.0,5.0,522.0,333.0,1534.0,907.0,258.0
3,1990JJ00,533.0,13.0,82.0,,11.0,544.0,80.0,38.0,,,2486.0,382.0,251.0,,,,,,,,,,,,,,,,,,,,,1.8,13.2,5935.0,3669.0,2266.0,1845.0,375.0,1470.0,,,,7.0,0.6,7194.0,42.0,1518.0,391.0,142.0,946.0,142.0,242.0,526.0,4.0,506.0,330.0,1330.0,817.0,260.0
4,1991JJ00,491.0,13.0,82.0,,12.0,498.0,80.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.9,,,,,,,,,,2.0,0.9,7347.0,41.0,1793.0,311.0,129.0,895.0,151.0,261.0,581.0,4.0,457.0,330.0,1299.0,851.0,245.0
5,1992JJ00,472.0,13.0,80.0,,14.0,487.0,81.0,39.0,,,2195.0,430.0,243.0,,,,,,,,,,,,,,,,,,,,,3.6,23.6,,,,,,,,,,7.2,1.1,7642.0,38.0,1997.0,314.0,148.0,905.0,173.0,275.0,567.0,4.0,486.0,303.0,1248.0,870.0,315.0
6,1993JJ00,474.0,12.0,77.0,,,496.0,75.0,38.0,,,2184.0,397.0,240.0,103.0,50.4,45.8,36.8,34.5,31.8,22.7,22.7,8.2,10.0,8.6,,,,,,,,,,3.6,19.5,5241.0,3221.0,2020.0,1845.0,375.0,1470.0,57.0,29.0,28.0,6.7,1.3,7353.0,37.0,1532.0,323.0,153.0,919.0,192.0,308.0,564.0,4.0,533.0,299.0,1215.0,929.0,348.0
7,1994JJ00,464.0,12.0,77.0,,20.0,491.0,78.0,39.0,,,2159.0,424.0,235.0,108.0,50.4,44.5,34.9,35.8,25.9,23.1,20.0,10.0,8.6,8.6,112.5,145.7,20.9,0.5,23.6,12.3,3.6,21.8,47.6,3.2,14.5,5242.0,3221.0,2020.0,1845.0,375.0,1470.0,105.0,54.0,51.0,6.7,1.5,7845.0,35.0,1887.0,277.0,168.0,931.0,214.0,319.0,575.0,3.0,529.0,274.0,1274.0,964.0,394.0
8,1995JJ00,452.0,12.0,76.0,22.0,19.0,487.0,77.0,40.0,15.0,6.0,2108.0,422.0,230.0,106.6,49.0,45.4,36.3,35.4,23.1,25.9,20.9,10.9,10.9,11.8,100.3,148.8,26.8,0.5,23.1,15.0,3.2,31.3,54.9,1.8,11.3,5652.0,3500.0,2152.0,1845.0,375.0,1470.0,80.0,49.0,31.0,5.3,1.5,8337.0,36.0,2044.0,303.0,172.0,956.0,184.0,417.0,612.0,3.0,522.0,269.0,1403.0,1004.0,412.0
9,1996JJ00,437.0,14.0,75.0,12.0,19.0,467.0,80.0,42.0,7.0,6.0,2037.0,426.0,225.0,97.6,53.5,45.8,38.0,32.7,25.4,27.2,23.1,10.4,10.0,7.3,101.6,143.8,30.4,0.5,20.9,14.1,3.2,26.3,48.6,2.5,3.2,5652.0,3500.0,2152.0,1845.0,375.0,1470.0,95.0,55.0,40.0,0.8,2.8,7841.0,32.0,1723.0,320.0,182.0,926.0,191.0,368.0,555.0,3.0,511.0,269.0,1405.0,978.0,379.0
10,1997JJ00,416.0,14.0,75.0,19.0,19.0,443.0,80.0,43.0,11.0,6.0,1923.0,424.0,225.0,103.0,54.9,40.4,34.0,29.5,28.1,31.8,21.3,10.0,7.7,7.3,105.3,129.8,34.5,0.5,23.1,19.1,2.7,19.1,55.8,2.0,9.0,5808.0,3560.0,2248.0,2050.0,500.0,1550.0,93.0,53.0,40.0,1.7,2.4,8018.0,31.0,1867.0,325.0,182.0,925.0,206.0,330.0,539.0,3.0,550.0,231.0,1443.0,1022.0,364.0
11,1998JJ00,407.0,15.0,76.0,28.0,20.0,434.0,86.0,47.0,18.0,6.0,1858.0,462.0,225.0,114.4,52.2,44.5,34.0,32.7,30.9,29.5,21.3,10.4,10.0,8.2,99.8,135.2,50.4,0.5,24.5,10.9,2.7,24.1,45.8,2.5,33.0,5808.0,3560.0,2248.0,1995.0,465.0,1530.0,95.0,34.0,60.0,10.0,2.5,7991.0,32.0,1600.0,340.0,172.0,867.0,170.0,367.0,515.0,3.0,657.0,235.0,1556.0,1061.0,416.0
