ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplus_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,NetWorth_9,Total_10,PensionEntitlementsAndClaims_11,OtherAssets_12,Total_13,HomeMortgagesClosingBalance_14,OtherLiabilities_15,Total_16,DwellingsAndLandUnderlyingDwellings_17,OtherNonFinancialAssets_18,GrossOperatingSurplus_19,GrossMixedIncome_20,CompensationOfEmployees_21,GrossDisposableIncome_22,SocialTransfersInKind_23,GrossAdjustedDisposableIncome_24,FinalConsumptionExpenditure_25,ActualIndividualConsumption_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,Total_34,DwellingsAndLandUnderlyingDwellings_35,OtherNonFinancialAssets_36,GrossOperatingSurplus_37,GrossMixedIncome_38,CompensationOfEmployees_39,GrossDisposableIncome_40,SocialTransfersInKind_41,GrossAdjustedDisposableIncome_42,FinalConsumptionExpenditure_43,ActualIndividualConsumption_44,NetWorth_45,Total_46,PensionEntitlementsAndClaims_47,OtherAssets_48,Total_49,HomeMortgagesClosingBalance_50,OtherLiabilities_51,Total_52,DwellingsAndLandUnderlyingDwellings_53,OtherNonFinancialAssets_54,SavingsRatioAdjustedDisposableIncome_55
13,1021010,2008JJ00,1192,757,11312,21675,20306,41982,33232.0,53538.0,131729,77357,19797,57560,72210,43968,28241,126582,126949,-368,0.8,0.5,7.6,14.5,13.6,28.0,22.2,35.8,88.0,51.7,13.2,38.5,48.2,29.4,18.9,84.6,84.8,-0.2,0.6,0.4,6.1,11.8,11.0,22.8,18.0,29.0,71.4,41.9,10.7,31.2,39.1,23.8,15.3,68.6,68.8,-0.2,-27.0
14,1021010,2009JJ00,382,444,11647,23407,21499,44906,35011.0,56510.0,136601,74683,24006,50677,79619,48478,31141,141537,134436,7101,0.3,0.3,7.7,15.5,14.2,29.7,23.2,37.4,90.4,49.4,15.9,33.5,52.7,32.1,20.6,93.6,88.9,4.7,0.2,0.2,6.2,12.5,11.4,23.9,18.6,30.1,72.7,39.8,12.8,27.0,42.4,25.8,16.6,75.4,71.6,3.8,-25.2
15,1021010,2010JJ00,208,1327,10890,24309,22111,46420,34390.0,56500.0,135832,88281,25900,62381,75784,47044,28740,123335,122715,620,0.1,0.9,7.1,15.9,14.5,30.4,22.5,37.0,89.0,57.9,17.0,40.9,49.7,30.8,18.8,80.8,80.4,0.4,0.1,0.7,5.8,12.9,11.7,24.6,18.2,29.9,71.9,46.7,13.7,33.0,40.1,24.9,15.2,65.3,65.0,0.3,-21.5
16,1021010,2011JJ00,334,734,10864,23949,22022,45971,35140.0,57162.0,136263,94170,30306,63864,72586,46855,25731,114680,115963,-1283,0.2,0.5,7.1,15.6,14.3,29.9,22.8,37.1,88.5,61.2,19.7,41.5,47.1,30.4,16.7,74.5,75.3,-0.8,0.2,0.4,5.7,12.6,11.6,24.2,18.5,30.1,71.8,49.6,16.0,33.6,38.2,24.7,13.5,60.4,61.1,-0.7,-23.9
17,1021010,2012JJ00,86,1268,11097,24460,22518,46977,36010.0,58528.0,129832,93914,29743,64171,77606,47780,29826,113524,109094,4430,0.1,0.8,7.2,15.8,14.5,30.3,23.2,37.7,83.7,60.5,19.2,41.4,50.0,30.8,19.2,73.2,70.3,2.9,0.0,0.7,5.8,12.7,11.7,24.5,18.8,30.5,67.7,49.0,15.5,33.4,40.5,24.9,15.5,59.2,56.9,2.3,-23.8
18,1021010,2013JJ00,185,1105,10318,24208,21763,45971,36458.0,58221.0,127931,96797,28969,67828,72968,44932,28036,104103,100637,3466,0.1,0.7,6.6,15.5,13.9,29.4,23.3,37.3,81.9,62.0,18.5,43.4,46.7,28.8,17.9,66.6,64.4,2.2,0.1,0.6,5.3,12.6,11.3,23.8,18.9,30.2,66.3,50.2,15.0,35.2,37.8,23.3,14.5,54.0,52.2,1.8,-26.2
19,1021010,2014JJ00,256,1812,10086,25460,22167,47627,36806.0,58973.0,149187,112942,35253,77688,66968,41978,24989,103213,91522,11691,0.2,1.2,6.4,16.2,14.1,30.2,23.4,37.4,94.7,71.7,22.4,49.3,42.5,26.7,15.9,65.5,58.1,7.4,0.1,0.9,5.2,13.1,11.4,24.5,19.0,30.4,76.8,58.2,18.2,40.0,34.5,21.6,12.9,53.2,47.1,6.0,-23.1
20,1021020,2005JJ00,875,2702,24695,34576,17900,52476,35553.0,53453.0,189048,111808,54575,57233,67376,58560,8816,144616,136494,8122,0.6,1.8,16.8,23.6,12.2,35.8,24.3,36.5,129.0,76.3,37.2,39.0,46.0,39.9,6.0,98.7,93.1,5.5,0.4,1.4,12.5,17.6,9.1,26.7,18.1,27.1,96.0,56.8,27.7,29.1,34.2,29.7,4.5,73.5,69.3,4.1,-0.6
21,1021020,2006JJ00,1339,2669,25315,35415,20442,55857,36517.0,56959.0,202596,114917,57158,57759,63652,56657,6995,151331,146052,5279,0.9,1.8,17.2,24.0,13.9,37.9,24.8,38.6,137.4,77.9,38.8,39.2,43.2,38.4,4.7,102.6,99.0,3.6,0.7,1.4,12.8,17.9,10.4,28.3,18.5,28.9,102.6,58.2,29.0,29.3,32.3,28.7,3.5,76.7,74.0,2.7,-1.9
22,1021020,2007JJ00,1785,2466,27085,36868,21047,57915,37980.0,59027.0,201928,112911,56715,56196,67468,59870,7598,156485,152003,4481,1.2,1.7,18.2,24.8,14.2,39.0,25.6,39.8,136.0,76.1,38.2,37.9,45.4,40.3,5.1,105.4,102.4,3.0,0.9,1.2,13.7,18.7,10.7,29.3,19.2,29.9,102.2,57.2,28.7,28.5,34.2,30.3,3.8,79.2,77.0,2.3,-1.9
23,1021020,2008JJ00,1871,2690,29315,38393,22277,60670,41292.0,63569.0,223886,132585,68793,63792,74022,65394,8628,165323,160247,5076,1.2,1.8,19.6,25.7,14.9,40.5,27.6,42.5,149.6,88.6,46.0,42.6,49.5,43.7,5.8,110.5,107.1,3.4,0.9,1.4,14.7,19.3,11.2,30.5,20.8,32.0,112.6,66.7,34.6,32.1,37.2,32.9,4.3,83.2,80.6,2.6,-3.9
24,1021020,2009JJ00,489,3076,27811,38769,24016,62784,39961.0,63977.0,219150,132582,70382,62200,77123,65113,12010,163691,155071,8620,0.3,2.0,18.4,25.7,15.9,41.5,26.4,42.3,145.0,87.7,46.6,41.2,51.0,43.1,7.9,108.3,102.6,5.7,0.2,1.5,14.0,19.5,12.1,31.5,20.1,32.1,110.1,66.6,35.3,31.2,38.7,32.7,6.0,82.2,77.9,4.3,-1.2
