ID,CharacteristicsOfHouseholds,Periods,GrossOperatingSurplus_1,GrossMixedIncome_2,CompensationOfEmployees_3,GrossDisposableIncome_4,SocialTransfersInKind_5,GrossAdjustedDisposableIncome_6,FinalConsumptionExpenditure_7,ActualIndividualConsumption_8,NetWorth_9,Total_10,PensionEntitlementsAndClaims_11,OtherAssets_12,Total_13,HomeMortgagesClosingBalance_14,OtherLiabilities_15,Total_16,DwellingsAndLandUnderlyingDwellings_17,OtherNonFinancialAssets_18,GrossOperatingSurplus_19,GrossMixedIncome_20,CompensationOfEmployees_21,GrossDisposableIncome_22,SocialTransfersInKind_23,GrossAdjustedDisposableIncome_24,FinalConsumptionExpenditure_25,ActualIndividualConsumption_26,NetWorth_27,Total_28,PensionEntitlementsAndClaims_29,OtherAssets_30,Total_31,HomeMortgagesClosingBalance_32,OtherLiabilities_33,Total_34,DwellingsAndLandUnderlyingDwellings_35,OtherNonFinancialAssets_36,GrossOperatingSurplus_37,GrossMixedIncome_38,CompensationOfEmployees_39,GrossDisposableIncome_40,SocialTransfersInKind_41,GrossAdjustedDisposableIncome_42,FinalConsumptionExpenditure_43,ActualIndividualConsumption_44,NetWorth_45,Total_46,PensionEntitlementsAndClaims_47,OtherAssets_48,Total_49,HomeMortgagesClosingBalance_50,OtherLiabilities_51,Total_52,DwellingsAndLandUnderlyingDwellings_53,OtherNonFinancialAssets_54,SavingsRatioAdjustedDisposableIncome_55
45,1021040,2010JJ00,707,9198,81749,68081,23509,91590,64267.0,87776.0,545720,358781,208851,149929,183718,165764,17955,370658,337871,32786,0.5,6.0,53.6,44.6,15.4,60.0,42.1,57.5,357.7,235.1,136.9,98.3,120.4,108.6,11.8,242.9,221.4,21.5,0.3,4.1,36.5,30.4,10.5,40.9,28.7,39.2,243.7,160.2,93.2,66.9,82.0,74.0,8.0,165.5,150.9,14.6,9.5
46,1021040,2011JJ00,1180,9655,82981,69825,23787,93613,65748.0,89535.0,579193,400648,245861,154786,188126,169672,18454,366671,337016,29654,0.8,6.3,53.9,45.4,15.5,60.8,42.7,58.2,376.2,260.3,159.7,100.5,122.2,110.2,12.0,238.2,218.9,19.3,0.5,4.3,36.8,30.9,10.5,41.5,29.1,39.7,256.6,177.5,108.9,68.6,83.3,75.2,8.2,162.4,149.3,13.1,9.8
47,1021040,2012JJ00,252,9291,84188,69202,24198,93401,62689.0,86888.0,571628,420071,271340,148731,188535,170541,17993,340092,312966,27126,0.2,6.0,54.3,44.6,15.6,60.2,40.4,56.0,368.4,270.7,174.9,95.9,121.5,109.9,11.6,219.2,201.7,17.5,0.1,4.1,37.2,30.5,10.7,41.2,27.7,38.4,252.3,185.4,119.8,65.7,83.2,75.3,7.9,150.1,138.2,12.0,13.2
48,1021040,2013JJ00,646,9614,84488,71828,23780,95608,66490.0,90270.0,538957,408083,264270,143813,188001,166758,21243,318875,294603,24272,0.4,6.2,54.1,46.0,15.2,61.2,42.6,57.8,344.9,261.2,169.1,92.0,120.3,106.7,13.6,204.1,188.5,15.5,0.3,4.2,37.1,31.6,10.5,42.0,29.2,39.7,236.9,179.4,116.2,63.2,82.6,73.3,9.3,140.2,129.5,10.7,12.1
49,1021040,2014JJ00,1215,10107,85905,74407,23928,98334,67173.0,91101.0,623924,477494,321632,155861,193870,168883,24987,340301,309563,30738,0.8,6.4,54.5,47.2,15.2,62.4,42.6,57.8,396.1,303.1,204.2,98.9,123.1,107.2,15.9,216.0,196.5,19.5,0.5,4.4,37.5,32.4,10.4,42.9,29.3,39.7,272.1,208.2,140.2,68.0,84.5,73.6,10.9,148.4,135.0,13.4,13.6
50,1021050,2005JJ00,3275,31409,109654,104518,14597,119115,83018.0,97615.0,1049637,727408,275758,451650,268447,189915,78532,590676,500430,90246,2.2,21.4,74.8,71.3,10.0,81.3,56.6,66.6,716.1,496.2,188.1,308.1,183.1,129.6,53.6,403.0,341.4,61.6,1.5,14.5,50.8,48.4,6.8,55.1,38.4,45.2,485.9,336.7,127.7,209.1,124.3,87.9,36.4,273.4,231.7,41.8,24.9
51,1021050,2006JJ00,4821,32801,116076,110590,17480,128069,85318.0,102798.0,1082747,734302,270947,463355,288198,212908,75290,636643,535512,101131,3.3,22.2,78.7,75.0,11.8,86.8,57.8,69.7,734.0,497.8,183.7,314.1,195.4,144.3,51.0,431.6,363.0,68.6,2.2,15.0,53.2,50.7,8.0,58.7,39.1,47.1,496.1,336.4,124.1,212.3,132.0,97.5,34.5,291.7,245.4,46.3,24.5
52,1021050,2007JJ00,6392,35184,120658,116724,18454,135178,90443.0,108897.0,1142272,751601,259823,491779,304079,225052,79028,694750,576773,117977,4.3,23.7,81.3,78.6,12.4,91.1,60.9,73.3,769.4,506.3,175.0,331.2,204.8,151.6,53.2,468.0,388.5,79.5,2.9,15.9,54.6,52.9,8.4,61.2,41.0,49.3,517.4,340.4,117.7,222.7,137.7,101.9,35.8,314.7,261.2,53.4,24.1
53,1021050,2008JJ00,6595,35406,125676,121874,20007,141880,89700.0,109706.0,1199288,795396,320027,475369,319673,237877,81796,723565,590238,133326,4.4,23.7,84.0,81.4,13.4,94.8,59.9,73.3,801.2,531.4,213.8,317.6,213.6,158.9,54.6,483.4,394.3,89.1,3.0,15.9,56.5,54.8,9.0,63.8,40.3,49.3,539.5,357.8,144.0,213.8,143.8,107.0,36.8,325.5,265.5,60.0,28.1
54,1021050,2009JJ00,2320,33321,131319,116209,21344,137552,84676.0,106020.0,1163323,802960,328041,474919,332851,247378,85473,693214,576305,116909,1.5,22.0,86.9,76.9,14.1,91.0,56.0,70.1,769.7,531.3,217.0,314.2,220.2,163.7,56.6,458.6,381.3,77.3,1.0,14.9,58.7,52.0,9.5,61.5,37.9,47.4,520.3,359.1,146.7,212.4,148.9,110.6,38.2,310.0,257.7,52.3,29.5
55,1021050,2010JJ00,1484,32692,133280,116058,22211,138269,88854.0,111065.0,1209755,861383,374795,486587,349852,257048,92804,698225,576512,121712,1.0,21.4,87.4,76.1,14.6,90.6,58.2,72.8,792.9,564.5,245.6,318.9,229.3,168.5,60.8,457.6,377.8,79.8,0.7,14.4,58.8,51.2,9.8,61.0,39.2,49.0,533.6,379.9,165.3,214.6,154.3,113.4,40.9,308.0,254.3,53.7,25.5
56,1021050,2011JJ00,2128,34609,137749,120063,22645,142707,90898.0,113543.0,1232078,871722,422030,449692,341518,263498,78021,701874,565468,136406,1.4,22.5,89.5,78.0,14.7,92.7,59.0,73.8,800.3,566.2,274.1,292.1,221.8,171.2,50.7,455.9,367.3,88.6,0.9,15.1,60.0,52.3,9.9,62.2,39.6,49.4,536.6,379.6,183.8,195.8,148.7,114.8,34.0,305.7,246.3,59.4,26.4
57,1021050,2012JJ00,682,34161,140220,120910,23155,144065,86695.0,109849.0,1251066,927386,475796,451590,348769,262684,86085,672449,532792,139658,0.4,22.0,90.4,77.9,14.9,92.8,55.9,70.8,806.3,597.7,306.6,291.0,224.8,169.3,55.5,433.4,343.4,90.0,0.3,14.8,60.8,52.4,10.0,62.4,37.6,47.6,542.3,402.0,206.2,195.7,151.2,113.9,37.3,291.5,230.9,60.5,30.3
58,1021050,2013JJ00,1270,34509,147051,118836,22794,141630,86014.0,108808.0,1213372,916965,463375,453590,349858,260874,88984,646265,501200,145065,0.8,22.1,94.1,76.1,14.6,90.6,55.0,69.6,776.6,586.9,296.6,290.3,223.9,167.0,57.0,413.6,320.8,92.8,0.5,14.8,63.3,51.1,9.8,60.9,37.0,46.8,522.0,394.5,199.3,195.1,150.5,112.2,38.3,278.0,215.6,62.4,30.7
59,1021050,2014JJ00,2091,34962,150616,121049,22899,143947,86991.0,109890.0,1300051,1004382,563895,440487,352226,261163,91063,647894,519420,128474,1.3,22.2,95.6,76.9,14.5,91.4,55.2,69.8,825.4,637.7,358.0,279.7,223.6,165.8,57.8,411.4,329.8,81.6,0.9,14.9,64.2,51.6,9.8,61.4,37.1,46.9,554.3,428.2,240.4,187.8,150.2,111.3,38.8,276.2,221.5,54.8,30.5
60,1050020,2005JJ00,593,3760,25248,21008,4515,25522,25906.0,30421.0,183938,125860,58633,67227,54732,41756,12976,112810,100053,12757,0.5,3.4,22.6,18.8,4.0,22.8,23.2,27.2,164.5,112.5,52.4,60.1,48.9,37.3,11.6,100.9,89.5,11.4,0.5,3.4,22.6,18.8,4.0,22.8,23.2,27.2,164.5,112.5,52.4,60.1,48.9,37.3,11.6,100.9,89.5,11.4,-9.7
61,1050020,2006JJ00,944,4150,27036,22939,5397,28336,26272.0,31669.0,192742,132699,58193,74506,60486,48117,12369,120529,107988,12541,0.8,3.6,23.7,20.1,4.7,24.9,23.1,27.8,169.2,116.5,51.1,65.4,53.1,42.2,10.9,105.8,94.8,11.0,0.8,3.6,23.7,20.1,4.7,24.9,23.1,27.8,169.2,116.5,51.1,65.4,53.1,42.2,10.9,105.8,94.8,11.0,-5.4
62,1050020,2007JJ00,1345,3889,28557,23367,5645,29011,28283.0,33928.0,185173,128923,58385,70538,75191,60262,14929,131441,120589,10852,1.2,3.4,24.6,20.1,4.9,25.0,24.4,29.2,159.5,111.1,50.3,60.8,64.8,51.9,12.9,113.2,103.9,9.3,1.2,3.4,24.6,20.1,4.9,25.0,24.4,29.2,159.5,111.1,50.3,60.8,64.8,51.9,12.9,113.2,103.9,9.3,-10.1
63,1050020,2008JJ00,1432,4227,30768,25074,6114,31187,29601.0,35715.0,218107,143720,70969,72751,71616,55145,16470,146003,131503,14500,1.2,3.5,25.8,21.0,5.1,26.2,24.8,29.9,182.9,120.5,59.5,61.0,60.1,46.2,13.8,122.4,110.3,12.2,1.2,3.5,25.8,21.0,5.1,26.2,24.8,29.9,182.9,120.5,59.5,61.0,60.1,46.2,13.8,122.4,110.3,12.2,-6.8
64,1050020,2009JJ00,374,3939,30427,25014,6658,31673,30440.0,37098.0,214733,152110,73890,78219,80353,58928,21426,142977,131536,11441,0.3,3.2,25.1,20.6,5.5,26.1,25.1,30.6,176.8,125.3,60.9,64.4,66.2,48.5,17.6,117.7,108.3,9.4,0.3,3.2,25.1,20.6,5.5,26.1,25.1,30.6,176.8,125.3,60.9,64.4,66.2,48.5,17.6,117.7,108.3,9.4,-9.2
65,1050020,2010JJ00,167,3871,30369,25324,7011,32335,29156.0,36167.0,222330,162968,82221,80747,76959,57810,19149,136322,124910,11411,0.1,3.1,24.6,20.6,5.7,26.2,23.7,29.4,180.4,132.3,66.7,65.5,62.5,46.9,15.5,110.6,101.4,9.3,0.1,3.1,24.6,20.6,5.7,26.2,23.7,29.4,180.4,132.3,66.7,65.5,62.5,46.9,15.5,110.6,101.4,9.3,-5.8
66,1050020,2011JJ00,347,3830,31036,25908,7821,33730,30458.0,38279.0,229585,171327,93230,78097,77889,60686,17204,136148,124629,11519,0.3,3.0,24.5,20.4,6.2,26.6,24.0,30.2,181.1,135.1,73.5,61.6,61.4,47.9,13.6,107.4,98.3,9.1,0.3,3.0,24.5,20.4,6.2,26.6,24.0,30.2,181.1,135.1,73.5,61.6,61.4,47.9,13.6,107.4,98.3,9.1,-7.8
67,1050020,2012JJ00,39,3894,31885,26600,7741,34341,31762.0,39503.0,238796,190693,106761,83932,82354,61620,20734,130457,119719,10738,0.0,3.0,24.6,20.5,6.0,26.5,24.5,30.5,184.5,147.3,82.5,64.8,63.6,47.6,16.0,100.8,92.5,8.3,0.0,3.0,24.6,20.5,6.0,26.5,24.5,30.5,184.5,147.3,82.5,64.8,63.6,47.6,16.0,100.8,92.5,8.3,-7.6
68,1050020,2013JJ00,185,4039,31502,27576,8143,35720,30506.0,38649.0,234061,187907,103561,84347,77618,59838,17780,123772,112232,11540,0.1,3.1,24.2,21.2,6.3,27.5,23.5,29.7,180.1,144.6,79.7,64.9,59.7,46.0,13.7,95.2,86.3,8.9,0.1,3.1,24.2,21.2,6.3,27.5,23.5,29.7,180.1,144.6,79.7,64.9,59.7,46.0,13.7,95.2,86.3,8.9,-1.7
69,1050020,2014JJ00,378,4674,32029,28974,8613,37587,31201.0,39814.0,282603,231957,128257,103699,80542,59999,20543,131188,115825,15363,0.3,3.5,24.1,21.8,6.5,28.3,23.5,30.0,212.9,174.7,96.6,78.1,60.7,45.2,15.5,98.8,87.2,11.6,0.3,3.5,24.1,21.8,6.5,28.3,23.5,30.0,212.9,174.7,96.6,78.1,60.7,45.2,15.5,98.8,87.2,11.6,0.1
70,1050035,2005JJ00,691,1539,14968,27229,10393,37623,28002.0,38396.0,182162,109863,29719,80144,39757,28080,11678,112057,108364,3693,0.5,1.1,11.1,20.2,7.7,27.9,20.8,28.5,135.3,81.6,22.1,59.5,29.5,20.9,8.7,83.2,80.5,2.7,0.5,1.1,11.1,20.2,7.7,27.9,20.8,28.5,135.3,81.6,22.1,59.5,29.5,20.9,8.7,83.2,80.5,2.7,-8.9
71,1050035,2006JJ00,1064,1527,15744,29037,11934,40970,30188.0,42122.0,199047,123202,30105,93097,45343,31493,13850,121188,116852,4336,0.8,1.1,11.5,21.3,8.8,30.0,22.1,30.9,146.0,90.4,22.1,68.3,33.3,23.1,10.2,88.9,85.7,3.2,0.8,1.1,11.5,21.3,8.8,30.0,22.1,30.9,146.0,90.4,22.1,68.3,33.3,23.1,10.2,88.9,85.7,3.2,-10.4
72,1050035,2007JJ00,1476,1593,16627,30440,12221,42660,31019.0,43240.0,203941,121580,28647,92933,48357,34517,13840,130717,125466,5251,1.1,1.2,12.1,22.1,8.9,31.0,22.5,31.4,148.2,88.3,20.8,67.5,35.1,25.1,10.1,95.0,91.2,3.8,1.1,1.2,12.1,22.1,8.9,31.0,22.5,31.4,148.2,88.3,20.8,67.5,35.1,25.1,10.1,95.0,91.2,3.8,-8.9
73,1050035,2008JJ00,1542,1497,17513,31101,12684,43785,31862.0,44546.0,212799,122670,36074,86596,46717,35573,11145,136846,132190,4656,1.1,1.1,12.6,22.4,9.1,31.5,22.9,32.1,153.3,88.3,26.0,62.4,33.6,25.6,8.0,98.6,95.2,3.4,1.1,1.1,12.6,22.4,9.1,31.5,22.9,32.1,153.3,88.3,26.0,62.4,33.6,25.6,8.0,98.6,95.2,3.4,-8.3
74,1050035,2009JJ00,432,1585,17877,30542,13651,44193,32822.0,46474.0,211273,120888,36719,84170,48293,36756,11538,138678,130338,8340,0.3,1.1,12.7,21.7,9.7,31.4,23.3,33.0,150.0,85.9,26.1,59.8,34.3,26.1,8.2,98.5,92.6,5.9,0.3,1.1,12.7,21.7,9.7,31.4,23.3,33.0,150.0,85.8,26.1,59.8,34.3,26.1,8.2,98.5,92.5,5.9,-11.8
75,1050035,2010JJ00,213,1681,17941,30883,14206,45089,32015.0,46221.0,221696,132917,43155,89762,47321,36178,11144,136100,127226,8874,0.2,1.2,12.7,21.8,10.0,31.8,22.6,32.6,156.5,93.8,30.5,63.4,33.4,25.5,7.9,96.1,89.8,6.3,0.2,1.2,12.7,21.8,10.0,31.8,22.6,32.6,156.5,93.8,30.5,63.4,33.4,25.5,7.9,96.1,89.8,6.3,-9.7
76,1050035,2011JJ00,379,1829,18692,31431,14253,45684,33031.0,47284.0,235962,149834,64996,84839,48062,37668,10394,134190,125746,8444,0.3,1.3,13.0,21.8,9.9,31.7,22.9,32.8,163.7,104.0,45.1,58.9,33.4,26.1,7.2,93.1,87.3,5.9,0.3,1.3,13.0,21.8,9.9,31.7,22.9,32.8,163.7,104.0,45.1,58.9,33.4,26.1,7.2,93.1,87.3,5.9,-10.1
77,1050035,2012JJ00,40,1807,18997,31750,15451,47201,35252.0,50703.0,233740,155607,58304,97303,49175,37636,11540,127308,120089,7219,0.0,1.2,13.0,21.8,10.6,32.4,24.2,34.8,160.5,106.8,40.0,66.8,33.8,25.8,7.9,87.4,82.4,5.0,0.0,1.2,13.0,21.8,10.6,32.4,24.2,34.8,160.5,106.8,40.0,66.8,33.8,25.8,7.9,87.4,82.4,5.0,-14.9
78,1050035,2013JJ00,204,2082,18898,32702,16392,49095,34916.0,51308.0,226099,152999,56074,96925,49349,36409,12940,122449,112990,9459,0.1,1.4,13.0,22.6,11.3,33.9,24.1,35.4,155.9,105.5,38.7,66.8,34.0,25.1,8.9,84.4,77.9,6.5,0.1,1.4,13.0,22.6,11.3,33.9,24.1,35.4,155.9,105.5,38.7,66.8,34.0,25.1,8.9,84.4,77.9,6.5,-11.3
79,1050035,2014JJ00,357,1786,19391,32907,17213,50120,35729.0,52942.0,252969,187997,69480,118516,49658,37295,12362,114630,110914,3717,0.2,1.2,13.1,22.2,11.6,33.8,24.1,35.7,170.7,126.9,46.9,80.0,33.5,25.2,8.3,77.4,74.9,2.5,0.2,1.2,13.1,22.2,11.6,33.8,24.1,35.7,170.7,126.9,46.9,80.0,33.5,25.2,8.3,77.4,74.9,2.5,-12.1
80,1050190,2005JJ00,299,1550,10695,13503,7059,20562,12867.0,19926.0,69928,44310,16193,28117,22483,16775,5709,48102,44460,3642,0.7,3.5,24.2,30.5,16.0,46.5,29.1,45.0,158.0,100.1,36.6,63.5,50.8,37.9,12.9,108.7,100.5,8.2,0.5,2.4,16.4,20.7,10.8,31.6,19.7,30.6,107.3,68.0,24.8,43.1,34.5,25.7,8.8,73.8,68.2,5.6,6.6
81,1050190,2006JJ00,458,1455,11430,13963,7958,21921,13834.0,21792.0,69666,40915,16604,24311,24407,20173,4234,53157,49437,3721,1.0,3.2,25.4,31.0,17.7,48.7,30.8,48.4,154.9,91.0,36.9,54.0,54.3,44.8,9.4,118.2,109.9,8.3,0.7,2.2,17.2,21.1,12.0,33.0,20.9,32.9,105.0,61.7,25.0,36.7,36.8,30.4,6.4,80.1,74.5,5.6,3.6
82,1050190,2007JJ00,617,1572,12354,14592,8392,22983,14505.0,22897.0,71810,41235,16296,24939,26819,21474,5345,57393,53796,3597,1.4,3.5,27.2,32.1,18.5,50.6,31.9,50.4,158.1,90.8,35.9,54.9,59.1,47.3,11.8,126.4,118.5,7.9,0.9,2.3,18.5,21.8,12.5,34.4,21.7,34.2,107.3,61.6,24.4,37.3,40.1,32.1,8.0,85.8,80.4,5.4,3.8
83,1050190,2008JJ00,666,1658,13491,15561,9110,24671,14922.0,24032.0,82320,55501,19841,35660,33812,23437,10376,60631,58160,2471,1.4,3.6,28.9,33.4,19.5,52.9,32.0,51.6,176.6,119.1,42.6,76.5,72.5,50.3,22.3,130.1,124.8,5.3,1.0,2.4,19.7,22.7,13.3,36.0,21.8,35.1,120.1,81.0,28.9,52.0,49.3,34.2,15.1,88.4,84.8,3.6,6.4
84,1050190,2009JJ00,225,1609,14477,16528,9888,26417,15048.0,24937.0,78286,52335,21028,31307,36349,26229,10121,62300,58798,3502,0.5,3.4,30.2,34.5,20.6,55.1,31.4,52.0,163.2,109.1,43.8,65.3,75.8,54.7,21.1,129.9,122.6,7.3,0.3,2.3,20.5,23.4,14.0,37.4,21.3,35.3,110.9,74.2,29.8,44.4,51.5,37.2,14.3,88.3,83.3,5.0,9.8
85,1050190,2010JJ00,139,1730,14245,16804,10139,26943,15705.0,25844.0,80314,57244,24065,33179,38500,26747,11753,61570,58240,3330,0.3,3.6,29.6,35.0,21.1,56.1,32.7,53.8,167.1,119.1,50.1,69.0,80.1,55.7,24.5,128.1,121.2,6.9,0.2,2.4,20.1,23.8,14.3,38.1,22.2,36.5,113.5,80.9,34.0,46.9,54.4,37.8,16.6,87.0,82.3,4.7,7.6
86,1050190,2011JJ00,224,1983,14885,17988,10468,28456,16553.0,27021.0,87521,64215,29010,35205,38539,28479,10060,61846,58750,3096,0.4,4.0,29.8,36.0,21.0,57.0,33.2,54.1,175.4,128.7,58.1,70.5,77.2,57.1,20.2,123.9,117.7,6.2,0.3,2.7,20.3,24.5,14.3,38.8,22.6,36.8,119.3,87.5,39.5,48.0,52.5,38.8,13.7,84.3,80.1,4.2,8.5
87,1050190,2012JJ00,63,1960,15149,17987,10709,28697,16900.0,27610.0,86204,69730,29692,40038,44638,29589,15050,61112,56744,4368,0.1,3.9,29.8,35.4,21.1,56.5,33.3,54.3,169.7,137.3,58.4,78.8,87.9,58.2,29.6,120.3,111.7,8.6,0.1,2.6,20.3,24.1,14.4,38.5,22.7,37.0,115.6,93.5,39.8,53.7,59.9,39.7,20.2,82.0,76.1,5.9,7.7
88,1050190,2013JJ00,142,2080,15626,19142,10107,29249,17317.0,27424.0,85022,72627,29443,43184,47448,30109,17339,59843,55155,4688,0.3,4.0,30.0,36.7,19.4,56.1,33.2,52.6,163.0,139.3,56.5,82.8,91.0,57.7,33.2,114.8,105.8,9.0,0.2,2.7,20.4,25.0,13.2,38.2,22.6,35.8,111.1,94.9,38.5,56.4,62.0,39.3,22.7,78.2,72.1,6.1,10.4
89,1050190,2014JJ00,203,2164,16040,19431,10476,29907,17705.0,28181.0,86467,71673,36451,35222,46185,31343,14841,60978,55380,5598,0.4,4.1,30.1,36.5,19.7,56.2,33.3,52.9,162.4,134.6,68.5,66.2,86.7,58.9,27.9,114.5,104.0,10.5,0.3,2.8,20.5,24.9,13.4,38.3,22.7,36.1,110.8,91.8,46.7,45.1,59.2,40.1,19.0,78.1,70.9,7.2,9.7
90,1016090,2005JJ00,3321,25419,128041,107144,37088,144232,94791.0,131879.0,740064,446092,163065,283027,297010,246371,50639,590983,507768,83215,1.7,12.9,64.9,54.3,18.8,73.1,48.0,66.8,374.8,225.9,82.6,143.4,150.4,124.8,25.6,299.3,257.2,42.1,0.9,6.9,34.6,28.9,10.0,38.9,25.6,35.6,199.7,120.4,44.0,76.4,80.2,66.5,13.7,159.5,137.0,22.5,18.8
91,1016090,2006JJ00,4891,26508,131898,108435,41874,150309,96183.0,138057.0,736804,435829,159910,275919,317568,269554,48014,618543,534551,83992,2.5,13.5,67.4,55.4,21.4,76.8,49.1,70.5,376.4,222.6,81.7,140.9,162.2,137.7,24.5,316.0,273.1,42.9,1.3,7.2,35.9,29.5,11.4,40.9,26.2,37.6,200.6,118.7,43.5,75.1,86.5,73.4,13.1,168.4,145.5,22.9,17.1
92,1016090,2007JJ00,6457,27480,138203,113011,44232,157242,98850.0,143082.0,772138,442012,159195,282817,327402,279604,47797,657527,564938,92589,3.3,14.1,71.0,58.1,22.7,80.8,50.8,73.5,396.7,227.1,81.8,145.3,168.2,143.7,24.6,337.8,290.3,47.6,1.8,7.5,37.9,31.0,12.1,43.1,27.1,39.2,211.5,121.1,43.6,77.5,89.7,76.6,13.1,180.1,154.8,25.4,18.0
93,1016090,2008JJ00,6684,27856,145149,115162,47421,162583,100917.0,148338.0,803709,474452,186183,288269,355363,301064,54299,684619,586750,97870,3.4,14.3,74.7,59.3,24.4,83.7,51.9,76.3,413.6,244.1,95.8,148.3,182.9,154.9,27.9,352.3,301.9,50.4,1.8,7.6,39.8,31.6,13.0,44.6,27.7,40.7,220.6,130.2,51.1,79.1,97.5,82.6,14.9,187.9,161.0,26.9,18.3
94,1016090,2009JJ00,2130,27511,146937,116810,50038,166848,94678.0,144716.0,774348,481532,193310,288222,369088,311640,57448,661904,566401,95503,1.1,14.2,75.9,60.3,25.8,86.2,48.9,74.7,399.9,248.7,99.8,148.8,190.6,160.9,29.7,341.8,292.5,49.3,0.6,7.6,40.5,32.2,13.8,46.0,26.1,39.9,213.3,132.6,53.3,79.4,101.7,85.8,15.8,182.3,156.0,26.3,22.7
95,1016090,2010JJ00,1306,28452,152525,122201,52795,174996,99780.0,152574.0,799271,520912,220485,300427,392264,331568,60696,670623,573844,96779,0.6,14.1,75.6,60.6,26.2,86.7,49.5,75.6,396.2,258.2,109.3,148.9,194.4,164.3,30.1,332.4,284.4,48.0,0.3,7.5,40.3,32.3,14.0,46.3,26.4,40.4,211.4,137.8,58.3,79.5,103.7,87.7,16.1,177.4,151.8,25.6,21.4
96,1016090,2011JJ00,2015,29308,157368,124510,52171,176681,101186.0,153357.0,800168,532363,242886,289477,388264,339289,48975,656069,558877,97192,1.0,14.6,78.2,61.9,25.9,87.8,50.3,76.2,397.5,264.5,120.7,143.8,192.9,168.5,24.3,325.9,277.6,48.3,0.5,7.8,41.7,33.0,13.8,46.8,26.8,40.6,212.1,141.1,64.4,76.7,102.9,89.9,13.0,173.9,148.1,25.8,22.2
97,1016090,2012JJ00,546,29302,159863,124527,52404,176930,100271.0,152675.0,749766,524190,256796,267394,394253,342588,51665,619829,518374,101455,0.3,14.5,79.3,61.8,26.0,87.8,49.8,75.8,372.1,260.1,127.4,132.7,195.7,170.0,25.6,307.6,257.3,50.3,0.1,7.8,42.4,33.0,13.9,46.9,26.6,40.5,198.7,138.9,68.0,70.9,104.5,90.8,13.7,164.2,137.4,26.9,23.2
98,1016090,2013JJ00,1133,29606,160947,124443,47747,172190,102107.0,149854.0,709237,514601,247385,267217,386491,333522,52969,581127,480437,100691,0.6,14.7,80.1,61.9,23.8,85.7,50.8,74.6,353.0,256.1,123.1,133.0,192.3,166.0,26.4,289.2,239.1,50.1,0.3,7.9,42.8,33.1,12.7,45.8,27.1,39.8,188.6,136.8,65.8,71.0,102.8,88.7,14.1,154.5,127.7,26.8,23.2
99,1016090,2014JJ00,1993,30448,161669,127248,47383,174630,102053.0,149435.0,748582,540436,298695,241741,386087,327174,58913,594233,492787,101446,1.0,15.2,80.8,63.6,23.7,87.3,51.0,74.7,374.1,270.1,149.3,120.8,193.0,163.5,29.4,297.0,246.3,50.7,0.5,8.1,43.2,34.0,12.6,46.6,27.2,39.9,199.8,144.3,79.7,64.5,103.1,87.3,15.7,158.6,131.6,27.1,24.0
100,1017780,2005JJ00,2796,12471,73060,83691,15705,99396,81397.0,97102.0,847604,587845,292700,295145,206613,157620,48993,466372,434861,31511,1.4,6.1,35.8,41.0,7.7,48.7,39.8,47.5,414.9,287.7,143.3,144.5,101.1,77.2,24.0,228.3,212.9,15.4,1.0,4.5,26.1,29.9,5.6,35.5,29.1,34.7,302.8,210.0,104.6,105.5,73.8,56.3,17.5,166.6,155.4,11.3,3.8
101,1017780,2006JJ00,4209,13748,74484,88235,19238,107473,81441.0,100679.0,905985,607450,294087,313364,206147,158735,47412,504682,469139,35543,2.0,6.7,36.2,42.9,9.3,52.2,39.6,48.9,440.0,295.0,142.8,152.2,100.1,77.1,23.0,245.1,227.9,17.3,1.5,4.9,26.4,31.3,6.8,38.1,28.9,35.7,321.2,215.4,104.3,111.1,73.1,56.3,16.8,178.9,166.3,12.6,4.9
102,1017780,2007JJ00,5594,13913,78351,92473,19658,112131,86612.0,106270.0,926617,605246,285200,320046,214690,166651,48039,536061,497385,38676,2.7,6.7,37.7,44.5,9.5,54.0,41.7,51.1,445.9,291.3,137.2,154.0,103.3,80.2,23.1,258.0,239.4,18.6,2.0,4.9,27.5,32.5,6.9,39.4,30.4,37.3,325.5,212.6,100.2,112.4,75.4,58.5,16.9,188.3,174.7,13.6,3.4
103,1017780,2008JJ00,5785,14222,81990,95359,21167,116527,89707.0,110875.0,1005560,668772,356269,312503,226809,176396,50413,563596,517345,46251,2.8,6.8,39.3,45.7,10.1,55.9,43.0,53.2,482.1,320.7,170.8,149.8,108.7,84.6,24.2,270.2,248.1,22.2,2.0,5.0,28.7,33.4,7.4,40.8,31.4,38.8,351.9,234.1,124.7,109.4,79.4,61.7,17.6,197.2,181.1,16.2,5.0
104,1017780,2009JJ00,1889,14588,83310,93364,22980,116344,86356.0,109336.0,1004723,677596,364896,312700,232013,181114,50898,559139,508391,50749,0.9,6.9,39.6,44.4,10.9,55.4,41.1,52.0,478.1,322.5,173.6,148.8,110.4,86.2,24.2,266.1,241.9,24.2,0.7,5.1,28.9,32.4,8.0,40.4,30.0,38.0,349.0,235.4,126.7,108.6,80.6,62.9,17.7,194.2,176.6,17.6,6.8
