ID,Perioden,IngediendeVerzoeken_1,ToegekendeVerzoeken_2,ToegekendBedrag_3,GemiddeldBedrag_4,IngediendeVerzoeken_5,ToegekendeVerzoeken_6,ToegekendBedrag_7,GemiddeldBedrag_8,IngediendeVerzoeken_9,ToegekendeVerzoeken_10,ToegekendBedrag_11,GemiddeldBedrag_12,OntvangenVerzoekschrift_13,TotaalBeslissingen_14,OnvoorwaardelijkeGratieverlening_15,VoorwaardelijkeGratieverlening_16,AfwijzingGratieverlening_17
0,1990JJ00,1403,1015,2.0,2012,692,451,0.9,2065,711,564,1.1,1969,5254,7661,1421,982,5258
1,1991JJ00,1488,1122,2.4,2139,688,461,1.2,2500,800,661,1.2,1887,5635,7880,1503,1141,5236
2,1992JJ00,1806,1291,2.9,2271,957,594,1.2,1982,849,697,1.8,2516,5143,8455,1799,1108,5548
3,1993JJ00,1754,1264,3.3,2572,874,537,1.4,2671,880,727,1.8,2499,4618,7633,1413,1060,5160
4,1994JJ00,1832,1502,4.3,2878,851,643,1.6,2414,981,859,2.8,3226,4373,6594,1220,823,4551
5,1995JJ00,1977,1668,4.4,2630,791,635,1.3,2066,1186,1033,3.1,2976,5409,5728,963,1095,3670
6,1996JJ00,2392,1979,5.6,2854,925,744,1.8,2435,1467,1235,3.8,3107,5597,5643,895,1477,3271
7,1997JJ00,2824,2443,7.3,2992,1138,960,2.5,2654,1686,1483,4.8,3212,5057,5269,725,1491,3053
8,1998JJ00,3407,2994,9.1,3026,1311,1109,4.1,3734,2096,1885,4.9,2610,6811,4938,456,2194,2288
9,1999JJ00,3873,3333,8.8,2633,1570,1279,3.4,2677,2303,2054,5.4,2605,5769,4526,353,1932,2241
10,2000JJ00,4660,3839,11.8,3087,1983,1679,4.3,2538,2677,2160,7.6,3513,4806,5185,465,2344,2376
11,2001JJ00,4576,4029,12.0,2985,1923,1644,5.0,3043,2653,2385,7.0,2945,3998,3887,268,1564,2055
12,2002JJ00,4254,3705,14.7,3974,1701,1420,7.1,5029,2553,2285,7.6,3318,3823,3390,333,1105,1952
13,2003JJ00,4460,3799,12.3,3230,1845,1517,5.1,3329,2615,2282,7.2,3165,4187,3374,405,821,2148
14,2004JJ00,5302,4565,13.4,2927,2210,1874,5.2,2781,3092,2691,8.1,3028,3789,2684,515,337,1832
15,2005JJ00,5691,4991,13.1,2620,2427,2065,5.4,2631,3264,2926,7.6,2612,3890,2593,798,217,1578
16,2006JJ00,6665,5951,17.2,2883,2850,2476,7.2,2922,3815,3475,9.9,2855,3528,2251,775,204,1272
17,2007JJ00,7334,6586,22.9,3480,3108,2730,7.6,2773,4226,3856,15.4,3981,2852,1915,565,226,1124
18,2008JJ00,9056,8180,20.6,2516,3936,3482,8.6,2464,5120,4698,12.0,2554,2413,1606,441,245,920
19,2009JJ00,9268,8421,22.8,2709,4152,3697,9.2,2478,5116,4724,13.7,2890,1988,1339,390,240,709
20,2010JJ00,9889,8868,19.1,2156,4294,3773,8.3,2189,5595,5095,10.9,2132,2081,1143,340,192,611
21,2011JJ00,10711,9865,21.9,2218,4652,4237,10.4,2447,6059,5628,11.5,2046,2002,1066,326,155,585
22,2012JJ00,12162,11248,23.1,2057,5226,4783,11.1,2331,6936,6465,12.0,1854,1608,1000,332,117,551
23,2013JJ00,11393,10471,24.8,2366,4999,4552,11.1,2433,6394,5919,13.7,2315,1488,879,246,78,555
24,2014JJ00,13841,12744,27.2,2138,5999,5496,10.9,1977,7842,7248,16.4,2260,1424,755,213,59,483
25,2015JJ00,15599,14566,24.1,1656,6484,5973,9.6,1602,9115,8593,14.6,1694,1163,745,205,63,477
26,2016JJ00,17610,15902,23.1,1454,7235,6222,7.9,1266,10375,9680,15.3,1576,1126,675,175,61,439
