ID,TypeOfDwellings,Periods,PriceIndexOfExistingOwnHomes_1,ChangesComparedToOnePeriodEarlier_2,ChangesComparedToOneYearEarlier_3,NumberOfDwellingsSold_4,ChangesComparedToOnePeriodEarlier_5,ChangesComparedToOneYearEarlier_6,AveragePurchasePrice_7,TotalValuePurchasePrices_8
48,1 ,2004KW04,91.9,0.3,4.0,54317,7.7,-5.0,211771,11503
49,1 ,2004JJ00,90.8,4.3,4.3,191941,-0.8,-0.8,212723,40830
50,1 ,2005KW01,92.8,0.9,3.8,41210,-24.1,5.0,215695,8889
51,1 ,2005KW02,93.9,1.2,4.0,50592,22.8,5.5,220225,11142
52,1 ,2005KW03,95.1,1.2,3.7,55728,10.2,10.5,226905,12645
53,1 ,2005KW04,95.6,0.6,4.0,59099,6.0,8.8,225757,13342
54,1 ,2005JJ00,94.4,3.9,3.9,206629,7.7,7.7,222706,46017
55,1 ,2006KW01,97.1,1.5,4.6,47519,-19.6,15.3,229580,10909
56,1 ,2006KW02,98.2,1.2,4.6,53203,12.0,5.2,234316,12466
57,1 ,2006KW03,99.5,1.3,4.6,53882,1.3,-3.3,241045,12988
58,1 ,2006KW04,99.9,0.5,4.5,55163,2.4,-6.7,237631,13108
59,1 ,2006JJ00,98.7,4.6,4.6,209767,1.5,1.5,235843,49472
60,1 ,2007KW01,101.0,1.1,4.1,45255,-18.0,-4.8,242522,10975
61,1 ,2007KW02,102.3,1.2,4.1,50423,11.4,-5.2,245955,12402
62,1 ,2007KW03,103.8,1.5,4.4,52161,3.4,-3.2,253679,13232
63,1 ,2007KW04,104.2,0.3,4.2,54562,4.6,-1.1,250208,13652
64,1 ,2007JJ00,102.8,4.2,4.2,202401,-3.5,-3.5,248325,50261
65,1 ,2008KW01,105.4,1.2,4.4,40971,-24.9,-9.5,253376,10381
66,1 ,2008KW02,105.5,0.1,3.2,48014,17.2,-4.8,253527,12173
67,1 ,2008KW03,106.7,1.1,2.8,48440,0.9,-7.1,259425,12567
68,1 ,2008KW04,105.9,-0.8,1.7,44967,-7.2,-17.6,252950,11374
69,1 ,2008JJ00,105.9,3.0,3.0,182392,-9.9,-9.9,254918,46495
70,1 ,2009KW01,105.2,-0.7,-0.2,27218,-39.5,-33.6,247692,6742
71,1 ,2009KW02,102.5,-2.5,-2.9,30269,11.2,-37.0,235495,7128
