ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ToegangTotInternetInHetHuishouden_1,Inbel_2,Breedband_3,MobieleOfDongel_4,k_3MndGeleden_5,k_312MndGeleden_6,k_1JaarGeleden_7,NooitInternetGebruikt_8,BijnaDagelijks_9,NietDagelijksMaarMinstens1xPerWeek_10,NietWekelijksMaarMinstens1xPerMnd_11,Minstens1xPerMaand_12,Thuis_13,BijIemandAndersThuis_14,OpHetWerk_15,BijEenOnderwijsinstelling_16,ErgensAnders_17,VersturenOntvangenEMails_18,BerichtenPlaatsenOpChatsites_19,Weblogs_20,TekstberichtenUitwisselen_21,ProfessioneelNetwerk_22,AnderSociaalNetwerkFacebookTwitter_23,TelefonerenViaInternet_24,RadioTv_25,Kranten_26,Internetbankieren_27,SpelletjesFilmsOfMuziekDownloaden_28,FotoMuziekTekstOfSoftwareUploaden_29,SoftwareDownloadenAndersDanSpellen_30,OnlineAankopen_31
23,T009002,B000150,GM9003 ,2021JJ00,2.5,,,,0.5,,,,0.7,,,,,,,,,,,,,,,,3.3,6.0,6.0,6.0,,5.5,6.1
24,3000   ,MW00000,CN01   ,2013JJ00,72.6,11.2,76.3,34.7,68.3,1.8,6.1,23.8,84.2,12.6,2.1,1.1,93.2,13.6,43.6,14.3,10.7,81.1,34.6,16.0,47.7,13.4,66.0,59.6,48.3,44.9,38.7,48.4,45.7,29.8,35.9
25,3000   ,MW00000,CN01   ,2017JJ00,84.0,,,,93.0,,,,92.4,6.5,,,,,,,,71.8,36.5,,88.6,14.1,70.3,75.9,70.8,42.4,48.4,49.7,48.3,28.3,43.9
26,3000   ,MW00000,CN01   ,2021JJ00,87.4,,,,97.2,0.5,,2.2,98.2,1.7,,,,,,,,,,,,,,,87.0,43.9,68.4,48.0,,22.8,43.5
27,3000   ,MW00000,GM9001 ,2013JJ00,73.1,12.1,76.3,38.5,68.4,1.5,6.5,23.6,85.0,12.2,2.2,,94.2,14.8,44.8,10.5,10.9,79.0,29.1,14.8,45.1,10.1,66.8,57.6,49.9,44.8,36.6,47.7,42.7,25.2,30.8
28,3000   ,MW00000,GM9001 ,2017JJ00,84.8,,,,94.9,,,,95.6,3.6,,,,,,,,68.4,32.4,,91.3,12.7,73.3,80.9,63.8,37.0,46.5,48.5,48.4,24.3,36.3
29,3000   ,MW00000,GM9001 ,2021JJ00,87.9,,,,95.9,,,3.6,97.9,1.7,,,,,,,,,,,,,,,84.4,46.3,67.6,50.9,,25.7,34.8
30,3000   ,MW00000,GM9002 ,2013JJ00,67.0,,,,62.9,,6.4,28.1,,,,,,,,,,,,,,,,,,,,,,,
31,3000   ,MW00000,GM9002 ,2017JJ00,78.7,,,,88.1,,,,81.0,16.7,,,,,,,,67.8,34.3,,79.3,13.6,59.8,61.2,81.5,45.0,47.7,46.3,36.2,22.3,51.8
32,3000   ,MW00000,GM9002 ,2021JJ00,82.7,,,,97.9,,,,97.3,2.8,,,,,,,,,,,,,,,89.9,30.0,77.4,39.7,,13.1,54.8
33,3000   ,MW00000,GM9003 ,2013JJ00,79.6,4.0,80.0,23.1,78.4,,,16.6,78.4,16.8,,,95.0,15.0,18.4,43.8,14.3,89.8,43.3,22.6,63.0,27.3,65.6,73.8,60.7,42.1,45.1,57.4,51.6,42.7,52.8
34,3000   ,MW00000,GM9003 ,2017JJ00,89.0,,,,92.3,,,,94.8,4.5,,,,,,,,90.7,55.5,,90.4,20.4,72.4,75.7,84.3,60.3,57.3,59.1,63.9,52.1,63.4
35,3000   ,MW00000,GM9003 ,2021JJ00,93.8,,,,99.6,,,,100.0,,,,,,,,,,,,,,,,89.4,57.8,57.3,52.3,,29.2,50.4
36,3000   ,B000150,CN01   ,2013JJ00,3.7,3.1,4.1,4.6,3.8,1.1,2.0,3.5,3.6,3.3,1.4,1.0,2.5,3.4,5.0,3.5,3.1,3.9,4.8,3.7,5.0,3.4,4.7,4.9,5.1,5.0,4.9,5.1,5.0,4.6,4.8
37,3000   ,B000150,CN01   ,2017JJ00,2.5,,,,1.9,,,,2.0,1.9,,,,,,,,3.5,3.7,,2.5,2.7,3.5,3.3,3.5,3.8,3.8,3.8,3.8,3.5,3.8
38,3000   ,B000150,CN01   ,2021JJ00,2.4,,,,1.3,0.5,,1.1,1.0,1.0,,,,,,,,,,,,,,,2.6,3.8,3.6,3.9,,3.2,3.8
39,3000   ,B000150,GM9001 ,2013JJ00,4.3,3.7,4.8,5.5,4.5,1.2,2.4,4.1,4.2,3.8,1.7,,2.7,4.2,5.8,3.6,3.6,4.8,5.3,4.2,5.8,3.5,5.5,5.8,5.9,5.9,5.7,5.9,5.8,5.1,5.4
40,3000   ,B000150,GM9001 ,2017JJ00,3.1,,,,2.1,,,,2.0,1.8,,,,,,,,4.5,4.5,,2.7,3.2,4.3,3.8,4.7,4.7,4.8,4.8,4.8,4.2,4.7
41,3000   ,B000150,GM9001 ,2021JJ00,3.2,,,,2.1,,,1.9,1.5,1.4,,,,,,,,,,,,,,,3.9,5.4,5.0,5.4,,4.7,5.1
42,3000   ,B000150,GM9002 ,2013JJ00,10.8,,,,11.0,,5.6,10.2,,,,,,,,,,,,,,,,,,,,,,,
43,3000   ,B000150,GM9002 ,2017JJ00,5.7,,,,5.1,,,,6.6,6.3,,,,,,,,7.9,8.0,,6.8,5.8,8.3,8.2,6.5,8.4,8.4,8.4,8.1,7.0,8.4
44,3000   ,B000150,GM9002 ,2021JJ00,4.9,,,,2.1,,,,2.4,2.4,,,,,,,,,,,,,,,4.4,6.6,6.1,7.1,,4.9,7.3
45,3000   ,B000150,GM9003 ,2013JJ00,9.3,5.1,10.5,11.0,9.4,,,8.5,10.7,9.7,,,5.7,9.3,10.1,12.9,9.1,7.9,13.0,11.0,12.7,11.7,12.5,11.4,13.0,13.1,13.2,13.2,13.3,13.2,13.0
46,3000   ,B000150,GM9003 ,2017JJ00,5.5,,,,5.0,,,,4.3,4.0,,,,,,,,5.6,9.6,,5.7,7.8,8.7,8.3,7.1,9.5,9.6,9.5,9.3,9.7,9.3
47,3000   ,B000150,GM9003 ,2021JJ00,4.1,,,,1.1,,,,,,,,,,,,,,,,,,,,5.4,8.6,8.6,8.7,,7.9,8.8
48,4000   ,MW00000,CN01   ,2013JJ00,77.0,12.1,72.7,37.3,72.5,3.6,4.3,19.6,88.0,9.0,1.5,1.5,92.5,17.8,45.8,17.0,11.2,83.3,32.7,13.8,47.9,9.9,71.4,61.7,45.2,40.4,41.8,46.8,43.9,22.3,34.3
49,4000   ,MW00000,CN01   ,2017JJ00,85.7,,,,94.6,,,,93.7,6.0,,,,,,,,74.1,38.4,,91.2,12.2,76.7,78.5,68.6,41.1,57.0,48.1,49.6,19.9,43.2
50,4000   ,MW00000,CN01   ,2021JJ00,91.2,,,,98.4,,,1.1,98.5,1.5,,,,,,,,,,,,,,,86.1,46.0,69.8,47.7,,17.1,47.4
51,4000   ,MW00000,GM9001 ,2013JJ00,77.3,13.2,72.4,38.1,72.6,3.7,4.6,19.1,87.5,8.7,2.0,1.8,93.7,19.5,45.3,15.7,11.6,82.4,29.2,13.1,47.0,8.2,69.8,60.0,45.8,41.3,40.9,43.8,42.1,19.7,28.5
52,4000   ,MW00000,GM9001 ,2017JJ00,86.2,,,,97.3,,,,97.2,2.8,,,,,,,,70.2,33.2,,94.4,9.3,78.9,82.3,63.3,38.9,59.0,47.2,46.1,19.7,35.9
53,4000   ,MW00000,GM9001 ,2021JJ00,92.8,,,,98.1,,,1.7,98.6,1.4,,,,,,,,,,,,,,,80.7,52.9,72.4,50.3,,17.1,41.0
54,4000   ,MW00000,GM9002 ,2013JJ00,69.4,,70.4,42.1,62.6,,,27.5,91.7,,,,84.9,14.5,51.1,12.2,14.0,85.2,43.4,13.5,45.3,,69.4,53.2,39.3,30.9,40.4,55.7,41.5,25.3,38.3
55,4000   ,MW00000,GM9002 ,2017JJ00,81.6,,,,87.6,,,,80.4,17.7,,,,,,,,80.4,47.6,,81.5,14.1,65.5,70.4,76.5,46.4,49.3,46.2,44.9,14.6,54.0
56,4000   ,MW00000,GM9002 ,2021JJ00,85.1,,,,97.8,,,,97.8,2.2,,,,,,,,,,,,,,,90.0,30.7,74.3,33.6,,9.0,52.5
57,4000   ,MW00000,GM9003 ,2013JJ00,87.0,15.9,77.9,25.2,88.5,,,10.0,87.0,11.7,,,93.7,10.7,42.6,30.3,,86.8,42.5,18.5,56.7,24.4,83.7,82.6,48.3,45.8,48.8,55.6,57.8,35.9,66.3
58,4000   ,MW00000,GM9003 ,2017JJ00,89.6,,,,93.5,,,,96.0,4.0,,,,,,,,81.6,46.8,,91.2,21.4,82.2,73.5,79.2,43.2,59.2,54.0,68.5,27.1,59.0
59,4000   ,MW00000,GM9003 ,2021JJ00,96.8,,,,100.0,,,,99.3,,,,,,,,,,,,,,,,93.9,50.1,56.7,60.8,,28.3,56.5
60,4000   ,B000150,CN01   ,2013JJ00,3.7,3.3,4.5,4.9,3.9,1.6,1.8,3.5,3.4,3.0,1.2,1.3,2.7,3.9,5.1,3.9,3.3,3.9,4.8,3.6,5.2,3.1,4.7,5.0,5.2,5.1,5.1,5.2,5.1,4.3,4.9
61,4000   ,B000150,CN01   ,2017JJ00,2.5,,,,1.7,,,,1.9,1.8,,,,,,,,3.4,3.8,,2.2,2.5,3.3,3.2,3.6,3.8,3.9,3.9,3.9,3.1,3.9
62,4000   ,B000150,CN01   ,2021JJ00,2.1,,,,1.0,,,0.8,0.9,0.9,,,,,,,,,,,,,,,2.6,3.8,3.5,3.8,,2.9,3.8
63,4000   ,B000150,GM9001 ,2013JJ00,4.3,4.0,5.2,5.7,4.6,1.9,2.1,4.0,4.0,3.4,1.7,1.6,2.9,4.8,6.0,4.4,3.8,4.6,5.5,4.1,6.0,3.3,5.5,5.9,6.0,5.9,5.9,6.0,6.0,4.8,5.4
64,4000   ,B000150,GM9001 ,2017JJ00,3.1,,,,1.5,,,,1.6,1.6,,,,,,,,4.5,4.6,,2.3,2.8,4.0,3.7,4.7,4.8,4.8,4.9,4.9,3.9,4.7
65,4000   ,B000150,GM9001 ,2021JJ00,2.6,,,,1.5,,,1.4,1.3,1.3,,,,,,,,,,,,,,,4.2,5.4,4.8,5.4,,4.0,5.3
66,4000   ,B000150,GM9002 ,2013JJ00,11.9,,14.2,15.3,12.5,,,11.5,9.0,,,,11.7,11.5,16.4,10.7,11.3,11.6,16.2,11.2,16.3,,15.1,16.5,16.0,15.1,16.1,16.3,16.1,14.2,15.9
67,4000   ,B000150,GM9002 ,2017JJ00,5.6,,,,5.4,,,,6.9,6.6,,,,,,,,6.9,8.7,,6.8,6.1,8.3,7.9,7.4,8.7,8.7,8.7,8.7,6.2,8.7
68,4000   ,B000150,GM9002 ,2021JJ00,4.6,,,,2.1,,,,2.1,2.1,,,,,,,,,,,,,,,4.3,6.6,6.3,6.8,,4.1,7.3
69,4000   ,B000150,GM9003 ,2013JJ00,7.7,9.1,10.3,10.8,7.3,,,6.9,8.2,7.8,,,5.9,7.5,12.0,11.2,,8.2,12.0,9.4,12.0,10.4,9.0,9.2,12.2,12.1,12.2,12.1,12.0,11.7,11.5
70,4000   ,B000150,GM9003 ,2017JJ00,5.4,,,,4.6,,,,3.8,3.8,,,,,,,,7.5,9.6,,5.4,7.9,7.4,8.5,7.8,9.5,9.5,9.6,9.0,8.6,9.6
71,4000   ,B000150,GM9003 ,2021JJ00,2.9,,,,,,,,1.5,,,,,,,,,,,,,,,,4.1,8.5,8.4,8.3,,7.6,8.4
72,2820722,MW00000,CN01   ,2013JJ00,84.2,10.7,71.5,42.7,85.8,2.3,4.8,7.2,87.9,9.7,1.5,1.0,92.1,21.3,45.5,22.7,12.2,79.4,39.6,18.3,56.9,13.1,77.1,59.7,51.8,39.3,35.5,56.9,50.8,28.8,37.4
73,2820722,MW00000,CN01   ,2017JJ00,92.0,,,,97.7,,,,95.0,4.5,,,,,,,,76.0,41.3,,93.3,12.0,84.0,80.6,75.6,39.7,53.1,61.4,60.6,31.2,48.6
74,2820722,MW00000,CN01   ,2021JJ00,94.1,,,,99.2,,,0.6,100.0,,,,,,,,,,,,,,,,89.8,43.4,72.4,60.8,,27.2,52.4
75,2820722,MW00000,GM9001 ,2013JJ00,86.0,10.9,71.0,47.2,86.8,1.8,4.6,6.7,88.6,9.1,1.5,,93.2,23.4,47.6,18.7,12.7,77.4,35.5,17.5,54.8,10.9,78.2,55.4,53.0,41.3,33.9,54.4,47.0,24.8,31.6
76,2820722,MW00000,GM9001 ,2017JJ00,91.8,,,,99.3,,,,97.4,2.4,,,,,,,,73.9,35.6,,94.8,10.2,86.4,87.0,69.3,36.8,54.6,59.2,58.3,27.9,40.9
77,2820722,MW00000,GM9001 ,2021JJ00,95.7,,,,98.6,,,1.1,100.0,,,,,,,,,,,,,,,,89.1,46.1,72.9,63.7,,31.0,45.4
78,2820722,MW00000,GM9002 ,2013JJ00,73.0,9.0,71.2,31.0,73.9,,8.6,12.8,87.6,10.1,,,85.5,14.1,47.2,21.9,12.3,83.8,53.0,19.2,58.5,14.7,68.3,65.7,43.4,31.9,32.8,62.9,60.1,36.9,44.6
79,2820722,MW00000,GM9002 ,2017JJ00,87.8,,,,92.0,,,,86.1,12.6,,,,,,,,70.1,42.6,,87.0,12.7,73.0,66.3,84.1,39.7,42.7,61.1,52.2,25.1,56.6
80,2820722,MW00000,GM9002 ,2021JJ00,88.9,,,,99.6,,,,100.0,,,,,,,,,,,,,,,,90.6,26.0,79.2,47.8,,13.1,56.8
81,2820722,MW00000,GM9003 ,2013JJ00,88.8,11.3,75.3,28.9,96.7,,,,84.4,12.6,,,93.3,17.3,30.9,46.6,9.4,86.1,48.0,21.9,67.3,24.7,80.7,78.2,54.9,36.0,48.1,65.0,61.8,42.2,63.5
82,2820722,MW00000,GM9003 ,2017JJ00,97.8,,,,99.3,,,,96.8,,,,,,,,,88.6,57.5,,95.3,16.4,88.2,76.2,85.9,48.5,59.3,68.3,76.5,47.4,63.7
83,2820722,MW00000,GM9003 ,2021JJ00,98.2,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,90.4,60.8,61.3,71.7,,37.2,63.9
84,2820722,B000150,CN01   ,2013JJ00,3.1,2.8,4.2,4.5,2.9,1.3,1.8,2.2,3.0,2.7,1.1,0.9,2.5,3.7,4.5,3.8,3.0,3.7,4.4,3.5,4.5,3.1,3.8,4.5,4.6,4.5,4.4,4.5,4.6,4.1,4.4
85,2820722,B000150,CN01   ,2017JJ00,1.9,,,,1.1,,,,1.6,1.5,,,,,,,,3.1,3.6,,1.8,2.4,2.7,2.9,3.2,3.6,3.7,3.6,3.6,3.4,3.7
86,2820722,B000150,CN01   ,2021JJ00,1.7,,,,0.7,,,0.6,,,,,,,,,,,,,,,,,2.3,3.8,3.4,3.7,,3.4,3.8
87,2820722,B000150,GM9001 ,2013JJ00,3.4,3.4,4.9,5.4,3.4,1.3,2.1,2.5,3.4,3.1,1.3,,2.7,4.5,5.3,4.2,3.5,4.5,5.1,4.1,5.3,3.3,4.4,5.3,5.4,5.3,5.1,5.4,5.4,4.6,5.0
88,2820722,B000150,GM9001 ,2017JJ00,2.5,,,,0.8,,,,1.5,1.5,,,,,,,,4.2,4.6,,2.1,2.9,3.3,3.2,4.4,4.6,4.7,4.7,4.7,4.3,4.7
89,2820722,B000150,GM9001 ,2021JJ00,2.1,,,,1.2,,,1.1,,,,,,,,,,,,,,,,,3.3,5.3,4.7,5.1,,4.9,5.3
90,2820722,B000150,GM9002 ,2013JJ00,10.6,8.0,12.7,12.9,10.5,,6.7,8.0,9.2,8.4,,,9.8,9.7,13.9,11.5,9.1,10.3,13.9,11.0,13.7,9.8,12.9,13.7,13.8,13.0,13.1,13.4,13.6,13.4,14.2
91,2820722,B000150,GM9002 ,2017JJ00,4.8,,,,4.3,,,,5.7,5.4,,,,,,,,7.5,8.1,,5.5,5.4,7.3,7.7,6.0,8.0,8.1,8.0,8.2,7.1,8.1
92,2820722,B000150,GM9002 ,2021JJ00,4.2,,,,0.9,,,,,,,,,,,,,,,,,,,,4.2,6.3,5.8,7.2,,4.8,7.1
93,2820722,B000150,GM9003 ,2013JJ00,6.4,6.9,9.4,9.9,3.6,,,,7.5,6.8,,,5.2,7.8,9.5,10.3,6.0,7.2,10.4,8.6,9.8,9.0,8.2,8.5,10.4,10.0,10.4,9.9,10.1,10.3,9.9
94,2820722,B000150,GM9003 ,2017JJ00,2.4,,,,1.3,,,,2.9,,,,,,,,,5.3,8.2,,3.5,6.2,5.4,7.1,5.8,8.3,8.2,7.7,7.1,8.3,8.1
95,2820722,B000150,GM9003 ,2021JJ00,2.2,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.3,8.3,7.6,,8.2,8.2
96,21100  ,MW00000,CN01   ,2013JJ00,64.6,13.0,78.8,26.7,53.9,3.0,5.8,37.3,83.0,12.8,2.4,1.9,94.1,6.0,43.3,3.7,8.8,86.7,23.7,9.3,32.5,9.3,54.4,62.2,38.3,48.5,48.0,32.1,34.8,21.8,31.2
97,21100  ,MW00000,CN01   ,2017JJ00,77.9,,,,89.3,,,,90.6,8.3,,,,,,,,69.3,32.6,,85.7,14.7,60.4,72.9,62.6,44.2,52.3,33.5,34.5,15.5,37.5
98,21100  ,MW00000,CN01   ,2021JJ00,84.8,,,,96.4,0.6,,2.8,96.6,3.2,,,,,,,,,,,,,,,83.1,46.6,65.7,34.4,,12.5,38.3
99,21100  ,MW00000,GM9001 ,2013JJ00,64.2,14.9,79.0,26.4,53.9,3.3,6.5,36.3,82.5,12.8,3.1,,95.2,6.8,40.9,3.9,9.0,85.9,18.9,8.3,31.9,6.3,52.2,64.1,39.7,45.9,46.3,32.1,35.1,18.8,26.7
100,21100  ,MW00000,GM9001 ,2017JJ00,79.8,,,,92.8,,,,95.3,4.0,,,,,,,,64.4,29.8,,90.6,11.8,64.7,75.6,57.4,39.0,50.6,35.4,35.2,15.6,30.9
101,21100  ,MW00000,GM9001 ,2021JJ00,85.5,,,,95.4,,,4.2,96.5,3.1,,,,,,,,,,,,,,,75.9,53.2,67.1,37.1,,11.6,30.1
102,21100  ,MW00000,GM9002 ,2013JJ00,62.8,,,,51.1,,,43.6,,,,,,,,,,,,,,,,,,,,,,,
103,21100  ,MW00000,GM9002 ,2017JJ00,73.0,,,,83.4,,,,74.3,22.7,,,,,,,,78.5,38.5,,72.3,15.3,49.9,64.9,73.1,52.8,55.3,28.3,26.1,10.8,48.2
104,21100  ,MW00000,GM9002 ,2021JJ00,79.4,,,,96.0,2.2,,,95.0,5.0,,,,,,,,,,,,,,,89.2,34.8,72.4,25.1,,8.8,50.4
105,21100  ,MW00000,GM9003 ,2013JJ00,73.7,,,,60.5,,,33.3,,,,,,,,,,,,,,,,,,,,,,,
106,21100  ,MW00000,GM9003 ,2017JJ00,78.0,,,,82.0,,,,92.6,7.4,,,,,,,,80.8,37.9,,81.4,30.1,54.8,71.3,73.1,58.3,56.1,32.3,44.9,23.1,56.0
107,21100  ,MW00000,GM9003 ,2021JJ00,92.5,,,,99.6,,,,99.2,,,,,,,,,,,,,,,,93.0,46.6,52.5,41.0,,19.9,42.8
108,21100  ,B000150,CN01   ,2013JJ00,4.1,3.6,4.4,4.8,4.3,1.5,2.0,4.2,4.4,3.9,1.8,1.6,2.8,2.8,5.8,2.2,3.3,4.0,5.0,3.4,5.5,3.4,5.9,5.7,5.7,5.9,5.9,5.5,5.6,4.9,5.4
109,21100  ,B000150,CN01   ,2017JJ00,2.8,,,,2.4,,,,2.4,2.3,,,,,,,,3.8,3.8,,2.9,2.9,4.0,3.6,4.0,4.1,4.1,3.9,3.9,3.0,4.0
110,21100  ,B000150,CN01   ,2021JJ00,2.5,,,,1.4,0.6,,1.2,1.4,1.4,,,,,,,,,,,,,,,2.9,3.9,3.7,3.7,,2.5,3.8
111,21100  ,B000150,GM9001 ,2013JJ00,4.8,4.4,5.1,5.5,5.0,1.8,2.5,4.8,5.2,4.5,2.4,,2.9,3.4,6.7,2.6,3.9,4.7,5.3,3.7,6.3,3.3,6.8,6.5,6.6,6.8,6.8,6.4,6.5,5.3,6.0
112,21100  ,B000150,GM9001 ,2017JJ00,3.4,,,,2.5,,,,2.1,2.0,,,,,,,,4.8,4.6,,2.9,3.2,4.8,4.3,4.9,4.9,5.0,4.8,4.8,3.6,4.6
113,21100  ,B000150,GM9001 ,2021JJ00,3.4,,,,2.2,,,2.1,2.0,1.9,,,,,,,,,,,,,,,4.6,5.4,5.1,5.2,,3.4,5.0
114,21100  ,B000150,GM9002 ,2013JJ00,11.9,,,,12.2,,,12.1,,,,,,,,,,,,,,,,,,,,,,,
115,21100  ,B000150,GM9002 ,2017JJ00,6.2,,,,6.1,,,,7.9,7.5,,,,,,,,7.4,8.8,,8.1,6.5,9.0,8.6,8.0,9.0,8.9,8.1,7.9,5.6,9.1
116,21100  ,B000150,GM9002 ,2021JJ00,5.1,,,,2.8,2.1,,,3.2,3.2,,,,,,,,,,,,,,,4.5,6.9,6.5,6.3,,4.1,7.4
117,21100  ,B000150,GM9003 ,2013JJ00,11.8,,,,13.1,,,12.6,,,,,,,,,,,,,,,,,,,,,,,
118,21100  ,B000150,GM9003 ,2017JJ00,7.8,,,,8.3,,,,6.3,6.3,,,,,,,,9.4,11.6,,9.3,11.0,11.9,10.9,10.6,11.8,11.9,11.2,11.9,10.1,12.0
119,21100  ,B000150,GM9003 ,2021JJ00,4.4,,,,1.1,,,,1.5,,,,,,,,,,,,,,,,4.4,8.7,8.7,8.5,,7.0,8.6
120,53050  ,MW00000,CN01   ,2013JJ00,89.8,13.0,74.1,39.2,92.9,2.5,3.1,,92.3,5.9,,,94.4,30.5,23.0,47.7,22.1,80.1,44.7,15.1,65.2,9.7,82.7,69.0,56.6,30.1,22.6,73.1,59.0,36.0,34.0
121,53050  ,MW00000,CN01   ,2017JJ00,91.9,,,,98.2,,,,95.5,4.0,,,,,,,,73.3,42.2,,94.4,7.1,87.1,78.1,78.7,35.8,36.9,75.0,70.4,36.7,45.2
122,53050  ,MW00000,CN01   ,2021JJ00,96.3,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,91.2,31.4,55.4,72.9,,30.3,43.4
123,53050  ,MW00000,GM9001 ,2013JJ00,92.3,12.9,71.7,44.9,92.9,,3.5,,94.1,4.3,,,94.7,33.3,24.2,47.4,22.7,76.4,41.4,12.3,62.1,7.0,86.7,58.4,54.3,31.6,16.6,70.1,53.4,28.6,24.1
124,53050  ,MW00000,GM9001 ,2017JJ00,89.5,,,,99.2,,,,98.2,,,,,,,,,74.7,37.1,,94.7,5.1,89.1,86.3,73.2,34.4,38.0,72.4,64.3,30.8,37.3
125,53050  ,MW00000,GM9001 ,2021JJ00,98.2,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,95.1,42.6,55.0,78.2,,33.3,37.2
126,53050  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,53050  ,MW00000,GM9002 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,53050  ,MW00000,GM9002 ,2021JJ00,91.5,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,86.3,11.8,64.9,56.5,,16.5,48.1
129,53050  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,53050  ,MW00000,GM9003 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,53050  ,MW00000,GM9003 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,53050  ,B000150,CN01   ,2013JJ00,4.6,5.5,7.1,7.9,3.9,2.4,2.6,,4.2,3.7,,,3.6,7.3,6.7,7.9,6.6,6.4,7.9,5.7,7.6,4.7,6.0,7.4,7.9,7.3,6.6,7.1,7.8,7.6,7.6
133,53050  ,B000150,CN01   ,2017JJ00,3.5,,,,1.8,,,,2.8,2.7,,,,,,,,6.1,6.8,,3.1,3.5,4.6,5.7,5.6,6.6,6.6,5.9,6.3,6.6,6.9
134,53050  ,B000150,CN01   ,2021JJ00,2.8,,,,,,,,,,,,,,,,,,,,,,,,4.3,7.0,7.5,6.7,,7.0,7.5
135,53050  ,B000150,GM9001 ,2013JJ00,5.0,6.6,8.8,9.7,4.8,,3.4,,4.6,4.0,,,4.4,9.2,8.3,9.7,8.2,8.3,9.6,6.4,9.4,5.0,6.6,9.6,9.7,9.1,7.2,8.9,9.7,8.8,8.3
136,53050  ,B000150,GM9001 ,2017JJ00,5.2,,,,1.6,,,,2.4,,,,,,,,,7.8,8.7,,4.1,4.0,5.6,6.2,8.0,8.6,8.8,8.1,8.6,8.3,8.7
137,53050  ,B000150,GM9001 ,2021JJ00,2.8,,,,,,,,,,,,,,,,,,,,,,,,4.5,10.4,10.4,8.7,,9.9,10.2
138,53050  ,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,53050  ,B000150,GM9002 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,53050  ,B000150,GM9002 ,2021JJ00,7.2,,,,,,,,,,,,,,,,,,,,,,,,9.4,8.8,13.1,13.6,,10.2,13.9
141,53050  ,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,53050  ,B000150,GM9003 ,2017JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,53050  ,B000150,GM9003 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,53310  ,MW00000,CN01   ,2013JJ00,81.7,9.6,70.3,44.4,82.7,2.1,5.5,9.7,85.7,11.6,1.5,1.2,91.0,16.8,56.4,10.5,7.4,79.1,37.1,19.8,52.8,14.8,74.4,55.1,49.5,43.8,42.0,48.9,46.7,25.2,39.0
145,53310  ,MW00000,CN01   ,2017JJ00,92.0,,,,97.5,,,,94.8,4.7,,,,,,,,77.1,41.0,,92.8,13.9,82.8,81.7,74.3,41.3,59.7,55.9,56.7,28.9,49.9
146,53310  ,MW00000,CN01   ,2021JJ00,93.4,,,,98.9,,,0.8,100.0,,,,,,,,,,,,,,,,89.3,47.4,78.1,56.7,,26.1,55.4
147,53310  ,MW00000,GM9001 ,2013JJ00,83.5,10.0,70.6,48.2,84.4,2.0,5.1,8.5,86.2,11.2,1.7,,92.6,19.2,57.8,6.3,8.3,77.8,33.0,19.8,51.6,12.6,74.5,54.2,52.5,45.6,41.6,47.4,44.2,23.1,34.8
148,53310  ,MW00000,GM9001 ,2017JJ00,92.7,,,,99.3,,,,97.1,2.9,,,,,,,,73.6,34.9,,94.8,12.2,85.4,87.3,67.8,37.7,61.1,54.1,55.9,26.8,42.3
149,53310  ,MW00000,GM9001 ,2021JJ00,94.8,,,,98.1,,,1.5,100.0,,,,,,,,,,,,,,,,87.0,47.3,79.1,58.7,,30.2,48.3
150,53310  ,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,53310  ,MW00000,GM9002 ,2017JJ00,87.0,,,,91.7,,,,86.7,11.5,,,,,,,,74.3,47.3,,87.2,15.1,75.1,69.0,85.4,40.3,50.8,56.1,47.0,21.7,61.2
152,53310  ,MW00000,GM9002 ,2021JJ00,87.9,,,,99.4,,,,100.0,,,,,,,,,,,,,,,,92.3,31.5,84.7,44.5,,11.9,60.0
153,53310  ,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,53310  ,MW00000,GM9003 ,2017JJ00,96.7,,,,99.0,,,,96.3,,,,,,,,,92.5,53.7,,92.8,18.2,83.2,77.8,83.2,54.4,65.4,61.4,70.4,44.7,62.3
