ID,Persoonskenmerken,Marges,CaribischNederland,Perioden,ToegangTotInternetInHetHuishouden_1,Inbel_2,Breedband_3,MobieleOfDongel_4,k_3MndGeleden_5,k_312MndGeleden_6,k_1JaarGeleden_7,NooitInternetGebruikt_8,BijnaDagelijks_9,NietDagelijksMaarMinstens1xPerWeek_10,NietWekelijksMaarMinstens1xPerMnd_11,Minstens1xPerMaand_12,Thuis_13,BijIemandAndersThuis_14,OpHetWerk_15,BijEenOnderwijsinstelling_16,ErgensAnders_17,VersturenOntvangenEMails_18,BerichtenPlaatsenOpChatsites_19,Weblogs_20,TekstberichtenUitwisselen_21,ProfessioneelNetwerk_22,AnderSociaalNetwerkFacebookTwitter_23,TelefonerenViaInternet_24,RadioTv_25,Kranten_26,Internetbankieren_27,SpelletjesFilmsOfMuziekDownloaden_28,FotoMuziekTekstOfSoftwareUploaden_29,SoftwareDownloadenAndersDanSpellen_30,OnlineAankopen_31
252,2020253,B000150,CN01   ,2013JJ00,3.1,2.9,3.8,4.5,3.3,0.9,1.2,3.0,2.9,2.8,,,2.4,3.4,4.9,3.7,2.9,2.6,4.8,3.9,4.9,3.8,4.6,4.5,4.9,4.9,4.9,4.9,4.9,4.6,4.9
253,2020253,B000150,CN01   ,2017JJ00,1.8,,,,1.3,,,,1.5,1.4,,,,,,,,2.5,3.8,,2.2,3.2,3.4,3.0,3.3,3.8,3.4,3.9,3.8,3.6,3.8
254,2020253,B000150,CN01   ,2021JJ00,1.7,,,,0.7,,,0.7,0.6,0.5,,,,,,,,,,,,,,,2.3,3.7,3.0,3.8,,3.4,3.8
255,2020253,B000150,GM9001 ,2013JJ00,3.6,3.4,4.5,5.4,3.9,1.2,1.5,3.5,3.6,3.5,,,2.5,4.1,5.7,3.7,3.5,3.2,5.5,4.5,5.7,4.1,5.4,5.3,5.8,5.8,5.8,5.8,5.8,5.2,5.6
256,2020253,B000150,GM9001 ,2017JJ00,2.1,,,,1.4,,,,1.4,1.3,,,,,,,,3.4,4.8,,2.3,3.9,4.1,3.6,4.3,4.8,4.3,4.8,4.8,4.4,4.9
257,2020253,B000150,GM9001 ,2021JJ00,2.1,,,,1.3,,,1.3,0.9,,,,,,,,,,,,,,,,3.2,5.1,3.6,5.3,,4.8,5.3
258,2020253,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2020253,B000150,GM9002 ,2017JJ00,6.2,,,,5.0,,,,6.4,5.7,,,,,,,,6.1,9.9,,8.0,8.1,9.8,8.6,8.4,9.8,9.1,10.0,10.0,9.0,9.6
260,2020253,B000150,GM9002 ,2021JJ00,4.8,,,,,0.0,,,1.7,,,,,,,,,,,,,,,,4.8,8.2,6.3,8.1,,6.1,7.6
261,2020253,B000150,GM9003 ,2013JJ00,5.2,6.1,8.7,8.9,2.8,,,,5.9,5.5,,,5.6,8.0,10.0,10.9,5.7,3.3,11.0,9.0,10.7,10.2,9.6,7.7,10.9,10.8,10.8,11.0,10.8,10.8,10.6
262,2020253,B000150,GM9003 ,2017JJ00,2.2,,,,2.8,,,,3.0,,,,,,,,,3.2,8.4,,5.1,7.5,7.0,6.8,6.1,8.1,7.6,8.3,7.9,8.3,7.3
263,2020253,B000150,GM9003 ,2021JJ00,3.0,,,,,,,,0.7,,,,,,,,,,,,,,,,4.4,7.0,6.9,7.3,,7.4,7.3
264,2018740,MW00000,CN01   ,2013JJ00,83.5,10.7,79.2,33.7,78.2,1.5,2.5,17.8,86.8,11.9,,,93.4,14.4,53.7,9.0,9.5,88.7,32.9,12.2,42.0,10.3,67.5,63.6,40.3,46.6,45.3,46.8,42.5,24.2,33.7
265,2018740,MW00000,CN01   ,2017JJ00,91.3,,,,94.9,,,,94.7,5.0,,,,,,,,82.2,41.4,,93.7,11.3,77.2,77.6,73.8,42.0,63.9,51.0,53.0,24.1,50.7
266,2018740,MW00000,CN01   ,2021JJ00,92.3,,,,99.0,,,1.0,99.2,,,,,,,,,,,,,,,,88.1,48.9,75.0,56.5,,25.2,53.2
267,2018740,MW00000,GM9001 ,2013JJ00,82.3,10.2,79.4,38.0,77.0,1.9,3.0,18.1,86.1,12.5,,,94.8,16.0,53.4,9.7,10.0,88.5,31.8,13.1,43.3,9.4,68.7,64.6,44.9,46.2,45.8,48.6,43.0,22.9,30.6
268,2018740,MW00000,GM9001 ,2017JJ00,92.7,,,,97.1,,,,97.3,2.7,,,,,,,,78.7,38.0,,95.3,12.0,79.1,81.6,69.6,38.4,67.2,50.0,52.7,22.1,43.3
269,2018740,MW00000,GM9001 ,2021JJ00,94.5,,,,98.0,,,2.0,99.3,,,,,,,,,,,,,,,,87.4,52.3,82.8,59.5,,26.9,48.4
270,2018740,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2018740,MW00000,GM9002 ,2017JJ00,82.4,,,,87.9,,,,84.4,13.1,,,,,,,,87.1,38.5,,83.5,12.1,65.1,70.0,77.6,49.6,64.1,47.8,40.8,22.0,58.9
272,2018740,MW00000,GM9002 ,2021JJ00,86.6,,,,100.0,0.0,,,98.5,,,,,,,,,,,,,,,,89.3,36.7,76.1,45.7,,13.5,64.8
273,2018740,MW00000,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2018740,MW00000,GM9003 ,2017JJ00,95.7,,,,92.7,,,,92.9,7.1,,,,,,,,93.1,59.8,,96.7,7.6,80.7,66.7,89.0,50.3,48.9,59.1,66.3,35.5,76.5
275,2018740,MW00000,GM9003 ,2021JJ00,94.0,,,,100.0,,,,99.7,,,,,,,,,,,,,,,,88.4,54.4,57.6,60.9,,33.3,51.9
276,2018740,B000150,CN01   ,2013JJ00,4.3,3.9,5.1,6.0,4.8,1.4,1.8,4.4,4.4,4.2,,,3.3,4.6,6.5,3.7,3.8,4.1,6.2,4.3,6.5,4.0,6.1,6.3,6.4,6.5,6.5,6.5,6.5,5.6,6.2
277,2018740,B000150,CN01   ,2017JJ00,2.7,,,,2.2,,,,2.4,2.3,,,,,,,,4.0,5.2,,2.5,3.3,4.4,4.4,4.6,5.2,5.0,5.2,5.2,4.5,5.3
278,2018740,B000150,CN01   ,2021JJ00,2.5,,,,1.0,,,1.0,0.9,,,,,,,,,,,,,,,,3.2,4.9,4.2,4.8,,4.2,4.9
279,2018740,B000150,GM9001 ,2013JJ00,4.9,4.3,5.7,6.9,5.4,1.7,2.2,5.0,5.1,4.9,,,3.3,5.4,7.3,4.3,4.4,4.7,6.8,5.0,7.3,4.3,6.8,7.0,7.3,7.4,7.4,7.4,7.3,6.2,6.8
280,2018740,B000150,GM9001 ,2017JJ00,3.1,,,,2.1,,,,2.0,2.0,,,,,,,,5.1,6.1,,2.7,4.1,5.1,4.9,5.8,6.1,5.9,6.3,6.3,5.2,6.3
281,2018740,B000150,GM9001 ,2021JJ00,3.0,,,,1.9,,,1.9,1.1,,,,,,,,,,,,,,,,4.5,6.8,5.2,6.7,,6.1,6.8
282,2018740,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2018740,B000150,GM9002 ,2017JJ00,8.6,,,,8.2,,,,9.8,9.1,,,,,,,,9.0,13.1,,10.0,8.8,12.8,12.3,11.2,13.4,12.9,13.4,13.2,11.2,13.3
284,2018740,B000150,GM9002 ,2021JJ00,6.2,,,,,0.0,,,2.4,,,,,,,,,,,,,,,,6.1,9.5,8.4,9.8,,6.7,9.5
285,2018740,B000150,GM9003 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,2018740,B000150,GM9003 ,2017JJ00,5.1,,,,6.8,,,,6.9,6.9,,,,,,,,6.8,13.2,,4.8,7.2,10.6,12.7,8.4,13.5,13.5,13.2,12.7,12.9,11.5
287,2018740,B000150,GM9003 ,2021JJ00,4.6,,,,,,,,1.1,,,,,,,,,,,,,,,,6.4,9.9,9.8,9.7,,9.4,9.9
288,2018790,MW00000,CN01   ,2013JJ00,91.9,7.7,84.5,24.9,96.0,,,3.2,94.6,4.9,,,93.8,13.5,55.7,27.9,10.0,97.3,46.5,28.3,50.8,27.9,67.1,80.8,55.2,62.2,68.7,54.6,57.6,41.9,55.8
289,2018790,MW00000,CN01   ,2017JJ00,97.3,,,,99.3,,,,98.0,,,,,,,,,95.6,46.3,,88.3,35.2,71.7,85.6,78.2,70.3,82.5,54.6,58.4,40.7,66.5
290,2018790,MW00000,CN01   ,2021JJ00,97.4,,,,99.7,,,,99.5,,,,,,,,,,,,,,,,92.9,79.4,90.3,51.9,,34.7,67.7
291,2018790,MW00000,GM9001 ,2013JJ00,95.1,9.2,83.8,30.7,97.5,,,,93.0,6.3,,,95.1,12.1,61.1,15.5,9.9,96.3,37.7,28.1,45.8,24.5,62.9,77.5,54.0,61.2,66.0,53.3,53.9,37.5,51.3
292,2018790,MW00000,GM9001 ,2017JJ00,97.6,,,,98.8,,,,98.4,,,,,,,,,94.8,44.6,,92.8,33.3,73.6,85.2,76.7,68.0,81.8,53.5,57.0,37.1,60.6
293,2018790,MW00000,GM9001 ,2021JJ00,97.9,,,,99.4,,,,99.1,,,,,,,,,,,,,,,,92.7,75.2,91.3,49.4,,32.3,56.0
294,2018790,MW00000,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2018790,MW00000,GM9002 ,2017JJ00,91.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2018790,MW00000,GM9002 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2018790,MW00000,GM9003 ,2013JJ00,91.9,,,,99.1,,,,96.3,,,,91.8,20.3,25.8,65.6,6.7,98.8,60.7,27.5,67.7,33.6,77.2,89.0,62.2,58.7,70.1,58.2,64.9,42.2,63.6
298,2018790,MW00000,GM9003 ,2017JJ00,100.0,,,,100.0,,,,99.2,,,,,,,,,98.3,49.5,,85.5,41.1,75.4,88.1,81.4,72.4,84.6,53.5,66.4,50.4,74.0
299,2018790,MW00000,GM9003 ,2021JJ00,97.8,,,,100.0,,,,100.0,,,,,,,,,,,,,,,,93.0,88.7,85.9,66.4,,46.5,81.4
300,2018790,B000150,CN01   ,2013JJ00,4.0,4.1,5.6,6.7,2.9,,,2.6,3.4,3.3,,,3.6,5.2,7.5,6.8,4.5,2.5,7.5,6.8,7.6,6.8,7.1,6.0,7.5,7.3,7.0,7.5,7.5,7.5,7.5
301,2018790,B000150,CN01   ,2017JJ00,1.8,,,,0.9,,,,1.6,,,,,,,,,2.4,5.7,,3.7,5.5,5.2,4.0,4.7,5.3,4.4,5.7,5.7,5.6,5.4
302,2018790,B000150,CN01   ,2021JJ00,1.9,,,,0.7,,,,0.9,,,,,,,,,,,,,,,,3.2,5.0,3.6,6.2,,5.9,5.8
303,2018790,B000150,GM9001 ,2013JJ00,4.0,5.5,7.0,8.8,2.9,,,,4.8,4.5,,,4.1,6.1,9.2,6.8,5.6,3.6,9.1,8.4,9.4,8.1,9.1,7.9,9.4,9.2,8.9,9.4,9.4,9.1,9.4
304,2018790,B000150,GM9001 ,2017JJ00,2.3,,,,1.6,,,,1.9,,,,,,,,,3.4,7.6,,3.9,7.2,6.7,5.4,6.4,7.1,5.9,7.6,7.5,7.4,7.4
305,2018790,B000150,GM9001 ,2021JJ00,2.4,,,,1.3,,,,1.6,,,,,,,,,,,,,,,,4.4,7.2,4.7,8.3,,7.8,8.3
306,2018790,B000150,GM9002 ,2013JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2018790,B000150,GM9002 ,2017JJ00,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2018790,B000150,GM9002 ,2021JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2018790,B000150,GM9003 ,2013JJ00,7.0,,,,2.4,,,,4.9,,,,7.1,10.4,11.3,12.3,6.4,2.9,12.7,11.6,12.2,12.3,11.0,8.1,12.6,12.8,11.9,12.8,12.4,12.9,12.4
310,2018790,B000150,GM9003 ,2017JJ00,,,,,,,,,1.9,,,,,,,,,2.8,10.8,,7.6,10.6,9.3,7.0,8.4,9.7,7.8,10.8,10.2,10.8,9.5
311,2018790,B000150,GM9003 ,2021JJ00,3.4,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.4,8.2,11.1,,11.7,9.3
