ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudget_4,OpbrengstenDBCSDBCZorgproducten_5,TotaalOverigeNettoOmzet_6,ZorgprestatiesTussenInstellingen_7,PersoonsgebondenEnVolgendeBudgetten_8,OverigeZorgprestaties_9,OverigeDienstverlening_10,TotaalOverigeBedrijfsopbrengsten_11,WmoSubsidiesHuishoudelijkeHulp_12,OverigeSubsidiesEnBijdragen_13,NietEerderGenoemdeBedrijfsopbrengsten_14,TotaalBedrijfslasten_15,TotaalArbeidskosten_16,LonenEnSalarissen_17,PensioenlastenEnSocialeLasten_18,AfschrijvingenOpVasteActiva_19,BijzondereWaardeverminderingen_20,TotaalOverigeBedrijfslasten_21,TotaalAnderePersoneelskosten_22,KostenUitzendkrachtenEnOverigeInleen_23,OverigePersoneelskosten_24,TotaalNietEerderGenoemdeBedrLasten_25,VoedingEnHotelmatigeKosten_26,AlgemeneKosten_27,ClientEnBewonersgebondenKosten_28,OnderhoudsEnEnergiekosten_29,HuurOperationeleLeasingKapGoederen_30,AndereBedrijfslasten_31,Bedrijfsresultaat_32,FinancieleBaten_33,FinancieleLasten_34,FinancieelResultaat_35,BuitengewoneBaten_36,BuitengewoneLasten_37,BuitengewoonResultaat_38,ResultaatVoorBelastingen_39,TotaalActiva_40,ImmaterieleVasteActiva_41,MaterieleVasteActiva_42,TotaalFinancieleVasteActiva_43,Deelnemingen_44,OverigeLanglopendeVorderingen_45,TotaalVoorraden_46,Voorraden_47,OnderhandenWerkDBCS_48,TotaalKortlopendeVorderingen_49,VorderingenOpDebiteuren_50,VorderingenUHVBekostiging_51,OverigeKortlopendeVorderingen_52,Effecten_53,LiquideMiddelen_54,TotaalPassiva_55,TotaalEigenVermogen_56,Kapitaal_57,CollectiefGefinGebVermogen_58,NietCollectiefGefinVrijVermogen_59,Voorzieningen_60,LanglopendeSchulden_61,TotaalKortlopendeSchulden_62,SchuldenAanKredietinstellingen_63,Crediteuren_64,AflossingsverplichtingLanglopLening_65,SchuldenUHVBekostiging_66,OverigeKortlopendeSchulden_67,BoekwaardePer1Januari_68,Investeringen_69,Herwaarderingen_70,Desinvesteringen_71,Afschrijvingen_72,BijzondereWaardeverminderingen_73,TerugnameAfgeschrevenActiva_74,BoekwaardePer31December_75,WettelijkBudgetVerslagjaar_76,OpbrengstenTerDekkingWettelijkBudget_77,FinancieringsverschilBudgetOpbrengsten_78,BanenWerknemers_79,ArbeidsjarenWerknemers_80,BeddenKlinischeDagDeeltijdbehand_81,KlinischeVerpleegdagen_82,DagEnDeeltijdbehandelingen_83,EerstePolikliniekbezoeken_84,KlinischeOpnamen_85,BeddenKlinischeBehandeling_86,PoliklinischeBehandelplaatsen_87,KlinischeVerpleegdagen_88,Revalidatiebehandeluren_89,EersteConsulten_90,BeddenKlinischeEnDeeltijdbehandGGZ_91,KlinischeVerpleegdagenGGZ_92,Deeltijdbehandelingen_93,PoliklinischeFaceToFaceContacten_94,EersteKlinischeOpnamen_95,TotaalGGZZZPExclKindEnJeugd_96,VoortgezetVerblijfInclBHInclDB_97,VoortgezetVerblijfInclBHExclDB_98,BeschutBeschermdWonenExclBHInclDB_99,BeschutBeschermdWonenExclBHExclDB_100,BeddenGGZKJ_101,PlaatsenKleinschaligWonenGGZKJ_102,VerpleegdagenGGZKJ_103,VerzorgDagKleinschaligWonenGGZKJ_104,IntramurPlaatsenMetBehandelingGHZ_105,IntramurPlaatsZonderBehandelingGHZ_106,TotaalGHZZZP_107,TotaalGHZZZPVG_108,MetEnigeBegeleidingInclDB_109,MetEnigeBegeleidingExclDB_110,OverigeZZPInclBHInclDB_111,OverigeZZPInclBHExclDB_112,OverigeZZPExclBHInclDB_113,OverigeZZPExclBHExclDB_114,LichtVerstandelijkGehandicaptenLVG_115,SterkGedragsgestLichtVerstGeh_116,TotaalGHZZZPLG_117,MetEnigeBegelEnEnigeVerz_118,OverigeZZPInclBHInclDB_119,OverigeZZPInclBHExclDB_120,OverigeZZPExclBHInclDB_121,OverigeZZPExclBHExclDB_122,TotaalGHZZZPZG_123,ZintuiglijkGehandicaptenAuditief_124,ZintuiglijkGehandicaptenVisueel_125,IntramurPlaatsenMetBehandelingVPH_126,IntramurPlaatsenZonderBehandelingVZH_127,TotaalVVZZP_128,TotaalVVZZPBeschutWonen_129,BegeleidingEnEnigeVerzorging_130,BegeleidingEnVerzorgingInclBH_131,BegeleidingEnVerzorgingExclBH_132,TotaalVVZZPBeschermdWonen_133,IntensieveDementieZorgInclBH_134,IntensieveDementieZorgExclBH_135,MetNadrukOpLichVerzorgingInclBH_136,MetNadrukOpLichVerzorgingExclBH_137,HerstelgerichteBehandeling_138,IntensiefPalliatiefTerminaleZorg_139,UrenExtramuraleHuishoudelijkeVerz_140,UrenExtramuralePersoonlijkeVerz_141,UrenExtramuraleVerpleging_142,UrenExtramBegeleidingExclDagact_143,UrenExtramuraleBehandeling_144,UrenDagactiviteitGGZ_145,DagdelenDagactiviteitGHZ_146,DagdelenDagactiviteitVV_147,TotaalVPT_148,DagenVPTGGZ_149,DagenVPTGHZ_150,DagenVPTVV_151
0, 1      ,2006JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33898.0,,,,,55900.0,11310.0,1483.0,9621.0,1754.0,1790.0,1000.0,466.0,2374.0,38.0,,,1516.0,11055.0,61.0,,,,,,,,,,42670.0,23040.0,,,,,,,,,,,,,,,,,,,,66880.0,103200.0,,,,,,,,,,,,,54015.0,27859.0,12578.0,19072.0,763.0,,,,,,,
1, 1      ,2007JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33497.0,,,,,55730.0,11271.0,1703.0,10267.0,1780.0,1790.0,1070.0,455.0,2502.0,43.0,,,1549.0,12418.0,62.0,,,,,,,,,,43070.0,24150.0,,,,,,,,,,,,,,,,,,,,68250.0,101150.0,,,,,,,,,,,,,52799.0,30457.0,11540.0,20650.0,745.0,,,,,,,
2, 1      ,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34402.0,,,,,55640.0,10766.0,1718.0,10365.0,1823.0,1910.0,1110.0,456.0,2630.0,43.0,,,1377.0,13925.0,63.0,,,,,,,,,,44770.0,25390.0,,,,,,,,,,,,,,,,,,,,71020.0,98270.0,,,,,,,,,,,,,53243.0,34494.0,9025.0,21428.0,875.0,,,,,,,
3, 1      ,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35420.0,,,,,55710.0,10672.0,1901.0,10764.0,1910.0,1900.0,1170.0,468.0,2644.0,47.0,,,1280.0,15738.0,65.0,,,,,,,,,,46200.0,24780.0,,,,,,,,,,,,,,,,,,,,72400.0,95890.0,,,,,,,,,,,,,55350.0,37506.0,7856.0,19694.0,1019.0,,,,,,,
4, 1      ,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37578.0,,,,,55680.0,10587.0,2018.0,10996.0,1973.0,1900.0,1240.0,472.0,2975.0,49.0,13580.0,5346.0,1327.0,15862.0,67.0,9280.0,2577.0,550.0,3491.0,2663.0,327.0,434.0,108.0,123.0,49120.0,24340.0,26633.0,21648.0,1108.0,1625.0,12747.0,1191.0,2647.0,2330.0,1226.0,87.0,2834.0,586.0,974.0,209.0,768.0,297.0,839.0,307.0,532.0,78200.0,94020.0,58429.0,27469.0,13099.0,1438.0,12932.0,30960.0,17008.0,2525.0,5532.0,2348.0,3323.0,224.0,56350.0,39627.0,7641.0,18119.0,1856.0,6791.0,8132.0,8516.0,449.0,42.0,130.0,277.0
5, 1      ,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6, 1      ,2012JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,422800  ,2006JJ00,8.0,4699.0,3693.0,3189.0,,504.0,,,,,1006.0,0.0,844.0,162.0,4554.0,2697.0,2177.0,520.0,209.0,,1647.0,221.0,102.0,119.0,1426.0,131.0,307.0,792.0,125.0,37.0,34.0,145.0,12.0,67.0,-56.0,0.0,0.0,0.0,90.0,5305.0,78.0,3132.0,33.0,,,684.0,,,1027.0,,,,3.0,348.0,5305.0,1436.0,,,,267.0,1382.0,2220.0,,,,,,,395.0,,,,,,3132.0,3169.0,3444.0,-274.0,60490.0,47900.0,8050.0,1826.0,174.0,1073.0,220.0,0.0,0.0,0.0,27.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
8,422800  ,2007JJ00,8.0,5210.0,3772.0,3253.0,70.0,450.0,26.0,0.0,18.0,406.0,1438.0,0.0,1061.0,377.0,5071.0,2885.0,2340.0,545.0,261.0,,1925.0,229.0,116.0,113.0,1696.0,131.0,378.0,934.0,165.0,28.0,61.0,139.0,24.0,71.0,-47.0,0.0,3.0,-3.0,89.0,5319.0,2.0,3327.0,36.0,16.0,20.0,664.0,60.0,604.0,932.0,582.0,0.0,350.0,0.0,358.0,5319.0,1503.0,8.0,1287.0,209.0,305.0,1220.0,2292.0,161.0,241.0,106.0,776.0,1009.0,3162.0,461.0,,15.0,280.0,,0.0,3327.0,2982.0,3486.0,-503.0,61870.0,49600.0,8050.0,1740.0,190.0,1106.0,224.0,0.0,0.0,0.0,29.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
9,422800  ,2008JJ00,8.0,5841.0,3661.0,2926.0,166.0,569.0,31.0,0.0,48.0,490.0,2180.0,0.0,1739.0,442.0,5705.0,3218.0,2603.0,614.0,291.0,,2197.0,298.0,158.0,141.0,1898.0,144.0,438.0,1013.0,213.0,38.0,53.0,136.0,25.0,60.0,-35.0,0.0,0.0,0.0,101.0,5621.0,2.0,3604.0,41.0,8.0,33.0,587.0,64.0,523.0,890.0,603.0,1.0,286.0,0.0,496.0,5621.0,941.0,13.0,658.0,270.0,394.0,1913.0,2372.0,103.0,233.0,82.0,806.0,1149.0,3381.0,560.0,,22.0,316.0,,0.0,3604.0,2906.0,3168.0,-261.0,68220.0,52790.0,7980.0,1679.0,187.0,1069.0,235.0,0.0,0.0,0.0,31.0,0.0,,,89.0,578.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,49.0,0.0,,,,,,,
