ID,RegioS,Perioden,TotaleOppervlakte_1,TotaalAgrarischGebruik_2,Glastuinbouw_3,OverigAgrarischGebruik_4,Bossen_5,TotaalBebouwdeGrond_6,Woongebied_7,Delfstoffenwinning_8,Bedrijfsterreinen_9,DienstverlenendeSector_10,OverigeOpenbareVoorzieningen_11,SociaalCultureleVoorzieningen_12,TotaalVerkeer_13,SpoorTramEnMetrowegen_14,VerhardeWegen_15,OnverhardeEnHalfverhardeWegen_16,Vliegvelden_17,TotaalRecreatie_18,ParkenEnPlantsoenen_19,Sportterreinen_20,Dagrecreatie_21,Volkstuinen_22,Verblijfsrecreatie_23,TotaalNatuurlijkTerrein_24,DroogNatuurlijkTerrein_25,NatNatuurlijkTerrein_26,TotaalOverigeGronden_27,Stortplaatsen_28,Wrakkenopslagplaatsen_29,Begraafplaatsen_30,BouwterreinVoorBedrijfsterreinen_31,BouwterreinVoorOverigeBestemmingen_32,OverigeGronden_33,TotaalWater_34,IJsselmeer_35,SpaarbekkensWaterreservoirs_36,WaterMetRecreatieveHoofdfunctie_37,OverigWaterBrederDan6Meter_38,WaddenzeeEemsDollard_39,OosterEnWesterschelde_40,Noordzee_41
2419,LB2601,1993JJ00,301383.0,155905.0,308.0,155597.0,69527.0,45734.0,34576.0,185.0,2363.0,1878.0,1704.0,5028.0,10534.0,980.0,9193.0,327.0,34.0,9224.0,2285.0,3288.0,797.0,430.0,2424.0,2372.0,2095.0,277.0,1568.0,101.0,68.0,637.0,17.0,605.0,140.0,6521.0,0.0,0.0,0.0,6521.0,0.0,0.0,0.0
2420,LB2601,1996JJ00,301416.0,155104.0,234.0,154870.0,69789.0,46209.0,35226.0,120.0,2028.0,1784.0,1981.0,5070.0,10412.0,944.0,9244.0,190.0,34.0,9084.0,2338.0,3279.0,667.0,427.0,2373.0,2586.0,2343.0,243.0,1596.0,58.0,67.0,648.0,211.0,420.0,192.0,6636.0,0.0,0.0,0.0,6636.0,0.0,0.0,0.0
2421,LB2602,1989JJ00,546210.0,403907.0,543.0,403364.0,8921.0,39588.0,28842.0,477.0,5813.0,762.0,1491.0,2203.0,17773.0,1887.0,15564.0,322.0,0.0,12666.0,2397.0,4282.0,3298.0,626.0,2063.0,9797.0,0.0,9797.0,3112.0,233.0,33.0,356.0,961.0,1142.0,387.0,50440.0,0.0,1311.0,219.0,48910.0,0.0,0.0,0.0
2422,LB2602,1993JJ00,545730.0,400214.0,554.0,399660.0,8905.0,42625.0,30229.0,901.0,6977.0,776.0,1515.0,2227.0,17633.0,1851.0,15460.0,322.0,0.0,13249.0,2535.0,4410.0,3276.0,826.0,2202.0,9737.0,0.0,9737.0,2866.0,301.0,33.0,356.0,610.0,1177.0,389.0,50504.0,0.0,1311.0,219.0,48974.0,0.0,0.0,0.0
2423,LB2602,1996JJ00,545729.0,399735.0,530.0,399205.0,10570.0,44561.0,31036.0,1381.0,7580.0,936.0,1483.0,2145.0,17504.0,1848.0,15389.0,267.0,0.0,12844.0,2344.0,4214.0,3435.0,693.0,2158.0,5067.0,0.0,5067.0,4981.0,197.0,33.0,402.0,453.0,3455.0,441.0,50467.0,0.0,1311.0,245.0,48911.0,0.0,0.0,0.0
2424,LB2603,1989JJ00,147105.0,72887.0,1546.0,71341.0,3092.0,38519.0,25182.0,0.0,7545.0,1758.0,860.0,3174.0,12006.0,2192.0,9736.0,78.0,0.0,9408.0,3259.0,4087.0,619.0,984.0,459.0,2467.0,0.0,2467.0,1895.0,0.0,0.0,524.0,1030.0,316.0,25.0,6832.0,0.0,0.0,1016.0,5816.0,0.0,0.0,0.0
2425,LB2603,1993JJ00,147593.0,71833.0,1896.0,69937.0,3107.0,39640.0,25899.0,0.0,7941.0,1758.0,805.0,3237.0,12336.0,2230.0,10027.0,79.0,0.0,9485.0,3234.0,4197.0,619.0,983.0,452.0,2405.0,0.0,2405.0,1959.0,0.0,0.0,524.0,622.0,788.0,25.0,6827.0,0.0,0.0,1016.0,5811.0,0.0,0.0,0.0
2426,LB2603,1996JJ00,147561.0,71149.0,1925.0,69224.0,3533.0,40937.0,26591.0,0.0,7652.0,2131.0,1067.0,3496.0,12547.0,2237.0,10232.0,78.0,0.0,9549.0,3282.0,4067.0,668.0,1084.0,448.0,1731.0,0.0,1731.0,1222.0,0.0,0.0,529.0,358.0,310.0,25.0,6893.0,0.0,0.0,1142.0,5751.0,0.0,0.0,0.0
2427,LB2604,1989JJ00,205377.0,98961.0,28.0,98933.0,34725.0,40613.0,27793.0,256.0,3991.0,959.0,3430.0,4184.0,10229.0,1596.0,7779.0,190.0,664.0,6473.0,1394.0,2565.0,1076.0,540.0,898.0,2918.0,2531.0,387.0,3165.0,273.0,24.0,258.0,708.0,1687.0,215.0,8297.0,0.0,80.0,20.0,8197.0,0.0,0.0,0.0
2428,LB2604,1993JJ00,205374.0,97733.0,28.0,97705.0,34605.0,42564.0,29338.0,256.0,4394.0,986.0,3429.0,4161.0,10387.0,1596.0,7937.0,190.0,664.0,6774.0,1394.0,2849.0,1076.0,557.0,898.0,2682.0,2508.0,174.0,2353.0,337.0,24.0,258.0,299.0,1242.0,193.0,8278.0,0.0,80.0,20.0,8178.0,0.0,0.0,0.0
