ID,EnergieAfnemers,Perioden,Aardgas_1,Elektriciteit_2
0,10044,1993JJ00,34659,69589
1,10044,1994JJ00,33398,71894
2,10044,1995JJ00,34442,74274
3,10044,1996JJ00,37659,77433
4,10044,1997JJ00,33785,80973
5,10044,1998JJ00,33123,84002
6,10044,1999JJ00,31731,86488
7,10040,1993JJ00,13346,26958
8,10040,1994JJ00,13468,28081
9,10040,1995JJ00,13274,29820
10,10040,1996JJ00,13224,30202
11,10040,1997JJ00,13150,31570
12,10040,1998JJ00,12881,32426
13,10040,1999JJ00,12597,33675
14,10041,1993JJ00,0,1382
15,10041,1994JJ00,0,1446
16,10041,1995JJ00,0,1478
17,10041,1996JJ00,0,1565
18,10041,1997JJ00,0,1571
19,10041,1998JJ00,0,1630
20,10041,1999JJ00,0,1639
21,10042,1993JJ00,11250,17900
22,10042,1994JJ00,10700,18500
23,10042,1995JJ00,11400,19700
24,10042,1996JJ00,13350,20000
25,10042,1997JJ00,11200,20400
26,10042,1998JJ00,10650,20800
27,10042,1999JJ00,10550,21350
28,10043,1993JJ00,10063,23350
29,10043,1994JJ00,9230,23867
30,10043,1995JJ00,9768,23276
31,10043,1996JJ00,11085,25666
32,10043,1997JJ00,9435,27432
33,10043,1998JJ00,9592,29146
34,10043,1999JJ00,8584,29824
35,10001,1993JJ00,4628,2791
36,10001,1994JJ00,4626,3172
37,10001,1995JJ00,4377,2988
38,10001,1996JJ00,4962,3141
39,10001,1997JJ00,4316,3250
40,10001,1998JJ00,4383,3311
41,10001,1999JJ00,3931,3653
42,10002,1993JJ00,9,49
43,10002,1994JJ00,12,75
44,10002,1995JJ00,17,97
45,10002,1996JJ00,16,95
46,10002,1997JJ00,19,174
47,10002,1998JJ00,84,244
48,10002,1999JJ00,93,268
49,10003,1993JJ00,122,545
50,10003,1994JJ00,78,499
51,10003,1995JJ00,128,448
52,10003,1996JJ00,135,401
53,10003,1997JJ00,124,432
54,10003,1998JJ00,124,465
55,10003,1999JJ00,119,482
56,10004,1993JJ00,88,413
57,10004,1994JJ00,61,366
58,10004,1995JJ00,97,308
59,10004,1996JJ00,106,303
60,10004,1997JJ00,99,333
61,10004,1998JJ00,98,353
62,10004,1999JJ00,96,372
63,10005,1993JJ00,33,132
64,10005,1994JJ00,17,133
65,10005,1995JJ00,31,140
66,10005,1996JJ00,29,98
67,10005,1997JJ00,25,99
68,10005,1998JJ00,26,112
69,10005,1999JJ00,23,110
70,10006,1993JJ00,1812,7128
71,10006,1994JJ00,1877,7307
72,10006,1995JJ00,1945,7414
73,10006,1996JJ00,2300,7678
74,10006,1997JJ00,2111,8022
