ID,Periods,ManureProduction_1,NitrogenExcretion_2,TotalGaseousNitrogenLosses_3,TotalLossesInHousingAndStorage_4,AmmoniaExpressedAsN_5,OtherGaseousNitrogenLosses_6,AmmoniaLossesDuringGrazingN_7,NitrogenInProducedManureN_8,PhosphateExcretionP2O5_9,RemovedManure_10,NitrogenNInRemovedManure_11,PhosphateP2O5InRemovedManure_12,SuppliedManure_13,NitrogenNInSuppliedManure_14,PhosphateP2O5InSuppliedManure_15,ProcessedNitrogenN_16,ProcessedPhosphateP2O5_17,NitrogenExportsN_18,PhosphateExportsP2O5_19,SpreadingAreaForNitrogenN_20,SpreadingAreaForPhosphateP2O5_21,UseOfNitrogenNInAgriculture_22,UseOfPhosphateP2O5InAgriculture_23
0,1950JJ00,49019.0,,,,,,,,117.1,,,,,,,,,,,,,,
1,1960JJ00,60696.0,,,,,,,,143.4,,,,,,,,,,,,,,
2,1965JJ00,64115.0,,,,,,,,153.4,,,,,,,,,,,,,,
3,1970JJ00,68192.0,,,,,,,,181.3,,,,,,,,,,,,,,
4,1974JJ00,85688.0,,,,,,,,212.5,,,,,,,,,,,,,,
5,1976JJ00,79477.0,,,,,,,,211.6,,,,,,,,,,,,,,
6,1978JJ00,82123.0,,,,,,,,227.7,,,,,,,,,,,,,,
7,1980JJ00,85634.0,565.1,,,67.2,,12.8,,231.6,,,,,,,,,,,,,,
8,1982JJ00,87393.0,612.2,,,72.7,,13.8,,241.2,,,,,,,,,,,,,,
9,1984JJ00,99739.0,659.3,,,78.5,,15.0,,255.3,,,,,,,,,,,,,,
10,1986JJ00,94648.0,696.3,,,82.7,,15.8,,260.7,8738.0,,29.1,8501.0,,28.3,,,3.0,,,,,260.0
11,1988JJ00,87511.0,656.1,,,79.6,,15.2,,239.6,,,,,,,,,3.0,,,458.0,,
12,1990JJ00,87445.0,691.2,107.7,93.0,81.4,11.6,14.6,598.1,229.1,,,,,,,5.4,2.1,6.8,3.2,,432.0,,
13,1991JJ00,88700.0,718.7,107.2,90.3,73.7,16.6,16.9,,236.7,,,,,,,0.6,,8.1,3.4,,378.0,,
14,1992JJ00,86700.0,716.8,107.9,90.5,74.3,16.2,17.4,,233.8,,,,,,,0.6,,12.7,5.6,,380.0,,
15,1993JJ00,85700.0,709.5,105.2,90.6,74.4,16.1,14.6,,241.9,,,,,,,0.6,,17.0,7.7,,371.0,,
16,1994JJ00,83003.0,681.0,104.4,93.9,82.1,11.8,10.5,587.0,226.5,16991.0,155.3,78.5,15534.0,129.3,65.0,3.0,1.7,23.6,12.1,,329.0,561.0,213.0
17,1995JJ00,82554.0,680.0,104.9,91.7,80.1,11.7,13.1,588.2,215.9,16983.0,153.9,72.4,15418.0,127.2,60.1,2.6,0.9,25.8,11.6,,257.0,562.0,204.0
18,1996JJ00,81192.0,668.6,105.5,89.2,78.0,11.2,16.3,579.4,198.1,16310.0,148.3,67.5,14822.0,126.9,57.9,2.4,0.6,14.1,6.6,,243.0,558.0,189.0
19,1997JJ00,77872.0,644.6,96.2,84.8,73.9,10.9,11.4,559.7,196.8,15830.0,138.0,63.7,14818.0,123.7,57.2,2.5,0.6,10.7,5.4,,240.0,545.0,190.0
20,1998JJ00,76931.0,602.4,87.2,81.6,71.1,10.5,5.6,520.9,196.1,13301.0,98.3,60.5,11510.0,80.9,49.1,4.4,1.9,11.7,6.6,934.0,221.0,503.0,185.0
21,1999JJ00,75445.0,585.3,86.2,80.2,70.1,10.1,6.0,505.1,199.6,15270.0,117.1,72.0,13923.0,98.2,58.2,4.6,2.2,17.2,10.4,924.0,219.0,486.0,186.0
22,2000JJ00,75560.0,549.1,77.0,72.7,63.2,9.6,4.2,476.3,190.9,13212.0,102.5,65.0,11484.0,78.0,47.0,3.8,1.7,20.6,13.1,871.0,208.0,452.0,173.0
23,2001JJ00,74989.0,541.7,74.6,68.6,59.2,9.4,6.0,473.1,184.9,13944.0,103.9,66.9,12192.0,77.3,46.7,4.0,1.9,27.9,15.9,801.0,200.0,446.0,165.0
24,2002JJ00,71529.0,504.4,70.0,66.0,57.0,9.0,4.0,438.5,172.9,12816.0,97.3,63.6,11371.0,70.0,43.2,4.9,2.7,29.9,16.5,774.0,194.0,411.0,153.0
