ID,Perioden,Bedrijven_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,OpbrengstenTerDekkingWettBudget_4,OpbrengstenUitZittendVervoer_5,OverigeNettoOmzet_6,TotaalOverigeBedrijfsopbrengsten_7,SubsidiesEnBijdragen_8,BedrijfsopbrengstenNietEerderGenoemd_9,TotaalBedrijfslasten_10,TotaalArbeidskosten_11,LonenEnSalarissen_12,Pensioenlasten_13,SocialeLasten_14,AfschrijvingenOpVasteActiva_15,TotaalOverigeBedrijfslasten_16,TotaalAnderePersoneelskosten_17,KostenUitzendkrachtenEnOverigeInleen_18,OverigePersoneelskosten_19,BedrijfslastenNietEerderGenoemd_20,Bedrijfsresultaat_21,FinancieleBaten_22,FinancieleLasten_23,FinancieelResultaat_24,VrijvalVoorzieningen_25,ToevoegingAanVoorzieningen_26,SaldoVoorzieningen_27,BuitengewoneBaten_28,BuitengewoneLasten_29,BuitengewoonResultaat_30,ResultaatVoorBelastingen_31,WettelijkBudget_32,AandeelInTotBudgetAmbulancezorg_33,OpbrengstenTerDekkingWettelijkBudget_34,Financieringsverschil_35,WettelijkBudget_36,AandeelInTotaalBudgetCPA_37,OpbrengstenTerDekkingWettelijkBudget_38,Financieringsverschil_39,TotaalBanenVanWerkzamePersonen_40,Werknemers_41,OverigeWerkzamePersonen_42,TotaalArbeidsjaren_43,Werknemers_44,OverigeWerkzamePersonen_45,AmbulancevoertuigenBeschikbaarOp3112_46,GedeclareerdeRittenZiekenvervoer_47,GeredenKilometersZiekenvervoer_48,GedeclareerdeMeldingenCPA_49
0,2004JJ00,40,209.8,202.4,197.3,0.0,5.1,7.4,1.2,6.2,206.1,137.1,110.6,8.5,17.9,11.9,57.1,14.7,4.2,10.5,42.4,3.8,0.1,2.7,-2.6,0.1,1.2,-1.1,0.4,0.1,0.2,0.3,181.4,64.5,181.0,0.5,16.7,44.8,16.4,0.3,3340,3170,160,2710,2620,90,490,528,19312,390
1,2005JJ00,30,214.6,207.0,203.0,0.3,3.8,7.6,1.2,6.4,209.6,138.3,112.1,8.8,17.5,11.8,59.4,15.4,4.6,10.8,44.0,5.1,0.1,3.0,-2.9,0.3,1.6,-1.3,0.5,0.2,0.3,1.2,188.0,62.9,187.3,0.6,16.0,42.0,15.6,0.4,3250,3070,170,2660,2570,90,490,524,19946,377
2,2006JJ00,30,221.4,214.0,209.4,0.2,4.4,7.3,1.2,6.1,216.2,141.6,113.1,10.1,18.4,11.8,62.9,15.8,4.7,11.0,47.1,5.2,,,-2.8,0.2,1.3,-1.1,,,0.4,1.7,195.7,61.6,195.4,0.3,14.4,35.7,14.0,0.3,3090,2880,210,2560,2480,80,480,518,19873,320
3,2007JJ00,30,220.7,214.2,210.7,0.1,3.4,6.5,1.5,5.0,212.8,142.4,112.5,15.5,14.4,11.7,58.8,15.1,4.4,10.7,43.6,7.9,,,-0.8,0.2,1.1,-0.9,,,0.1,6.3,194.3,57.3,197.3,-3.0,13.1,32.3,13.5,-0.4,2850,2650,200,2440,2370,70,450,472,18733,250
4,2008JJ00,20,229.7,223.5,219.1,0.2,4.3,6.2,1.4,4.9,223.2,147.5,115.6,16.5,15.4,12.0,63.7,17.1,5.0,12.1,46.6,6.5,,,-1.2,0.1,1.9,-1.9,,,0.4,3.8,203.4,54.2,205.9,-2.5,12.9,30.4,13.1,-0.2,2880,2690,190,2490,2400,90,450,478,19516,244
5,2009JJ00,20,282.8,267.9,263.6,0.0,4.2,14.9,7.5,7.4,268.8,177.6,140.0,19.5,18.2,14.4,76.8,25.2,5.5,19.7,51.5,13.9,,,-1.2,0.2,0.5,-0.3,,,-0.1,12.3,246.8,60.5,246.9,-0.1,16.2,37.1,16.7,-0.5,3370,3150,220,2930,2810,120,460,546,21826,337
6,2010JJ00,20,297.6,282.0,277.2,0.0,4.7,15.7,7.6,8.0,283.7,187.5,148.0,20.4,19.2,15.0,81.1,26.8,5.9,20.9,54.3,14.0,,,-1.6,0.3,0.5,-0.2,,,1.8,14.0,261.4,58.6,260.9,0.5,17.0,35.9,16.3,0.7,3540,3300,240,3070,2940,140,460,574,22610,347
7,2011JJ00,20,298.8,281.8,274.0,2.8,5.0,17.0,7.6,9.4,285.4,187.3,148.1,20.1,19.2,15.7,82.4,27.9,7.8,20.1,54.5,13.4,,,-0.8,0.4,0.2,0.2,,,0.1,12.8,255.8,60.4,258.7,-2.8,15.8,33.0,15.4,0.4,3490,3190,310,3030,2860,170,430,543,21771,321
8,2012JJ00,20,309.1,292.8,284.7,0.0,8.2,16.2,5.4,10.9,299.0,196.7,157.4,18.7,20.7,16.9,85.4,29.3,13.4,15.8,56.1,10.1,,,-1.8,1.0,0.4,0.7,,,-0.4,8.5,272.4,60.8,265.0,7.4,19.9,41.2,19.7,0.2,3590,3290,300,3130,2900,240,450,548,24022,411
