ID,CentraleDecentraleProductie,Energiedragers,Perioden,TotaalElektriciteitEnWarmteTJ_1,ElektriciteitMWh_2,ElektriciteitTJ_3,Elektriciteit_4,WarmteTJ_5,InzetTJ_6
57,E007022,E006560,2001JJ00,354950.0,54408072.0,195869.0,57.8,159081.0,528436.0
58,E007022,E006560,2002JJ00,358992.0,55132205.0,198476.0,58.0,160516.0,530023.0
59,E007022,E006560,2003JJ00,363653.0,56172989.0,202223.0,57.2,161430.0,546585.0
60,E007022,E006560,2004JJ00,385852.0,60498005.0,217793.0,59.2,168059.0,576460.0
61,E007022,E006560,2005JJ00,381711.0,58207785.0,209548.0,57.8,172163.0,560704.0
62,E007022,E006560,2006JJ00,377529.0,57075274.0,205471.0,57.7,172058.0,542326.0
63,E007022,E006560,2007JJ00,393244.0,60888077.0,219197.0,57.9,174047.0,571361.0
64,E007022,E006560,2008JJ00,426777.0,64563171.0,232427.0,59.7,194350.0,610490.0
65,E007022,E006560,2009JJ00,428855.0,68494439.0,246580.0,60.3,182275.0,620780.0
66,E007022,E006560,2010JJ00,462535.0,73577778.0,264880.0,62.3,197655.0,664240.0
67,E007022,E006560,2011JJ00,432133.0,67946072.0,244606.0,60.1,187527.0,600715.0
68,E007022,E006560,2012JJ00,376320.0,54057456.0,194607.0,52.7,181714.0,510800.0
69,E007022,E006560,2013JJ00,367666.0,54028719.0,194503.0,53.6,173163.0,496747.0
70,E007022,E006560,2014JJ00,331187.0,50991982.0,183571.0,49.3,147616.0,455096.0
71,E007022,E006560,2015JJ00,309000.0,45813177.0,164927.0,41.6,144073.0,419312.0
72,E007022,E006560,2016JJ00,326921.0,52531191.0,189112.0,45.6,137809.0,453029.0
73,E007022,E006560,2017JJ00,344737.0,57733422.0,207840.0,49.3,136896.0,485849.0
74,E007022,E006560,2018JJ00,340855.0,57630056.0,207468.0,50.4,133387.0,475953.0
75,E007022,E006560,2019JJ00,388889.0,70719366.0,254590.0,58.2,134299.0,550912.0
76,E007022,E006560,2020JJ00,392261.0,72524079.0,261087.0,58.8,131174.0,562479.0
77,E007022,E006560,2021JJ00,332753.0,56690590.0,204086.0,46.4,128667.0,463271.0
78,E007022,E006560,2022JJ00,281672.0,47742665.0,171874.0,39.3,109798.0,392217.0
79,E007022,E006560,2023JJ00,270823.0,46090273.0,165925.0,37.9,104898.0,380176.0
80,E007022,E006560,2024JJ00,263855.0,44290585.0,159446.0,35.8,104409.0,362666.0
81,E007022,E006461,1998JJ00,97660.0,25782450.0,92817.0,28.0,4843.0,225639.0
82,E007022,E006461,1999JJ00,79748.0,20809658.0,74915.0,23.8,4833.0,186545.0
83,E007022,E006461,2000JJ00,89792.0,23428151.0,84341.0,26.0,5450.0,210759.0
