ID,BestemmingVanInvoer,Perioden,WaardeInWerkelijkePrijzen_1,WaardePrijsniveau2005_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,WaardeInWerkelijkePrijzen_5,WaardePrijsniveau2005_6,VolumemutatieTOVVoorafgaandJaar_7,Prijsindexcijfers_8,WaardeInWerkelijkePrijzen_9,WaardePrijsniveau2005_10,VolumemutatieTOVVoorafgaandJaar_11,Prijsindexcijfers_12
1810,396400,1998JJ00,4700.0,5805.0,9.6,81.0,79.0,57.0,0.0,137.6,4621.0,5749.0,9.7,80.4
1811,396400,1999JJ00,5195.0,6216.0,7.1,83.6,81.0,62.0,7.6,131.2,5114.0,6156.0,7.1,83.1
1812,396400,2000JJ00,7005.0,8269.0,33.0,84.7,96.0,79.0,27.2,122.3,6909.0,8195.0,33.1,84.3
1813,396400,2001JJ00,6991.0,8160.0,-1.3,85.7,83.0,70.0,-10.4,118.0,6908.0,8096.0,-1.2,85.3
1814,396400,2002JJ00,6456.0,7219.0,-11.5,89.4,82.0,75.0,6.0,109.9,6374.0,7146.0,-11.7,89.2
1815,396400,2003JJ00,6695.0,6425.0,-11.0,104.2,75.0,71.0,-4.9,105.7,6620.0,6354.0,-11.1,104.2
1816,396400,2004JJ00,7119.0,6651.0,3.5,107.0,70.0,70.0,-1.3,100.0,7049.0,6582.0,3.6,107.1
1817,396400,2005JJ00,7710.0,7710.0,15.9,100.0,76.0,76.0,8.6,100.0,7634.0,7634.0,16.0,100.0
1818,396400,2006JJ00,7691.0,8558.0,11.0,89.9,86.0,87.0,14.5,98.9,7605.0,8471.0,11.0,89.8
1819,396400,2007JJ00,7563.0,9111.0,6.5,83.0,97.0,99.0,14.0,97.8,7466.0,9011.0,6.4,82.9
1820,396400,2008JJ00,10324.0,11320.0,24.2,91.2,92.0,96.0,-3.1,95.8,10232.0,11228.0,24.6,91.1
1821,396400,2009JJ00,13556.0,11758.0,3.9,115.3,82.0,91.0,-5.4,90.3,13474.0,11672.0,3.9,115.4
1822,396400,2010JJ00,12067.0,10519.0,-10.5,114.7,82.0,88.0,-3.7,93.7,11985.0,10437.0,-10.6,114.8
1823,396400,2011JJ00,10679.0,9208.0,-12.5,116.0,88.0,91.0,3.7,97.0,10591.0,9125.0,-12.6,116.1
1824,396400,2012JJ00,9249.0,7864.0,-14.6,117.6,94.0,99.0,9.1,95.0,9155.0,7775.0,-14.8,117.8
1825,398700,1988JJ00,328.0,644.0,,50.9,29.0,12.0,,238.6,299.0,672.0,,44.5
1826,398700,1989JJ00,375.0,679.0,5.5,55.2,36.0,16.0,34.5,220.2,339.0,690.0,2.7,49.1
1827,398700,1990JJ00,301.0,674.0,-0.8,44.7,28.0,13.0,-19.4,212.6,273.0,698.0,1.2,39.1
1828,398700,1991JJ00,377.0,676.0,0.3,55.8,36.0,19.0,42.9,191.3,341.0,670.0,-4.0,50.9
1829,398700,1992JJ00,382.0,750.0,10.9,51.0,31.0,17.0,-8.3,179.8,351.0,757.0,12.9,46.4
1830,398700,1993JJ00,360.0,705.0,-6.0,51.1,33.0,19.0,9.7,174.5,327.0,701.0,-7.4,46.7
1831,398700,1994JJ00,331.0,581.0,-17.5,56.9,35.0,21.0,9.1,169.6,296.0,559.0,-20.2,52.9
1832,398700,1995JJ00,479.0,724.0,24.5,66.2,39.0,22.0,8.6,174.1,440.0,706.0,26.4,62.3
1833,398700,1996JJ00,540.0,760.0,5.0,71.1,35.0,22.0,-2.6,160.3,505.0,747.0,5.7,67.6
1834,398700,1997JJ00,465.0,657.0,-13.5,70.8,40.0,27.0,22.9,149.2,425.0,627.0,-16.0,67.8
