ID,BronTechniek,Perioden,Elektriciteitsproductie_1,AandeelInTotaalElektriciteitsverbruik_2,Elektriciteitsproductie_3,AandeelInTotaalElektriciteitsverbruik_4,Elektriciteitsproductie_5,AandeelInTotaalElektriciteitsverbruik_6,Elektriciteit_7,AandeelInTotaalElektriciteitsverbruik_8,Elektriciteit_9,AandeelInTotaalElektriciteitsverbruik_10
48,10000,2009KW02,,,2479.0,8.94,2317.0,8.64,3240.0,12.08,35.0,0.13
49,10000,2009KW03,,,2477.0,9.07,2316.0,8.84,3540.0,13.52,135.0,0.52
50,10000,2009KW04,,,3102.0,9.77,2900.0,9.49,5542.0,18.15,57.0,0.19
51,10000,2009JJ00,10756.0,9.08,10854.0,9.17,10147.0,8.91,16938.0,14.88,309.0,0.27
52,10000,2010KW01,,,2909.0,9.22,2708.0,8.89,6353.0,20.85,18.0,0.06
53,10000,2010KW02,,,2553.0,9.07,2377.0,8.74,2185.0,8.03,190.0,0.7
54,10000,2010KW03,,,2567.0,9.04,2390.0,8.68,2792.0,10.15,27.0,0.1
55,10000,2010KW04,,,3187.0,9.7,2967.0,9.35,4657.0,14.67,182.0,0.57
56,10000,2010JJ00,11722.0,9.69,11216.0,9.28,10442.0,8.93,15987.0,13.67,417.0,0.36
57,10000,2011KW01,,,3167.0,9.85,2971.0,9.55,6388.0,20.54,618.0,1.99
58,10000,2011KW02,,,2887.0,10.22,2691.0,9.87,7976.0,29.26,307.0,1.12
59,10000,2011KW03,,,2924.0,10.18,2718.0,9.8,4031.0,14.54,1007.0,3.63
60,10000,2011KW04,,,3352.0,10.17,3154.0,9.92,7139.0,22.44,1361.0,4.28
61,10000,2011JJ00,12008.0,9.84,12340.0,10.11,11534.0,9.78,25534.0,21.66,3293.0,2.79
62,10000,2012KW01,,,3504.0,11.1,3285.0,10.76,8845.0,28.97,1070.0,3.51
63,10000,2012KW02,,,2998.0,10.76,2799.0,10.39,6275.0,23.28,800.0,2.97
64,10000,2012KW03,,,2845.0,10.09,2635.0,9.66,5711.0,20.93,827.0,3.03
65,10000,2012KW04,,,3232.0,10.11,3039.0,9.83,11944.0,38.62,1120.0,3.62
66,10000,2012JJ00,12532.0,10.48,12579.0,10.52,11758.0,10.16,32774.0,28.33,3817.0,3.3
