ID,Sectoren,Perioden,Arbeidsvolume_1,Uitgaven_2
0,CGEZRDT                  ,2003JJ00,17.9,1929
1,CGEZRDT                  ,2004JJ00,17.6,1899
2,CGEZRDT                  ,2005JJ00,18.0,2036
3,CGEZRDT                  ,2006JJ00,19.8,2306
4,CGEZRDT                  ,2007JJ00,21.4,2580
5,CGEZRD1                  ,2003JJ00,9.5,881
6,CGEZRD1                  ,2004JJ00,9.8,895
7,CGEZRD1                  ,2005JJ00,9.9,956
8,CGEZRD1                  ,2006JJ00,10.1,987
9,CGEZRD1                  ,2007JJ00,10.4,1069
10,CGEZRD3                  ,2003JJ00,2.9,462
11,CGEZRD3                  ,2004JJ00,2.7,458
12,CGEZRD3                  ,2005JJ00,2.9,479
13,CGEZRD3                  ,2006JJ00,1.9,299
14,CGEZRD3                  ,2007JJ00,2.0,319
15,CGEZRD5                  ,2003JJ00,1.8,254
16,CGEZRD5                  ,2004JJ00,1.6,237
17,CGEZRD5                  ,2005JJ00,1.7,249
18,CGEZRD5                  ,2006JJ00,3.6,528
19,CGEZRD5                  ,2007JJ00,4.8,691
20,CGEZRD4                  ,2003JJ00,1.7,187
21,CGEZRD4                  ,2004JJ00,1.7,173
22,CGEZRD4                  ,2005JJ00,1.7,200
23,CGEZRD4                  ,2006JJ00,2.2,325
24,CGEZRD4                  ,2007JJ00,2.5,334
25,CGEZRD2                  ,2003JJ00,2.0,146
26,CGEZRD2                  ,2004JJ00,1.8,137
27,CGEZRD2                  ,2005JJ00,1.8,152
28,CGEZRD2                  ,2006JJ00,2.1,168
29,CGEZRD2                  ,2007JJ00,1.7,167
