ID,Perioden,GemiddeldeLengte_1,GemiddeldGewicht_2,Bedrijfsongevallen_3,Mannen_4,Vrouwen_5,SalmonellainfectiesExclParaTyfus_6,Gonorroe_7,Syfilis_8,Crematies_9,AlleenMetHulpGeneeskundigeGeboren_10,AlleenMetHulpVerloskundigeGeboren_11,ThuisGeboren_12,InZiekenhuisOfKraamkliniekGeboren_13,Ziekenhuizen_14,KostenVanZiekenhuizen_15,TotaleKosten_16,InVanBrutoBinnenlandsProductBBP_17,Ziekenfondsen_18,AlgemeneWetBijzondereZiektekosten_19,Overheid_20,OverigeFinancieringsvormen_21
63,1963JJ00,176.5,66.5,,6.1,5.4,5434.0,,,5.2,64.4,35.2,69.6,30.4,265.0,298.0,1013.0,4.3,43.0,,12.0,45.0
64,1964JJ00,176.9,,,5.9,5.6,4373.0,,,5.8,64.0,35.5,69.6,30.4,260.0,358.0,,,,,,
65,1965JJ00,177.0,67.8,,6.4,5.9,2997.0,,,6.5,64.2,35.3,68.6,31.4,268.0,439.0,,,,,,
66,1966JJ00,177.5,68.2,,6.5,6.2,3989.0,,,7.4,64.5,35.0,66.2,33.8,272.0,530.0,,,,,,
67,1967JJ00,177.8,68.0,,6.2,5.8,4120.0,,,8.2,63.7,35.8,63.7,36.3,273.0,639.0,,,,,,
68,1968JJ00,177.9,68.4,,7.2,6.8,3227.0,,,9.7,63.1,36.3,62.2,37.8,262.0,729.0,2182.0,5.4,47.0,5.0,6.0,42.0
69,1969JJ00,178.1,68.1,,7.7,8.1,4729.0,,,11.6,62.8,36.6,60.1,39.9,265.0,867.0,,,,,,
70,1970JJ00,178.2,67.7,35.7,7.6,8.4,5596.0,,,13.6,62.7,36.7,57.3,42.7,256.0,1027.0,3292.0,6.0,44.0,15.0,5.0,36.0
71,1971JJ00,178.5,68.0,34.2,7.6,9.1,6195.0,,,16.3,62.1,37.3,54.8,45.2,258.0,1257.0,,,,,,
72,1972JJ00,178.8,68.3,31.8,7.6,8.9,5117.0,,,18.9,61.2,37.7,52.6,47.4,261.0,1521.0,4690.0,6.7,43.0,20.0,7.0,30.0
73,1973JJ00,179.1,68.9,30.6,8.3,10.1,4865.0,,,21.9,60.6,38.1,50.1,49.9,255.0,1764.0,5457.0,6.8,43.0,21.0,7.0,29.0
74,1974JJ00,179.2,69.1,27.9,8.7,10.6,5952.0,,,24.3,60.3,38.4,47.6,52.4,254.0,2125.0,6439.0,7.1,43.0,22.0,7.0,28.0
75,1975JJ00,179.7,69.3,26.1,8.5,10.5,6452.0,,,26.3,59.9,38.6,44.4,55.6,256.0,2534.0,7568.0,7.6,44.0,23.0,7.0,26.0
76,1976JJ00,179.8,69.4,27.7,9.0,11.0,7113.0,7336.0,696.0,28.1,60.3,38.1,41.1,58.9,244.0,2909.0,8571.0,7.5,43.0,23.0,7.0,27.0
77,1977JJ00,180.1,69.6,26.6,9.2,11.5,5797.0,9005.0,770.0,30.4,60.7,37.8,38.3,61.7,242.0,3241.0,9449.0,7.6,44.0,23.0,7.0,26.0
78,1978JJ00,180.3,69.9,24.2,9.7,12.0,6197.0,9613.0,1001.0,31.7,61.2,37.9,35.8,64.2,239.0,3566.0,10388.0,7.7,44.0,23.0,7.0,26.0
79,1979JJ00,180.0,68.6,23.9,9.7,12.0,6174.0,11051.0,1201.0,33.5,61.1,37.9,35.3,64.7,233.0,3886.0,11306.0,7.9,44.0,23.0,7.0,26.0
80,1980JJ00,180.3,68.9,23.4,9.1,11.3,6347.0,12264.0,1171.0,35.0,59.7,39.4,35.4,64.6,231.0,4236.0,12286.0,8.0,44.0,25.0,6.0,25.0
81,1981JJ00,180.3,68.7,21.0,8.2,10.9,7496.0,14855.0,1002.0,36.3,59.1,40.1,34.5,65.5,231.0,4556.0,13159.0,8.2,45.0,25.0,5.0,25.0
82,1982JJ00,180.4,69.0,20.1,7.8,10.3,6795.0,13425.0,1027.0,37.5,58.6,40.6,35.4,64.6,227.0,4866.0,14059.0,8.4,45.0,25.0,5.0,25.0
