ID,BuildingTypesServicesSector,FloorareaSize,ConstructionPeriod,AverageConsumptionOfNaturalGas_1,AverageConsumptionOfElectricity_2
147,A047464,A025412,ZW25814,22.1,218.8
148,A047464,A025413,ZW25811,19.0,158.2
149,A047464,A025413,ZW25812,28.5,150.5
150,A047464,A025413,ZW25813,,
151,A047464,A025413,ZW25814,27.0,
152,A047464,A025416,ZW25811,,
153,A047464,A025416,ZW25812,,
154,A047464,A025416,ZW25813,,
155,A047464,A025416,ZW25814,,
156,A047464,A025417,ZW25811,,
157,A047464,A025417,ZW25812,,
158,A047464,A025417,ZW25813,,
159,A047464,A025417,ZW25814,,
160,A047465,A025415,ZW25811,25.1,93.2
161,A047465,A025415,ZW25812,17.4,62.7
162,A047465,A025415,ZW25813,16.3,42.7
163,A047465,A025415,ZW25814,22.6,45.5
164,A047465,A025412,ZW25811,23.5,68.5
165,A047465,A025412,ZW25812,21.5,75.5
166,A047465,A025412,ZW25813,,
167,A047465,A025412,ZW25814,,73.9
168,A047465,A025413,ZW25811,21.4,82.9
169,A047465,A025413,ZW25812,26.3,80.4
170,A047465,A025413,ZW25813,22.1,100.7
171,A047465,A025413,ZW25814,21.0,103.3
172,A047465,A025416,ZW25811,21.8,94.0
173,A047465,A025416,ZW25812,22.1,94.9
174,A047465,A025416,ZW25813,19.7,119.4
175,A047465,A025416,ZW25814,21.1,93.1
176,A047465,A025417,ZW25811,,101.5
177,A047465,A025417,ZW25812,22.9,97.5
178,A047465,A025417,ZW25813,,110.8
179,A047465,A025417,ZW25814,,124.2
180,A047466,A025415,ZW25811,22.4,56.1
181,A047466,A025415,ZW25812,17.7,58.9
182,A047466,A025415,ZW25813,16.3,55.1
183,A047466,A025415,ZW25814,17.8,73.6
184,A047466,A025412,ZW25811,19.3,51.3
185,A047466,A025412,ZW25812,17.5,46.1
186,A047466,A025412,ZW25813,17.6,47.3
187,A047466,A025412,ZW25814,17.1,56.9
188,A047466,A025413,ZW25811,17.3,42.7
189,A047466,A025413,ZW25812,15.0,47.7
190,A047466,A025413,ZW25813,14.7,50.4
191,A047466,A025413,ZW25814,13.7,65.6
192,A047466,A025416,ZW25811,13.8,53.9
193,A047466,A025416,ZW25812,13.2,48.1
194,A047466,A025416,ZW25813,12.4,64.7
195,A047466,A025416,ZW25814,10.7,62.3
196,A047466,A025417,ZW25811,,
197,A047466,A025417,ZW25812,11.0,81.9
198,A047466,A025417,ZW25813,11.3,80.9
199,A047466,A025417,ZW25814,14.5,89.9
200,A047467,A025415,ZW25811,19.9,58.1
201,A047467,A025415,ZW25812,20.0,57.2
202,A047467,A025415,ZW25813,16.1,58.7
203,A047467,A025415,ZW25814,12.0,55.9
204,A047467,A025412,ZW25811,16.5,44.6
205,A047467,A025412,ZW25812,16.5,49.9
206,A047467,A025412,ZW25813,14.3,57.0
207,A047467,A025412,ZW25814,11.4,53.8
208,A047467,A025413,ZW25811,14.2,45.7
209,A047467,A025413,ZW25812,14.0,51.8
210,A047467,A025413,ZW25813,12.1,59.3
211,A047467,A025413,ZW25814,11.1,60.8
212,A047467,A025416,ZW25811,12.3,55.0
213,A047467,A025416,ZW25812,11.9,58.3
214,A047467,A025416,ZW25813,11.0,66.0
215,A047467,A025416,ZW25814,10.3,71.4
216,A047467,A025417,ZW25811,,
217,A047467,A025417,ZW25812,13.0,65.9
218,A047467,A025417,ZW25813,11.1,73.9
219,A047467,A025417,ZW25814,9.7,81.2
220,A047468,A025415,ZW25811,,
221,A047468,A025415,ZW25812,,
222,A047468,A025415,ZW25813,,
223,A047468,A025415,ZW25814,19.8,40.2
224,A047468,A025412,ZW25811,,
225,A047468,A025412,ZW25812,15.9,32.3
226,A047468,A025412,ZW25813,17.1,34.3
227,A047468,A025412,ZW25814,16.3,40.5
228,A047468,A025413,ZW25811,16.1,35.6
229,A047468,A025413,ZW25812,14.0,28.1
230,A047468,A025413,ZW25813,13.0,29.8
231,A047468,A025413,ZW25814,13.8,34.7
232,A047468,A025416,ZW25811,12.9,24.8
233,A047468,A025416,ZW25812,11.7,25.1
234,A047468,A025416,ZW25813,9.7,27.3
235,A047468,A025416,ZW25814,8.6,34.3
236,A047468,A025417,ZW25811,,
237,A047468,A025417,ZW25812,8.1,18.6
238,A047468,A025417,ZW25813,6.8,21.1
239,A047468,A025417,ZW25814,19.6,37.0
240,A047471,A025415,ZW25811,19.6,46.7
241,A047471,A025415,ZW25812,15.9,43.4
242,A047471,A025415,ZW25813,14.4,41.2
243,A047471,A025415,ZW25814,16.4,44.9
244,A047471,A025412,ZW25811,17.2,38.6
245,A047471,A025412,ZW25812,15.5,36.4
246,A047471,A025412,ZW25813,13.1,42.9
247,A047471,A025412,ZW25814,15.8,47.7
248,A047471,A025413,ZW25811,15.7,41.8
249,A047471,A025413,ZW25812,13.6,37.7
250,A047471,A025413,ZW25813,11.6,43.5
251,A047471,A025413,ZW25814,13.6,42.7
252,A047471,A025416,ZW25811,12.8,34.0
253,A047471,A025416,ZW25812,12.7,31.8
254,A047471,A025416,ZW25813,10.4,39.5
255,A047471,A025416,ZW25814,19.6,44.2
256,A047471,A025417,ZW25811,,
257,A047471,A025417,ZW25812,,
258,A047471,A025417,ZW25813,,
259,A047471,A025417,ZW25814,,
260,A047472,A025415,ZW25811,19.4,60.9
261,A047472,A025415,ZW25812,16.0,57.2
262,A047472,A025415,ZW25813,12.9,62.2
263,A047472,A025415,ZW25814,16.7,61.7
264,A047472,A025412,ZW25811,16.0,42.6
265,A047472,A025412,ZW25812,13.8,49.4
266,A047472,A025412,ZW25813,11.5,56.2
267,A047472,A025412,ZW25814,12.7,60.5
268,A047472,A025413,ZW25811,14.7,34.7
269,A047472,A025413,ZW25812,13.3,48.4
270,A047472,A025413,ZW25813,11.5,57.6
271,A047472,A025413,ZW25814,13.6,64.2
272,A047472,A025416,ZW25811,,
273,A047472,A025416,ZW25812,12.2,52.1
274,A047472,A025416,ZW25813,11.1,55.6
275,A047472,A025416,ZW25814,24.0,67.2
276,A047472,A025417,ZW25811,,
277,A047472,A025417,ZW25812,,
278,A047472,A025417,ZW25813,,
279,A047472,A025417,ZW25814,,
280,A047473,A025415,ZW25811,21.9,65.5
281,A047473,A025415,ZW25812,18.9,46.8
282,A047473,A025415,ZW25813,16.2,49.5
283,A047473,A025415,ZW25814,21.3,49.9
284,A047473,A025412,ZW25811,19.3,58.8
285,A047473,A025412,ZW25812,18.9,46.9
286,A047473,A025412,ZW25813,18.6,51.9
287,A047473,A025412,ZW25814,19.6,62.9
288,A047473,A025413,ZW25811,19.8,54.2
289,A047473,A025413,ZW25812,17.5,46.5
290,A047473,A025413,ZW25813,15.2,54.3
291,A047473,A025413,ZW25814,16.7,59.3
292,A047473,A025416,ZW25811,18.9,48.2
293,A047473,A025416,ZW25812,16.6,53.9
294,A047473,A025416,ZW25813,13.6,56.8
295,A047473,A025416,ZW25814,21.7,61.4
296,A047473,A025417,ZW25811,,
297,A047473,A025417,ZW25812,18.1,60.8
298,A047473,A025417,ZW25813,15.5,65.4
299,A047473,A025417,ZW25814,19.2,71.5
300,A047475,A025415,ZW25811,19.7,54.2
301,A047475,A025415,ZW25812,15.7,56.0
302,A047475,A025415,ZW25813,14.3,54.2
303,A047475,A025415,ZW25814,16.4,54.3
