ID,Organisaties,Perioden,Organisaties_1,PersonenInLoondienst_2,TotaalArbeidsvolume_3,TrainingInstructieVerzorging_4,BestuurAdministratie_5,OnderhoudSchoonmaakKantine_6,OverigPersoneel_7,Organisaties_8,TotaalArbeidsvolume_9,DirecteurEigenaar_10,TotaalBaten_11,AbonnementsEnLesgelden_12,SubsidiesEnBijdragen_13,SponsorEnReclamegelden_14,Kantineverkopen_15,OverigeBaten_16,TotaalLasten_17,LonenEnSocialeLasten_18,PersoneelNietInLoondienst_19,Huisvestingskosten_20,OnderhoudEnSchoonmaak_21,InkoopkostenKantine_22,Kapitaallasten_23,OverigeLasten_24,TotaalAantalOrganisaties_25,MinderDan51Klanten_26,k_51100Klanten_27,k_101200Klanten_28,k_201300Klanten_29,k_301400Klanten_30,k_401500Klanten_31,MeerDan500Klanten_32,TotaalAantalKlanten_33,GemiddeldAantalKlanten_34,BeschiktOverGehuurdeAccommodatie_35,BeschiktOverAccommodatieInEigendom_36,GymzaalSportzaalEnSporthal_37,Tennishal_38,OverigeOverdekteSportruimte_39,RijbakVoorPaardensport_40
0,201,2000JJ00,46.0,1600.0,860.0,66.0,7.0,26.0,2.0,74.0,1490.0,99.0,118.0,52.0,6.0,1.0,18.0,22.0,101.0,21.0,1.0,18.0,6.0,10.0,15.0,30.0,1160.0,27.0,13.0,39.0,10.0,4.0,4.0,3.0,205.0,176.0,34.0,70.0,0.0,0.0,0.0,70.0
1,201,2003JJ00,43.0,1570.0,830.0,72.0,6.0,19.0,3.0,81.0,1350.0,97.0,121.0,60.0,4.0,2.0,17.0,17.0,106.0,19.0,1.0,16.0,6.0,10.0,15.0,33.0,1190.0,41.0,14.0,20.0,13.0,4.0,3.0,5.0,210.0,176.0,31.0,69.0,0.0,0.0,0.0,69.0
2,201,2006JJ00,37.0,1860.0,1020.0,70.0,7.0,22.0,1.0,81.0,1550.0,97.0,165.0,64.0,5.0,1.0,19.0,10.0,139.0,20.0,1.0,17.0,5.0,11.0,14.0,30.0,1460.0,41.0,15.0,19.0,12.0,6.0,4.0,4.0,234.0,160.0,34.0,73.0,0.0,0.0,0.0,73.0
3,201,2009JJ00,34.0,1930.0,1070.0,73.0,7.0,20.0,1.0,83.0,1500.0,95.0,179.0,71.0,3.0,2.0,16.0,8.0,149.0,22.0,2.0,16.0,6.0,10.0,13.0,31.0,1550.0,39.0,18.0,17.0,12.0,5.0,3.0,5.0,240.0,155.0,36.0,70.0,0.0,0.0,0.0,70.0
4,201,2012JJ00,34.0,1800.0,920.0,70.0,7.0,20.0,3.0,82.0,1420.0,95.0,154.0,74.0,2.0,1.0,13.0,9.0,131.0,20.0,2.0,16.0,6.0,8.0,13.0,35.0,1450.0,45.0,16.0,17.0,10.0,5.0,3.0,5.0,227.0,157.0,34.0,73.0,0.0,0.0,0.0,73.0
5,202,2000JJ00,33.0,3540.0,1550.0,56.0,15.0,16.0,13.0,83.0,1930.0,99.0,143.0,83.0,3.0,1.0,7.0,6.0,112.0,31.0,2.0,19.0,4.0,4.0,14.0,26.0,1980.0,25.0,12.0,22.0,9.0,7.0,5.0,20.0,689.0,348.0,66.0,16.0,1.0,1.0,13.0,3.0
6,202,2003JJ00,32.0,3460.0,1460.0,75.0,12.0,9.0,4.0,86.0,1820.0,98.0,175.0,85.0,2.0,1.0,5.0,6.0,127.0,31.0,2.0,20.0,4.0,4.0,11.0,28.0,1970.0,26.0,18.0,18.0,11.0,7.0,4.0,16.0,666.0,339.0,66.0,14.0,2.0,1.0,10.0,2.0
7,202,2006JJ00,16.0,4040.0,1550.0,74.0,9.0,12.0,4.0,93.0,2370.0,97.0,230.0,90.0,1.0,1.0,4.0,4.0,166.0,31.0,2.0,24.0,4.0,3.0,9.0,28.0,3660.0,38.0,19.0,14.0,8.0,6.0,4.0,10.0,883.0,242.0,62.0,9.0,4.0,0.0,5.0,1.0
8,202,2009JJ00,13.0,4570.0,1600.0,78.0,10.0,11.0,1.0,94.0,2760.0,92.0,280.0,89.0,2.0,2.0,3.0,4.0,184.0,31.0,6.0,23.0,3.0,2.0,9.0,26.0,5610.0,45.0,18.0,13.0,8.0,3.0,3.0,9.0,1136.0,202.0,36.0,4.0,2.0,0.0,2.0,1.0
9,202,2012JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,203,2000JJ00,43.0,300.0,260.0,,,,,90.0,120.0,91.0,14.0,54.0,0.0,0.0,34.0,12.0,12.0,22.0,4.0,7.0,6.0,16.0,21.0,23.0,105.0,34.0,11.0,10.0,9.0,3.0,10.0,23.0,32.0,303.0,,,,,,
11,203,2003JJ00,31.0,300.0,240.0,,,,,90.0,120.0,70.0,18.0,62.0,0.0,0.0,20.0,18.0,15.0,20.0,6.0,9.0,6.0,11.0,18.0,30.0,115.0,31.0,13.0,8.0,11.0,7.0,5.0,24.0,36.0,319.0,,,,,,
12,203,2006JJ00,23.0,340.0,220.0,,,,,92.0,120.0,73.0,18.0,68.0,0.0,0.0,15.0,16.0,15.0,22.0,8.0,11.0,5.0,9.0,18.0,27.0,140.0,43.0,10.0,9.0,9.0,8.0,5.0,16.0,36.0,258.0,,,,,,
13,203,2009JJ00,21.0,330.0,200.0,,,,,99.0,120.0,79.0,19.0,67.0,0.0,0.0,19.0,14.0,16.0,22.0,5.0,13.0,5.0,12.0,19.0,24.0,135.0,35.0,16.0,9.0,10.0,7.0,3.0,20.0,42.0,315.0,,,,,,
14,203,2012JJ00,25.0,400.0,220.0,,,,,95.0,140.0,79.0,20.0,68.0,0.0,0.0,13.0,18.0,17.0,21.0,6.0,13.0,6.0,11.0,18.0,26.0,165.0,38.0,8.0,17.0,12.0,3.0,6.0,15.0,49.0,296.0,,,,,,
