ID,Periods,PriceIndices_1,ChangesComparedToOneYearEarlier_2,PriceIndices_3,ChangesComparedToOneYearEarlier_4,PriceIndices_5,ChangesComparedToOneYearEarlier_6
99,1997MM09,92.8,2.2,91.7,2.7,93.8,1.7
100,1997MM10,92.8,2.0,91.7,2.7,93.6,1.2
101,1997MM11,93.0,2.3,91.7,2.5,93.8,1.6
102,1997MM12,92.9,2.1,91.7,2.5,93.8,1.5
103,1997JJ00,92.4,1.8,91.1,2.2,93.5,1.4
104,1998MM01,94.5,3.1,94.1,4.2,94.9,2.0
105,1998MM02,94.5,3.0,94.1,4.2,94.9,1.9
106,1998MM03,94.5,3.0,94.1,4.2,95.0,1.9
107,1998MM04,94.8,2.9,94.4,4.2,95.2,1.8
108,1998MM05,94.9,3.0,94.4,4.2,95.2,1.9
109,1998MM06,95.0,2.7,94.4,3.5,95.3,1.9
110,1998MM07,94.9,2.3,94.6,3.1,95.1,1.6
111,1998MM08,94.9,2.2,94.6,3.1,95.1,1.5
112,1998MM09,94.8,2.1,94.6,3.1,95.0,1.3
113,1998MM10,95.2,2.6,95.7,4.4,94.8,1.3
114,1998MM11,95.2,2.4,95.6,4.2,94.9,1.1
115,1998MM12,95.1,2.4,95.6,4.2,94.8,1.1
116,1998JJ00,94.9,2.7,94.7,3.9,95.0,1.6
117,1999MM01,95.5,1.0,96.0,2.0,95.1,0.2
118,1999MM02,95.5,1.0,96.0,2.0,95.1,0.2
119,1999MM03,95.6,1.1,96.1,2.1,95.2,0.2
120,1999MM04,96.1,1.4,97.0,2.8,95.5,0.3
121,1999MM05,96.1,1.3,97.0,2.8,95.5,0.2
122,1999MM06,96.2,1.3,97.0,2.8,95.5,0.2
123,1999MM07,97.0,2.3,98.6,4.2,95.7,0.7
124,1999MM08,97.0,2.3,98.6,4.2,95.7,0.7
125,1999MM09,97.1,2.5,98.6,4.2,95.8,0.9
126,1999MM10,97.2,2.1,98.8,3.2,96.0,1.3
127,1999MM11,97.3,2.2,98.8,3.4,96.1,1.3
128,1999MM12,97.7,2.7,98.8,3.4,96.8,2.2
129,1999JJ00,96.5,1.8,97.6,3.1,95.7,0.7
130,2000MM01,98.7,3.4,99.0,3.2,98.4,3.5
131,2000MM02,98.7,3.4,99.0,3.2,98.5,3.6
132,2000MM03,98.8,3.4,99.0,3.1,98.6,3.6
133,2000MM04,99.3,3.3,99.1,2.2,99.4,4.1
134,2000MM05,99.3,3.3,99.1,2.2,99.4,4.1
135,2000MM06,99.4,3.3,99.4,2.4,99.4,4.1
136,2000MM07,100.8,3.9,100.9,2.3,100.7,5.2
137,2000MM08,100.8,3.9,100.9,2.3,100.7,5.2
138,2000MM09,100.9,3.9,100.9,2.3,101.0,5.4
139,2000MM10,101.2,4.1,100.9,2.1,101.4,5.6
