ID,Periods,PriceIndices_1,ChangesComparedToOneYearEarlier_2,PriceIndices_3,ChangesComparedToOneYearEarlier_4,PriceIndices_5,ChangesComparedToOneYearEarlier_6
442,2024MM01,192.2,2.7,186.8,5.7,200.4,0.3
443,2024MM02,192.0,2.3,186.8,5.7,200.1,-0.3
444,2024MM03,192.1,1.7,187.0,4.2,200.2,-0.4
445,2024MM04,191.8,1.1,187.3,4.3,199.2,-1.4
446,2024MM05,191.3,0.8,187.3,4.3,198.3,-2.0
447,2024MM06,191.7,1.1,187.3,4.3,199.0,-1.6
448,2024MM07,196.8,3.5,197.4,8.7,199.6,-0.6
449,2024MM08,196.8,3.8,197.4,8.7,199.6,-0.1
450,2024MM09,196.6,3.7,197.7,8.8,199.0,-0.5
451,2024MM10,196.2,3.6,197.5,8.8,198.4,-0.7
452,2024MM11,196.4,3.8,197.5,8.8,198.8,-0.2
453,2024MM12,196.4,3.8,197.5,8.8,198.9,-0.3
454,2024JJ00,194.2,2.7,192.3,6.8,199.3,-0.6
455,2025MM01,197.4,2.7,197.9,5.9,200.3,0.0
456,2025MM02,197.9,3.1,198.2,6.1,201.1,0.5
457,2025MM03,199.2,3.7,200.7,7.4,201.3,0.5
458,2025MM04,199.8,4.2,200.7,7.2,202.6,1.7
459,2025MM05,201.4,5.3,204.2,9.0,202.5,2.1
460,2025MM06,201.6,5.2,204.2,9.0,202.9,2.0
461,2025MM07,202.1,2.7,205.2,3.9,202.8,1.6
462,2025MM08,202.0,2.7,205.2,3.9,202.8,1.6
463,2025MM09,202.1,2.8,205.2,3.8,202.9,2.0
464,2025MM10,203.7,3.9,208.0,5.3,203.5,2.6
465,2025MM11,204.2,4.0,208.0,5.3,204.3,2.8
466,2025MM12,203.7,3.7,208.0,5.3,203.4,2.3
467,2025JJ00,201.3,3.6,203.8,6.0,202.5,1.6
