ID,Eigendom,RegioS,Perioden,GemiddeldeBouwkostenPerWoning_1,GemiddeldeBouwkostenPerM_2,GemiddeldeBouwkostenPerM_3,GemiddeldeInhoudWoningen_4,GemiddeldeOppervlakteVanWoningen_5
509,A028868,LD04  ,2023VJ03,197,340,1008,580,195
510,A028868,LD04  ,2023VJ06,194,345,1028,561,188
511,A028868,LD04  ,2023VJ09,195,350,1045,556,186
512,A028868,LD04  ,2023VJ12,194,365,1089,532,178
513,A028868,LD04  ,2024VJ03,195,359,1076,543,181
514,A028868,LD04  ,2024VJ06,196,359,1077,545,182
515,A028868,LD04  ,2024VJ09,192,357,1072,538,179
516,A028868,LD04  ,2024VJ12,193,361,1081,536,179
517,A028868,LD04  ,2025VJ03,195,367,1092,531,179
518,A028868,LD04  ,2025VJ06,198,374,1114,528,178
519,A028868,LD04  ,2025VJ09,196,375,1111,522,176
