ID,Sectoren,Effecten,Perioden,Koerswaarde_1,TotaalEmissie_2,EmissieOpenbaar_3,EmissieOnderhands_4
0,10,11,1983JJ00,49646.0,,,
1,10,11,1984JJ00,61061.0,,,
2,10,11,1985JJ00,79965.0,,,
3,10,11,1986JJ00,88012.0,,,
4,10,11,1987JJ00,73907.0,,,
5,10,11,1988JJ00,98082.0,,,
6,10,11,1989JJ00,134264.0,,,
7,10,11,1990JJ00,113923.0,,,
8,10,11,1991JJ00,131412.0,,,
9,10,11,1992JJ00,140983.0,,,
10,10,11,1993JJ00,203939.0,,,
11,10,11,1994JJ00,222624.0,,,
12,10,11,1995JJ00,258949.0,,,
13,10,11,1996JJ00,357685.0,,,
14,10,11,1997JJ00,505548.0,,,
15,10,11,1998JJ00,601612.0,,,
16,10,11,1999JJ00,810363.0,25836.0,15544.0,10292.0
17,10,11,2000JJ00,781271.0,28202.0,25200.0,3002.0
18,10,11,2001JJ00,654490.0,27685.0,20740.0,6945.0
19,10,11,2002JJ00,445305.0,10199.0,7218.0,2981.0
20,10,11,2003JJ00,466185.0,12225.0,11409.0,816.0
21,10,11,2004JJ00,491187.0,11626.0,6617.0,5009.0
22,10,11,2005JJ00,604841.0,12898.0,7104.0,5794.0
23,10,11,2006JJ00,718390.0,8905.0,7772.0,1133.0
24,10,11,2007JJ00,672144.0,25003.0,21594.0,3409.0
25,10,11,2008JJ00,288383.0,7736.0,5112.0,2624.0
26,10,11,2009JJ00,383310.0,14693.0,12782.0,1911.0
27,10,11,2010JJ00,423618.0,8666.0,5314.0,3352.0
28,10,11,2011JJ00,393077.0,7567.0,6041.0,1526.0
29,10,11,2012JJ00,437858.0,7207.0,2585.0,4622.0
30,10,11,2013JJ00,507423.0,10309.0,7405.0,2904.0
31,10,11,2014JJ00,552587.0,10482.0,9307.0,1175.0
32,10,11,2015JJ00,602827.0,9455.0,9087.0,368.0
33,10,22,1983JJ00,,,,
34,10,22,1984JJ00,,,,
35,10,22,1985JJ00,,,,
36,10,22,1986JJ00,,,,
37,10,22,1987JJ00,,,,
38,10,22,1988JJ00,,,,
39,10,22,1989JJ00,,,,
40,10,22,1990JJ00,,,,
41,10,22,1991JJ00,,,,
42,10,22,1992JJ00,,,,
43,10,22,1993JJ00,,42100.0,42100.0,
44,10,22,1994JJ00,164925.0,32100.0,32100.0,
45,10,22,1995JJ00,188605.0,59475.0,59475.0,
46,10,22,1996JJ00,203706.0,38825.0,38825.0,
47,10,22,1997JJ00,212164.0,,,
48,10,22,1998JJ00,226832.0,22141.0,22141.0,
49,10,22,1999JJ00,275695.0,59831.0,59831.0,
50,10,22,2000JJ00,295400.0,61891.0,61891.0,
51,10,22,2001JJ00,351500.0,89814.0,89814.0,
52,10,22,2002JJ00,376400.0,70135.0,70135.0,
53,10,22,2003JJ00,418200.0,100465.0,100465.0,
54,10,22,2004JJ00,452400.0,93079.0,93079.0,
55,10,22,2005JJ00,521300.0,106872.0,106872.0,
56,10,22,2006JJ00,553500.0,108784.0,108784.0,
57,10,22,2007JJ00,678185.0,150855.0,150855.0,
58,10,22,2008JJ00,782935.0,116501.0,116501.0,
59,10,22,2009JJ00,833052.0,165079.0,165079.0,
60,10,22,2010JJ00,885452.0,208655.0,208655.0,
61,10,22,2011JJ00,941732.0,177167.0,177167.0,
62,10,22,2012JJ00,995169.0,175973.0,175973.0,
63,10,22,2013JJ00,940623.0,175973.0,122369.0,
64,10,22,2014JJ00,958908.0,109055.0,109055.0,
65,10,22,2015JJ00,913021.0,107040.0,107040.0,
66,20,11,1983JJ00,,,,
67,20,11,1984JJ00,,,,
68,20,11,1985JJ00,,,,
69,20,11,1986JJ00,,,,
70,20,11,1987JJ00,,,,
71,20,11,1988JJ00,,,,
72,20,11,1989JJ00,,,,
73,20,11,1990JJ00,,,,
74,20,11,1991JJ00,,,,
75,20,11,1992JJ00,,,,
76,20,11,1993JJ00,,,,
77,20,11,1994JJ00,,,,
78,20,11,1995JJ00,,,,
79,20,11,1996JJ00,,,,
80,20,11,1997JJ00,,,,
81,20,11,1998JJ00,,,,
82,20,11,1999JJ00,,,,
83,20,11,2000JJ00,,,,
84,20,11,2001JJ00,,,,
85,20,11,2002JJ00,,,,
86,20,11,2003JJ00,,,,
87,20,11,2004JJ00,,,,
88,20,11,2005JJ00,,,,
89,20,11,2006JJ00,,,,
90,20,11,2007JJ00,,,,
91,20,11,2008JJ00,,,,
92,20,11,2009JJ00,,,,
