ID,EnergyCommodities,Periods,IndigenousProduction_1,Imports_2,Exports_3,TotalFinalConsumption_4,IndigenousProductionTonsDryMatter_5,ImportsTonsDryMatter_6,ExportsTonsDryMatter_7,TotalFinalConsumptionTonsDryMatter_8
0,E007220,2015JJ00,48710,6077,10906,43882,2840444,390934,686691,2544687
1,E007220,2016JJ00,53809,5113,10916,48005,3088655,310714,694989,2704380
2,E007220,2017JJ00,56734,4475,12110,49098,3256720,232901,774673,2714947
3,E007220,2018JJ00,53318,6336,11997,47657,3091164,316018,758225,2648957
4,E007220,2019JJ00,55255,16618,11366,60507,3212517,854937,714935,3352519
5,E007220,2020JJ00,54342,41851,14084,82109,3195401,2145268,882088,4458581
6,E007220,2021JJ00,55682,59223,14174,100732,3313628,3023138,900087,5436679
7,E007220,2022JJ00,49092,49039,12061,86071,2881970,2498765,781801,4598933
8,E007220,2023JJ00,48888,33107,11876,70119,2911606,1701003,770756,3841853
9,E007220,2024JJ00,47257,31300,12069,66488,2787258,1637533,784039,3640752
10,E007223,2015JJ00,28671,557,1780,27448,1580867,31814,126514,1486168
11,E007223,2016JJ00,30171,586,1978,28779,1635324,33054,140625,1527753
12,E007223,2017JJ00,29293,804,1756,28341,1587853,42555,124766,1505642
13,E007223,2018JJ00,29211,599,1690,28120,1572494,33647,120052,1486089
14,E007223,2019JJ00,28331,666,1385,27612,1529253,36621,98277,1467596
15,E007223,2020JJ00,26913,1500,1031,27382,1458978,72800,72958,1458821
16,E007223,2021JJ00,25945,2827,1094,27678,1424615,130525,77465,1477674
17,E007223,2022JJ00,24287,546,724,24109,1317822,31327,51032,1298117
18,E007223,2023JJ00,21554,1029,664,21919,1184956,52532,46767,1190720
19,E007223,2024JJ00,23458,902,791,23569,1272249,47035,55860,1263424
20,E007224,2015JJ00,15447,207,1675,13980,718425,9016,119628,607813
21,E007224,2016JJ00,17693,237,1870,16059,821539,10304,133605,698238
22,E007224,2017JJ00,16957,455,1649,15763,783351,19776,117790,685338
23,E007224,2018JJ00,17423,249,1583,16089,803671,10812,113051,701432
24,E007224,2019JJ00,16444,314,1280,15478,754002,13665,91398,676269
25,E007224,2020JJ00,15308,1150,925,15533,702150,50001,66092,686060
26,E007224,2021JJ00,14637,2476,988,16124,687111,107631,70599,724143
27,E007224,2022JJ00,14224,196,618,13802,661540,8526,44166,625900
28,E007224,2023JJ00,11526,671,559,11638,530949,29155,39899,520206
