ID,HerkomstEnBestemming,Perioden,TotaalZwareMetalenInEquivalenten_1,ArseenverbindingenAlsAs_2,CadmiumverbindingenAlsCd_3,ChroomverbindingenAlsCr_4,KoperverbindingenAlsCu_5,KwikverbindingenAlsHg_6,LoodverbindingenAlsPb_7,NikkelverbindingenAlsNi_8,ZinkverbindingenAlsZn_9,TotaalNutrientenInEquivalenten_10,FosforverbindingenAlsP_11,StikstofverbindingenAlsN_12
0,A028756,1995JJ00,762.8,220251.0,16806.0,618764.0,912021.0,5323.0,682690.0,504010.0,3828803.0,118351.0,48901872.0,694494525.0
1,A028756,2000JJ00,543.7,156633.0,13248.0,164045.0,747775.0,3057.0,475639.0,356933.0,2653973.0,100409.0,42773313.0,576359275.0
2,A028756,2005JJ00,456.0,137303.0,13295.0,228457.0,584387.0,2370.0,313690.0,311905.0,2491964.0,74451.0,31255573.0,431952941.0
3,A028756,2010JJ00,418.4,138848.0,9617.0,237463.0,587784.0,1761.0,272566.0,320917.0,2526793.0,75700.0,31642387.0,440572291.0
4,A028756,2013JJ00,376.9,157830.0,6562.0,237849.0,565232.0,1504.0,280131.0,296128.0,2149460.0,77031.0,31033582.0,459973973.0
5,A028756,2014JJ00,334.6,100804.0,7618.0,158615.0,496996.0,1242.0,213354.0,231446.0,2003830.0,65601.0,27833973.0,377674390.0
6,999931 ,1995JJ00,225.4,16032.0,4569.0,52632.0,345952.0,1455.0,162521.0,100907.0,900518.0,47630.0,25540634.0,220895427.0
7,999931 ,2000JJ00,188.6,16371.0,3585.0,33135.0,311236.0,926.0,129336.0,92466.0,876076.0,45439.0,23368524.0,220709424.0
8,999931 ,2005JJ00,151.3,15040.0,2944.0,25435.0,237873.0,775.0,96636.0,70181.0,782706.0,38521.0,21148438.0,173727026.0
9,999931 ,2010JJ00,131.1,14676.0,2023.0,21787.0,215295.0,584.0,75375.0,72287.0,761257.0,37393.0,20180010.0,172132027.0
10,999931 ,2013JJ00,127.8,15459.0,1829.0,20639.0,220973.0,521.0,72956.0,65564.0,700764.0,35189.0,19374528.0,158146687.0
11,999931 ,2014JJ00,126.9,15381.0,1753.0,19889.0,223968.0,480.0,72425.0,63843.0,698712.0,34995.0,19120866.0,158736762.0
