ID,Energiedragers,NederlandseEconomie,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
83,T001027,307610 ,2017JJ00,,111.5,,22.2,89.3,
84,T001027,307610 ,2018JJ00,0.0,114.8,,23.7,91.1,
85,T001027,307610 ,2019JJ00,0.1,115.0,,27.4,87.7,
86,T001027,307610 ,2020JJ00,0.2,117.8,,32.0,86.0,
87,T001027,307610 ,2021JJ00,0.2,114.5,,27.9,86.8,
88,T001027,307610 ,2022JJ00,0.3,113.0,,29.2,84.1,
89,T001027,307610 ,2023JJ00,0.4,107.3,,26.0,81.7,
90,T001027,312505 ,2014JJ00,,4.6,,,4.6,
91,T001027,312505 ,2015JJ00,,4.4,,,4.4,
92,T001027,312505 ,2016JJ00,,4.3,,,4.3,
93,T001027,312505 ,2017JJ00,,4.0,,,4.0,
94,T001027,312505 ,2018JJ00,0.0,4.1,,0.0,4.1,
95,T001027,312505 ,2019JJ00,0.0,4.4,,0.0,4.4,
96,T001027,312505 ,2020JJ00,0.0,4.2,,0.0,4.2,
97,T001027,312505 ,2021JJ00,0.1,4.2,,0.1,4.2,
98,T001027,312505 ,2022JJ00,0.1,3.8,,0.1,3.8,
99,T001027,312505 ,2023JJ00,0.1,4.0,,0.1,4.0,
100,T001027,315800 ,2014JJ00,,6.2,,2.9,3.3,
101,T001027,315800 ,2015JJ00,,6.1,,2.8,3.3,
102,T001027,315800 ,2016JJ00,,8.3,,5.0,3.3,
103,T001027,315800 ,2017JJ00,,8.5,,6.3,2.3,
104,T001027,315800 ,2018JJ00,,6.7,,3.9,2.8,
105,T001027,315800 ,2019JJ00,0.0,7.2,,4.5,2.7,
106,T001027,315800 ,2020JJ00,0.0,6.8,,3.9,3.0,
107,T001027,315800 ,2021JJ00,0.0,8.2,,4.4,3.8,
108,T001027,315800 ,2022JJ00,0.1,6.6,,3.8,2.9,
109,T001027,315800 ,2023JJ00,0.1,6.7,,3.9,3.0,
110,T001027,317100 ,2014JJ00,,40.6,,12.9,27.7,
111,T001027,317100 ,2015JJ00,,39.0,,12.3,26.7,
112,T001027,317100 ,2016JJ00,,35.7,,10.2,25.5,
113,T001027,317100 ,2017JJ00,,35.6,,8.9,26.7,
114,T001027,317100 ,2018JJ00,0.0,35.9,,10.3,25.6,
115,T001027,317100 ,2019JJ00,0.0,33.6,,9.4,24.2,
116,T001027,317100 ,2020JJ00,0.0,32.5,,9.0,23.5,
117,T001027,317100 ,2021JJ00,0.0,31.7,,9.3,22.5,
118,T001027,317100 ,2022JJ00,0.0,28.6,,7.8,20.9,
119,T001027,317100 ,2023JJ00,0.1,22.9,,5.3,17.7,
120,T001027,318600 ,2014JJ00,,3.0,,,3.0,
121,T001027,318600 ,2015JJ00,,3.0,,,3.0,
122,T001027,318600 ,2016JJ00,,3.4,,,3.4,
123,T001027,318600 ,2017JJ00,,3.0,,,3.0,
124,T001027,318600 ,2018JJ00,0.0,2.3,,0.0,2.3,
125,T001027,318600 ,2019JJ00,0.0,2.0,,0.0,2.0,
126,T001027,318600 ,2020JJ00,0.0,1.9,,0.0,1.9,
127,T001027,318600 ,2021JJ00,0.0,1.7,,0.0,1.7,
128,T001027,318600 ,2022JJ00,0.1,1.8,,0.1,1.8,
129,T001027,318600 ,2023JJ00,0.1,1.4,,0.1,1.4,
130,T001027,320000 ,2014JJ00,,3162.0,,2908.2,253.8,
131,T001027,320000 ,2015JJ00,,3456.2,,3252.5,203.7,
132,T001027,320000 ,2016JJ00,,3614.5,,3427.0,187.5,
133,T001027,320000 ,2017JJ00,,3665.5,,3482.0,183.5,
134,T001027,320000 ,2018JJ00,,3994.0,,3809.9,184.1,
135,T001027,320000 ,2019JJ00,,4300.6,,4093.3,207.3,
136,T001027,320000 ,2020JJ00,,3606.1,,3417.0,189.1,
137,T001027,320000 ,2021JJ00,0.0,3921.7,,3708.1,213.6,
138,T001027,320000 ,2022JJ00,0.0,3972.4,,3765.0,207.3,
139,T001027,320000 ,2023JJ00,0.0,3916.5,,3707.4,209.1,
140,T001027,320700 ,2014JJ00,0.6,980.9,,234.5,747.0,
141,T001027,320700 ,2015JJ00,0.8,1024.3,,252.9,772.2,
142,T001027,320700 ,2016JJ00,0.7,1078.9,,264.1,815.5,
143,T001027,320700 ,2017JJ00,0.8,1129.4,,281.7,848.4,
144,T001027,320700 ,2018JJ00,0.6,1079.9,,279.0,801.5,
145,T001027,320700 ,2019JJ00,0.8,1042.8,,283.1,760.6,
146,T001027,320700 ,2020JJ00,1.2,1125.1,,311.9,814.4,
147,T001027,320700 ,2021JJ00,1.2,1123.5,,309.5,815.2,
148,T001027,320700 ,2022JJ00,1.7,988.1,,305.3,684.5,
149,T001027,320700 ,2023JJ00,1.7,977.3,,286.6,692.4,
150,T001027,323200 ,2014JJ00,,4.6,,0.3,4.3,
151,T001027,323200 ,2015JJ00,,4.4,,0.3,4.1,
152,T001027,323200 ,2016JJ00,,4.4,,0.4,4.0,
153,T001027,323200 ,2017JJ00,,4.5,,0.4,4.0,
154,T001027,323200 ,2018JJ00,0.0,4.3,,0.3,4.0,
155,T001027,323200 ,2019JJ00,0.0,4.1,,0.2,3.9,
156,T001027,323200 ,2020JJ00,0.0,4.2,,0.2,4.0,
157,T001027,323200 ,2021JJ00,0.0,4.1,,0.2,3.9,
158,T001027,323200 ,2022JJ00,0.0,4.8,,0.4,4.4,
159,T001027,323200 ,2023JJ00,0.0,5.0,,0.3,4.7,
160,T001027,323700 ,2014JJ00,,10.2,,,10.2,
161,T001027,323700 ,2015JJ00,,10.2,,,10.2,
162,T001027,323700 ,2016JJ00,,10.7,,,10.7,
163,T001027,323700 ,2017JJ00,,10.6,,,10.6,
164,T001027,323700 ,2018JJ00,0.0,11.1,,0.0,11.1,
165,T001027,323700 ,2019JJ00,0.0,10.3,,0.0,10.3,
166,T001027,323700 ,2020JJ00,0.1,10.2,,0.1,10.2,
167,T001027,323700 ,2021JJ00,0.1,10.7,,0.1,10.7,
168,T001027,323700 ,2022JJ00,0.2,10.2,,0.2,10.2,
169,T001027,323700 ,2023JJ00,0.2,9.2,,0.2,9.2,
170,T001027,324600 ,2014JJ00,,29.3,,0.3,29.0,
171,T001027,324600 ,2015JJ00,,27.8,,0.3,27.5,
172,T001027,324600 ,2016JJ00,,29.0,,0.3,28.7,
173,T001027,324600 ,2017JJ00,0.0,28.8,,0.4,28.4,
174,T001027,324600 ,2018JJ00,0.0,29.8,,0.2,29.6,
175,T001027,324600 ,2019JJ00,0.0,26.5,,0.2,26.4,
176,T001027,324600 ,2020JJ00,0.1,25.3,,0.3,25.1,
177,T001027,324600 ,2021JJ00,0.1,25.4,,0.3,25.3,
178,T001027,324600 ,2022JJ00,0.2,24.7,,0.3,24.5,
179,T001027,324600 ,2023JJ00,0.2,21.1,,0.3,21.0,
180,T001027,328100 ,2014JJ00,,242.8,,129.8,113.0,
181,T001027,328100 ,2015JJ00,,244.5,,118.1,126.4,
182,T001027,328100 ,2016JJ00,,241.8,,115.8,126.0,
183,T001027,328100 ,2017JJ00,,244.3,,115.7,128.6,
184,T001027,328100 ,2018JJ00,0.0,241.2,,115.5,125.7,
185,T001027,328100 ,2019JJ00,0.0,239.5,,112.4,127.1,
186,T001027,328100 ,2020JJ00,0.0,219.6,,106.5,113.1,
187,T001027,328100 ,2021JJ00,0.0,231.9,,111.8,120.1,
188,T001027,328100 ,2022JJ00,0.0,219.6,,109.5,110.1,
189,T001027,328100 ,2023JJ00,0.0,186.6,,98.2,88.4,
190,T001027,330300 ,2014JJ00,,11.1,,0.0,11.1,
191,T001027,330300 ,2015JJ00,,11.0,,0.0,11.0,
192,T001027,330300 ,2016JJ00,,12.1,,0.0,12.1,
193,T001027,330300 ,2017JJ00,,12.9,,0.0,12.9,
194,T001027,330300 ,2018JJ00,0.1,12.6,,0.1,12.6,
195,T001027,330300 ,2019JJ00,0.2,13.0,,0.2,13.0,
196,T001027,330300 ,2020JJ00,0.3,12.2,,0.3,12.2,
197,T001027,330300 ,2021JJ00,0.4,13.0,,0.4,13.0,
198,T001027,330300 ,2022JJ00,0.7,11.8,,0.7,11.8,
199,T001027,330300 ,2023JJ00,0.8,11.8,,0.8,11.8,
200,T001027,332900 ,2014JJ00,,1.7,,,1.7,
201,T001027,332900 ,2015JJ00,,1.7,,,1.7,
202,T001027,332900 ,2016JJ00,,1.7,,,1.7,
203,T001027,332900 ,2017JJ00,,1.7,,,1.7,
204,T001027,332900 ,2018JJ00,0.0,1.8,,0.0,1.8,
205,T001027,332900 ,2019JJ00,0.0,1.8,,0.0,1.8,
206,T001027,332900 ,2020JJ00,0.0,1.8,,0.0,1.8,
207,T001027,332900 ,2021JJ00,0.0,1.8,,0.0,1.8,
208,T001027,332900 ,2022JJ00,0.0,1.8,,0.0,1.8,
209,T001027,332900 ,2023JJ00,0.0,1.6,,0.0,1.6,
210,T001027,334800 ,2014JJ00,,19.6,,,19.6,
211,T001027,334800 ,2015JJ00,,21.3,,,21.3,
212,T001027,334800 ,2016JJ00,,19.5,,,19.5,
213,T001027,334800 ,2017JJ00,,19.1,,,19.1,
214,T001027,334800 ,2018JJ00,0.0,18.8,,0.0,18.8,
215,T001027,334800 ,2019JJ00,0.0,19.2,,0.0,19.2,
216,T001027,334800 ,2020JJ00,0.0,16.1,,0.0,16.1,
217,T001027,334800 ,2021JJ00,0.0,12.2,,0.0,12.2,
218,T001027,334800 ,2022JJ00,0.0,7.2,,0.0,7.2,
219,T001027,334800 ,2023JJ00,0.1,7.0,,0.1,7.0,
220,T001027,336500 ,2014JJ00,,5.9,,,5.9,
221,T001027,336500 ,2015JJ00,,5.9,,,5.9,
222,T001027,336500 ,2016JJ00,,6.0,,,6.0,
223,T001027,336500 ,2017JJ00,,6.4,,,6.4,
224,T001027,336500 ,2018JJ00,0.0,6.3,,0.0,6.3,
225,T001027,336500 ,2019JJ00,0.0,5.6,,0.0,5.6,
226,T001027,336500 ,2020JJ00,0.0,5.0,,0.0,5.0,
227,T001027,336500 ,2021JJ00,0.1,5.3,,0.1,5.3,
228,T001027,336500 ,2022JJ00,0.2,4.8,,0.2,4.8,
229,T001027,336500 ,2023JJ00,0.2,5.0,,0.2,5.0,
230,T001027,339200 ,2014JJ00,,2.9,,,2.9,
231,T001027,339200 ,2015JJ00,,2.9,,,2.9,
232,T001027,339200 ,2016JJ00,,3.2,,,3.2,
233,T001027,339200 ,2017JJ00,,3.3,,,3.3,
234,T001027,339200 ,2018JJ00,0.0,3.9,,0.0,3.9,
235,T001027,339200 ,2019JJ00,0.1,3.7,,0.1,3.7,
236,T001027,339200 ,2020JJ00,0.0,3.0,,0.0,3.0,
237,T001027,339200 ,2021JJ00,0.1,3.1,,0.1,3.1,
238,T001027,339200 ,2022JJ00,0.1,2.7,,0.1,2.7,
239,T001027,339200 ,2023JJ00,0.1,2.8,,0.1,2.8,
240,T001027,340200 ,2014JJ00,,2.0,,,2.0,
241,T001027,340200 ,2015JJ00,,1.9,,,1.9,
242,T001027,340200 ,2016JJ00,,1.8,,,1.8,
243,T001027,340200 ,2017JJ00,,1.8,,,1.8,
244,T001027,340200 ,2018JJ00,0.0,1.8,,0.0,1.8,
245,T001027,340200 ,2019JJ00,0.0,1.7,,0.0,1.7,
246,T001027,340200 ,2020JJ00,0.0,1.8,,0.0,1.8,
