ID,Energiedragers,NederlandseEconomie,Perioden,Winning_1,IntermediairEnHuishoudelijkVerbruik_2,Invoer_3,Productie_4,NettoEnergieverbruik_5,Uitvoer_6
380,T001027,384900 ,2014JJ00,0.0,97.7,,0.0,97.7,
381,T001027,384900 ,2015JJ00,0.0,108.5,,0.0,108.5,
382,T001027,384900 ,2016JJ00,0.0,103.8,,0.0,103.8,
383,T001027,384900 ,2017JJ00,0.0,105.7,,0.0,105.7,
384,T001027,384900 ,2018JJ00,0.0,108.7,,0.0,108.7,
385,T001027,384900 ,2019JJ00,0.0,105.2,,0.0,105.2,
386,T001027,384900 ,2020JJ00,0.0,106.2,,0.0,106.2,
387,T001027,384900 ,2021JJ00,0.0,116.4,,0.0,116.4,
388,T001027,384900 ,2022JJ00,0.0,124.5,,0.0,124.5,
389,T001027,384900 ,2023JJ00,0.0,136.5,,0.0,136.5,
390,T001027,386300 ,2014JJ00,0.0,166.9,,0.0,166.9,
391,T001027,386300 ,2015JJ00,0.0,184.2,,0.0,184.2,
392,T001027,386300 ,2016JJ00,0.0,171.1,,0.0,171.1,
393,T001027,386300 ,2017JJ00,0.0,169.2,,0.0,169.2,
394,T001027,386300 ,2018JJ00,0.0,169.4,,0.0,169.4,
395,T001027,386300 ,2019JJ00,0.0,195.3,,0.0,195.3,
396,T001027,386300 ,2020JJ00,0.0,109.7,,0.0,109.7,
397,T001027,386300 ,2021JJ00,0.0,112.8,,0.0,112.8,
398,T001027,386300 ,2022JJ00,0.0,134.1,,0.0,134.1,
399,T001027,386300 ,2023JJ00,0.1,144.6,,0.1,144.6,
400,T001027,386800 ,2014JJ00,0.0,16.0,,0.0,16.0,
401,T001027,386800 ,2015JJ00,0.0,15.9,,0.0,15.9,
402,T001027,386800 ,2016JJ00,0.0,15.0,,0.0,15.0,
403,T001027,386800 ,2017JJ00,0.0,15.8,,0.0,15.8,
404,T001027,386800 ,2018JJ00,0.1,17.5,,0.1,17.5,
405,T001027,386800 ,2019JJ00,0.2,17.3,,0.2,17.3,
406,T001027,386800 ,2020JJ00,0.4,15.8,,0.4,15.8,
407,T001027,386800 ,2021JJ00,0.2,16.2,,0.2,16.2,
408,T001027,386800 ,2022JJ00,0.5,16.1,,0.5,16.1,
409,T001027,386800 ,2023JJ00,0.9,17.0,,0.6,17.4,
410,T001027,388400 ,2014JJ00,0.0,2.3,,0.0,2.3,
411,T001027,388400 ,2015JJ00,0.0,2.3,,0.0,2.3,
412,T001027,388400 ,2016JJ00,0.0,2.2,,0.0,2.2,
413,T001027,388400 ,2017JJ00,0.0,2.4,,0.0,2.4,
414,T001027,388400 ,2018JJ00,0.0,2.7,,0.0,2.7,
415,T001027,388400 ,2019JJ00,0.0,2.5,,0.0,2.5,
416,T001027,388400 ,2020JJ00,0.0,2.5,,0.0,2.5,
417,T001027,388400 ,2021JJ00,0.0,2.5,,0.0,2.5,
