ID,SBI93,Perioden,Bedrijven_1,WerkzamePersonenEindSeptember_2,WerkzamePersonenFTEEindSeptember_3,WerknemersOpDeEigenLoonlijst_4,WerknemersFTEOpDeEigenLoonlijst_5,TotaleBedrijfsopbrengsten_6,TotaleNettoOmzet_7,NettoOmzetUitHoofdactiviteit_8,NettoOmzetUitNevenactiviteiten_9,OverigeBedrijfsopbrengsten_10,TotaleBedrijfslasten_11,TotaleInkoopwaardeOmzet_12,InkoopwaardeGrondEnHulpstoffen_13,BeginvoorraadGrondEnHulpstoffen_14,InkopenGrondEnHulpstoffen_15,EindvoorraadGrondEnHulpstoffen_16,TotaleInkoopwaardeHandelsgoederen_17,BeginvoorraadHandelsgoederen_18,InkopenHandelsgoederen_19,EindvoorraadHandelsgoederen_20,TotaleOverigeInkoopwaarde_21,KostenUitbesteedWerk_22,NietEerderGenoemdeInkoopwaarde_23,TotaleArbeidskosten_24,BrutoLonenEnSalarissen_25,SocialeVerzekeringspremiesWerkgever_26,PremiesPensioenVUTInkoopsommen_27,OverigeSocialeLasten_28,TotaleOverigeBedrijfslasten_29,OverigePersoneelskosten_30,KostenVervoermiddelen_31,KostenEnergieverbruik_32,Huisvestingskosten_33,KostenMachinesEnInstallaties_34,Verkoopkosten_35,Communicatiekosten_36,KostenVanDienstverleningDoorDerden_37,NietEerderGenoemdeBedrijfslasten_38,AfschrijvingenOpVasteActiva_39,Bedrijfsresultaat_40,SaldoFinancieleBatenEnLasten_41,FinancieleBaten_42,FinancieleLasten_43,SaldoVoorzieningen_44,OnttrekkingenVrijvalVanVoorzieningen_45,ToevoegingenAanVoorzieningen_46,SaldoBuitengewoneBatenEnLasten_47,BuitengewoneBaten_48,BuitengewoneLasten_49,ResultaatVoorBelastingen_50
0,EA    ,2001JJ00,340.0,35.18,33.6,31.3,30.06,25794.0,24210.0,22370.0,1839.0,1584.0,23515.0,15828.0,15344.0,41.0,15345.0,41.0,34.0,1.0,34.0,1.0,451.0,311.0,140.0,1610.0,1302.0,137.0,128.0,43.0,4304,360.0,37.0,60.0,131.0,689.0,78.0,50.0,699.0,2200.0,1774.0,2279.0,-550.0,464.0,1014.0,43.0,454.0,411.0,10.0,477.0,467.0,1782.0
1,EA    ,2002JJ00,395.0,32.55,31.02,29.26,28.13,27761.0,26119.0,24529.0,1589.0,1642.0,25723.0,17903.0,17179.0,52.0,17183.0,57.0,6.0,1.0,6.0,1.0,718.0,547.0,171.0,1724.0,1401.0,136.0,148.0,39.0,4600,374.0,44.0,49.0,139.0,582.0,120.0,59.0,654.0,2579.0,1495.0,2038.0,-316.0,995.0,1310.0,-11.0,465.0,476.0,174.0,257.0,83.0,1884.0
2,EA    ,2003JJ00,445.0,32.7,30.98,27.76,26.7,28386.0,27408.0,25298.0,2110.0,,26582.0,20489.0,19480.0,57.0,19478.0,55.0,6.0,0.0,6.0,0.0,1003.0,627.0,376.0,1538.0,1264.0,127.0,,,3310,535.0,46.0,55.0,162.0,336.0,111.0,65.0,611.0,1389.0,1245.0,1804.0,-308.0,626.0,934.0,-154.0,454.0,608.0,-35.0,38.0,73.0,1307.0
3,EA    ,2004JJ00,470.0,32.65,31.06,27.3,26.08,29925.0,28531.0,25992.0,2539.0,1394.0,27996.0,21487.0,20046.0,55.0,20054.0,62.0,0.0,0.0,0.0,0.0,1441.0,,,1602.0,1289.0,126.0,141.0,47.0,3604,465.0,47.0,50.0,196.0,,,52.0,728.0,1076.0,1302.0,1929.0,-22.0,857.0,879.0,-21.0,332.0,353.0,-180.0,82.0,262.0,1706.0
4,EA    ,2005JJ00,515.0,31.7,30.6,24.9,24.1,31153.0,29499.0,27755.0,1743.0,1655.0,28414.0,21609.0,20262.0,55.0,20330.0,122.0,0.0,0.0,0.0,0.0,1347.0,1059.0,288.0,1510.0,1222.0,115.0,137.0,36.0,3919,587.0,54.0,62.0,201.0,366.0,157.0,58.0,813.0,1622.0,1375.0,2740.0,-174.0,996.0,1170.0,-66.0,276.0,342.0,668.0,712.0,43.0,3168.0
5,40    ,2001JJ00,315.0,28.01,26.81,24.73,23.81,24166.0,22695.0,20910.0,1785.0,1471.0,22199.0,15644.0,15227.0,38.0,15227.0,39.0,33.0,1.0,33.0,1.0,385.0,246.0,139.0,1301.0,1050.0,112.0,104.0,34.0,3794,293.0,25.0,24.0,98.0,658.0,67.0,34.0,604.0,1991.0,1459.0,1968.0,-366.0,451.0,817.0,50.0,446.0,396.0,12.0,462.0,450.0,1664.0
6,40    ,2002JJ00,370.0,25.68,24.53,22.85,22.06,26096.0,24586.0,23031.0,1554.0,1511.0,24322.0,17716.0,17060.0,45.0,17063.0,48.0,5.0,1.0,5.0,1.0,651.0,482.0,169.0,1395.0,1136.0,112.0,118.0,28.0,4044,311.0,31.0,14.0,104.0,560.0,110.0,43.0,533.0,2338.0,1167.0,1775.0,-188.0,984.0,1171.0,39.0,448.0,409.0,175.0,250.0,75.0,1801.0
7,40    ,2003JJ00,415.0,26.07,24.82,21.58,20.92,26676.0,25812.0,23738.0,2074.0,,25176.0,20271.0,19360.0,48.0,19360.0,48.0,6.0,0.0,6.0,0.0,906.0,534.0,372.0,1214.0,1000.0,98.0,,,2768,474.0,32.0,17.0,121.0,313.0,96.0,49.0,509.0,1157.0,924.0,1500.0,-158.0,603.0,760.0,-125.0,448.0,573.0,-49.0,19.0,69.0,1168.0
8,40    ,2004JJ00,445.0,26.27,25.09,21.35,20.5,28260.0,26975.0,24481.0,2494.0,1285.0,26640.0,21298.0,19927.0,48.0,19935.0,56.0,0.0,0.0,0.0,0.0,1370.0,,,1283.0,1029.0,94.0,118.0,42.0,3068,399.0,33.0,14.0,152.0,,,36.0,601.0,885.0,992.0,1620.0,105.0,833.0,728.0,-16.0,312.0,328.0,-184.0,77.0,261.0,1526.0
9,40    ,2005JJ00,490.0,25.5,24.8,19.3,18.8,29459.0,27919.0,26215.0,1704.0,1540.0,26991.0,21426.0,20149.0,48.0,20217.0,116.0,0.0,0.0,0.0,0.0,1276.0,991.0,285.0,1189.0,967.0,86.0,110.0,26.0,3334,522.0,39.0,16.0,155.0,330.0,143.0,41.0,655.0,1433.0,1042.0,2468.0,-56.0,967.0,1023.0,-81.0,244.0,325.0,665.0,707.0,41.0,2996.0
